step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98
1	-2146.689319563954996	-2153.544807514914282	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.394978037255940	0	2	2	2	3	3	2	4	4	5	5	5	5	5	5	7	6	7	9	5	5	6	6	6	7	8	7	7	8	6	8	9	7	8	8	9	8	7	9	8	9	9	9	10	8	8	10	10	11	10	10	10	12	10	10	10	11	11	10	10	11	10	11	12	12	11	12	11	12	13	14	13	14	14	13	13	14	14	14	13	13	14	13	14	15	15	15	16	16	16	16	17	17	17	18	17	22	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	3	3	3	3	3	3	4	3	4	5	3	3	3	3	3	4	4	4	4	4	3	4	5	4	4	4	5	4	4	5	4	5	5	5	5	4	4	5	5	6	5	5	5	6	5	5	5	6	6	5	5	6	5	6	6	6	6	6	6	6	7	7	7	7	7	7	7	7	7	7	7	7	7	7	7	8	8	8	8	8	8	8	9	9	9	9	9	11	11
500	-803.596701437514298	-810.452189388473698	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.451758284640034	0	2	1	1	3	2	2	5	3	4	5	5	3	5	6	7	6	8	9	6	3	6	5	5	7	8	5	6	9	7	9	10	4	9	7	9	8	7	7	6	10	8	9	10	8	6	11	10	11	9	10	8	10	11	10	11	11	12	11	10	10	10	11	13	13	11	12	12	12	13	13	14	12	15	14	13	14	14	14	14	13	15	14	14	16	16	15	17	16	16	16	17	17	18	18	18	21	22	0	1	1	1	4	1	4	1	6	3	3	5	7	9	2	8	7	15	12	2	0	6	1	5	12	38	13	3	2	2	16	16	7	18	2	42	24	46	21	2	24	12	1	28	17	7	10	3	27	35	31	25	38	62	12	55	27	27	45	46	29	24	23	51	46	46	57	17	43	21	56	27	53	48	51	67	47	40	48	38	38	67	43	27	7	81	39	60	63	73	17	39	73	76	76	53	60	84	1	1	1	1	1	1	1	3	1	2	2	1	1	1	2	2	2	1	2	2	1	2	2	1	1	1	1	2	3	2	1	2	2	1	3	1	1	1	2	2	2	2	6	2	1	1	3	3	3	1	1	1	2	1	2	1	4	3	2	2	1	2	4	2	5	2	1	3	2	7	1	5	1	3	2	1	2	5	2	4	3	3	4	7	13	1	5	4	2	2	7	6	3	3	2	5	8	5
1000	-650.922754923369098	-657.778242874328498	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.506549197103395	0	2	1	1	3	3	2	4	5	4	5	6	4	4	3	6	6	7	9	4	4	6	6	7	7	8	7	6	8	7	8	9	6	8	7	8	9	7	8	7	9	10	9	9	6	8	10	10	11	11	9	11	10	11	9	11	10	11	11	10	11	10	12	12	13	10	12	9	11	13	14	13	13	14	13	13	14	14	15	14	14	14	14	14	15	16	16	16	16	15	17	17	18	16	18	18	22	22	0	3	1	1	4	1	4	1	1	2	1	5	7	7	2	4	7	15	25	15	0	6	2	12	12	13	33	3	35	20	16	31	7	18	10	5	25	13	21	10	24	19	28	9	14	38	23	9	27	35	16	37	38	36	12	62	27	27	68	46	35	5	23	51	53	38	57	45	35	21	54	58	46	48	51	67	69	23	48	65	26	76	68	27	26	80	39	65	29	73	27	39	73	76	94	86	85	96	1	1	1	1	1	2	1	2	2	1	2	2	1	1	1	3	2	2	1	1	1	2	2	1	1	2	1	1	1	2	1	1	2	1	2	3	1	1	3	1	2	1	2	2	1	1	3	2	2	3	2	2	2	2	2	1	1	3	1	2	3	4	3	1	2	1	1	2	2	6	2	1	3	2	2	1	1	4	4	1	4	1	3	4	5	1	4	1	3	1	7	5	3	2	1	1	5	3
1500	-575.279204770050796	-582.134692721010197	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.631223998412516	0	2	2	2	4	3	3	4	4	6	5	4	5	5	4	7	6	6	9	6	6	6	6	6	6	9	8	8	8	5	8	10	5	9	9	9	7	7	9	9	9	9	8	11	8	8	11	10	9	10	10	9	12	11	11	9	11	10	11	11	11	10	12	12	13	11	13	9	13	13	14	12	14	13	14	13	12	15	15	13	14	14	14	12	14	15	13	17	16	16	15	17	17	17	18	17	22	20	0	1	1	1	4	1	4	1	3	15	3	4	7	7	2	17	14	30	12	30	0	6	2	5	5	38	13	15	30	2	16	16	7	18	10	5	12	13	21	23	24	25	22	28	17	38	35	9	27	10	31	37	38	62	56	12	27	27	68	46	29	56	35	31	53	38	57	17	2	21	19	58	46	48	64	57	47	47	69	53	65	67	68	58	53	81	39	86	63	85	76	70	90	57	91	86	90	96	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	3	1	1	2	2	1	1	1	1	1	2	2	1	2	1	2	1	3	1	2	2	2	1	2	1	1	1	1	2	3	1	2	1	1	2	1	1	2	1	1	1	2	2	1	2	3	1	2	1	2	6	5	2	1	2	2	1	1	1	2	1	1	1	1	2	1	1	1	2	1	2	1	1	3	1	3	1	1	4	1
2000	-519.168258035976237	-526.023745986935637	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.716972633369933	0	3	2	2	4	4	3	5	4	5	4	5	6	5	5	7	6	7	7	5	5	5	6	7	7	9	8	6	8	7	8	9	5	8	8	10	8	7	8	8	10	9	10	10	8	9	11	10	11	9	10	10	11	10	11	9	11	11	10	11	12	11	11	12	11	9	13	11	12	13	15	14	13	14	13	13	14	14	13	14	13	15	13	14	15	15	15	17	15	16	17	15	17	16	19	17	22	21	0	1	1	1	4	3	4	1	1	2	1	5	7	7	2	17	7	15	12	2	0	6	2	5	12	13	17	1	10	20	16	16	7	23	10	37	19	13	21	10	24	25	28	28	17	38	35	28	27	23	31	37	38	56	56	25	27	27	45	46	63	54	35	51	38	38	57	45	50	39	54	58	46	48	64	57	63	47	9	81	65	67	59	58	73	65	70	81	78	85	94	70	85	76	91	65	93	96	1	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	3	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	2	3	1	2	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	2	4	3	1	2	2	1	1	2	2	4	1	1	1	1	1	1	2	1	2	1	1	1	1	1	2	1	3	2	2
2500	-536.973786373834514	-543.829274324793914	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.638474033689153	0	2	2	2	3	3	3	5	5	3	5	5	5	5	5	7	6	8	9	4	5	6	5	6	7	8	7	7	8	7	9	10	8	9	7	10	8	7	7	8	8	9	10	10	8	8	11	10	10	10	11	10	10	10	11	10	11	11	10	11	10	9	10	13	11	9	13	12	12	13	14	13	14	12	13	13	11	14	14	14	13	14	14	14	16	15	15	16	17	16	17	18	17	16	18	18	21	22	0	1	1	1	4	1	4	3	6	2	3	5	7	7	2	24	7	23	12	2	0	6	10	5	12	13	13	8	35	20	16	16	17	18	2	37	12	17	21	35	24	37	28	22	7	38	63	9	27	29	31	41	38	62	56	62	27	27	45	46	29	25	29	51	53	38	57	59	47	39	56	58	60	48	51	57	35	69	48	81	65	67	59	72	73	65	70	65	69	73	94	70	73	76	91	86	93	96	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	2	2	2	1	1	2	1	2	1	2	2	1	1	2	1	2	1	1	2	1	2	1	2	1	2	1	2	3	3	1	1	3	2	2	1	1	2	1	1	1	2	2	1	2	1	1	1	2	1	1	1	2	1	3	1	1	2	1	1	1	2	1	3	1	2	1	2	1	2	2	1	3	3	2	1	2	2	2	1	1	2	2
3000	-549.303552761474293	-556.159040712433693	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.663613435327337	0	2	1	1	3	3	2	5	4	5	5	6	5	3	4	7	5	6	8	5	5	6	6	6	7	8	7	8	9	6	8	8	7	8	8	9	9	7	10	8	9	8	7	10	8	9	11	9	10	11	10	10	13	10	11	11	12	11	10	11	12	9	11	12	12	10	12	11	13	13	14	13	13	13	14	13	15	14	14	13	11	14	13	15	13	15	16	17	16	17	16	17	17	16	18	17	23	21	0	1	1	1	4	1	4	1	1	2	9	5	7	7	2	17	7	15	12	15	0	6	2	5	12	13	13	9	23	20	16	16	17	23	23	12	19	13	21	10	24	25	22	41	17	38	10	9	27	29	31	37	38	62	54	62	49	27	45	46	29	25	29	51	81	38	45	17	50	39	56	58	46	48	51	67	78	69	48	81	38	57	59	72	60	65	70	86	78	73	57	87	73	76	94	86	93	96	1	1	1	1	1	1	1	3	2	2	1	1	1	1	1	2	2	1	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	2	1	1	1	2	1	2	2	1	2	1	1	2	1	1	1	2	1	1	1	2	1	1	2	1	2	2	2	1	1	2	1	2	2	2	1	1	1	3	1	2	1	2	1	1	2	1	1	1	2	2	1	2	2	1	1	3	1
3500	-527.694327519612784	-534.549815470572184	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.781640363112897	0	3	2	2	3	2	3	4	5	5	4	5	4	5	4	6	6	7	9	5	6	6	6	6	8	9	8	5	8	7	8	10	7	7	7	9	8	7	10	7	9	10	9	10	8	8	10	11	11	10	10	10	11	10	11	11	9	11	10	10	12	10	12	12	13	12	12	12	12	12	14	13	13	14	14	13	14	14	14	14	10	14	14	14	15	15	15	17	16	15	16	16	16	16	17	18	20	21	0	3	1	1	4	1	4	1	3	2	1	5	7	7	2	4	7	10	12	15	0	6	2	5	12	13	17	8	23	20	16	31	17	15	23	12	12	13	21	23	24	25	28	28	17	38	15	9	27	29	31	37	38	25	54	62	27	27	45	46	47	25	35	51	81	53	57	59	47	39	56	58	53	48	64	57	47	35	48	65	38	67	59	72	53	65	70	86	78	73	76	87	85	76	94	81	85	96	1	1	1	1	1	1	1	2	1	2	2	1	1	2	1	2	2	1	2	1	1	2	2	1	1	3	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1	1	2	3	1	1	3	3	1	1	1	2	2	1	1	1	1	2	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	2	1	2	2	2	2	1	1	1	2	1	3	1	1	1	1	1	1	1	1	2	1	3	2	2
4000	-572.953410127903680	-579.808898078863081	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.595762830601841	0	3	2	1	4	3	3	4	5	5	5	6	5	5	6	7	6	7	9	5	5	6	6	6	8	8	8	7	9	6	9	9	7	8	9	7	8	7	9	8	8	10	7	10	9	8	10	10	11	10	10	10	10	9	11	9	10	10	10	10	10	11	12	13	13	12	12	11	12	12	14	12	14	14	13	13	15	15	13	14	11	14	13	14	15	15	14	17	15	16	16	17	17	18	19	17	19	20	0	3	1	1	4	1	4	1	6	2	3	5	7	7	2	5	7	10	25	2	0	6	2	5	12	13	14	3	15	20	16	16	7	15	15	5	12	13	21	10	24	25	8	28	7	38	15	28	27	23	31	12	38	36	54	5	45	27	45	46	29	54	23	51	81	53	57	59	35	39	56	58	46	48	31	57	50	35	48	81	53	67	59	72	53	81	39	86	23	73	76	87	90	82	91	81	85	96	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	2	2	1	1	1	1	2	2	1	1	1	1	3	1	1	1	1	2	1	2	2	2	2	2	2	1	1	2	3	3	1	1	2	1	2	1	2	2	1	1	1	1	2	1	1	1	1	3	2	2	1	1	1	2	2	2	2	2	2	2	2	3	2	2	1	1	1	2	1	3	2	1	1	4	1	1	2	1	3	1	3	2	2
4500	-574.503160398617865	-581.358648349577265	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.601042899198517	0	2	3	2	4	3	3	1	5	5	6	5	5	5	5	7	6	7	8	5	5	7	4	6	7	7	8	6	7	6	8	9	7	9	8	9	9	8	9	8	9	9	10	10	8	8	10	9	11	9	9	11	12	9	10	10	10	11	11	11	12	11	11	13	13	10	12	10	13	13	14	14	13	14	10	13	14	14	14	14	13	15	14	13	14	15	14	17	16	16	15	18	18	15	17	18	22	20	0	1	1	1	4	8	4	1	3	2	6	5	7	7	23	4	7	15	16	23	0	6	2	5	12	17	7	3	10	20	16	16	14	35	2	12	6	17	21	2	24	25	3	28	14	17	35	9	27	29	16	12	38	19	54	54	27	27	45	46	35	54	35	51	53	46	57	45	29	39	56	84	60	48	51	57	63	29	48	53	38	67	68	58	46	65	70	81	35	73	76	87	90	76	91	81	93	96	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	1	1	2	1	1	1	1	3	2	1	1	1	1	1	1	3	2	3	2	2	4	2	2	5	2	1	1	1	2	2	1	1	4	2	1	1	1	1	2	3	2	2	1	2	2	1	1	1	2	2	2	1	1	2	3	1	2	2	3	2	2	3	2	2	1	3	1	1	2	3	2	1	2	1	1	1	2	2	1
