step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94
1	-1284.739642078117413	-1293.790485458568810	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.530781306662574	6	3	5	15	16	16	10	14	17	23	25	19	18	21	22	21	30	33	23	35	33	40	32	38	30	41	29	30	32	33	30	46	34	35	29	34	33	34	39	35	42	40	40	45	36	42	42	42	39	39	45	37	37	46	38	42	36	38	48	39	45	48	47	41	40	44	37	38	49	42	46	47	47	52	46	54	44	52	52	47	49	47	44	47	45	50	45	53	54	52	55	62	59	68	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-505.501024960297457	-514.551868340748797	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.962066641778016	9	2	7	14	16	15	11	15	18	24	26	17	16	22	20	19	31	36	24	37	36	38	31	31	31	40	25	24	35	29	27	41	30	31	30	37	32	31	21	35	45	42	43	38	38	40	43	45	36	40	37	38	34	42	37	41	41	41	44	38	48	44	48	43	34	37	32	37	50	39	43	47	46	46	47	49	39	49	49	46	39	45	36	46	42	40	43	55	45	47	56	56	55	70	2	0	2	3	7	7	3	1	3	39	9	4	2	2	7	13	11	34	13	33	24	21	27	39	11	49	9	39	17	28	19	38	14	27	28	67	23	28	16	34	65	31	49	38	9	27	77	20	25	18	38	37	35	15	23	18	52	36	70	18	20	40	82	81	37	15	11	28	18	33	37	34	60	70	54	56	17	21	54	65	37	70	17	66	55	44	22	76	45	22	64	57	46	91	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-481.765915283869617	-490.816758664320957	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998705471079375	9	2	5	13	18	17	11	15	18	25	26	16	17	13	23	22	23	31	25	36	33	36	27	39	29	30	24	30	29	31	27	41	34	36	29	35	35	19	37	33	43	42	43	45	37	44	38	36	32	39	46	30	29	39	34	44	37	32	49	36	49	49	41	43	42	40	35	31	43	38	45	44	48	52	49	53	46	56	49	47	38	46	37	45	46	45	44	40	46	42	54	62	54	58	2	0	2	1	14	4	2	3	14	14	12	7	1	1	8	12	38	38	5	26	17	29	19	49	27	27	38	12	31	8	38	47	29	16	9	31	29	8	25	31	88	22	45	70	58	39	23	29	27	83	57	10	27	48	35	60	23	53	72	28	69	67	55	67	54	67	27	38	83	53	90	47	32	89	85	41	63	84	88	63	49	54	25	54	32	24	36	60	70	55	84	94	37	75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-501.265804822763016	-510.316648203214356	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.991286636591494	9	5	10	17	18	16	8	13	20	21	22	20	20	21	21	14	26	36	27	35	32	39	32	37	23	40	28	29	24	28	33	48	31	37	22	34	36	31	27	38	45	29	39	44	37	37	40	41	42	37	35	36	37	48	38	44	27	28	47	33	41	41	48	40	37	45	37	34	32	37	47	46	40	51	36	50	29	49	46	48	40	37	46	45	42	44	43	47	52	49	49	55	55	64	2	0	7	8	1	7	2	7	7	8	1	2	6	8	4	3	13	38	4	27	5	30	27	77	12	38	9	14	5	6	17	64	12	60	5	39	21	11	29	77	70	5	20	24	33	28	31	22	82	21	33	9	77	85	77	55	35	14	51	28	65	82	53	68	36	70	33	28	30	14	36	48	28	54	31	50	29	41	81	37	37	58	56	22	23	18	22	65	32	56	51	63	79	80	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-478.396525140875724	-487.447368521327064	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.986550063203846	6	0	3	16	13	19	10	11	21	22	19	20	17	20	21	24	27	35	24	38	34	34	34	36	31	40	27	26	35	29	31	46	30	31	26	24	31	33	36	33	36	35	36	37	37	36	42	40	42	39	46	39	29	46	39	45	39	41	46	36	45	49	46	43	34	41	39	36	50	39	43	50	48	50	45	51	42	49	48	50	48	43	39	48	42	43	48	52	58	54	47	61	59	51	3	0	2	7	1	7	2	3	4	6	7	5	7	4	4	13	15	31	6	36	17	37	10	38	11	68	15	6	27	19	28	26	16	36	36	14	36	53	36	16	21	36	16	34	33	17	18	60	29	24	20	21	4	48	31	52	17	46	67	30	58	24	57	39	19	43	65	31	18	37	46	60	22	21	77	73	53	47	64	67	71	31	30	39	41	23	65	73	88	59	57	80	80	64	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-488.784627710763459	-497.835471091214799	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.988209383459604	8	2	6	11	17	15	9	11	14	22	18	17	20	21	24	20	32	30	24	34	32	39	35	29	31	42	28	25	32	30	18	43	34	35	28	33	27	34	37	33	41	41	38	47	37	41	45	43	34	36	40	29	40	45	31	39	32	35	47	39	44	48	50	38	38	43	36	39	44	44	39	36	43	51	50	51	44	44	47	45	37	46	41	43	47	35	40	54	51	50	48	56	59	54	2	0	2	2	3	4	2	2	3	2	4	3	6	6	6	5	15	27	5	13	11	37	29	13	35	60	15	5	19	28	6	17	52	57	16	14	11	15	21	52	72	23	40	77	86	21	38	29	27	14	57	11	72	56	10	55	6	35	17	17	87	60	69	49	29	56	15	57	58	86	29	55	71	66	53	68	20	71	41	29	29	56	23	33	53	27	24	75	77	48	39	85	68	91	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-495.635838577177935	-504.686681957629276	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.993943515615585	10	3	7	14	18	16	10	14	20	15	26	20	20	21	24	21	28	33	18	30	28	29	31	24	31	44	29	30	32	29	33	27	37	33	26	35	34	38	34	25	41	43	42	46	35	42	39	42	44	35	35	38	35	45	41	39	33	38	46	37	43	34	48	37	42	35	40	41	40	41	40	39	27	50	43	52	34	54	52	42	43	46	47	49	48	51	46	54	55	50	52	64	56	57	2	0	2	1	3	7	2	2	4	2	8	1	8	10	5	6	15	27	6	19	24	24	21	19	15	62	8	24	32	9	21	13	39	32	24	21	27	18	17	16	29	56	72	69	13	50	66	31	66	30	17	34	20	48	62	35	21	18	38	25	29	21	25	30	77	28	60	58	36	28	18	57	9	69	45	81	32	56	48	60	31	67	42	48	43	80	66	63	82	47	87	76	87	55	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-493.030934721449398	-502.081778101900738	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.991100207054803	6	-2	6	13	17	17	13	10	18	24	19	20	16	23	19	22	30	35	25	26	33	36	23	35	30	41	29	32	34	29	27	42	35	27	32	33	28	33	30	31	41	40	38	46	31	44	38	37	41	40	43	39	40	46	41	39	36	35	48	33	47	46	47	38	41	40	29	42	52	30	47	47	41	43	50	45	48	51	49	50	42	43	42	39	48	50	47	50	53	40	50	49	52	61	2	0	2	2	7	3	3	3	1	11	3	7	3	11	13	8	23	25	9	9	19	38	5	27	31	57	11	34	67	4	10	47	20	15	37	31	10	23	16	6	60	70	67	58	31	73	22	60	22	25	21	30	38	65	22	34	70	70	67	14	55	21	50	70	24	58	19	24	59	7	74	26	53	64	46	33	68	49	26	66	33	90	56	39	50	50	81	73	61	43	82	68	87	80	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-492.272353979826221	-501.323197360277561	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999364211074034	9	3	9	16	13	13	13	10	16	18	21	19	18	21	19	25	24	29	20	34	31	42	36	41	25	38	30	33	20	33	28	39	34	29	27	30	27	34	36	36	33	36	42	47	36	37	41	34	33	37	43	27	35	45	37	42	36	32	44	38	47	46	48	44	39	47	37	29	51	43	41	42	43	48	43	55	45	38	50	49	53	38	45	46	43	42	48	46	50	40	53	63	57	68	2	0	2	8	1	1	1	2	1	9	5	5	6	10	6	19	13	37	6	34	9	78	41	78	9	48	37	27	7	13	10	41	21	19	29	25	15	27	49	27	68	17	60	55	37	38	23	18	25	16	34	12	27	60	36	78	53	12	78	30	70	42	22	24	30	60	36	12	85	78	78	49	45	86	28	24	46	38	47	77	62	68	47	32	42	28	77	23	73	52	80	79	62	51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-478.005397709382692	-487.056241089834032	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.990260380558428	10	-1	7	17	14	11	11	12	17	27	23	21	19	21	24	21	29	33	24	34	36	41	34	37	31	40	27	28	26	29	29	45	31	32	32	34	28	35	33	34	38	34	38	40	34	37	44	34	37	41	49	39	36	44	37	39	36	36	42	34	42	47	43	42	33	40	38	36	45	43	45	42	48	42	45	45	46	50	49	46	49	41	42	47	42	46	43	48	53	45	48	59	52	67	3	0	2	6	3	2	3	3	8	13	12	6	8	6	5	5	16	30	12	19	31	58	10	10	13	40	5	13	9	16	16	23	12	10	31	9	19	28	37	13	34	19	33	23	29	15	60	11	37	57	47	42	34	49	33	36	35	42	42	33	36	49	20	60	13	21	65	30	48	20	56	53	23	38	61	43	49	22	77	23	72	42	48	85	21	53	43	46	71	38	64	51	18	79	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
