step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76
1	-642.664328639393489	-651.715172019844886	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.850158652125431	-1	3	2	3	4	4	6	5	4	5	8	5	6	10	10	7	8	7	10	12	8	9	10	8	7	8	11	9	11	9	9	9	8	10	10	10	11	10	14	9	10	9	12	12	10	11	9	11	10	11	10	12	12	14	12	11	14	15	15	14	12	14	18	14	14	15	16	13	13	14	14	15	16	24	19	21	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-242.220084600769155	-251.270927981220495	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.931369093680901	-1	3	1	1	5	5	6	1	4	3	7	4	6	11	10	4	8	7	8	13	7	7	10	9	6	9	12	9	10	6	8	10	6	10	8	10	11	9	10	9	8	8	12	13	8	12	7	12	11	11	11	13	12	14	11	10	13	11	16	14	10	14	18	15	14	15	15	13	11	13	11	16	16	24	20	19	0	4	1	1	2	12	2	1	8	3	13	1	16	26	24	10	25	12	7	58	33	7	38	11	9	21	55	17	2	5	6	35	6	7	18	31	56	47	31	17	6	33	69	39	5	58	6	39	47	28	5	36	29	68	26	28	39	7	53	52	42	48	51	69	46	27	48	14	19	35	31	65	60	67	76	57	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-223.120931358933746	-232.171774739385086	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.985388867684072	-2	3	2	2	4	5	6	4	3	6	7	6	7	8	11	4	8	7	11	11	8	10	10	8	8	9	10	10	9	9	9	8	7	11	11	9	12	10	13	9	11	9	13	11	10	12	10	11	8	9	11	13	12	14	10	11	14	15	14	15	11	14	18	13	10	16	13	13	13	13	9	14	15	23	19	21	0	4	1	1	2	9	16	2	4	2	12	16	9	10	6	4	33	12	47	38	12	30	49	4	13	14	25	24	11	24	7	11	6	30	17	24	61	26	34	49	7	13	35	26	14	56	5	38	5	11	29	55	28	45	33	36	29	57	23	15	33	42	73	34	21	58	20	19	20	53	17	67	68	76	63	63	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-250.242813471798343	-259.293656852249683	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.986140768138492	0	4	3	2	4	1	2	4	5	5	9	6	6	10	11	7	9	4	10	12	8	6	10	8	7	8	8	9	9	7	6	8	7	8	10	7	12	10	13	10	9	9	12	9	11	12	9	12	9	10	10	13	12	15	12	7	13	16	14	14	13	13	17	15	11	9	15	12	14	14	12	15	15	15	14	22	0	7	4	6	6	1	1	6	6	3	32	4	10	6	35	9	27	1	34	66	22	18	11	12	31	33	30	56	26	10	8	12	10	8	41	31	24	27	32	56	56	4	50	31	26	38	32	27	18	66	21	65	35	60	65	13	20	53	61	41	20	65	69	37	44	10	57	14	65	27	29	69	62	70	53	58	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-241.035750165899572	-250.086593546350912	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.909213736141831	-1	3	1	4	5	4	4	5	5	6	9	6	4	10	8	7	7	7	9	11	8	5	9	7	7	9	12	8	10	10	10	9	7	7	10	10	12	9	14	9	10	10	12	12	11	10	9	12	11	9	11	13	11	15	12	11	15	16	14	14	13	13	18	14	14	15	16	13	14	14	14	13	15	13	16	15	0	3	1	2	6	1	3	13	6	5	17	2	3	17	34	13	13	10	15	25	18	13	15	3	4	33	53	18	23	24	21	8	5	5	32	19	30	12	61	4	32	26	41	46	29	47	17	47	15	25	23	23	14	69	32	12	53	27	29	27	14	31	73	56	20	59	70	34	61	62	56	33	68	27	65	51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-242.408667395852461	-251.459510776303802	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.988672794712145	-2	0	3	3	5	5	6	6	3	5	8	5	7	10	9	7	9	6	10	13	7	8	9	9	5	8	12	8	10	10	6	8	7	7	10	11	9	11	14	7	11	10	13	12	9	10	10	11	10	11	8	12	11	14	12	10	14	14	16	11	11	14	17	10	11	12	12	13	12	13	12	15	13	24	15	22	0	1	2	2	9	3	12	6	2	4	40	3	10	15	22	25	32	5	37	60	18	40	21	40	9	33	26	16	16	21	12	10	9	12	28	18	16	33	60	10	16	15	66	18	34	32	5	23	7	18	6	12	30	51	45	15	19	60	58	29	49	13	75	33	45	56	29	27	26	61	29	68	30	76	68	75	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-231.735380986472364	-240.786224366923705	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998051894357992	-1	1	0	4	5	4	6	5	2	5	7	5	4	8	10	8	8	7	11	12	9	10	8	7	8	7	12	6	10	8	9	8	6	8	11	11	11	9	13	10	11	10	12	13	10	12	9	12	10	10	11	13	12	13	12	12	14	13	12	14	12	15	17	13	13	16	17	11	13	14	11	15	12	21	17	20	0	3	1	1	2	2	6	6	1	13	33	4	2	7	30	28	6	9	14	45	30	34	18	13	6	12	36	6	11	28	34	12	10	28	28	21	11	24	29	21	50	32	17	27	17	40	11	23	14	17	15	68	22	29	40	68	35	61	31	61	50	57	56	21	35	64	55	49	68	61	26	60	37	75	22	66	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-261.973335808831791	-271.024179189283132	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989230588772740	0	3	3	2	5	4	7	5	5	3	7	4	6	10	11	7	8	7	10	12	6	8	10	7	2	8	12	9	11	8	5	7	8	8	10	7	12	11	13	7	7	9	9	8	11	12	10	11	8	12	10	11	6	7	11	11	14	13	7	12	11	14	13	13	15	14	15	13	11	15	15	15	9	17	10	16	0	1	1	1	4	10	9	3	10	4	5	1	5	41	22	3	9	8	34	69	12	36	44	21	1	36	43	26	73	18	12	6	2	41	33	5	56	14	51	8	8	17	41	5	23	75	40	47	59	5	3	32	5	8	35	75	37	73	12	49	44	64	15	52	64	50	27	52	33	63	39	15	17	27	26	71	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-214.967449329299058	-224.018292709750398	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.982246587529214	0	4	2	3	2	5	6	6	5	5	8	6	4	11	10	8	8	7	11	11	7	9	10	8	8	4	12	9	7	10	9	7	8	9	10	10	10	11	15	6	8	10	12	11	11	12	9	10	11	10	11	11	13	13	12	12	15	13	14	14	11	13	19	14	13	15	15	14	13	13	14	15	15	21	20	21	0	5	1	5	1	2	13	10	4	2	12	26	4	30	28	29	12	13	35	30	26	16	34	8	29	3	20	32	4	29	32	9	18	25	11	41	41	29	27	13	8	16	34	22	34	37	24	25	34	17	35	35	45	45	41	24	55	27	27	27	23	61	57	55	43	61	27	14	34	20	70	58	22	63	53	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-230.048204863003207	-239.099048243454547	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.991855763667456	-1	2	2	1	3	4	7	6	3	4	9	5	6	10	11	5	7	6	9	12	4	9	10	9	7	8	12	9	10	7	9	8	8	11	11	10	11	11	15	10	8	8	8	11	7	12	9	12	11	11	10	12	13	13	13	12	9	15	14	14	12	11	18	11	13	16	16	13	13	15	15	16	13	17	16	13	0	4	1	1	4	2	16	3	2	4	13	4	10	42	57	5	16	10	30	50	9	42	57	32	12	18	33	30	28	10	43	18	30	31	47	33	11	33	27	32	12	8	7	45	12	40	41	15	29	47	42	40	50	22	48	41	33	64	69	69	42	31	44	17	38	27	60	62	49	48	69	70	62	52	53	15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
