step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	Tinf_113	Tinf_114	Tinf_115	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	alpha_113	alpha_114	alpha_115	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112	kappa_113	kappa_114	kappa_115
1	-1232.998057417199107	-1239.853545368158393	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.738037976659510	-1	1	2	3	2	3	4	3	6	5	4	5	8	5	6	6	8	7	7	9	8	8	8	10	9	9	9	8	9	9	9	9	10	10	10	10	10	9	13	10	11	11	12	13	11	11	11	12	12	12	12	11	11	14	13	12	15	13	12	13	14	16	14	14	14	13	14	17	13	14	18	14	15	16	15	15	15	15	16	16	16	16	17	15	15	16	16	15	16	16	16	17	17	16	16	18	18	18	17	18	18	18	18	18	18	19	20	19	21	20	21	20	23	22	24	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	2	4	3	3	3	5	3	4	4	5	4	4	5	5	5	5	6	5	5	5	5	5	5	5	5	6	6	6	6	6	5	7	6	6	6	7	7	6	6	6	7	7	7	7	6	6	8	7	7	8	7	7	7	8	9	8	8	8	7	8	9	7	8	10	8	8	9	8	8	8	8	9	9	9	9	9	8	8	9	9	8	9	9	9	9	9	9	9	10	10	10	9	10	10	10	10	10	10	10	11	10	11	11	11	11	12	12	13
500	-708.059587786637735	-714.915075737597135	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.247413894316020	0	2	1	3	2	3	4	4	7	5	4	6	9	6	7	6	8	6	6	9	7	8	9	11	10	9	10	8	8	9	8	9	10	9	9	11	11	8	12	11	11	8	12	13	12	10	11	13	11	13	12	11	10	13	11	13	14	13	12	13	14	17	14	14	15	13	14	17	13	13	17	15	15	16	13	16	15	12	17	15	16	16	17	15	14	17	15	15	16	16	16	17	18	17	15	18	18	18	16	18	17	18	18	19	18	19	20	18	22	21	21	20	21	22	24	0	1	1	1	1	3	2	2	1	8	1	3	2	4	18	1	7	7	5	19	5	6	5	14	31	38	23	1	18	11	8	29	18	14	29	3	25	14	9	14	3	14	14	40	1	1	21	30	3	33	29	3	3	15	34	3	3	3	1	0	23	23	9	12	11	1	1	3	3	37	63	29	1	1	3	3	3	12	85	85	67	25	3	52	1	64	3	66	55	1	6	46	1	57	3	1	1	3	46	3	95	1	45	93	72	1	99	33	68	53	3	1	53	3	1	1	1	1	1	1	1	2	1	3	1	2	3	3	2	1	2	2	1	2	2	2	2	3	3	1	1	1	4	2	3	2	1	3	1	1	4	1	1	3	3	6	1	4	2	7	5	2	2	5	3	3	6	6	3	1	5	7	7	5	1	2	4	5	3	7	7	7	8	5	1	2	4	10	8	7	7	7	3	1	1	2	3	9	2	5	2	7	1	3	9	5	3	8	1	7	10	10	9	4	10	1	10	3	1	2	7	3	3	3	6	10	10	5	11	13
1000	-767.258699319267066	-774.114187270226466	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.299681459336838	0	1	2	4	3	1	5	3	6	6	3	4	9	5	6	7	7	6	7	10	8	8	7	10	9	9	8	7	9	10	8	9	10	8	10	10	10	9	13	9	12	12	12	11	11	10	11	13	13	11	13	11	12	14	13	12	16	12	12	13	13	17	13	14	13	13	14	17	14	15	15	15	14	17	15	15	16	15	16	17	16	16	18	16	15	15	16	16	16	16	17	17	16	15	16	19	17	19	18	18	16	18	18	18	19	19	20	18	21	21	21	20	22	22	24	0	1	1	3	2	1	6	6	8	6	3	1	22	2	3	3	14	5	8	3	3	18	8	40	2	18	1	1	14	16	1	15	1	1	29	31	18	9	25	10	27	28	14	37	1	27	8	50	30	18	8	31	20	13	14	27	1	23	1	0	29	43	20	45	50	52	53	1	27	27	40	60	1	56	3	1	48	48	56	37	39	69	27	44	56	25	52	13	37	7	4	75	3	4	1	74	2	1	84	1	36	2	63	71	94	91	101	95	20	63	3	1	45	27	103	1	1	1	1	1	1	2	1	1	3	1	2	1	2	3	2	1	2	2	3	2	1	2	1	5	2	6	3	2	2	4	1	7	4	1	1	2	1	2	2	2	3	3	1	5	1	4	1	1	1	6	1	1	5	5	2	8	3	6	1	2	2	2	1	1	1	1	7	2	3	4	1	5	3	7	7	2	1	2	3	2	1	4	3	1	2	2	3	3	5	7	1	7	6	9	1	7	10	1	11	5	10	4	2	2	1	2	1	5	3	10	9	5	7	2
1500	-685.249696621473959	-692.105184572433359	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.385870172450667	0	1	2	4	2	3	5	3	6	5	5	6	8	6	7	6	9	7	7	9	9	8	7	9	9	9	10	8	8	6	10	9	9	11	10	11	9	9	13	9	11	12	13	13	10	10	9	11	13	12	11	10	11	14	14	9	16	14	12	11	14	17	14	15	14	13	15	18	13	14	18	12	14	17	14	16	16	16	15	16	16	16	17	15	15	16	15	15	15	15	16	16	16	14	15	18	19	18	18	17	18	19	19	18	17	19	21	20	21	21	19	20	23	22	24	0	1	1	3	1	1	2	1	3	3	8	3	6	4	3	1	10	8	1	9	3	8	2	14	22	18	4	3	10	7	21	2	1	40	3	26	23	18	19	18	35	3	29	48	3	13	10	20	18	35	29	29	8	48	40	19	26	35	18	0	8	61	45	63	50	52	18	61	37	13	90	45	32	58	1	60	60	66	56	70	49	55	32	19	69	34	32	58	66	27	95	58	10	38	1	73	18	30	19	1	75	5	48	92	85	27	96	102	71	54	54	1	91	12	110	1	1	1	1	1	1	1	1	2	1	1	3	3	1	2	3	2	2	4	1	2	3	3	1	1	1	3	2	2	1	1	5	4	1	4	1	1	1	4	1	1	7	2	1	2	1	2	1	2	1	2	1	4	2	2	1	4	2	2	1	6	1	2	1	1	2	5	2	2	3	2	1	4	2	6	4	3	1	4	1	1	1	5	4	1	2	2	1	1	3	1	1	4	3	7	2	7	8	6	6	2	8	5	1	1	3	3	1	2	4	2	9	4	8	2
2000	-724.718572267052878	-731.574060218012278	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.376122777891100	0	1	2	2	2	4	5	3	6	5	4	5	9	5	7	6	7	5	7	9	7	8	7	11	8	9	8	8	10	9	9	9	11	10	10	8	11	8	12	9	11	11	12	13	10	11	12	13	12	13	12	12	11	14	11	11	14	13	13	13	13	15	13	15	13	13	14	17	14	14	18	15	14	17	16	13	15	16	15	16	16	15	18	14	15	15	15	15	16	17	17	17	17	17	16	17	18	19	17	17	19	16	19	18	18	19	20	19	22	20	20	20	22	23	23	0	1	2	1	1	1	4	2	1	5	1	6	25	5	3	2	6	8	18	19	1	1	1	13	3	6	12	10	23	12	15	10	28	14	1	1	31	8	1	17	1	1	18	13	20	26	23	33	27	41	21	37	27	46	34	1	32	56	25	0	1	41	39	26	55	18	1	80	43	32	27	24	41	58	56	3	60	62	43	37	49	44	102	44	69	42	66	58	58	42	43	1	77	82	49	29	68	81	13	41	90	1	95	78	56	26	38	97	51	1	63	64	98	64	110	1	1	1	1	1	2	1	1	2	2	2	1	1	2	3	2	1	1	1	1	3	4	2	1	3	2	2	2	2	2	1	3	2	2	5	4	1	4	4	1	6	5	4	2	1	1	2	1	2	1	2	1	2	2	1	6	3	1	3	1	5	2	1	3	1	4	7	1	1	3	5	2	2	2	3	8	1	1	1	4	2	1	1	1	1	2	1	1	1	2	2	6	2	1	3	3	1	1	2	3	1	8	2	1	4	5	8	1	5	9	4	3	1	4	2
2500	-743.949777990360985	-750.805265941320386	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.423850286835829	0	2	2	4	2	4	4	4	6	5	4	4	8	6	6	5	8	8	8	8	7	7	9	10	9	9	9	8	8	7	8	10	8	10	11	10	10	8	11	8	12	12	11	13	11	12	12	13	13	12	13	11	11	14	14	12	16	14	11	13	14	14	14	13	15	13	14	17	13	14	17	13	15	17	15	13	15	15	16	15	16	16	17	15	15	16	15	14	16	16	16	17	18	16	16	19	18	17	17	18	18	19	17	19	17	18	20	19	21	21	21	19	24	21	24	0	1	1	3	1	1	1	5	3	6	3	3	7	3	8	3	11	4	16	14	4	6	1	13	21	10	10	3	30	15	8	8	4	8	31	1	13	6	10	3	13	3	34	4	13	27	31	25	3	34	41	13	3	52	50	1	8	46	40	0	23	36	12	3	40	13	45	46	13	36	18	47	88	73	58	3	60	66	32	47	13	54	87	1	56	19	1	56	75	23	46	3	8	41	64	13	68	63	82	82	79	13	39	93	44	3	91	71	67	81	86	64	81	103	112	1	1	1	2	1	2	3	1	2	1	1	1	4	2	1	2	2	3	1	1	1	2	5	1	1	2	2	4	1	1	2	3	1	3	1	6	2	2	2	2	3	6	1	4	2	2	2	1	7	1	1	2	3	2	2	6	7	1	2	1	3	2	6	3	4	2	2	3	3	3	3	1	1	1	1	6	2	1	2	1	4	1	1	7	2	2	6	1	1	5	3	7	6	2	1	4	1	1	1	1	1	8	2	1	2	5	1	1	2	3	4	2	4	3	2
3000	-699.165100830300617	-706.020588781260017	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.391962441470111	0	1	3	2	2	3	4	4	7	5	4	6	9	5	4	7	8	6	7	9	9	8	8	10	9	9	9	7	7	10	7	9	10	10	10	8	10	9	11	10	11	12	13	13	12	12	11	12	11	12	12	11	10	13	14	13	16	14	12	11	15	17	14	15	14	12	14	17	13	13	18	14	15	16	13	15	15	15	15	16	14	16	17	15	15	16	15	14	15	15	16	17	18	15	16	18	18	18	17	15	18	19	18	18	18	18	20	19	21	20	21	20	22	23	24	0	1	1	1	1	1	1	2	10	3	1	1	12	7	3	10	3	7	14	12	10	1	19	17	12	22	18	3	1	4	10	1	18	10	10	18	18	18	20	3	10	10	32	30	53	10	2	39	20	10	10	10	1	16	27	1	10	46	10	0	54	89	49	25	7	37	1	46	37	47	33	56	1	56	37	60	18	69	69	27	19	55	38	27	51	21	37	37	50	3	63	56	57	75	54	27	78	95	69	46	86	89	95	95	78	1	71	100	83	12	98	95	64	18	63	1	1	2	2	1	1	3	2	1	1	2	3	2	1	1	2	3	2	1	2	2	3	1	1	1	1	1	1	3	5	1	3	3	3	2	1	3	2	1	3	5	3	2	2	2	5	7	1	2	4	4	4	4	3	3	7	7	1	2	1	1	1	2	3	5	1	5	2	2	1	3	1	5	1	2	3	4	1	1	3	3	1	3	2	1	3	2	2	2	5	1	1	1	1	3	3	2	1	2	1	1	2	1	1	1	10	1	2	2	4	2	2	3	9	5
3500	-701.006738787828340	-707.862226738787740	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.434396001137120	0	2	2	3	3	4	4	4	7	5	4	4	9	5	6	6	8	6	7	9	9	8	8	10	10	9	8	8	10	9	7	9	10	11	10	11	10	10	13	10	10	12	13	13	11	10	11	13	12	12	13	12	10	13	14	11	15	13	12	12	14	17	15	14	14	12	12	17	14	12	18	14	16	15	15	14	16	15	16	16	16	16	17	14	14	16	14	16	17	15	17	17	17	17	17	18	18	19	16	18	19	18	19	16	19	19	19	19	21	20	22	20	22	21	24	0	1	1	3	3	1	3	2	10	1	1	3	17	5	1	8	3	7	10	19	3	10	3	3	9	8	18	18	28	7	18	10	19	19	3	33	13	30	1	10	10	26	27	19	13	27	30	28	20	10	25	15	10	20	1	13	44	26	14	0	26	57	13	25	10	1	21	10	70	19	82	15	3	35	58	60	76	61	90	37	49	58	52	56	35	42	52	58	104	10	7	10	76	67	12	74	1	49	44	35	76	35	81	36	79	1	93	80	87	53	112	26	110	1	103	1	2	1	1	1	2	1	1	1	2	1	1	1	1	3	1	2	1	1	1	3	2	3	4	1	2	1	1	1	2	1	2	2	2	5	1	1	1	4	3	2	3	2	3	2	1	1	3	2	3	1	5	3	2	8	1	1	2	3	1	3	1	3	1	5	6	1	5	1	2	1	3	7	2	1	2	1	1	1	3	2	1	3	1	3	2	1	1	1	4	6	3	2	3	6	1	7	2	2	5	3	3	3	2	2	8	1	1	4	4	1	3	1	11	3
4000	-771.084816126122746	-777.940304077082146	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.405900794392991	0	1	3	3	2	4	4	4	5	3	5	6	9	6	7	7	8	7	7	9	7	8	7	9	10	10	10	9	9	9	9	10	9	9	10	9	8	10	14	10	11	12	13	14	11	10	10	11	12	12	13	11	11	15	12	13	14	13	11	14	14	15	15	15	15	11	14	18	12	15	18	15	16	16	14	15	16	15	17	17	17	15	17	14	15	17	15	14	16	14	15	17	17	15	16	18	17	16	17	19	17	18	15	19	19	19	21	19	21	17	21	20	22	22	24	0	1	2	1	1	1	3	2	3	2	8	8	6	8	8	1	3	9	11	9	4	10	14	8	34	22	33	23	23	14	3	29	3	19	31	8	10	17	49	34	21	25	30	21	30	1	15	8	18	1	13	37	14	46	1	1	15	26	34	0	23	57	45	39	8	37	53	97	31	37	70	43	46	88	58	55	76	53	1	70	45	28	37	30	56	72	8	58	35	13	42	82	60	41	1	74	55	1	69	82	35	10	20	80	90	1	100	72	81	53	63	64	95	112	114	1	1	1	2	1	2	1	2	1	1	1	2	2	1	2	3	3	1	1	3	3	2	1	2	1	1	1	1	1	2	3	1	3	2	1	3	3	1	1	1	1	2	3	5	2	3	2	2	3	6	2	1	3	2	8	7	4	1	1	1	3	1	3	1	6	1	2	1	2	5	2	1	2	1	1	2	1	2	6	1	3	2	6	2	1	1	5	1	3	2	2	1	1	1	8	1	2	8	3	3	3	7	2	1	2	10	1	1	2	3	3	2	2	1	1
4500	-773.432920760675074	-780.288408711634474	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.432186222757365	0	1	3	3	2	2	5	4	7	5	5	6	8	6	5	3	7	7	7	8	8	9	8	10	8	9	9	8	10	10	8	10	10	10	9	10	11	6	14	9	12	10	13	13	11	10	11	11	13	9	13	11	11	14	13	12	15	13	12	13	14	16	15	14	14	13	14	18	13	14	18	15	16	17	16	12	16	15	15	16	16	17	18	16	15	16	15	15	16	17	17	17	17	16	16	19	17	16	17	19	18	17	18	19	18	19	20	19	21	21	22	20	24	22	24	0	1	5	2	1	1	2	16	10	3	16	3	38	2	3	1	11	15	15	12	5	8	38	7	10	23	19	10	18	22	3	3	1	38	23	31	23	7	49	11	1	25	14	21	38	27	10	35	20	25	13	21	25	17	40	25	32	1	31	0	27	57	49	1	34	1	19	51	56	27	89	43	72	75	61	1	60	42	56	29	20	79	72	56	70	56	66	61	24	70	47	19	77	72	45	66	25	45	84	92	94	41	63	78	70	3	74	87	85	103	81	103	1	112	112	1	1	1	1	2	1	1	1	1	1	1	1	1	3	1	2	1	1	1	2	3	2	1	2	1	1	1	2	2	1	2	4	4	2	1	1	2	1	1	2	5	1	3	3	3	1	2	1	3	1	2	1	2	3	3	1	4	7	3	1	3	1	1	5	1	7	4	1	1	3	1	1	1	1	2	4	1	3	2	3	4	1	2	2	1	2	2	1	2	2	3	6	1	1	2	3	3	4	1	2	1	2	2	2	2	5	1	2	3	1	3	1	9	1	2
