step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23
1	-691.402185989193185	-689.940103904674288	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.614274644976378	4	8	7	9	10	10	11	11	12	12	12	14	14	15	15	16	17	17	18	20	20	21	26	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	4	4	4	4	4	5	5	6	6	6	7	7	7	8	8	9	11
500	-226.714649487982683	-225.256473289519278	-1.458176198463417	0.000010031395029	0.000009922087077	0.989103414737195	0.412438901364872	4	8	5	9	11	10	9	12	13	11	12	13	13	15	15	16	18	17	18	19	20	21	25	0	3	1	3	2	1	1	2	6	2	6	7	10	6	7	12	12	9	10	18	17	12	18	1	1	1	2	2	3	2	3	2	1	1	3	2	2	2	2	2	2	3	1	1	6	4
1000	-205.644515066174108	-204.045923971039713	-1.598591095134408	0.000010088922342	0.000013611441260	1.349147193233780	0.726328403693078	4	8	7	9	10	10	12	11	12	12	12	14	14	15	14	16	18	16	18	20	20	20	25	0	3	1	3	2	1	1	2	6	2	6	7	10	6	7	7	16	9	10	18	17	17	20	1	1	1	1	2	2	3	1	1	2	2	1	1	2	1	3	1	2	2	2	1	1	1
1500	-210.446717638794183	-208.792692120880446	-1.654025517913735	0.000010122932627	0.000015021795414	1.483937112613391	0.647756671175540	4	8	6	8	10	9	11	10	12	12	11	15	14	15	16	17	17	17	19	21	20	21	26	0	3	1	3	2	1	1	2	6	8	6	7	10	6	7	7	12	9	10	18	17	17	20	1	1	1	1	1	2	2	1	1	1	1	2	1	3	2	3	1	2	2	3	1	1	2
2000	-207.598537807872844	-206.139558800779582	-1.458979007093274	0.000010176806871	0.000010088786510	0.991350886166823	0.424225005722207	4	9	7	9	10	10	12	11	12	12	13	14	14	12	15	16	16	16	19	21	18	21	26	0	3	1	3	2	1	1	2	6	2	6	7	10	6	7	7	7	9	10	18	17	17	20	1	2	2	2	1	3	4	1	2	2	1	1	1	1	1	2	2	2	4	3	2	3	3
2500	-212.531169785918848	-210.984170673821012	-1.546999112097845	0.000010228653890	0.000012496301990	1.221695652570818	0.711669274658187	5	8	6	8	9	8	10	9	13	11	11	14	13	15	15	17	16	18	17	20	21	20	26	0	3	1	3	2	1	1	2	11	2	6	7	10	11	7	17	7	9	10	18	22	17	20	1	1	1	1	1	1	2	1	2	2	1	2	1	2	2	1	2	2	2	1	1	2	3
3000	-207.426742880948211	-205.848756036546575	-1.577986844401631	0.000010430247673	0.000013544588067	1.298587386499360	0.522665614538730	4	9	7	10	10	10	11	12	12	11	13	15	14	16	15	16	17	17	17	20	21	20	27	0	3	1	3	2	1	1	5	6	4	6	7	10	11	7	12	12	6	10	18	22	17	20	1	1	1	2	1	3	3	1	1	1	2	2	1	1	2	1	1	2	2	1	1	2	3
3500	-204.267258367019679	-202.816091180563603	-1.451167186456089	0.000010177344763	0.000009864876500	0.969297663612609	0.515746830367813	4	8	6	9	11	10	12	11	12	13	13	14	15	15	15	17	18	17	19	20	21	20	27	0	3	1	3	2	1	1	4	6	8	6	7	10	6	7	7	7	9	10	18	22	17	18	1	1	1	2	1	3	5	1	1	1	1	2	1	3	2	2	3	2	3	2	1	1	5
4000	-206.276985572584294	-204.909070104526137	-1.367915468058152	0.000010682963558	0.000007063428578	0.661186246673986	0.530328337401608	5	9	7	8	11	9	12	10	12	12	12	14	14	14	14	17	17	17	19	20	21	19	26	0	4	1	3	2	1	1	2	6	8	6	7	10	11	7	7	12	9	10	18	22	17	20	1	1	1	1	1	3	2	1	2	1	2	1	1	2	1	2	2	2	3	2	1	1	3
4500	-207.330075798992766	-205.945210564006686	-1.384865234986079	0.000011343648116	0.000008501208259	0.749424538919268	0.630958818891535	5	9	7	9	11	11	12	12	12	12	13	13	15	15	16	15	17	16	18	21	21	20	26	0	3	1	3	2	1	1	2	6	2	6	7	10	11	7	7	7	9	10	18	17	17	20	1	1	1	1	2	4	2	2	1	1	1	1	1	1	2	1	2	2	3	2	2	2	2
