step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111
1	-4630.583496863552682	-4637.438984814511969	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.919017395639815	0	1	2	2	4	3	5	4	6	6	8	7	7	8	9	10	10	10	10	12	12	12	13	13	13	13	13	14	13	15	14	14	15	15	14	17	16	16	17	16	15	15	17	18	19	18	18	18	19	17	18	18	19	20	20	20	21	19	21	20	20	19	21	21	22	20	22	24	22	22	22	22	22	24	23	25	23	23	22	24	26	26	26	24	25	24	27	26	27	27	29	26	27	28	28	29	27	27	28	29	28	31	29	31	31	32	37	38	39	40	40	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	3	3	4	4	4	4	5	5	5	5	5	6	6	6	7	7	7	7	7	7	7	8	7	7	8	8	7	9	8	8	9	8	8	8	9	9	10	9	9	9	10	9	9	9	10	10	10	10	11	10	11	10	10	10	11	11	11	10	11	12	11	11	11	11	11	12	12	13	12	12	11	12	13	13	13	12	13	12	14	13	14	14	15	13	14	14	14	15	14	14	14	15	14	16	15	16	16	16	19	19	20	20	20
500	-1035.635367075271233	-1042.490855026230520	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.202973990959302	-1	0	2	3	2	4	4	3	5	6	7	6	6	8	8	11	10	10	10	11	13	12	13	13	10	12	11	13	12	15	13	13	14	14	15	16	16	13	16	17	12	15	17	18	20	18	18	19	20	18	18	18	18	20	20	21	20	20	20	21	21	18	20	20	23	18	22	24	23	23	23	21	21	24	24	25	23	23	22	25	27	26	26	24	25	22	26	26	26	27	30	25	28	29	28	29	27	26	27	29	29	31	29	31	32	32	37	39	40	41	40	0	1	2	5	1	5	3	1	8	2	7	8	8	7	12	15	15	11	12	25	8	16	18	19	14	14	13	16	19	20	16	14	25	27	28	29	24	25	27	24	27	29	19	15	51	37	14	20	41	40	29	36	13	15	41	41	53	33	29	52	41	19	13	41	41	43	48	33	54	21	37	15	34	38	39	41	41	59	41	47	33	27	13	34	61	13	27	18	27	18	48	72	34	63	25	39	18	86	79	26	58	16	25	7	27	72	49	55	10	53	8	1	1	1	1	2	1	1	2	1	4	2	2	2	2	2	2	1	2	2	1	4	1	2	1	1	2	3	1	1	3	1	3	3	2	1	3	2	2	2	2	1	2	2	4	1	1	6	5	4	1	5	1	6	9	6	5	1	5	4	2	4	4	7	4	6	1	1	5	2	6	4	6	3	7	5	9	8	2	4	4	7	10	8	6	2	9	9	11	13	11	8	1	8	5	8	8	11	3	2	7	7	11	12	15	13	6	11	8	17	12	15
1000	-883.091212060387079	-889.946700011346479	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.284866966357483	-1	1	3	2	4	3	6	4	5	6	8	6	8	9	10	8	11	10	9	12	13	12	14	13	14	12	13	15	13	16	13	15	15	13	15	18	16	15	17	17	15	15	16	18	19	19	16	19	19	16	19	18	20	20	19	21	21	18	20	20	20	20	21	22	22	20	20	24	21	21	21	22	23	23	24	25	23	24	23	24	27	25	26	25	25	25	28	27	27	27	28	23	28	27	28	29	27	28	29	29	26	32	29	32	32	31	37	36	39	39	40	0	1	2	1	4	4	3	4	2	5	8	8	8	11	12	12	12	11	8	18	9	16	26	19	20	14	11	22	19	9	16	20	20	2	22	43	24	25	3	37	21	24	29	33	37	30	25	38	41	29	29	43	15	19	41	27	8	25	50	36	21	19	13	27	49	43	58	30	54	39	45	13	61	26	61	8	27	59	61	47	67	34	56	79	56	27	21	30	11	25	30	61	79	56	80	86	33	85	93	80	80	34	26	34	8	89	63	72	57	75	72	1	2	1	1	1	1	2	1	2	1	2	1	2	1	2	1	2	1	3	1	3	2	1	2	1	2	3	2	3	5	3	1	2	6	2	1	2	1	7	1	1	1	2	2	1	2	1	2	2	2	3	1	5	6	2	5	8	3	3	2	4	4	6	3	2	2	1	5	1	1	1	8	1	6	2	10	5	2	1	4	5	8	3	1	2	6	10	7	9	7	4	1	2	3	2	1	7	2	1	3	1	9	9	12	12	2	8	6	10	7	9
1500	-778.607185761815799	-785.462673712775199	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.404485965312675	0	2	1	1	4	3	5	4	7	6	9	8	6	9	9	10	10	10	11	12	13	12	12	12	12	14	13	15	14	15	14	15	16	15	13	17	16	16	16	16	15	15	17	18	18	19	17	17	18	17	18	19	19	21	20	20	21	20	20	18	20	19	21	22	23	20	21	24	22	22	23	22	20	23	23	26	23	24	20	23	27	27	26	24	25	25	27	27	26	28	29	27	27	26	26	27	27	26	27	30	29	32	30	31	31	31	36	38	39	40	38	0	1	1	1	4	4	3	3	8	5	9	7	3	13	12	9	12	14	12	11	8	12	18	16	18	18	9	15	15	14	15	20	18	13	15	29	24	25	17	19	27	24	42	41	40	37	26	20	33	40	43	36	27	62	49	39	61	48	50	42	44	45	39	53	56	60	58	58	59	61	54	27	49	58	72	34	39	69	34	58	68	39	77	79	21	39	53	95	70	47	80	84	72	21	80	83	58	70	86	80	68	73	80	27	85	82	105	87	87	107	63	1	1	1	1	1	1	2	2	1	1	1	1	3	2	1	2	2	1	2	2	6	2	1	1	1	3	3	3	4	4	2	1	3	4	2	1	2	2	5	2	1	2	1	2	1	2	2	2	1	1	1	2	2	2	1	2	1	2	1	2	1	1	3	2	2	1	1	2	1	1	1	5	1	2	1	5	4	1	2	2	1	7	1	2	5	5	4	1	2	5	3	2	3	5	1	1	4	2	1	3	2	6	4	6	2	2	2	5	7	2	9
2000	-694.740420077445947	-701.595908028405347	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.502799618695646	0	1	2	2	5	4	6	4	6	6	7	7	7	9	9	10	10	10	11	12	11	12	13	13	13	14	13	13	13	16	14	13	16	14	15	16	16	16	15	15	16	15	17	19	17	19	18	19	20	17	19	19	19	20	17	20	20	18	21	20	20	20	20	22	22	21	22	24	23	23	22	19	23	24	23	25	23	23	22	25	26	27	26	24	25	25	26	26	28	28	29	26	27	28	27	30	27	26	29	30	28	30	28	31	32	31	37	37	39	40	41	0	1	1	2	4	4	3	3	8	6	7	8	9	11	12	15	8	14	16	18	9	16	18	19	20	20	9	22	19	20	22	20	20	21	31	42	40	25	27	29	34	29	40	41	37	24	25	20	55	40	36	43	39	19	39	55	34	38	50	51	44	24	44	72	49	60	47	58	59	39	54	21	63	47	57	63	57	59	61	48	67	53	49	34	79	70	73	48	85	88	95	79	85	85	67	83	68	49	82	103	81	87	58	79	73	102	105	102	105	108	105	1	1	1	1	2	1	3	1	1	1	1	2	1	1	1	1	3	1	1	1	2	2	1	1	1	2	3	1	1	2	1	1	2	2	1	1	1	2	2	2	1	1	1	2	1	3	4	4	3	1	2	2	3	5	1	2	3	1	1	1	1	3	1	2	1	1	2	4	2	4	1	3	1	3	2	2	2	1	1	3	2	3	3	5	2	1	2	4	1	1	1	2	2	2	3	2	2	3	1	1	1	2	5	7	4	1	2	5	3	2	4
2500	-650.578425914366449	-657.433913865325849	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.586521848519962	0	1	2	3	1	3	5	3	6	5	9	8	6	7	10	9	10	11	10	12	13	12	13	14	14	14	10	14	13	15	14	14	16	14	15	18	15	17	16	17	14	16	18	18	20	19	18	18	20	18	17	19	18	18	21	19	21	20	20	20	20	19	21	21	22	20	22	24	22	22	23	23	21	25	23	26	22	23	23	24	26	26	26	25	25	25	27	26	26	28	30	25	27	27	28	30	28	28	29	28	29	30	29	31	32	32	37	38	39	40	40	0	1	2	5	1	5	3	3	3	6	7	9	8	7	16	8	12	14	12	18	9	12	18	29	20	20	9	22	19	18	22	20	20	13	28	42	19	25	27	29	9	29	29	39	62	37	25	25	56	29	42	51	34	37	56	53	44	48	50	51	44	54	34	56	49	51	58	58	59	61	45	73	53	67	39	57	53	69	61	58	74	70	77	61	53	79	72	80	79	80	100	79	39	86	88	76	68	89	93	81	88	72	58	93	87	96	105	105	105	107	102	1	1	1	1	1	1	2	1	2	1	2	1	2	1	1	3	1	2	1	1	4	2	1	1	1	1	2	2	2	2	1	1	2	2	1	1	2	1	3	3	4	2	4	1	1	2	2	2	1	3	1	1	1	2	2	1	2	1	1	1	1	1	2	1	1	2	1	2	2	1	1	1	1	2	2	3	2	1	2	2	1	2	2	3	3	1	2	1	1	2	1	1	5	1	1	3	3	2	1	1	2	3	4	2	3	1	2	4	3	1	4
3000	-644.281209456820989	-651.136697407780389	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.565642990257526	0	1	2	2	3	4	5	4	6	6	8	7	7	8	9	8	11	11	11	11	11	12	13	12	13	14	14	13	13	14	15	14	16	16	15	18	16	15	17	16	14	15	17	18	19	18	18	18	20	17	19	19	19	20	21	19	21	19	21	21	20	20	21	20	23	20	22	24	23	23	23	23	21	24	24	25	24	23	22	24	26	26	27	24	26	24	27	27	26	27	27	27	25	29	29	29	26	27	26	28	29	31	28	31	32	32	38	39	39	41	39	0	1	1	2	2	4	3	3	8	6	7	8	8	13	16	9	12	14	16	14	12	12	18	19	20	25	15	22	24	18	22	20	20	21	22	43	24	25	21	29	9	29	42	27	46	37	25	38	56	29	43	43	39	45	39	27	8	38	50	66	34	24	39	53	49	43	58	58	59	55	57	73	53	58	57	73	63	59	61	58	74	79	77	79	79	79	63	97	84	67	74	84	79	86	97	77	80	93	84	80	100	75	68	84	102	87	105	106	102	107	102	1	1	1	1	1	1	2	1	1	2	2	1	2	1	1	1	3	2	2	2	2	3	1	1	1	1	3	1	1	2	1	2	2	2	2	1	2	2	3	2	4	1	1	2	1	1	3	2	1	2	1	1	1	1	3	2	9	1	2	1	2	4	2	1	1	1	2	2	1	1	2	1	1	2	2	2	1	1	1	2	2	2	2	2	2	1	3	1	1	2	2	2	2	3	2	2	1	1	1	2	1	4	2	2	1	3	3	3	5	2	4
3500	-655.457348729057571	-662.312836680016972	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.544376352914834	0	1	3	2	3	4	4	5	6	7	9	7	8	8	10	9	9	10	11	12	13	12	13	13	14	13	12	14	14	15	15	14	15	13	15	17	16	16	17	15	15	14	17	18	20	18	19	18	20	18	16	18	18	19	18	20	21	19	22	20	20	20	21	22	23	19	22	24	22	23	22	23	22	23	24	25	24	23	22	24	26	26	26	23	25	23	28	27	27	25	29	27	26	28	29	28	28	26	29	29	28	32	29	30	30	30	37	38	39	41	39	0	1	1	2	4	5	1	3	8	6	7	9	8	7	12	12	12	11	12	18	8	16	14	15	20	20	16	22	24	18	28	20	26	11	28	42	24	25	27	29	27	24	51	41	24	51	38	25	55	29	42	36	41	50	41	41	13	48	50	43	41	37	53	61	56	51	58	58	50	79	62	44	53	58	72	63	56	69	57	67	47	70	63	79	84	79	76	80	79	74	68	79	79	57	88	83	74	57	89	74	81	72	88	92	87	76	87	102	102	111	107	1	1	1	1	1	1	3	1	1	1	2	1	2	2	2	1	1	1	1	1	3	1	3	1	1	1	1	1	1	2	1	1	2	2	1	2	1	2	3	1	2	1	1	2	4	1	2	2	2	2	1	1	2	1	1	3	8	1	2	2	2	2	2	1	2	1	2	2	2	1	1	3	2	2	1	2	2	1	1	1	3	1	3	1	1	1	2	2	2	1	2	3	2	3	1	1	3	2	1	4	1	3	1	2	1	2	4	3	5	2	1
4000	-638.301290446295070	-645.156778397254470	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.655375807467838	0	1	2	2	3	4	5	4	7	6	7	6	8	9	9	11	10	11	11	12	13	12	12	13	14	14	14	14	14	15	15	15	13	16	15	18	15	16	15	17	16	15	17	18	20	19	17	18	20	16	16	18	20	20	18	21	21	20	21	19	20	18	21	19	22	21	22	24	23	22	22	23	23	24	23	26	24	24	21	23	26	27	26	23	24	25	28	26	26	27	29	27	26	29	28	29	27	28	28	29	28	30	29	31	30	32	37	38	39	40	38	0	1	2	1	4	4	3	3	8	6	7	8	8	11	12	12	15	14	15	18	11	12	18	19	20	33	8	22	19	18	22	33	20	21	22	51	22	25	21	29	13	29	51	27	37	37	25	25	55	29	42	37	34	62	39	55	39	25	50	51	44	37	34	41	56	60	47	58	59	61	54	56	44	80	44	72	72	59	61	58	68	93	72	79	79	70	72	68	85	74	80	85	84	93	97	83	88	89	85	81	81	76	74	98	87	87	105	105	107	111	107	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	2	1	1	1	1	3	3	1	1	1	1	4	1	2	2	1	1	1	2	2	1	2	1	1	1	4	1	1	3	3	2	1	2	2	2	1	2	2	1	1	2	4	2	2	2	2	2	2	1	1	1	2	2	1	2	2	1	2	1	2	2	1	2	1	1	1	1	3	1	2	1	2	1	1	1	2	2	2	1	1	2	1	2	2	1	1	2	2	2	1	1	4	4	2	2	1
4500	-637.439943689946290	-644.295431640905690	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.571638754607263	0	1	2	3	1	4	5	4	6	6	7	7	8	9	9	10	11	10	11	12	13	12	13	13	13	13	12	14	13	12	15	14	15	16	14	18	16	17	17	17	16	15	18	18	19	19	17	17	20	17	17	19	20	20	20	20	21	19	21	20	20	19	22	21	22	21	23	25	22	21	22	23	22	24	24	24	24	23	22	24	26	27	26	24	26	25	27	25	27	28	30	26	27	28	26	28	28	27	28	29	29	31	29	30	32	33	36	38	39	40	37	0	1	1	5	1	5	3	3	8	4	7	7	11	7	12	12	12	14	12	18	13	12	18	19	14	14	16	22	19	18	22	20	20	27	22	42	24	33	27	29	27	19	51	27	37	37	25	30	41	29	42	51	34	62	39	41	21	47	50	51	39	37	44	53	44	60	48	48	59	21	45	73	70	58	72	53	53	59	61	58	80	85	77	79	79	70	63	67	84	80	81	79	79	93	80	83	88	84	85	74	68	76	88	89	102	102	105	107	111	111	105	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	2	2	1	2	1	3	1	1	1	2	2	1	2	1	1	1	1	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	2	3	2	1	2	1	2	1	3	1	2	1	1	2	2	1	2	1	3	7	1	4	2	1	1	2	1	2	2	1	1	2	1	1	1	1	2	2	3	1	2	2	3	1	2	1	1	2	1	2	1	3	2	4	2	1	1	1	1	1	1	2	2
