step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85
1	-1535.763962424535066	-1542.619450375494353	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.270950547094022	-1	1	2	3	4	3	4	5	5	6	8	8	10	8	7	9	9	9	10	10	11	10	10	11	9	11	12	11	10	10	13	12	12	12	12	12	12	13	12	12	16	13	13	13	13	14	14	15	15	15	14	14	15	16	16	16	16	18	20	20	19	23	22	24	24	24	26	26	29	27	29	27	29	28	29	29	28	31	31	30	31	32	34	32	35	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	3	3	3	4	5	5	6	5	4	5	5	5	6	6	6	6	6	6	5	6	7	6	6	6	7	7	7	7	7	7	7	7	7	7	9	7	7	7	7	8	8	8	8	8	8	8	8	9	9	9	9	10	11	11	10	12	12	13	13	13	14	14	15	14	15	14	15	15	15	15	15	16	16	16	16	17	18	17	18
500	-694.250023486035388	-701.105511436994789	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.216128663810197	-1	1	1	3	4	3	4	6	5	6	7	8	10	8	7	9	9	10	10	10	9	11	8	11	10	11	12	8	11	11	13	11	11	12	13	13	12	13	11	13	16	13	14	12	12	13	13	15	15	16	14	14	15	16	15	16	16	18	20	20	19	22	22	24	24	23	25	23	29	28	29	26	30	28	29	29	29	31	32	30	31	32	34	32	36	0	1	1	3	2	3	1	4	3	9	5	11	23	2	1	9	7	28	11	12	3	15	6	4	23	11	23	0	12	28	17	12	13	8	33	22	18	30	10	13	31	3	32	11	21	25	30	29	34	43	47	20	39	27	29	45	48	20	20	32	57	48	60	58	53	46	40	1	0	61	56	31	0	54	27	15	0	68	0	16	60	15	46	68	5	1	1	1	1	1	1	2	1	2	1	1	1	1	3	3	3	2	1	2	1	3	1	3	4	1	2	2	1	1	1	2	1	1	3	1	1	1	1	2	3	2	7	1	3	1	2	1	1	2	1	1	2	2	2	2	2	1	5	5	3	1	5	1	4	5	4	5	13	1	5	6	6	1	11	9	10	1	6	1	13	5	16	9	6	19
1000	-645.669616458216296	-652.525104409175697	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.311166476745878	0	2	1	3	5	4	5	5	4	6	8	8	10	8	6	8	10	9	10	10	12	10	10	11	9	12	11	8	9	10	13	12	12	13	12	13	12	14	13	12	16	13	13	14	14	14	15	14	16	15	14	15	15	16	17	16	14	17	19	18	20	22	22	24	24	23	27	27	29	26	29	28	29	27	29	29	28	32	31	31	31	29	34	32	34	0	1	1	2	2	2	3	1	3	4	15	8	2	7	1	5	28	28	10	12	4	29	28	10	10	13	25	0	4	28	16	12	29	13	23	22	18	35	10	2	39	16	20	43	26	6	39	37	38	16	14	21	32	36	52	23	12	43	20	9	23	50	30	46	17	16	61	18	0	52	5	20	0	56	62	12	0	77	0	60	53	67	31	29	56	1	1	1	1	1	1	2	2	1	1	1	2	3	1	4	1	1	1	3	1	4	1	1	4	2	1	1	1	3	1	3	3	2	2	1	1	2	1	4	5	1	2	2	1	2	6	1	1	2	5	3	2	2	2	2	4	4	2	5	6	4	3	7	5	8	7	3	7	1	8	11	11	1	4	4	11	1	4	1	8	9	1	13	16	10
1500	-552.030144816686970	-558.885632767646371	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.325602863068242	-1	1	3	3	5	4	4	5	6	7	7	8	10	9	7	9	9	10	11	10	10	11	9	11	9	12	11	8	11	9	13	12	12	13	11	13	12	14	12	13	17	13	13	12	13	14	14	15	15	14	14	15	14	16	15	16	16	19	20	20	20	22	23	24	24	22	25	27	28	26	30	27	30	26	29	27	29	31	31	29	31	32	34	32	35	0	1	1	2	3	1	3	1	3	9	4	3	11	5	5	1	1	28	10	12	9	21	11	13	10	23	28	0	17	9	28	12	18	21	30	22	18	32	29	5	25	21	32	1	24	30	35	21	21	21	21	12	43	37	43	3	46	20	12	34	17	32	52	16	44	38	66	58	0	23	80	58	0	23	72	47	0	77	0	46	45	77	27	67	77	1	1	2	1	2	3	1	3	1	1	2	2	2	2	1	4	4	1	3	1	2	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	3	4	2	1	7	2	2	1	2	3	2	2	4	1	2	1	6	2	5	5	5	5	5	4	7	5	3	2	5	1	8	1	4	1	7	1	6	1	2	1	8	10	1	12	4	4
2000	-516.876049807714367	-523.731537758673767	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.544079029749627	-1	1	2	3	4	3	4	4	6	6	7	8	10	8	7	9	10	10	10	11	10	11	10	12	8	11	12	8	10	10	12	12	12	12	12	12	12	13	13	12	14	13	14	14	13	14	13	15	14	14	12	13	14	16	15	16	17	18	20	19	18	22	21	24	24	24	26	25	28	28	28	27	30	29	30	29	28	32	31	31	30	32	34	32	35	0	1	1	1	2	2	2	2	8	4	6	8	14	10	7	4	8	28	25	12	15	8	9	21	10	30	17	0	16	14	18	20	10	16	18	13	28	13	19	29	26	21	51	47	51	20	22	32	21	5	9	20	36	30	23	48	55	43	58	35	56	55	58	12	62	62	61	59	0	67	67	63	0	50	70	72	0	77	0	9	63	80	78	64	78	1	1	1	3	2	1	1	1	1	2	2	2	2	1	1	3	2	1	1	2	1	4	2	1	2	1	1	1	1	1	1	1	4	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	3	5	3	1	2	3	2	1	1	1	1	3	1	3	2	6	1	1	3	2	1	1	2	2	1	13	2	1	1	1	1	13	3	1	1	3	2
2500	-506.287709953129479	-513.143197904088879	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.507397373328113	-1	1	2	3	4	3	5	5	5	7	8	7	9	9	7	9	8	9	11	9	10	9	11	11	9	9	13	11	9	10	14	12	13	12	13	12	13	13	11	12	16	13	14	13	14	14	15	14	15	14	15	14	16	17	14	16	16	17	20	20	20	23	22	25	23	24	26	26	30	27	29	26	30	27	28	30	28	31	31	30	31	30	34	32	36	0	1	1	2	2	1	6	5	5	5	3	9	3	9	6	3	12	5	10	12	3	10	30	8	10	10	16	0	4	20	14	17	28	21	32	22	28	32	10	11	31	24	20	39	16	35	35	27	34	33	42	20	45	40	32	26	20	35	43	23	53	59	48	60	60	62	31	65	0	65	64	65	0	35	72	72	0	77	0	54	77	77	79	80	77	1	1	1	1	2	2	1	1	1	2	3	1	2	3	2	3	1	3	2	1	3	1	1	3	1	1	3	1	3	1	3	3	1	1	1	2	1	1	2	2	1	1	2	1	2	1	1	1	2	1	1	2	1	4	1	4	4	2	4	5	1	2	5	2	1	1	5	1	1	2	2	2	1	5	1	2	1	2	1	4	2	1	2	1	4
3000	-393.539023198498114	-400.394511149457514	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.883768509733760	-1	1	1	4	4	2	4	5	5	6	6	9	10	8	8	8	9	10	10	11	11	9	10	8	8	10	13	11	10	10	14	12	13	12	11	12	11	14	12	12	16	13	13	14	13	14	15	15	14	16	14	14	15	16	16	16	15	17	20	20	19	22	23	25	24	24	26	26	29	27	30	28	28	29	29	30	28	30	30	29	31	32	32	32	35	0	1	1	6	2	1	1	5	4	8	7	24	8	11	10	8	8	8	16	12	15	11	16	9	9	25	21	0	12	15	21	20	37	17	18	30	18	33	19	15	26	23	20	40	37	35	43	33	34	31	36	43	42	27	20	49	40	12	61	55	55	61	62	63	59	62	66	65	0	64	75	70	0	73	72	70	0	77	0	73	76	78	75	80	77	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	4	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	2	5	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
3500	-420.408204730605235	-427.263692681564635	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.708797404433072	-1	1	1	2	3	2	4	6	5	7	7	9	11	8	7	8	8	10	11	11	11	9	10	11	9	9	13	11	9	11	13	12	13	10	12	11	13	11	12	13	17	12	11	13	14	14	15	14	14	15	13	14	15	15	16	14	15	17	20	21	19	22	23	25	24	24	25	25	29	28	27	28	29	29	30	30	27	32	32	31	31	32	35	32	34	0	1	1	3	3	3	2	5	5	8	9	15	15	7	9	15	11	16	10	34	22	15	8	14	10	10	28	0	15	29	28	20	29	8	18	22	18	12	19	21	56	15	12	38	21	19	37	40	16	40	21	43	51	27	12	24	43	49	20	57	28	59	62	66	43	62	63	65	0	68	63	63	0	77	70	72	0	81	0	73	74	81	84	80	81	1	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	1	2	2	1	1	1	2	3	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	3	3	1	1	1	1	1	1	3	1	1	1	1	1	3	2	2	1	4	3	4	1	1	1	6	1	1	1	1	1	2	3	1	1	1	1	1	1	1	2	1	1	1	1	1
4000	-475.836722576752095	-482.692210527711495	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.559422579865085	-3	1	2	4	4	2	5	6	4	7	7	9	11	8	7	9	9	8	11	10	10	10	11	12	8	11	9	11	10	9	13	11	13	10	12	12	12	13	13	13	16	14	13	13	14	14	14	15	15	16	14	12	14	17	16	16	14	19	20	19	17	23	21	21	23	24	24	27	29	26	29	25	28	29	30	29	28	31	31	30	31	33	34	33	35	0	1	1	6	1	1	9	4	2	4	6	8	3	7	4	5	14	8	4	12	17	6	16	21	10	25	8	0	14	25	32	12	7	27	30	21	18	13	19	34	48	38	20	27	44	16	11	39	44	53	5	12	24	44	43	49	35	20	43	49	47	55	58	47	64	41	59	54	0	72	62	58	0	77	76	46	0	74	0	73	66	78	81	80	78	1	2	2	1	2	2	1	1	2	1	2	2	5	1	2	2	1	1	2	1	1	3	2	1	1	2	1	1	1	1	1	1	4	1	1	1	2	1	2	1	1	1	1	2	1	2	3	1	1	1	4	1	1	3	2	1	1	6	3	2	1	4	1	3	1	3	1	4	1	1	4	2	1	1	1	7	1	1	1	1	3	1	2	2	2
4500	-404.640010512423316	-411.495498463382717	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.802436698985181	-1	1	2	4	2	4	4	6	6	7	8	8	10	8	8	8	10	10	11	10	11	9	9	12	10	12	12	10	11	11	10	10	12	12	12	12	11	13	13	12	15	14	12	13	14	14	13	16	14	16	14	14	16	14	15	16	16	18	20	21	18	23	22	24	24	24	25	26	28	27	29	26	28	29	30	29	28	31	31	30	29	33	34	32	33	0	1	1	3	2	5	3	4	2	4	9	4	11	8	10	9	10	9	10	12	23	16	11	13	11	25	28	0	22	14	15	12	30	16	13	29	18	22	19	12	26	40	20	21	39	40	23	41	40	52	34	43	45	33	35	43	55	54	8	48	48	60	58	60	62	60	60	64	0	72	73	58	0	77	77	70	0	75	0	73	65	78	85	80	75	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	2	1	2	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	6	2	1	1	2	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1
