step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20
5000	-68.304099526528830	-75.159587477488202	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.873343224353874	0	2	4	5	7	8	12	10	10	10	11	11	9	11	13	16	15	14	17	19	0	1	1	3	2	2	9	6	5	6	13	6	5	6	14	15	10	7	16	19	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5500	-65.051400227382572	-71.906888178341944	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.832291989415968	0	2	4	5	7	8	11	10	11	9	10	11	12	13	13	15	14	16	18	18	0	1	2	2	4	5	11	6	10	5	6	8	8	12	10	13	15	17	18	17	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	3
6000	-87.822200571913598	-94.677688522872970	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.421900630250275	-3	1	3	5	7	9	12	11	11	10	9	11	10	14	13	15	16	16	15	19	0	1	2	3	4	5	6	6	10	4	1	5	5	6	8	7	12	10	9	12	1	1	2	1	1	1	1	1	1	2	5	3	2	3	1	2	3	3	2	3
6500	-59.288497364076889	-66.143985315036261	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.867671815160411	-1	1	4	6	5	8	13	9	10	11	10	11	12	14	13	15	16	15	17	19	0	1	1	3	2	4	10	4	4	6	6	9	11	12	12	15	18	9	13	19	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1
7000	-71.332602089072694	-78.188090040032066	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.834287637543817	-1	1	3	5	6	8	10	10	10	10	9	11	12	14	12	15	15	13	17	19	0	1	1	3	3	5	11	11	6	11	6	4	11	15	6	9	15	12	14	17	1	1	1	1	2	1	1	1	1	1	1	3	1	1	2	1	1	1	2	2
7500	-61.219639127827108	-68.075127078786480	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.887417917426405	0	2	5	5	7	8	12	9	10	10	10	11	10	14	13	15	16	13	18	20	0	1	2	2	4	3	11	5	8	8	8	11	1	7	9	18	14	7	17	19	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1
8000	-55.055407301212114	-61.910895252171485	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.874010891881560	-1	1	3	5	6	8	12	9	10	11	10	11	12	12	14	15	16	14	17	18	0	1	2	3	2	4	11	6	5	8	6	8	11	9	7	15	18	7	17	17	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
8500	-61.719488585698500	-68.574976536657871	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.868701943133887	0	2	4	5	6	6	12	9	9	11	9	11	10	14	13	15	16	15	17	19	0	1	2	2	3	3	9	4	4	8	5	9	11	10	7	15	14	15	17	16	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2
9000	-63.944046694798629	-70.799534645758001	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.959447896858071	-1	2	4	6	4	9	12	11	8	10	10	11	11	13	13	15	16	16	17	17	0	1	2	3	2	9	6	6	4	9	9	5	6	8	7	15	16	16	13	16	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1
9500	-78.351979390051511	-85.207467341010883	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.619013026091848	-1	1	3	5	5	8	13	9	10	10	10	12	12	13	12	16	16	15	17	19	0	1	1	3	3	2	13	6	6	1	6	11	9	15	1	18	14	7	11	19	1	1	1	1	1	2	1	1	1	4	1	1	2	1	8	1	1	1	3	1
10000	-65.386298030583276	-72.241785981542648	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.727284402901352	0	1	4	4	6	8	12	11	10	10	10	11	11	12	13	15	16	15	17	18	0	1	1	2	3	4	9	11	4	5	6	9	11	10	12	9	15	13	17	17	1	1	2	1	1	1	1	1	3	1	1	1	1	1	1	3	1	1	1	1
10500	-77.784794873073480	-84.640282824032852	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.647325944870284	0	2	4	5	6	8	12	10	9	11	9	12	12	14	14	16	17	15	17	19	0	1	1	2	4	4	5	9	3	11	6	5	10	12	12	18	5	14	14	19	1	2	3	2	1	1	3	1	2	1	1	2	1	1	1	1	6	1	2	1
11000	-70.339926617689173	-77.195414568648545	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.799767567922791	-1	2	4	6	7	8	10	10	9	9	10	11	12	12	13	14	17	16	18	20	0	1	1	3	4	5	10	9	5	6	4	5	11	7	14	9	16	16	18	18	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	3	1	1	1	2
11500	-77.058020134112894	-83.913508085072266	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.820761568757937	-1	1	3	5	6	8	12	9	11	10	10	11	11	14	10	15	16	15	17	18	0	1	2	3	3	4	13	4	10	6	6	2	11	7	6	11	18	12	18	16	1	1	1	1	1	1	1	1	1	1	1	4	1	2	1	1	1	1	1	2
12000	-58.586055346002809	-65.441543296962180	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.959521212615754	0	1	4	5	6	8	12	9	10	11	10	12	12	13	14	14	17	16	18	20	0	1	1	3	2	5	10	6	8	11	6	9	11	7	7	12	18	16	17	17	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
12500	-55.677391213774534	-62.532879164733906	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.977936384675673	-1	2	4	6	7	8	13	11	9	9	9	12	10	14	13	15	16	15	17	17	0	1	2	3	2	4	8	10	5	5	6	8	6	12	8	7	18	15	18	18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
13000	-82.281476407553328	-89.136964358512699	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.570764668620779	0	1	3	5	6	8	12	10	11	11	7	11	10	13	13	15	17	15	15	18	0	1	2	1	3	5	8	6	6	6	5	6	4	10	6	14	14	12	5	8	1	1	1	2	1	1	2	1	1	1	1	1	2	1	3	1	2	2	4	3
13500	-53.636027903821031	-60.491515854780403	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.947556704623684	0	2	4	4	7	8	12	10	11	10	9	11	11	12	13	15	16	14	17	19	0	1	2	2	3	4	13	6	10	11	5	10	11	8	12	18	18	7	16	16	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2
14000	-67.473315099534446	-74.328803050493818	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.676167544592770	0	2	4	6	6	8	12	10	11	11	9	11	11	14	13	15	15	15	18	17	0	1	2	2	2	4	8	6	4	11	6	6	11	9	12	15	9	11	18	16	1	1	1	2	2	1	1	1	2	1	1	1	1	2	1	2	2	3	1	1
14500	-57.212566194332197	-64.068054145291569	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.891738309938566	0	2	4	5	6	8	12	10	10	10	9	11	11	13	13	14	16	15	18	19	0	1	2	3	2	5	5	6	4	6	6	10	11	10	8	14	16	14	18	19	1	1	1	1	2	1	3	1	2	1	1	1	1	1	1	1	1	1	1	1
15000	-87.917286986369945	-94.772774937329316	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.413951622535443	-1	1	4	5	6	7	10	11	10	9	11	10	11	11	12	16	16	15	16	19	0	1	1	2	4	4	10	6	6	6	10	3	12	9	9	9	13	8	5	8	1	1	2	2	1	1	1	2	1	1	1	3	1	1	1	5	2	3	4	4
15500	-56.079111471012006	-62.934599421971377	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.963015703847789	0	2	3	4	6	7	11	10	10	9	10	11	12	14	13	14	15	15	17	19	0	1	1	3	4	5	10	10	5	6	6	9	7	15	9	13	15	16	17	19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
16000	-79.947896021186864	-86.803383972146236	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.667791574839908	0	2	4	5	7	8	13	11	9	10	11	10	12	13	12	16	15	14	17	20	0	1	1	3	4	4	6	4	5	5	10	2	8	15	9	15	10	6	18	19	1	1	2	1	1	2	2	3	1	1	1	4	1	1	1	1	2	3	1	1
16500	-63.426798657000248	-70.282286607959620	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.698169632364038	0	2	5	4	6	8	12	9	9	10	11	11	11	13	12	15	16	15	16	19	0	1	1	1	4	5	13	5	4	8	10	10	10	6	9	12	8	7	8	19	1	1	2	1	1	1	1	1	2	1	1	1	1	2	2	2	3	2	3	1
17000	-63.418229034771713	-70.273716985731085	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.967519872348424	-1	2	4	5	6	8	12	11	10	10	11	10	10	13	14	15	16	16	17	19	0	1	2	2	3	4	13	12	3	4	9	6	6	8	7	10	15	15	15	19	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1
17500	-63.331264717995595	-70.186752668954966	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.960669115593276	0	2	2	4	6	8	12	10	11	9	11	11	10	13	14	14	17	15	16	19	0	1	1	2	4	5	9	10	6	6	13	10	6	8	9	9	19	7	16	18	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	2
18000	-58.017340179799220	-64.872828130758592	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.943706697372898	-1	1	4	6	7	8	12	10	9	8	10	11	11	13	12	16	15	16	17	18	0	1	1	3	3	4	13	10	4	5	6	9	11	8	9	14	14	14	17	16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
18500	-58.999134536495745	-65.854622487455117	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.906699937759008	0	2	4	4	6	8	12	9	10	10	11	12	11	12	14	15	17	14	16	19	0	1	2	2	3	5	6	5	5	6	9	11	10	8	14	12	16	7	18	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
19000	-51.140216124342658	-57.995704075302029	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.833706152224001	0	2	4	6	5	8	13	11	10	10	10	11	11	14	13	15	16	14	17	18	0	1	2	5	3	4	13	9	6	6	6	9	11	12	9	7	18	7	14	17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
