step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	Tinf_113	Tinf_114	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	alpha_113	alpha_114	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112	kappa_113	kappa_114
1	-10088.946632758892520	-10087.484550674373168	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.616583634475419	0	0	3	3	2	5	4	3	5	4	5	5	5	7	6	7	8	6	7	8	7	8	8	9	7	9	9	8	9	10	9	10	9	10	13	11	11	11	10	11	11	11	12	12	11	12	11	12	12	16	14	12	13	12	15	13	13	13	14	13	16	16	16	15	14	14	14	16	14	16	17	16	16	16	18	16	16	15	16	17	18	18	17	17	17	17	17	18	18	17	17	19	17	18	18	18	20	19	19	18	20	19	19	21	20	20	20	20	20	20	20	22	22	22	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	3	2	2	3	2	3	3	3	4	3	4	4	3	4	4	4	4	4	5	4	5	5	4	5	5	5	5	5	5	7	6	6	6	5	6	6	6	6	6	6	6	6	6	6	8	7	6	7	6	8	7	7	7	7	7	8	8	8	8	7	7	7	8	7	8	9	8	8	8	9	8	8	8	8	9	9	9	9	9	9	9	9	9	9	9	9	10	9	9	9	9	10	10	10	9	10	10	10	11	10	10	10	10	10	10	10	11	11	11
500	-1917.269831818604644	-1913.802645811510274	-3.467186007094271	0.000010021827421	0.000074282524092	7.412073764099536	0.216994380880042	-1	-2	3	3	3	4	1	1	6	4	3	6	3	7	7	4	8	4	7	5	5	5	9	8	4	9	8	6	9	9	9	7	9	7	12	11	12	11	7	11	9	11	11	10	8	9	8	11	12	16	14	12	13	12	16	12	14	13	15	14	16	15	16	15	13	13	15	16	15	17	18	17	16	17	19	17	17	16	17	18	17	18	18	16	18	17	18	18	18	17	17	20	18	19	19	18	20	18	19	18	20	19	20	22	19	20	21	21	20	20	21	20	22	23	0	0	1	2	0	2	2	2	7	8	8	21	8	6	10	11	12	8	13	11	18	13	6	19	13	16	16	16	39	22	34	18	11	25	22	45	28	28	18	29	47	31	27	22	25	28	34	25	33	22	35	39	34	48	32	41	20	45	37	53	11	29	46	49	22	35	40	39	37	47	54	56	58	36	46	46	65	44	39	22	62	39	46	52	46	39	47	47	41	45	46	46	22	39	54	47	65	65	40	39	39	39	39	39	46	67	56	41	54	41	50	52	47	41	1	1	2	2	1	3	2	2	3	2	1	1	1	2	1	1	1	2	2	2	1	1	4	1	1	2	2	1	1	2	2	2	4	1	3	2	5	3	2	2	1	2	2	4	3	2	1	6	3	7	1	3	5	1	7	2	6	3	3	1	9	4	4	3	4	1	2	8	2	4	6	4	2	4	8	5	3	5	7	11	1	6	6	1	5	6	10	5	9	4	4	10	9	12	4	9	7	2	5	5	7	6	9	11	5	3	8	10	4	6	4	5	12	10
1000	-1543.482068821307848	-1540.135582777658328	-3.346486043649439	0.000010031233552	0.000069007912256	6.879304713199742	0.326009505567650	0	-1	4	3	2	4	5	2	6	5	4	5	4	8	6	6	9	4	7	9	6	6	7	9	6	8	9	7	8	10	9	10	10	7	13	11	11	11	7	11	10	10	13	9	9	10	8	11	13	15	14	12	13	12	16	11	13	13	14	14	17	15	16	15	11	15	13	16	13	15	18	15	16	17	19	16	16	14	15	18	18	19	18	17	18	18	18	16	19	17	16	20	18	19	18	19	20	18	20	18	20	19	20	22	20	20	21	20	20	20	19	22	23	22	0	0	1	2	0	2	4	2	7	8	8	18	8	23	10	11	12	8	25	11	12	13	6	19	13	16	16	16	39	22	34	18	11	25	22	45	28	28	21	39	47	34	27	22	25	28	34	42	33	22	44	40	48	48	32	41	27	45	46	48	33	40	46	49	22	78	52	39	46	47	54	56	58	45	59	37	50	65	67	22	68	40	46	79	76	67	47	47	56	45	46	46	65	29	54	56	65	78	52	62	40	40	86	52	85	68	56	47	54	56	93	101	56	41	1	1	2	2	1	2	1	3	1	2	1	1	1	1	1	1	3	2	1	3	1	1	1	1	2	1	2	1	1	2	1	3	4	1	4	1	2	2	1	2	1	2	2	1	1	1	1	1	2	7	3	1	2	1	3	1	2	2	3	2	6	2	3	1	2	1	1	7	2	3	5	2	1	3	5	4	1	2	2	10	1	4	3	1	2	2	9	4	6	4	2	9	6	10	3	6	7	2	3	2	6	4	1	9	1	2	8	9	4	4	1	1	10	7
1500	-1357.655906514787603	-1354.772071431521908	-2.883835083265743	0.000010005912216	0.000050515361177	5.048551305022362	0.408206456789153	0	-1	3	3	2	3	4	2	6	4	6	6	4	7	7	7	8	5	6	8	8	7	9	9	7	9	9	8	9	10	9	9	9	8	12	11	10	10	8	11	10	10	13	13	11	9	9	11	12	16	14	10	14	13	15	11	13	13	13	14	17	15	16	15	11	15	14	16	14	16	17	15	15	17	18	16	16	14	15	18	16	19	18	16	18	17	18	17	18	17	16	19	15	18	18	16	21	19	18	17	21	18	20	22	20	21	21	21	21	20	20	22	23	23	0	0	1	2	0	2	2	2	7	8	8	18	8	6	10	11	12	8	13	11	12	13	14	19	19	16	16	16	39	22	34	18	20	25	22	25	28	28	12	39	47	31	27	22	25	28	34	42	33	35	35	39	48	48	32	41	27	45	46	48	49	40	46	49	22	78	52	52	59	47	54	56	58	45	59	46	93	65	67	22	52	100	76	67	76	67	47	47	56	45	59	46	65	52	54	56	93	78	81	62	82	81	67	52	85	94	56	47	95	72	50	101	96	96	1	1	2	2	1	2	3	1	1	1	2	1	1	3	2	1	1	2	1	2	2	1	1	2	1	2	1	1	1	1	1	2	1	1	3	2	2	1	1	2	1	1	2	2	2	1	1	1	2	2	2	2	2	1	4	1	2	1	2	3	4	2	2	1	1	1	3	5	1	4	4	2	1	4	3	4	1	2	1	9	4	1	1	1	1	2	6	6	4	3	3	8	3	4	3	3	4	3	1	1	2	1	3	8	1	2	7	9	2	4	2	1	6	5
2000	-1250.789796334024459	-1247.567967390091326	-3.221828943933150	0.000010136675908	0.000064406772318	6.353835606817853	0.528813997113636	-1	1	4	3	3	5	4	3	5	4	5	5	5	6	6	6	9	7	7	8	7	7	8	9	7	10	9	8	10	10	9	10	9	8	11	11	11	11	10	11	11	10	11	12	11	10	10	11	12	15	15	12	13	13	15	13	13	14	14	14	15	16	17	15	14	15	14	16	15	16	18	16	17	17	18	15	16	12	15	17	19	18	17	17	17	16	18	18	18	17	18	20	18	18	17	15	21	19	19	18	20	18	19	21	21	20	20	20	21	20	20	22	22	23	0	0	1	2	0	2	2	2	7	8	8	8	8	6	10	11	12	12	13	11	12	13	14	19	13	16	16	16	21	22	34	18	20	25	22	25	28	28	12	29	47	31	27	35	25	28	31	42	33	65	35	39	48	48	32	41	43	45	46	48	49	40	46	49	35	78	52	52	59	47	54	56	58	45	59	46	65	35	52	22	67	62	46	67	76	39	47	47	72	45	59	46	77	67	54	56	77	66	68	62	82	79	86	39	85	81	96	47	95	72	93	101	96	96	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	2	2	1	2	2	1	2	1	1	3	2	2	2	2	1	1	1	1	1	3	1	1	1	2	1	2	1	1	2	3	1	1	1	2	2	1	3	3	1	2	2	1	2	1	3	4	2	2	3	3	2	1	1	2	7	3	2	3	2	1	2	6	4	1	3	2	8	1	2	2	2	3	2	2	1	1	2	2	8	2	1	5	7	3	4	1	1	5	6
2500	-1206.728598506352455	-1203.850063471236808	-2.878535035115669	0.000010400682907	0.000052309265030	5.029406770544938	0.554329678772270	1	0	2	2	3	4	4	2	6	4	5	5	5	7	6	7	8	7	6	8	7	7	8	10	7	10	9	8	9	10	9	9	9	8	11	11	11	11	11	11	12	11	13	13	10	11	10	12	12	17	13	12	13	13	15	14	14	14	12	13	17	15	16	16	14	15	11	16	15	14	15	15	16	16	18	14	15	14	16	18	19	18	18	14	18	18	17	19	17	18	16	20	17	18	18	17	20	19	20	19	19	18	20	22	20	20	20	21	20	21	20	22	23	23	0	0	1	2	0	2	2	2	7	8	8	8	8	6	10	11	12	12	13	11	12	13	14	19	19	16	16	16	21	22	34	12	20	25	22	45	28	28	29	29	47	31	27	35	25	28	31	42	33	65	35	29	48	48	32	41	43	45	46	48	49	40	46	49	44	78	29	52	59	47	54	56	58	45	59	46	65	44	67	22	79	62	46	67	76	79	70	70	72	74	59	59	77	79	54	72	77	78	68	82	82	84	79	67	85	94	72	47	95	89	77	101	107	96	1	1	1	2	1	2	2	1	1	2	2	2	2	1	1	1	2	1	1	3	1	1	1	2	1	1	1	1	1	2	1	2	1	1	1	1	2	1	2	2	1	1	3	2	2	2	1	1	1	2	1	1	1	1	3	1	1	2	1	1	3	2	2	2	1	1	1	3	2	2	1	1	1	3	3	2	1	1	2	7	2	1	3	2	2	1	3	3	2	1	2	7	1	1	2	1	3	2	2	1	1	2	3	9	1	1	3	7	1	2	2	2	2	5
3000	-1086.867883755626735	-1084.236910484726877	-2.630973270899902	0.000010795609429	0.000045101812338	4.177792151215273	0.668601624305344	0	1	3	4	2	4	4	3	5	4	4	5	5	6	5	7	8	7	7	7	7	8	8	8	7	10	10	9	9	10	10	10	9	9	10	11	11	11	10	12	11	11	12	11	10	12	10	12	13	16	14	13	13	13	15	14	14	13	13	14	16	16	16	14	12	15	12	16	15	13	16	15	16	16	17	14	16	14	15	17	19	18	17	18	17	17	17	18	18	17	17	20	18	18	18	18	18	20	19	19	19	20	20	21	19	20	19	19	20	21	20	22	22	22	0	0	1	2	0	2	2	2	7	8	8	8	8	6	10	11	21	12	13	11	12	13	14	19	13	16	16	16	21	22	34	18	11	25	22	45	28	28	29	29	47	31	27	35	25	37	34	42	33	65	35	67	48	48	32	41	43	45	46	48	49	40	46	49	22	78	39	52	59	47	54	56	58	58	59	46	65	65	67	35	52	62	63	79	76	79	70	70	72	74	59	59	77	79	71	72	77	66	79	82	82	84	86	40	85	94	96	87	95	96	97	101	107	72	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	2	1	1	1	2	1	1	2	1	1	2	3	3	1	3	1	1	2	1	2	1	1	1	2	2	1	3	2	2	3	4	1	1	1	2	1	2	3	2	1	2	5	1	2	2	1	1	2	2	1	1	1	2	6	1	1	1	1	1	1	1	2	2	5
3500	-1060.878660071643935	-1058.277725596212576	-2.600934475431349	0.000011001504667	0.000044885521918	4.079943905596803	0.667463822441842	-2	0	3	3	1	5	4	2	5	5	5	4	5	7	6	7	7	6	6	7	6	9	8	8	7	10	9	8	9	11	10	10	9	9	12	10	11	11	11	12	12	11	12	13	9	12	11	12	13	16	13	12	14	13	15	13	14	13	13	13	17	16	16	15	11	15	14	17	15	15	17	16	15	16	18	14	17	13	16	17	19	18	18	16	17	18	16	19	19	18	17	20	18	18	18	18	19	19	18	19	20	18	19	21	21	21	19	19	21	19	21	23	22	22	0	0	1	2	0	2	2	2	7	8	8	8	8	6	10	11	12	12	13	11	12	13	14	19	19	16	16	16	21	22	34	18	20	25	22	45	28	28	29	39	47	31	27	35	25	37	31	42	33	65	35	39	48	48	32	41	43	45	46	48	49	29	46	49	22	78	52	52	59	47	54	56	58	58	91	46	65	65	52	51	68	62	63	67	76	84	70	70	56	74	59	59	77	84	71	72	77	66	68	82	82	79	79	94	85	94	96	87	95	96	97	101	107	107	1	1	2	2	1	2	2	1	1	2	3	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	2	1	2	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	2	1	2	2	1	1	3	2	3	1	1	2	1	2	1	2	2	2	1	1	1	1	2	1	3	2	1	1	1	1	2	1	1	2	3	1	3	5	1	1	1	2	1	2	1	1	1	2	2	2	1	2	1	2	2	1	1	1	2	2
4000	-988.367534389605680	-985.450182783535752	-2.917351606069888	0.000012161350921	0.000062880667650	5.170533114375141	0.699535252217017	1	-1	3	3	3	5	4	3	5	4	4	4	5	7	7	6	8	6	6	8	6	8	7	9	7	9	10	9	8	10	10	10	9	9	11	11	11	12	11	11	12	11	12	12	9	12	11	12	13	16	15	13	13	13	15	13	13	13	13	14	17	16	13	15	14	15	14	15	14	16	17	15	16	16	18	14	16	13	15	16	18	18	15	17	16	17	18	18	17	17	18	19	18	18	18	19	18	19	19	19	20	19	20	22	21	21	19	20	20	21	20	22	23	22	0	0	1	2	0	4	2	2	7	8	8	8	8	6	10	11	12	12	13	11	12	13	6	19	19	16	16	16	21	22	34	18	20	25	22	45	28	28	29	29	47	31	27	35	25	37	31	42	33	65	35	40	48	48	32	41	43	45	46	48	49	67	46	49	22	78	29	52	59	47	54	56	58	58	59	63	65	35	52	51	67	62	63	79	76	79	70	70	72	74	59	59	77	67	71	72	77	66	81	82	82	84	86	94	85	94	89	87	95	96	97	101	107	107	1	1	1	2	1	1	3	2	1	1	1	1	1	1	2	1	2	2	1	2	1	1	1	1	1	1	2	1	2	1	1	2	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	1	2	1	1	2	1	1	1	3	1	2	1	1	2	2	1	2	2	3	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	4	1	2	1	2	1	2	1	1	1	1	2	2	2	1	1	1	2	1	1	1	2	2
4500	-974.983532634681296	-972.474451645436716	-2.509080989244629	0.000016781933570	0.000063565949305	3.787760751064549	0.673890547743094	-1	1	2	4	1	3	3	3	5	4	5	5	4	7	5	7	8	6	5	7	7	8	9	9	6	9	10	8	9	9	9	10	9	8	11	11	10	11	10	12	12	10	12	12	9	13	11	11	13	15	14	11	13	13	14	13	14	13	14	14	16	16	15	16	12	15	14	16	15	16	16	14	17	16	17	16	15	14	16	18	18	18	18	18	17	16	18	19	18	17	18	20	17	18	19	18	18	19	19	19	20	20	19	21	20	20	20	21	20	21	21	22	23	22	0	0	1	2	0	2	2	2	7	8	8	8	8	6	10	11	12	12	13	11	12	13	14	19	19	16	26	16	12	22	34	18	20	25	22	45	28	28	29	39	47	31	27	35	25	37	31	42	33	65	35	29	48	48	32	41	43	45	46	48	49	39	46	49	35	78	52	52	59	47	54	56	58	45	59	63	65	65	67	51	52	62	63	67	76	67	70	70	72	74	59	91	77	68	71	72	77	66	68	82	82	81	86	79	85	84	96	87	71	96	97	101	107	107	1	1	2	1	1	1	1	1	2	1	1	2	1	2	1	2	2	1	1	1	1	2	1	2	1	2	1	1	2	1	1	3	1	1	1	1	2	1	1	2	1	1	1	1	2	2	1	1	2	1	2	1	1	1	1	1	1	2	1	2	2	2	1	2	1	1	2	2	1	2	2	1	2	2	2	1	1	1	1	2	4	1	2	3	1	1	1	2	2	1	1	2	1	1	1	2	2	2	2	1	1	1	2	4	2	1	1	2	3	1	2	1	2	1
