step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10
1	-284.927218546395750	-283.465136461876853	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.525488486033139	2	5	9	9	14	18	19	23	25	27	0	1	1	1	1	1	1	1	1	1	1	2	4	4	6	8	9	11	12	13
500	-71.361075611406818	-68.505107774167897	-2.855967837238915	0.000010023280159	0.000049598500135	4.948330221970036	0.492940087108607	2	4	8	10	15	19	19	24	25	26	0	1	2	3	4	5	5	5	6	6	1	1	2	1	2	2	2	4	3	2
1000	-65.811126423835461	-62.033511887332480	-3.777614536502977	0.000010076115321	0.000089643352081	8.896618312557599	0.654371808367197	3	5	9	10	14	18	20	24	26	26	0	1	2	3	4	5	6	7	6	8	1	1	2	1	1	2	1	2	3	1
1500	-66.830471816981472	-65.041943878168311	-1.788527938813165	0.000010100668742	0.000018287065261	1.810480645312180	0.836295237604947	3	6	7	10	15	17	19	24	25	26	0	1	2	3	4	5	6	7	8	8	1	1	1	1	2	1	1	2	1	1
2000	-74.602696775675767	-72.225141910687910	-2.377554864987851	0.000010149300833	0.000034377128653	3.387142544931063	0.383531861750608	2	5	7	9	14	18	18	21	23	26	0	1	2	3	4	5	5	7	7	8	1	2	2	1	2	2	2	1	2	2
2500	-68.070561371440093	-65.133053862423580	-2.937507509016515	0.000010098362542	0.000052962434786	5.244655711799290	0.540976876597358	2	6	8	10	14	19	19	23	24	27	0	1	2	3	4	5	5	6	6	9	1	3	1	1	2	2	3	1	2	1
3000	-69.023186026290489	-66.499269602143073	-2.523916424147413	0.000010067134134	0.000038599868824	3.834246003938557	0.471103816861097	3	5	9	10	14	17	20	22	25	27	0	1	2	3	4	5	5	7	8	7	1	1	1	1	2	1	3	1	2	4
3500	-67.396698971098942	-63.449217508482079	-3.947481462616859	0.000009565753093	0.000093578455831	9.782654321162882	0.527206010540110	2	4	9	10	14	18	20	22	24	27	0	1	2	3	4	5	6	6	8	9	1	1	3	1	2	2	1	2	1	2
4000	-65.307595244551678	-62.831037102759495	-2.476558141792185	0.000010264873080	0.000037844414794	3.686788380072564	0.807595262360113	3	5	9	10	15	17	19	23	24	26	0	1	2	3	4	5	6	6	8	8	1	2	2	1	2	1	1	2	1	2
4500	-65.441652665205410	-62.635359397306090	-2.806293267899319	0.000010420454753	0.000049730068792	4.772351108704462	0.691509647490627	3	5	9	10	14	17	19	23	25	27	0	1	2	3	4	5	6	6	8	8	1	1	2	1	2	2	1	4	1	3
