step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93
1	-1182.685262636123070	-1191.736106016574468	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.673469605829651	3	4	12	14	14	20	23	20	26	24	22	24	24	26	28	24	35	25	28	36	23	32	29	31	24	28	33	28	27	30	25	29	26	28	47	31	32	32	33	49	31	32	30	29	40	39	36	39	38	33	40	52	32	37	40	38	38	40	36	46	36	42	48	44	39	41	43	46	35	42	39	44	42	49	39	44	44	45	48	44	41	42	50	45	44	48	53	55	54	55	57	58	63	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-472.768828176733678	-481.819671557185018	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998313131831680	2	7	14	13	9	20	23	17	28	24	17	25	23	20	28	18	31	26	27	38	23	33	27	26	24	28	32	22	23	29	19	27	24	24	48	33	28	29	35	51	24	25	29	30	39	37	32	38	31	33	38	43	26	35	42	40	37	41	39	44	29	42	50	45	34	32	39	44	33	42	29	38	41	48	33	43	46	48	46	35	41	42	40	42	41	49	49	53	56	55	50	52	52	0	1	1	5	1	5	14	5	10	6	2	11	11	5	10	5	34	3	13	9	8	37	29	29	8	33	37	8	3	53	5	6	8	11	55	19	6	33	19	46	8	8	25	12	6	41	38	75	61	33	15	67	16	69	57	15	32	71	36	84	29	65	68	39	71	25	69	72	23	46	14	66	39	58	61	83	85	58	83	34	17	48	17	54	22	79	44	63	78	68	52	62	54	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-486.385568554266683	-495.436411934718024	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.988194151302430	2	5	9	9	16	14	20	22	28	26	17	24	24	27	24	19	36	28	26	36	24	33	28	36	20	28	32	28	28	24	18	28	28	23	49	29	28	36	35	38	31	34	32	32	33	42	36	38	36	37	35	53	34	27	40	38	40	42	34	45	35	40	48	38	35	34	45	39	36	35	38	37	43	48	41	36	48	45	40	45	42	43	44	45	40	49	48	50	57	51	49	58	55	0	1	1	2	4	2	6	31	7	13	2	5	25	8	11	5	41	31	6	41	11	18	21	27	11	25	29	31	15	16	4	31	3	31	47	34	13	12	15	14	19	7	12	21	7	76	13	44	26	49	29	81	19	31	27	41	9	42	19	70	10	39	22	29	10	30	55	22	32	12	18	23	44	51	72	44	78	47	38	38	61	61	27	20	17	85	39	84	84	82	56	83	80	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-494.689735955835602	-503.740579336286942	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996973462523385	3	5	7	16	15	23	24	22	24	21	23	24	20	27	30	24	38	27	19	39	24	25	33	34	21	22	32	25	19	32	29	22	26	30	42	33	31	28	34	50	33	35	32	30	43	37	34	37	33	36	39	47	32	39	41	34	40	39	39	42	35	39	40	39	37	42	45	48	27	41	35	46	28	47	37	36	36	44	47	45	32	39	46	47	44	48	51	42	50	54	57	52	51	0	1	2	3	3	19	25	5	13	3	13	1	29	25	28	5	56	9	4	81	19	19	33	69	5	19	22	5	2	33	9	5	6	4	17	38	28	33	73	66	12	9	28	73	55	12	14	6	21	81	23	73	21	22	49	14	61	21	12	64	73	61	53	36	53	17	41	61	4	56	34	47	13	41	15	28	18	75	45	39	11	56	88	76	51	58	67	36	42	68	52	63	78	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-487.946125065192916	-496.996968445644256	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.970329253199029	1	7	11	11	15	22	20	21	28	27	24	26	24	26	26	21	37	22	27	36	18	32	31	30	27	24	32	28	28	29	27	25	26	30	30	26	32	33	32	48	32	27	22	26	34	32	38	39	39	32	38	53	32	39	42	39	37	42	37	44	36	43	41	38	35	36	48	31	37	33	37	46	28	39	38	36	44	39	46	39	36	38	49	38	37	28	53	41	55	45	55	59	60	0	1	2	2	1	4	3	5	18	5	21	5	21	8	16	4	31	21	43	39	5	42	12	10	8	21	36	8	36	7	13	43	7	36	32	18	44	15	31	64	8	43	2	43	12	15	28	42	39	12	33	72	35	33	17	65	38	78	50	27	35	84	22	42	73	22	85	10	43	33	22	56	6	45	34	36	57	53	88	46	25	14	47	70	50	11	71	37	72	88	72	83	79	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-482.726958665580185	-491.777802046031525	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.990060990298966	-2	4	11	18	16	23	21	22	28	20	18	24	23	19	32	20	31	12	27	36	23	26	32	26	24	29	33	26	9	31	24	17	28	28	47	29	27	27	35	48	30	35	31	25	39	35	31	35	38	34	35	56	27	37	44	38	39	39	34	45	38	38	50	41	32	39	44	38	37	44	39	34	43	49	36	41	44	44	45	46	42	44	54	33	45	41	50	51	56	51	52	54	64	0	1	29	3	18	5	5	29	22	18	18	16	5	18	53	18	7	2	8	34	4	7	37	25	10	8	9	16	2	36	5	29	12	44	61	24	21	6	30	59	21	4	28	4	54	34	8	38	28	28	24	88	16	15	50	37	15	51	17	57	53	33	67	69	31	51	27	39	65	72	51	38	42	80	41	61	75	17	65	54	41	48	49	25	48	22	66	60	74	70	81	86	52	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-493.695268941618906	-502.746112322070246	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.991000285248983	1	5	15	14	17	12	23	16	17	27	22	23	14	27	24	24	37	27	27	34	21	28	17	31	19	17	34	25	24	32	23	34	26	31	42	34	34	31	36	46	28	30	32	30	32	27	34	30	37	30	40	52	35	36	39	36	41	29	34	48	40	39	35	43	29	31	32	40	27	38	34	47	44	47	38	39	45	38	46	31	35	36	41	43	40	47	51	51	57	48	58	58	55	0	1	6	2	13	2	3	6	2	11	2	26	2	12	25	3	65	25	8	42	26	29	13	10	8	6	44	25	5	22	5	9	3	26	32	19	7	16	14	54	5	8	15	15	15	5	18	15	67	11	65	62	50	67	27	38	80	8	48	51	81	38	21	49	33	69	33	30	23	34	29	83	61	70	36	43	54	44	68	16	66	7	47	39	14	57	40	35	90	84	87	52	87	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-490.446420256150759	-499.497263636602099	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.972657670302973	2	6	9	19	17	21	26	24	23	12	18	18	21	27	23	20	38	22	28	37	16	30	25	31	20	25	33	32	24	31	25	26	26	25	47	29	28	33	35	49	30	32	29	30	34	43	37	39	33	37	34	52	20	37	39	33	21	40	30	46	38	39	48	42	40	38	45	41	36	38	41	37	45	52	33	43	43	42	43	43	41	36	49	32	41	51	50	49	55	46	46	41	51	0	1	1	10	3	21	16	10	10	3	2	2	3	21	21	10	49	4	18	75	10	16	3	33	12	25	25	15	16	32	6	5	12	6	69	8	5	6	44	78	57	26	15	13	22	84	36	51	43	45	19	35	3	38	54	9	4	84	8	64	38	27	69	51	56	42	47	45	41	30	47	32	54	80	22	69	39	20	82	50	20	38	60	37	20	62	64	62	83	54	85	70	77	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-471.515605494896818	-480.566448875348158	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.986413780203931	3	7	13	11	15	19	25	14	20	23	16	23	28	27	27	24	36	22	26	28	19	35	26	26	16	25	32	28	25	27	23	29	23	28	45	30	31	29	31	47	33	35	24	27	39	39	38	34	40	31	32	55	32	36	34	33	34	39	33	44	31	38	48	46	37	42	41	46	29	41	37	44	38	47	41	42	40	42	44	46	43	34	51	44	42	47	46	46	56	54	50	53	62	0	1	4	1	4	5	10	2	8	8	1	6	24	43	12	5	15	3	18	18	25	39	8	18	2	5	34	26	18	5	9	8	9	31	37	44	10	24	30	24	31	50	11	6	34	82	36	28	22	15	16	91	19	20	38	14	38	38	44	48	26	30	27	22	39	37	18	73	10	22	48	71	56	66	59	41	41	71	65	46	47	14	80	58	56	71	67	60	40	79	67	35	89	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-481.997082712690656	-491.047926093141996	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.979591866134167	0	8	13	9	13	22	24	18	25	17	18	18	23	23	26	22	35	19	23	31	24	28	19	30	18	32	32	28	21	23	24	28	23	29	46	26	33	32	30	47	30	33	30	30	37	40	36	37	33	36	31	45	27	39	41	35	36	38	37	46	40	38	51	37	36	40	41	38	38	36	39	42	42	53	42	44	39	38	47	45	39	37	49	48	41	43	40	50	49	53	53	42	55	0	1	2	1	2	11	8	5	12	3	5	4	10	5	23	8	34	10	18	33	12	12	4	25	4	23	33	36	3	25	23	11	18	36	49	23	21	19	14	86	15	22	30	21	39	36	32	32	53	22	21	85	16	34	68	27	19	49	38	57	38	17	35	24	6	43	51	44	43	38	28	47	45	40	24	65	47	27	46	70	51	31	45	58	34	50	17	52	82	70	83	64	72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
