step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111
1	-4473.966093017847015	-4479.905290236932160	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.242408673682078	-1	1	2	3	5	3	3	4	3	5	6	5	5	4	7	5	6	7	5	7	6	7	8	6	8	8	9	9	8	7	8	9	9	10	9	9	8	8	10	8	8	10	10	11	10	11	11	11	11	11	11	10	11	11	12	12	12	12	12	12	11	12	12	12	11	13	12	14	12	12	13	12	16	14	13	13	14	16	15	14	14	15	14	15	14	15	16	17	17	20	16	17	16	18	20	19	19	19	21	25	23	25	26	27	27	29	28	32	30	33	35	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	2	3	2	3	4	3	3	3	4	3	4	4	3	4	4	4	5	4	5	5	5	5	5	4	5	5	5	6	5	5	5	5	6	5	5	6	6	6	6	6	6	6	6	6	6	6	6	6	7	7	7	7	7	7	6	7	7	7	6	7	7	8	7	7	7	7	9	8	7	7	8	9	8	8	8	8	8	8	8	8	9	9	9	11	9	9	9	10	11	10	10	10	11	13	12	13	14	14	14	15	15	17	16	17	18
500	-1590.606544429835594	-1596.545741648920739	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.256110630793861	-1	0	1	4	5	2	4	4	3	6	4	5	6	3	7	5	7	7	5	5	7	7	9	7	7	9	10	9	8	7	9	9	9	10	8	9	9	7	11	7	8	10	9	12	11	10	11	11	11	11	11	11	12	11	11	13	9	13	11	12	12	11	12	9	10	14	13	13	13	11	10	13	13	14	12	13	14	16	15	14	14	15	14	15	14	14	15	18	17	20	17	17	17	18	21	19	19	19	21	26	23	24	26	28	27	30	29	33	31	34	36	0	1	1	9	2	2	2	3	2	4	6	7	4	0	20	3	12	12	14	1	3	2	22	20	20	15	40	8	2	8	24	10	22	5	30	22	24	6	25	3	5	22	4	35	36	16	22	5	0	36	57	20	30	15	8	21	11	20	20	52	5	8	34	20	36	35	63	38	47	71	64	50	3	68	38	48	65	35	20	70	5	65	71	38	70	75	20	57	71	71	64	57	59	11	64	80	38	20	0	73	73	73	62	73	73	73	73	73	73	62	73	1	1	1	1	2	1	2	2	2	2	2	1	1	1	1	2	1	1	1	3	3	3	1	1	1	1	2	3	4	2	1	1	1	3	1	2	1	3	3	4	1	2	2	2	1	4	2	3	1	1	1	3	3	3	3	3	2	4	3	1	3	7	1	2	1	3	1	4	2	1	1	1	8	1	3	1	2	3	5	2	5	2	3	4	2	1	5	6	4	9	6	5	3	9	8	3	8	10	1	12	7	9	10	9	14	10	11	14	12	20	19
1000	-1467.038874419772355	-1472.978071638857500	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.315350399303103	-1	1	3	3	4	2	3	4	4	3	6	5	5	4	5	5	7	7	5	7	6	8	8	7	9	8	8	9	8	7	9	8	8	10	8	9	8	8	10	9	8	9	11	11	10	10	11	10	12	11	11	11	11	11	13	13	10	11	11	12	12	12	13	9	10	13	13	14	12	13	11	12	13	15	14	13	14	16	15	14	14	15	13	15	14	16	16	17	18	20	17	17	16	19	20	19	19	19	20	26	20	26	27	27	27	30	29	33	31	34	36	0	1	1	2	2	2	2	1	4	2	2	5	9	0	8	3	12	7	14	1	3	10	10	6	13	15	16	16	5	3	5	5	5	15	21	23	24	6	9	27	5	5	34	35	36	40	33	24	0	65	38	5	35	26	30	44	38	31	41	59	34	35	48	15	36	35	47	31	20	71	64	65	8	51	57	20	65	62	38	70	29	72	71	38	64	57	59	57	71	83	64	24	76	20	64	85	31	64	0	73	73	101	73	73	20	101	73	101	99	73	73	1	1	3	1	2	1	1	3	1	1	3	1	1	1	1	1	1	2	1	5	2	2	3	3	2	1	2	3	2	2	3	2	2	3	1	1	1	2	4	1	2	3	1	2	1	1	2	2	1	1	2	4	1	3	3	1	1	1	3	1	2	3	2	3	1	3	1	3	2	1	1	1	6	3	2	3	2	2	2	1	3	3	1	4	3	3	2	4	3	5	6	6	1	6	6	2	5	7	1	11	5	6	9	9	14	6	9	11	9	20	19
1500	-1285.012814188034554	-1290.952011407119699	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.363441902935595	-1	1	2	3	5	3	3	4	4	5	5	6	5	4	7	5	7	8	6	6	6	7	8	7	8	9	8	9	7	7	7	10	9	7	9	9	9	8	10	8	8	10	10	11	10	12	10	10	12	11	11	10	12	12	12	12	11	12	13	12	10	12	13	9	10	14	13	15	12	11	13	12	16	14	12	13	15	16	16	15	12	15	12	14	14	14	16	17	18	20	16	18	17	18	21	19	19	18	19	25	20	23	26	28	27	29	28	33	29	34	36	0	1	1	2	2	2	2	3	4	2	6	7	9	0	10	3	12	12	14	5	3	5	5	11	13	15	16	8	5	3	6	5	20	10	8	23	11	31	25	16	5	34	20	21	36	40	24	34	0	65	24	41	35	34	30	21	24	38	41	41	5	21	47	20	36	56	48	51	20	64	70	65	35	24	5	41	65	66	51	64	2	65	70	81	64	57	76	24	91	64	64	86	87	51	64	85	51	64	0	81	81	99	99	99	81	99	99	101	101	98	81	1	1	2	1	2	1	1	2	1	2	1	1	1	1	2	2	1	1	2	1	3	1	2	2	3	1	1	2	2	2	2	2	2	2	3	1	2	1	1	2	2	1	2	3	1	1	3	2	1	1	2	1	1	4	2	3	2	2	3	2	2	2	1	2	1	1	2	2	5	1	1	1	3	2	2	3	2	1	2	3	6	2	1	2	3	1	2	5	1	6	6	2	1	4	7	2	4	5	1	8	4	2	4	6	11	5	6	10	6	15	18
2000	-1001.301437788827229	-1007.240635007912488	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.458947724027271	-1	1	2	2	4	3	3	4	4	5	7	5	6	4	8	5	7	7	6	7	6	7	8	5	7	9	8	10	9	6	9	9	8	11	9	9	9	9	11	8	9	10	10	12	11	11	10	11	12	12	11	11	10	12	11	12	12	12	13	11	12	12	12	9	11	13	12	15	12	12	13	13	17	13	13	14	14	14	16	14	14	16	15	14	14	14	16	16	15	20	17	17	16	18	20	19	19	19	18	26	21	24	25	28	27	29	29	32	29	34	36	0	1	1	2	2	2	2	3	4	5	6	7	9	0	5	3	12	12	14	5	8	10	10	6	13	15	8	16	5	8	11	11	2	11	3	20	8	6	25	8	33	33	33	35	36	28	33	29	0	36	38	41	30	26	3	21	37	38	41	33	29	53	47	20	36	62	47	38	33	64	70	65	44	57	11	61	65	35	51	70	34	65	71	57	70	38	76	57	71	89	70	57	76	68	91	85	68	83	0	99	38	99	99	99	99	103	102	101	103	99	101	1	1	1	1	1	1	1	2	1	1	3	1	1	1	1	2	1	1	1	2	1	1	1	2	1	1	2	3	2	2	1	2	3	2	3	1	2	3	2	2	1	1	2	2	1	1	2	1	1	2	1	1	2	3	4	4	2	2	2	1	3	1	1	1	1	1	1	2	2	2	1	1	2	1	2	2	2	3	2	1	2	2	1	1	1	2	1	2	1	3	3	2	1	1	1	2	2	2	1	7	8	3	3	4	8	2	3	10	2	13	14
2500	-966.044988420444611	-971.984185639529869	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.559100837601939	-1	1	2	3	6	4	3	4	4	5	6	4	5	3	8	5	6	7	5	7	6	7	8	7	8	9	10	9	8	8	9	8	9	11	7	8	9	8	10	8	9	10	10	12	10	11	11	11	10	12	11	10	12	11	12	12	13	12	12	12	12	12	13	11	11	14	13	14	12	12	13	12	16	14	13	14	14	16	16	15	14	15	15	16	13	12	17	17	18	20	15	17	16	18	19	19	20	19	18	26	20	25	26	25	28	30	28	33	30	34	36	0	1	1	2	10	2	2	1	4	2	10	7	9	0	5	3	12	12	14	5	3	5	22	6	13	5	16	16	20	21	24	10	20	43	21	10	24	6	25	16	32	20	20	35	36	40	10	20	0	65	38	41	35	26	21	35	51	38	41	41	42	35	48	4	45	55	47	51	29	64	49	65	53	75	38	59	65	44	68	70	42	65	71	57	70	38	59	51	71	83	71	74	76	68	89	91	68	83	0	99	32	99	99	99	101	102	99	102	103	99	101	1	1	2	1	1	2	1	3	1	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	2	2	1	2	2	2	1	1	1	2	1	2	1	1	1	1	2	2	2	1	3	3	1	1	2	1	3	1	4	3	1	2	2	2	1	2	1	4	1	1	1	1	2	1	2	1	2	1	3	1	1	2	1	1	2	2	1	1	1	2	2	2	2	2	1	2	1	1	1	2	3	2	1	6	4	3	3	3	6	2	4	5	2	11	12
3000	-954.791949314041517	-960.731146533126775	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.485036580315424	-1	1	2	1	4	3	2	3	3	6	6	4	5	4	8	6	6	7	5	7	5	8	7	6	8	9	9	8	7	7	7	9	9	10	10	9	8	7	7	5	8	11	10	11	11	11	8	11	9	10	10	11	12	12	10	13	13	13	12	12	12	11	12	13	11	13	12	14	10	12	14	12	16	14	13	13	14	17	16	13	15	15	15	16	14	15	15	15	16	19	17	16	16	17	21	19	20	17	20	26	23	25	26	28	26	29	28	33	31	33	36	0	1	1	1	2	2	2	3	4	5	6	7	4	0	5	40	12	12	14	10	3	10	10	6	13	15	28	5	5	3	11	29	5	15	30	23	6	6	13	3	20	15	41	35	36	40	20	32	0	36	38	41	55	26	21	62	37	37	42	41	34	55	69	49	50	8	34	37	47	49	49	65	44	75	24	41	65	66	68	70	33	50	64	74	70	75	76	24	83	64	85	75	33	79	90	85	79	83	0	99	66	99	99	102	101	102	99	104	105	101	101	1	1	2	1	2	1	1	1	1	1	2	1	3	1	2	1	1	1	1	1	2	1	1	1	2	1	1	1	2	3	1	1	3	1	1	1	3	2	1	2	1	2	1	1	1	2	1	1	1	1	2	2	2	2	3	1	2	3	1	2	1	1	1	2	1	4	1	3	1	2	2	1	3	1	4	2	1	2	1	1	3	2	1	1	1	1	1	3	1	3	2	1	6	1	1	2	2	1	1	4	6	4	3	3	2	2	4	3	2	7	7
3500	-852.471553032850352	-858.410750251935610	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.603534582557016	-1	1	2	2	5	3	3	4	4	4	6	5	5	3	8	5	6	7	6	7	6	8	6	7	8	9	9	8	9	8	8	9	8	10	9	8	9	9	10	8	8	10	11	12	11	12	10	11	11	10	11	11	11	11	11	13	11	13	10	12	11	13	12	12	11	11	10	13	12	13	13	13	15	14	13	12	15	15	16	15	14	16	15	16	14	16	16	17	17	21	16	17	17	19	19	19	19	18	22	26	22	25	25	27	27	29	29	32	30	33	34	0	1	1	2	2	2	2	3	4	2	2	7	9	0	5	3	12	12	14	5	3	5	10	6	13	15	16	16	20	8	11	20	6	33	21	10	6	24	25	16	20	29	20	53	50	40	33	20	0	36	38	41	35	26	30	21	24	57	41	41	42	44	33	49	50	30	33	51	47	64	64	65	35	57	57	59	65	66	51	70	29	50	71	57	70	74	76	57	83	71	85	75	59	51	89	91	51	83	0	99	73	101	101	102	99	105	99	102	100	107	108	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	2	1	2	2	1	2	2	1	2	1	1	2	1	1	2	1	2	2	3	1	1	3	1	1	3	1	1	1	1	1	1	1	1	1	1	1	2	3	2	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	3	2	1	1	2	2	3	1	2	4	1	2	1	1	3	3	1	4	1	2	3	5	1	2	4	1	1	2	4	2	2	1	2	1	3	4	2	2	2
4000	-824.220367496030121	-830.159564715115380	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.676658245073717	0	2	3	4	6	4	4	5	3	5	6	5	6	3	7	6	7	7	5	7	6	7	7	6	8	9	10	9	8	7	8	9	9	9	8	9	9	8	10	7	9	10	10	11	10	11	11	11	10	11	10	10	12	11	12	10	12	11	11	11	11	10	11	12	12	12	13	14	12	13	13	13	15	14	12	14	13	15	16	14	14	14	15	15	15	15	16	17	17	19	17	18	17	19	20	19	18	18	21	25	22	26	27	28	27	29	25	32	31	32	34	0	1	1	2	2	2	2	3	2	2	6	7	9	0	10	3	12	12	14	2	8	10	10	6	13	15	16	16	7	3	24	29	4	10	21	23	5	24	25	16	20	5	5	35	36	28	43	20	0	36	38	41	35	26	44	35	38	38	41	41	42	35	34	49	50	35	47	51	63	64	64	65	35	37	24	59	65	44	68	70	29	65	71	74	80	57	76	84	83	64	85	86	87	97	89	91	79	83	0	99	73	99	99	101	99	105	99	104	105	105	108	1	1	2	1	2	1	1	2	1	2	1	1	1	1	1	2	1	1	1	2	1	1	1	1	2	1	2	1	2	3	1	1	2	2	1	1	1	1	1	1	1	2	2	2	1	1	1	2	1	1	2	1	2	1	1	1	3	2	1	1	1	2	1	1	1	2	1	2	1	1	1	1	2	2	3	2	1	2	1	1	3	1	1	1	1	1	1	1	1	3	1	2	1	1	1	1	1	2	1	2	2	4	3	3	3	1	2	2	2	2	1
4500	-902.570058783262880	-908.509256002348138	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.653333143330544	-1	1	3	3	5	3	3	5	3	4	6	6	5	3	8	5	5	7	5	8	7	6	7	7	7	9	7	9	7	6	9	9	9	9	10	9	9	8	10	7	9	11	10	11	10	10	11	12	9	11	12	11	8	12	9	12	12	12	12	12	12	11	12	11	12	14	13	14	12	12	12	13	16	13	11	14	13	15	15	14	14	15	15	15	15	15	16	17	17	20	17	16	17	19	21	20	20	19	21	25	23	25	27	28	28	30	27	33	30	33	35	0	1	1	2	4	2	2	3	2	7	6	17	9	0	5	3	7	12	14	11	8	7	10	6	13	15	8	16	5	8	11	24	20	29	53	23	5	7	25	16	4	29	24	53	36	28	43	34	0	36	75	41	3	26	21	35	31	75	29	41	24	53	47	49	50	62	47	51	47	64	64	65	21	57	38	59	65	66	68	70	20	65	71	38	80	74	76	84	83	83	85	86	87	51	89	91	79	83	0	99	34	99	99	100	100	104	100	104	103	103	108	1	1	3	1	1	1	2	2	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	3	1	1	2	1	1	1	2	1	1	1	1	1	2	2	2	1	3	2	2	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	3	1	3	1	1	1	1	2	1	1	1	1	1	1	3	1	2	1	1	1	1	1	2	2	2	2	1	1	1	1	1	2	1	1	1	2	3	2	2	2	1	2	6	3	3	2	2	1	1	3	2	2	1
