step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56
5000	-337.709071240641777	-344.564559191601177	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.573496628775389	-4	0	4	2	6	9	10	8	10	10	9	12	11	11	12	12	11	13	13	13	13	15	14	15	15	14	14	16	18	17	17	15	16	19	19	17	19	21	19	22	20	23	21	23	22	24	23	25	26	27	27	30	28	29	31	31	0	1	4	2	3	5	3	5	8	8	0	9	6	7	10	11	7	13	12	9	14	13	17	7	9	14	17	19	32	24	23	9	32	31	27	32	33	35	36	31	35	31	31	35	34	36	33	47	47	48	47	50	50	50	47	54	1	2	1	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	3	2	3	2	3	1	2	2	2	1	3	1	1	2	1	1	1	1	3	1	3	2	2	1	4	3	1	1	2	2	2	1	1	6	2
5500	-318.147065539712742	-325.002553490672142	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.612453502080568	-1	1	3	4	7	9	10	9	9	11	10	11	11	11	11	12	12	13	13	13	14	14	12	14	16	15	14	16	17	16	17	16	16	21	19	17	19	21	19	22	21	21	23	21	23	23	24	25	27	26	26	28	29	29	31	32	0	1	2	3	4	5	5	5	5	8	0	6	9	7	8	11	7	7	7	9	14	13	12	14	22	24	23	19	18	24	23	20	20	35	31	32	33	35	36	34	35	31	40	23	34	39	37	47	47	47	47	50	48	52	53	54	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	2	3	1	2	2	1	1	1	1	1	2	1	1	2	2	1	3	1	1	3	1	2	2	1	1	2	1	1	2
6000	-327.056541368685316	-333.912029319644716	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.690321484182032	-2	0	3	3	6	9	8	10	9	11	9	11	12	11	12	11	11	13	13	13	13	15	13	14	15	15	14	16	17	15	17	16	16	19	19	17	18	21	19	22	20	24	21	23	22	21	23	24	26	26	27	29	28	29	30	32	0	1	2	2	4	5	3	7	4	8	0	9	8	7	8	11	7	13	7	9	14	13	17	21	20	21	17	19	20	21	23	20	20	23	31	33	33	34	36	31	35	43	17	45	34	36	37	47	48	48	47	50	50	47	53	54	1	1	2	2	1	2	2	1	3	1	1	1	1	2	1	1	2	1	2	2	1	2	1	1	1	1	2	2	2	1	2	1	2	2	1	1	2	1	1	3	1	1	4	1	2	1	2	1	1	1	2	1	1	2	2	2
6500	-327.690622205781665	-334.546110156741065	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.549149168312795	-1	0	3	1	7	9	10	9	10	10	10	11	11	11	12	12	12	13	12	12	13	14	14	14	15	15	13	16	16	16	18	15	16	21	18	17	19	22	19	22	21	23	21	22	23	23	24	26	28	26	27	29	28	29	31	32	0	1	4	2	4	3	5	5	5	5	0	7	5	7	10	11	7	7	7	13	7	20	7	14	9	24	7	19	25	21	17	13	18	31	23	25	33	35	36	34	35	43	31	35	40	36	37	47	47	47	47	50	48	53	52	54	1	1	1	1	3	3	3	1	2	2	1	1	2	1	1	1	1	2	2	1	2	1	2	2	3	1	1	2	1	1	2	2	1	1	1	1	1	2	1	1	2	1	2	2	1	2	2	2	1	1	1	2	1	1	1	2
7000	-320.862225723227255	-327.717713674186655	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.617674524251658	-1	1	4	3	6	9	8	8	9	11	11	10	10	10	12	12	12	13	13	13	13	15	14	14	16	14	14	16	15	16	17	15	16	20	18	17	19	21	19	22	21	24	23	22	21	22	24	26	27	26	27	28	28	30	31	31	0	1	4	2	3	7	5	5	5	6	0	7	9	7	10	11	7	13	12	7	14	18	17	14	5	21	12	19	20	24	17	18	18	35	23	25	33	34	36	34	35	35	17	35	34	36	37	47	47	47	47	50	50	52	53	54	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	2	1	2	2	2	1	1	2	4	1	2	2	2	1	2	1	1	1	2	1	2	1	1	1	1	3	5	2	1	3	3	1	1	1	2	1	1	1	1	1
7500	-320.257127050623694	-327.112615001583094	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.659696704782442	0	2	4	3	6	8	9	8	10	10	10	11	11	10	12	11	12	12	13	14	13	13	14	14	15	14	14	16	18	16	17	15	17	20	18	17	19	21	18	19	21	23	22	22	22	23	24	25	27	27	26	29	29	29	30	32	0	1	4	2	4	3	6	5	6	8	0	5	9	7	10	11	7	13	7	9	12	9	17	14	12	21	17	12	20	21	25	12	20	17	27	32	33	35	32	17	40	43	31	40	34	36	33	47	48	48	47	50	47	47	53	54	1	1	1	1	2	2	1	1	1	1	1	3	1	1	1	1	2	1	2	2	1	2	1	2	2	1	1	3	2	2	1	2	1	2	3	1	1	1	2	3	1	1	2	1	2	3	4	1	1	1	1	1	2	2	1	2
8000	-338.350559043463875	-345.206046994423275	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.661365032572179	-1	1	4	3	6	9	9	10	10	11	10	11	12	10	12	12	13	11	13	13	12	15	14	15	15	14	15	16	16	16	17	15	16	21	17	16	18	21	19	19	21	22	20	22	21	23	24	26	27	26	26	28	29	29	31	31	0	1	4	2	3	5	5	7	6	7	0	6	9	7	10	11	12	8	7	9	14	8	17	14	20	21	17	19	13	21	17	9	20	23	27	32	33	35	36	35	23	34	23	35	40	36	37	47	47	47	47	47	47	52	48	54	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	2	1	2	1	2	2	2	1	2	2	2	2	2	1	3	1	1	1	1	1	1	4	1	2	2	1	3	3	2	3	1	1	2	2	1	2	1
8500	-333.665720555344876	-340.521208506304276	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.660383023293509	-1	1	4	3	6	9	10	9	8	10	9	12	11	10	13	11	12	12	14	14	12	14	13	14	15	15	15	16	15	16	16	16	16	19	17	18	18	21	18	22	21	24	22	23	21	23	24	25	27	27	26	29	27	30	31	32	0	1	4	2	3	9	5	5	5	8	0	14	9	8	10	11	7	6	7	13	14	18	9	21	18	21	23	12	6	21	17	29	13	35	17	20	33	35	33	34	35	43	45	38	27	36	37	47	48	48	48	50	48	52	48	54	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	2	2	2	1	1	2	1	1	1	1	1	3	2	2	1	2	1	3	2	1	2	1	2	3	1	1	1	3	3	3	1	1	1	1	1	1	1	4	2
9000	-341.026013614270084	-347.881501565229485	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.561990270219488	-3	1	3	2	7	8	10	8	9	10	10	11	11	11	12	11	12	13	12	12	14	14	14	14	16	13	15	16	17	16	18	15	16	21	19	17	18	20	20	22	20	23	22	23	23	22	24	25	27	26	27	29	28	30	31	31	0	1	4	2	4	3	8	5	5	8	0	7	9	6	10	11	7	9	7	8	14	13	7	6	13	14	23	19	20	24	23	22	32	35	31	20	36	31	36	23	31	31	17	40	34	36	33	47	47	48	47	50	50	52	53	54	1	2	1	1	3	2	1	1	2	1	1	1	1	1	2	1	1	2	1	2	2	2	2	2	2	1	1	2	2	1	2	1	1	2	1	3	1	1	1	5	1	2	5	1	1	4	4	1	2	1	2	2	1	1	2	1
9500	-341.250848321397427	-348.106336272356828	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.686798913440240	-1	2	2	3	6	9	9	9	8	11	8	11	11	10	13	11	12	12	13	12	13	13	14	14	16	15	13	16	15	17	16	16	17	18	17	18	19	21	19	23	22	23	20	22	22	24	24	25	26	26	26	28	28	29	31	31	0	1	1	3	4	9	5	5	5	8	0	7	6	9	10	11	7	5	7	5	14	12	17	14	20	21	17	12	20	24	17	20	32	23	31	29	33	34	36	34	35	43	31	34	34	39	37	47	47	47	47	50	50	52	50	54	1	2	1	1	2	1	1	1	2	1	1	1	1	1	2	2	2	2	2	3	1	1	1	2	1	1	1	3	2	2	2	2	1	1	1	2	1	1	1	1	3	2	2	3	2	3	2	1	1	1	1	1	1	1	3	1
10000	-319.816477843425446	-326.671965794384846	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.642398584468170	-1	1	2	3	5	9	10	8	7	10	10	11	11	10	13	12	11	11	12	14	13	14	12	14	15	13	15	15	17	17	18	16	17	20	18	17	19	21	19	23	21	24	22	21	22	24	24	25	27	27	25	29	28	30	30	32	0	1	2	3	4	4	8	5	5	8	0	7	9	6	10	11	6	9	12	13	14	13	6	14	13	14	17	19	8	24	17	20	13	31	27	32	33	35	29	34	35	43	31	35	34	36	33	47	47	48	47	50	50	52	47	54	1	1	1	1	1	4	1	2	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	1	2	2	2	4	3	2	1	3	1	2	1	1	1	1	2	1	1	2	2	1	3	3	1	1	1	1	1	1	1	3	2
10500	-295.741556120146470	-302.597044071105870	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.621966796237299	-1	1	3	4	5	9	10	8	10	10	10	11	11	11	12	12	12	12	13	14	13	14	13	14	12	15	14	16	17	17	17	15	16	20	18	17	18	20	19	21	20	24	22	22	22	23	24	25	28	26	26	28	28	30	32	31	0	1	2	3	4	5	8	5	8	8	0	7	9	7	10	11	7	9	7	9	14	6	7	14	13	21	23	19	6	24	17	20	22	31	27	20	33	35	36	34	35	43	35	35	34	39	37	47	47	47	47	50	50	52	53	54	1	1	1	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	2	1	2	2	2	1	1	1	2	3	2	2	1	1	2	2	2	1	1	1	1	1	1	2	2	1	1	2	1	3	1	1	1	1	1	1	1
11000	-333.422661312921434	-340.278149263880834	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.663171973532276	-1	0	2	4	6	8	9	8	10	11	10	9	12	11	13	11	11	12	13	14	13	13	13	14	13	15	14	17	18	17	16	16	16	20	18	16	18	22	17	23	21	23	21	22	23	24	23	25	27	26	26	29	28	30	30	31	0	1	2	3	3	5	5	5	5	8	0	6	7	12	10	11	12	8	12	13	14	6	17	14	13	21	17	19	20	21	12	18	20	35	31	10	33	35	36	34	35	43	31	35	34	36	33	47	47	47	47	50	50	50	50	54	1	1	1	1	2	1	1	1	2	3	1	1	1	1	1	1	2	2	2	1	1	2	1	1	1	1	1	2	2	2	4	2	1	1	1	2	1	1	1	2	1	1	2	2	2	4	3	1	2	2	2	2	1	2	2	1
11500	-329.531917479440096	-336.387405430399497	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.649895195102093	0	1	4	3	6	8	10	8	8	10	10	9	11	10	13	11	12	13	13	13	13	14	13	15	16	13	13	17	17	16	18	17	17	20	18	17	18	21	19	23	22	23	21	22	22	21	23	25	27	26	26	30	27	30	31	32	0	1	4	2	4	3	12	5	5	8	0	6	9	12	10	11	12	9	12	13	14	18	7	23	13	14	17	19	20	21	24	25	13	35	19	13	33	35	33	34	35	43	31	35	34	36	37	47	48	47	48	50	47	50	53	54	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	2	2	1	2	1	2	1	1	2	1	2	2	1	2	1	2	1	3	4	1	2	1	2	2	1	2	2	1	2	2	1	1	1	1	2	2	2	2	1
12000	-321.223767774109945	-328.079255725069345	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.570661189069798	-1	1	4	3	6	9	9	9	9	11	9	10	11	11	12	11	13	12	13	13	13	14	13	14	13	14	15	14	18	16	18	15	17	20	18	18	19	20	20	23	22	24	22	22	22	23	24	25	27	27	27	29	28	28	32	31	0	1	4	2	3	5	5	5	5	8	0	7	9	7	10	11	7	13	12	13	14	20	12	14	13	21	23	19	6	24	23	18	9	29	23	32	33	35	33	35	31	43	31	35	34	33	37	47	48	48	47	50	48	48	53	52	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	5	1	3	2	4	1	2	1	2	1	1	2	3	1	2	2	1	3	2	1	1	1	1	1	1	3	2	1
12500	-331.151940028701404	-338.007427979660804	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.741485632760496	0	1	3	4	6	8	9	9	10	10	10	10	12	11	12	12	12	13	13	13	13	14	14	12	15	15	14	15	18	16	16	15	17	21	19	18	19	21	20	22	21	23	23	22	22	23	24	25	26	26	27	29	29	30	32	32	0	1	2	3	3	3	6	5	5	8	0	7	9	12	10	11	6	9	7	9	14	9	17	14	9	21	24	27	8	21	23	13	13	23	27	32	33	35	36	35	35	6	29	35	34	36	37	47	47	47	47	50	50	52	53	54	1	1	1	1	2	3	1	1	2	1	1	1	2	1	1	1	2	1	2	2	1	2	1	1	2	1	2	1	6	1	1	2	2	2	2	1	1	1	1	1	1	7	2	2	1	2	2	1	1	1	1	2	1	1	1	1
