step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28
1	-1420.035025577445367	-1418.572943492926470	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.237602075887207	0	0	4	5	6	7	8	8	8	10	11	12	13	12	13	15	16	16	18	17	21	20	25	29	30	31	34	35	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	4	4	4	4	5	6	6	7	6	7	8	8	8	9	9	11	10	13	15	15	16	17	18
500	-767.178527100921428	-762.920870066872112	-4.257657034049328	0.000009996737164	0.000115412075574	11.544974493002512	0.212297770567448	0	1	4	5	5	6	8	8	9	10	12	12	13	12	13	14	15	16	17	17	21	19	25	30	31	32	34	36	0	1	2	1	3	3	6	6	6	9	7	6	6	3	6	14	12	13	16	18	19	19	12	0	23	12	6	23	1	1	1	2	1	1	1	1	1	1	2	3	3	3	3	1	1	2	1	1	2	1	6	1	4	15	12	8
1000	-588.268300636335539	-584.340879601862412	-3.927421034473075	0.000010011025255	0.000096858554356	9.675188294006141	0.418881242117969	0	1	4	6	5	8	7	9	9	10	12	12	14	12	12	15	15	16	17	17	21	20	24	29	30	30	35	36	0	1	2	3	2	2	2	7	7	7	9	8	8	6	7	12	12	13	16	18	19	19	6	0	23	5	23	25	1	1	1	1	2	3	3	2	1	1	2	1	2	1	2	2	1	1	1	1	2	2	8	1	2	9	8	3
1500	-405.192496789234269	-401.971183528290112	-3.221313260944137	0.000010018922635	0.000063637319731	6.351712858492812	0.600025007997911	0	1	4	5	6	7	9	9	8	8	11	13	14	11	13	15	16	16	18	18	21	20	25	29	30	29	34	36	0	1	2	1	3	4	9	10	6	4	10	6	8	10	9	12	14	15	16	18	19	19	13	0	26	23	25	25	1	1	1	2	1	2	1	1	1	1	2	2	2	1	3	1	3	1	1	1	2	1	5	1	1	2	2	2
2000	-344.941518372727785	-341.865886514969532	-3.075631857758244	0.000010058715914	0.000058022842352	5.768414462379028	0.620553862900601	-2	0	4	4	6	7	9	9	9	11	12	12	13	11	14	15	16	16	18	17	21	20	25	30	31	30	35	35	0	1	2	1	3	3	6	6	6	8	10	14	8	9	13	12	12	13	16	13	19	16	4	0	26	23	25	25	1	1	2	4	1	1	1	1	1	1	1	1	2	1	1	2	2	1	2	2	2	2	8	1	1	2	2	2
2500	-392.078167403735733	-388.582038431474473	-3.496128972261249	0.000010146486123	0.000076539299441	7.543429174344181	0.706118911068106	-1	1	4	5	6	6	8	9	7	10	12	12	13	13	12	15	16	16	19	17	21	21	25	30	31	30	35	35	0	1	1	2	3	3	9	6	6	8	10	8	15	12	8	12	12	13	16	13	19	19	4	0	26	23	25	25	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	2	1	1	7	1	1	2	2	2
3000	-430.360185464104006	-427.262209261912858	-3.097976202191155	0.000009944666587	0.000058233845380	5.855786603760733	0.634599903452101	0	1	3	4	7	6	8	8	9	10	12	12	12	13	14	16	16	17	18	17	20	19	24	30	30	28	34	34	0	1	1	2	4	2	6	6	6	8	9	9	10	12	13	12	12	13	16	13	19	19	9	0	26	23	25	25	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	2	2	2	1	1	2	1	4	1	1	2	2	2
3500	-408.511084695887860	-405.869186032760695	-2.641898663127151	0.000010374803287	0.000043715957546	4.213666161794571	0.645604080569518	0	1	4	5	6	8	9	9	8	10	12	11	13	12	14	15	16	17	18	17	21	21	24	29	31	28	34	35	0	1	2	3	4	1	6	6	1	8	9	10	8	12	13	12	12	13	16	13	19	19	18	0	26	23	25	26	1	1	1	1	1	5	1	1	4	1	2	1	2	1	1	2	2	3	2	1	2	1	3	1	2	2	1	4
4000	-373.078647517777995	-369.814078289407860	-3.264569228370142	0.000010914430854	0.000071284552367	6.531220300833740	0.528985330910527	-1	0	4	5	6	7	8	8	6	11	11	12	12	13	12	15	16	16	18	18	21	20	25	30	31	30	35	35	0	1	1	1	3	9	6	6	4	8	8	9	10	12	9	12	12	13	16	18	19	19	4	0	26	23	25	25	1	1	3	3	1	1	1	1	1	2	2	2	1	1	2	2	2	2	2	1	1	1	5	1	1	2	2	2
4500	-356.745560254783641	-354.714275113585245	-2.031285141198406	0.000011840708172	0.000028688954739	2.422908691059090	0.467219033357894	-2	-1	3	5	7	6	7	8	9	9	11	11	13	13	12	15	17	15	18	18	22	20	26	29	31	28	34	35	0	1	2	1	3	2	4	4	7	8	9	6	15	12	6	12	12	13	16	15	19	19	6	0	26	23	26	25	1	1	2	3	2	3	1	1	1	1	1	2	1	1	4	3	2	1	2	3	2	1	11	1	1	1	2	2
5000	-385.000226403697752	-382.409359586068149	-2.590866817629613	0.000014191506936	0.000057438784099	4.047405561524609	0.638696097495976	-1	1	4	5	6	8	9	8	7	10	12	11	13	13	12	15	17	16	17	16	21	19	24	29	31	30	34	35	0	1	2	3	3	9	9	9	4	8	8	10	8	12	8	9	12	13	16	13	19	16	15	0	26	23	26	25	1	1	2	1	1	1	1	1	2	1	2	1	2	1	2	3	3	2	1	2	2	2	5	1	1	3	2	2
5500	-347.781657035010198	-345.653681143086942	-2.127975891923276	0.000024336093589	0.000065221562802	2.680034187264499	0.636389202049110	0	1	4	4	6	6	8	9	8	10	12	11	13	13	14	15	16	17	18	18	21	20	23	29	31	30	34	35	0	1	2	1	4	1	6	9	6	9	10	7	10	12	8	12	12	15	16	18	19	19	8	0	26	23	25	25	1	1	2	2	1	2	1	1	1	1	1	1	2	1	2	2	2	1	1	1	2	1	7	1	1	3	2	2
6000	-301.742312717506650	-300.019359947267731	-1.722952770238940	0.000054145549675	0.000089385228080	1.650832406662103	0.558404467347602	0	1	5	4	6	7	9	9	8	10	11	12	12	12	14	16	17	16	18	17	22	20	24	29	31	29	35	35	0	1	2	2	4	3	6	6	6	8	10	8	9	8	13	12	12	10	16	18	19	19	13	0	26	23	25	25	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	3	1	1	2	1	7	1	1	2	2	2
6500	-258.798342565854625	-257.433572542561819	-1.364770023292782	0.000169767424049	0.000086573756787	0.509955059237786	0.455230383281410	0	1	5	3	6	8	8	6	8	11	11	12	14	11	12	14	16	15	18	17	20	19	23	28	31	30	34	36	0	1	1	2	4	4	4	4	3	9	2	14	12	9	7	5	3	7	12	16	9	16	17	0	26	23	25	25	1	1	2	1	2	1	2	1	1	2	6	1	1	1	2	3	6	3	3	1	5	3	4	1	1	3	2	3
