step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56
1	-1751.688739724278321	-1758.544227675237607	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.051355260436792	0	1	2	3	4	4	4	6	6	7	8	8	10	9	11	10	11	12	12	12	13	16	18	19	21	20	21	22	22	21	21	21	23	24	24	24	26	25	25	25	26	25	26	25	26	28	27	27	28	28	29	29	30	30	30	33	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	3	4	4	4	5	5	6	5	6	6	6	6	7	8	9	10	11	10	11	11	11	11	11	11	12	12	12	12	13	13	13	13	13	13	13	13	13	14	14	14	14	14	15	15	15	15	15	17
500	-486.450624727600768	-493.306112678560169	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.085902921117916	-2	1	0	3	5	4	4	6	7	7	8	8	11	9	11	10	12	12	12	11	14	16	16	19	22	18	18	21	22	21	21	19	24	24	24	22	27	25	26	26	26	26	25	25	26	27	27	28	28	29	29	28	28	30	31	34	0	1	1	3	3	2	0	3	7	5	4	3	12	8	8	8	15	12	14	12	20	21	20	23	23	22	23	24	23	23	23	21	27	24	12	23	30	29	32	32	27	23	32	23	27	32	20	31	39	31	36	26	23	26	23	27	1	1	1	2	4	2	1	3	2	1	3	4	2	1	3	2	1	2	2	2	2	1	2	1	3	1	2	1	3	3	3	3	4	2	9	3	5	2	3	4	6	7	3	5	7	4	7	4	1	6	4	7	6	7	9	12
1000	-348.410618406203469	-355.266106357162869	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.502679267399205	0	1	2	4	5	4	3	6	6	7	8	8	9	8	10	10	12	12	12	13	11	15	18	19	19	21	21	21	23	21	21	20	24	24	25	24	26	26	25	24	26	24	27	25	27	28	27	27	28	28	29	29	31	31	29	34	0	1	1	1	3	1	0	3	7	6	6	8	6	8	11	11	16	12	14	15	16	20	22	23	23	23	23	25	24	24	23	23	23	24	32	31	26	29	31	23	40	23	44	31	39	40	37	39	39	27	42	42	42	23	39	23	1	1	1	3	2	2	1	2	2	1	2	2	3	1	1	1	1	2	3	2	1	1	2	1	1	1	1	1	2	1	2	2	3	2	5	2	3	2	2	4	1	2	1	2	1	2	1	2	2	3	3	3	4	8	3	10
1500	-319.315291867353608	-326.170779818313008	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.543742624961834	-1	1	2	3	4	5	4	6	6	7	8	7	11	10	12	9	11	13	12	11	13	15	18	17	22	20	21	22	22	21	22	19	23	24	25	22	26	25	25	26	25	25	26	24	26	28	27	27	29	28	30	29	30	27	31	32	0	1	1	1	3	4	0	3	7	3	4	4	16	8	17	12	12	13	14	12	17	20	22	21	23	23	32	32	24	24	32	23	27	24	31	27	28	29	44	36	31	26	44	31	39	32	26	39	45	34	23	42	54	37	48	30	1	1	2	2	1	1	1	2	1	2	3	3	1	2	1	1	2	1	1	2	1	2	2	1	2	1	1	2	2	2	1	1	1	4	1	1	2	1	1	3	1	2	1	1	1	3	3	1	1	2	5	2	2	1	3	5
2000	-300.338654142385735	-307.194142093345135	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.764101450594337	0	1	2	3	5	3	5	5	7	6	6	8	11	8	12	10	12	12	11	13	14	17	19	20	21	21	22	21	22	21	22	21	24	25	24	23	25	25	24	25	26	25	26	25	26	29	27	28	28	28	28	29	30	30	30	31	0	1	1	3	6	3	0	4	7	4	8	11	12	8	16	12	16	16	14	16	20	21	22	23	23	23	32	23	24	24	32	23	27	24	31	32	26	29	31	27	32	26	31	39	44	36	28	39	45	43	26	51	37	47	44	54	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	1	2	2	2	1	3	2	2	1	1	2	4	2	1	2	3	1	2	2	3	1
2500	-273.651533343168694	-280.507021294128094	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.663528646026567	0	1	2	4	4	5	4	6	7	7	8	9	8	10	11	10	11	12	12	12	12	16	18	20	21	20	22	22	22	19	22	20	23	24	24	24	27	26	26	25	27	26	27	25	26	28	28	26	28	26	27	29	31	30	30	34	0	1	1	3	3	4	0	3	7	4	3	8	8	11	12	13	13	16	14	16	16	21	22	30	23	23	32	25	24	23	32	23	32	24	31	31	42	34	44	27	35	26	44	31	44	36	37	44	45	27	25	42	47	26	49	51	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	2	1	1	1	3	1	1	1	2	3	2	2	4	1	4
3000	-286.608960965252663	-293.464448916212064	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.738920083502487	0	1	2	4	5	3	4	7	6	7	6	8	10	10	11	10	11	12	13	12	13	17	18	19	20	20	22	22	21	21	22	21	23	24	24	24	25	24	25	24	27	25	27	24	27	27	27	27	28	28	30	30	30	30	31	33	0	1	1	3	6	3	0	4	7	11	1	8	12	11	13	12	13	13	14	16	20	21	22	23	24	23	32	23	25	24	32	25	32	26	31	32	26	29	44	32	35	26	44	31	39	37	37	39	43	23	47	47	47	37	39	52	1	1	1	1	1	1	1	1	1	1	3	1	2	2	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	2	2	3	2	1	1	1	1	1	1	3	2	2	2	2	2	2
3500	-287.251390020387134	-294.106877971346535	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.777307773896613	0	2	1	3	5	5	4	7	6	7	8	8	9	10	11	11	11	13	12	12	14	16	18	20	20	20	22	23	22	21	21	21	22	25	24	24	24	25	25	25	27	25	27	26	27	28	28	28	28	27	29	29	30	30	30	33	0	1	1	3	4	3	0	4	7	4	4	5	5	8	12	13	13	16	14	15	20	21	22	23	23	23	32	25	24	24	23	25	25	29	32	27	26	29	35	27	32	37	39	39	39	40	42	44	36	27	42	42	37	42	49	52	1	1	1	1	1	2	1	2	1	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	3	1	1	1	1	1	2	1	1	3	2	2	3	2	1	2
4000	-282.727412040404317	-289.582899991363718	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.734978197356065	0	2	2	4	5	4	3	6	7	6	8	9	7	9	11	9	10	12	13	13	13	16	18	20	21	20	20	22	21	21	22	21	23	24	24	23	26	24	25	26	26	25	27	24	27	27	27	27	29	28	30	30	30	30	30	32	0	1	1	3	3	3	0	4	7	4	8	8	8	13	11	13	13	16	14	16	18	21	20	23	23	23	23	23	23	24	27	23	27	24	31	32	42	29	44	32	35	25	44	36	39	34	42	44	45	46	47	47	47	47	43	51	1	1	1	1	1	2	1	1	2	1	2	1	1	1	2	1	2	2	2	2	1	2	2	1	2	1	2	2	1	1	1	2	1	2	1	1	1	1	1	3	1	2	1	1	1	1	1	2	1	1	2	2	2	2	1	1
4500	-306.159585679587678	-313.015073630547079	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.797695695467429	-1	1	1	3	4	3	3	5	7	8	8	7	9	8	12	11	11	13	11	12	14	15	17	19	20	20	21	21	23	21	22	20	24	25	24	25	26	26	24	25	26	25	26	26	27	28	27	28	28	28	29	29	29	31	30	33	0	1	1	3	3	3	0	3	7	4	12	8	8	8	16	13	13	17	10	16	20	20	22	23	23	23	32	25	24	24	23	23	28	30	31	31	26	29	31	32	35	24	39	39	36	40	42	39	43	36	47	47	37	52	49	53	1	2	1	2	1	1	1	2	1	3	1	1	2	2	1	1	1	1	1	1	2	2	1	1	2	1	1	1	2	1	2	1	2	2	1	1	2	2	1	3	1	3	1	2	1	2	1	2	1	2	1	1	3	1	1	2
