step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79
1	-3872.377246055921660	-3870.915163971402762	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.066372079470495	0	0	2	3	2	3	4	4	4	3	4	5	6	6	5	7	5	5	6	7	7	7	7	8	7	9	8	9	9	9	9	11	12	10	12	11	12	12	11	12	12	14	13	14	16	18	18	18	20	19	19	20	20	21	21	22	22	23	25	25	27	25	25	26	26	27	27	26	27	28	30	28	28	29	31	29	32	35	38	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	3	3	3	3	4	3	3	3	4	4	4	4	4	4	5	4	5	5	5	5	6	6	5	6	6	6	6	6	6	6	7	7	7	8	9	9	9	10	10	10	10	10	11	11	11	11	12	13	13	14	13	13	13	13	14	14	13	14	14	15	14	14	15	16	15	16	18	19
500	-1095.139980092068754	-1093.575661078089524	-1.564319013979273	0.000009973219357	0.000012614345794	1.264821853724794	0.172525041305395	-1	0	2	4	3	3	3	1	4	3	4	5	6	6	4	5	4	5	5	7	7	6	7	8	7	9	9	8	9	10	9	12	12	9	12	12	9	13	11	11	11	14	10	14	13	18	17	18	20	19	20	19	20	22	19	22	19	24	25	26	28	25	25	26	27	27	27	26	27	28	30	29	29	30	31	30	33	36	39	0	0	8	1	2	3	2	1	8	8	2	9	10	5	8	8	10	0	8	9	9	15	16	5	16	17	17	15	19	22	25	27	43	25	29	22	22	27	34	8	22	41	22	35	37	44	29	45	40	45	45	43	0	55	43	40	45	37	40	40	37	45	40	43	57	40	55	57	37	43	45	57	40	43	57	43	57	57	57	1	1	1	2	2	1	2	2	2	1	2	1	2	2	1	2	1	1	2	2	2	1	1	2	1	3	2	2	2	2	2	2	1	1	1	3	2	2	1	5	3	2	3	1	3	2	4	2	4	4	5	4	1	1	5	5	6	11	9	9	12	8	7	11	5	11	6	7	11	11	10	10	13	13	8	17	11	12	12
1000	-941.154237072140518	-939.192028208201577	-1.962208863938993	0.000009994198292	0.000022429594609	2.244261515935731	0.364017901607800	-1	0	3	3	2	3	4	2	4	4	4	5	6	6	5	6	6	6	7	6	8	7	7	7	7	10	8	9	10	10	9	12	12	10	13	12	12	12	12	13	12	13	10	14	16	18	18	17	20	19	19	20	17	22	21	22	19	24	25	25	27	25	26	27	23	26	27	27	28	29	31	29	29	30	32	29	33	36	37	0	0	8	1	2	8	2	1	6	8	2	9	10	5	3	8	10	0	8	9	12	15	16	14	16	17	17	15	19	22	25	27	28	25	29	22	43	27	34	19	22	22	22	35	37	35	44	45	40	48	48	48	0	51	51	49	45	45	42	29	57	52	49	48	57	49	65	57	57	57	65	45	49	57	65	43	65	65	68	1	1	1	2	1	1	1	2	1	1	3	1	1	2	1	2	1	1	2	2	2	2	1	1	1	2	1	3	2	1	2	3	2	2	2	2	1	3	2	3	3	4	2	1	2	3	1	1	5	1	2	2	1	2	2	2	2	5	5	10	6	2	4	7	2	5	3	6	9	9	4	8	8	9	6	14	9	11	5
1500	-720.342456290819882	-718.754509147647923	-1.587947143171907	0.000010116772987	0.000013385234415	1.323073516898173	0.399538315930817	-1	0	3	3	2	2	4	1	4	2	5	5	5	6	5	5	5	6	7	8	7	8	8	7	7	10	7	10	9	10	9	11	11	9	12	12	11	12	11	13	13	14	14	13	16	18	18	18	19	20	19	20	20	21	21	19	19	23	26	26	28	25	25	27	23	27	28	27	28	28	30	29	28	30	31	29	32	36	38	0	0	8	1	2	8	2	1	3	8	2	3	3	5	3	3	10	0	3	9	12	15	16	5	16	17	17	22	19	22	25	27	28	25	29	30	30	27	34	29	30	36	37	29	42	44	44	45	47	45	45	48	0	51	52	46	48	48	53	44	57	50	46	65	57	63	64	57	57	57	61	65	56	57	68	57	65	65	77	1	1	2	3	1	1	2	1	1	1	3	1	1	2	1	1	2	1	2	2	2	2	1	2	1	2	1	1	1	1	1	2	1	1	2	2	1	3	1	2	2	2	2	2	1	4	2	1	1	2	1	2	1	1	1	1	1	2	3	6	6	3	6	3	2	1	1	6	7	6	1	4	4	8	4	9	8	10	5
2000	-586.690999368123016	-585.276778718211858	-1.414220649911119	0.000010045794127	0.000008611630549	0.857237411026684	0.453957272497662	-1	0	2	3	3	4	3	1	3	3	4	5	6	7	5	5	5	5	6	7	7	7	7	8	7	10	8	9	10	9	9	11	12	11	12	12	12	13	12	13	11	15	14	14	16	18	16	18	19	19	20	20	20	21	21	21	19	22	25	26	28	25	26	24	23	27	28	27	25	28	30	27	27	30	31	29	33	35	39	0	0	8	1	2	3	2	1	8	8	7	9	10	5	3	3	10	0	3	9	12	15	16	5	16	17	17	15	19	22	25	27	28	25	29	22	30	32	34	35	22	22	37	29	37	44	44	45	46	48	48	48	0	51	50	49	45	52	53	56	57	58	56	65	57	63	64	65	64	57	64	65	56	65	65	57	65	72	77	1	1	1	2	1	1	2	2	1	1	1	1	1	2	2	2	1	1	2	2	1	1	1	3	1	3	1	2	3	2	1	2	2	2	1	2	2	1	1	1	2	5	2	2	2	4	1	1	1	1	1	2	1	1	2	1	2	1	3	4	6	2	2	1	2	1	2	3	1	6	3	3	3	5	5	9	7	6	3
2500	-560.609900974478819	-559.242883502584277	-1.367017471894518	0.000010113871155	0.000005014721480	0.495826118750515	0.504443107171421	0	0	3	3	3	4	4	2	4	3	3	5	6	6	4	6	5	5	7	8	8	7	8	7	8	10	9	9	10	7	10	11	12	11	13	11	12	12	12	12	11	14	13	15	17	18	17	17	20	20	18	21	19	21	22	19	21	23	23	22	27	26	23	25	24	28	27	26	28	29	30	28	29	29	30	30	33	36	38	0	0	8	1	2	8	2	1	3	8	2	9	10	5	8	6	10	0	6	9	12	15	16	2	16	17	17	22	19	15	25	27	28	25	29	22	41	27	34	29	22	22	37	29	43	35	44	36	46	48	48	48	0	51	48	46	48	48	53	56	65	58	60	65	57	63	64	65	67	65	64	65	63	65	68	48	72	72	78	1	1	1	2	2	1	2	1	1	1	2	1	2	2	1	2	1	1	3	2	2	2	1	3	1	2	3	1	2	2	1	1	2	2	1	2	1	1	1	2	2	3	1	3	3	2	1	3	1	2	1	2	1	2	3	1	2	3	2	2	1	2	1	1	2	3	2	1	1	3	3	2	5	4	2	6	3	6	1
3000	-496.562042856115966	-495.191232403657636	-1.370810452458334	0.000010304037929	0.000007004979407	0.679828573473819	0.635761198659148	1	1	3	4	2	3	3	2	4	4	4	5	6	6	5	5	5	6	5	7	8	8	7	8	7	8	7	10	10	9	9	10	12	11	12	11	13	13	12	12	12	15	12	15	16	19	19	18	21	20	20	20	20	21	20	22	22	24	25	25	27	26	24	25	24	27	27	26	27	29	30	28	28	30	31	29	31	36	38	0	0	8	1	2	8	5	1	8	8	2	9	10	5	3	6	8	0	6	9	12	15	16	5	16	17	17	15	19	22	25	27	28	31	29	22	36	27	34	29	22	30	30	35	37	44	44	45	46	48	48	48	0	51	48	46	48	52	53	56	68	58	56	65	57	63	64	65	64	68	67	65	63	65	70	72	72	72	78	1	1	1	2	1	1	1	1	1	1	2	1	1	2	1	2	2	1	1	2	2	2	1	2	1	2	1	2	2	1	2	1	1	1	2	2	1	3	1	1	2	4	1	1	1	2	2	1	1	1	1	2	1	1	1	2	2	2	2	1	1	2	1	1	1	2	1	1	1	2	2	3	2	4	1	1	1	3	1
3500	-482.353347928583503	-480.954021151155530	-1.399326777427955	0.000010584211469	0.000008530947401	0.806006892944861	0.610378707354792	-1	0	3	4	2	4	3	2	4	3	4	5	5	6	5	6	5	6	6	8	8	7	7	8	7	8	9	8	9	9	10	11	12	11	12	10	11	11	12	12	11	13	12	15	15	18	18	18	20	19	19	19	21	22	21	21	22	23	24	26	27	26	24	25	23	27	28	26	27	28	31	28	28	29	31	29	32	35	38	0	0	8	1	2	8	2	1	8	8	2	9	10	5	6	8	10	0	6	9	12	15	16	14	16	17	17	15	19	22	25	27	28	25	29	22	36	27	34	29	22	22	37	35	43	44	44	45	46	48	48	45	0	51	48	49	48	52	53	56	68	58	56	65	57	63	64	65	64	68	67	65	63	65	70	70	74	77	78	1	1	1	3	2	1	1	2	1	1	2	1	1	2	1	2	1	1	2	2	2	1	1	1	1	2	2	2	1	1	2	1	2	2	2	2	1	1	1	1	2	2	1	3	1	2	1	2	1	1	1	2	1	2	1	1	2	2	1	3	1	1	2	1	1	2	1	2	1	1	1	2	3	4	2	1	2	2	2
4000	-503.335562103661459	-501.845016239150482	-1.490545864510985	0.000011569317029	0.000012460104598	1.076995691869042	0.662882916256432	1	-1	3	3	3	4	5	2	3	3	5	5	5	6	5	6	5	6	6	7	7	7	7	9	8	9	9	9	10	9	10	12	12	10	11	11	12	11	12	12	11	13	13	15	15	18	19	18	20	20	19	19	21	21	22	23	22	24	25	25	28	26	25	26	24	28	27	27	27	27	29	28	27	28	32	28	32	36	39	0	0	8	1	2	3	2	1	8	8	2	9	8	5	3	8	10	0	3	9	9	15	16	14	16	17	17	15	19	15	25	27	28	25	29	22	30	27	34	35	22	41	30	29	43	40	44	45	46	48	48	48	0	51	48	49	48	48	53	56	68	58	56	65	57	63	64	65	64	65	64	65	63	65	70	70	72	72	78	1	1	1	1	2	1	3	1	1	1	2	1	1	3	1	3	1	1	2	2	2	1	1	2	2	2	2	2	2	3	2	2	2	1	1	2	2	1	1	1	2	1	1	2	1	2	2	3	1	1	1	1	1	1	2	1	1	4	1	2	1	1	1	1	1	2	1	2	1	1	1	2	1	2	2	1	1	3	2
4500	-484.587094032931418	-483.222790002969646	-1.364304029961778	0.000012151343173	0.000007683707882	0.632334036873646	0.546588011282814	0	-1	3	4	1	3	3	1	4	3	4	5	6	6	5	5	6	5	6	8	8	7	7	8	7	9	8	10	9	10	9	11	12	11	13	12	11	11	10	13	12	13	13	14	16	17	18	18	20	20	20	20	21	22	22	22	22	24	26	24	27	25	26	26	25	28	28	27	28	27	30	27	28	30	31	29	31	35	39	0	0	8	1	2	8	2	1	8	8	7	9	10	7	6	8	10	0	8	9	12	15	16	5	16	17	17	22	19	22	25	27	28	31	29	22	22	27	31	29	30	22	22	40	36	44	44	45	46	48	48	48	0	51	48	49	52	52	53	56	65	58	60	65	57	63	64	65	64	65	64	65	63	68	70	70	72	77	78	1	1	1	2	1	1	2	1	2	1	1	1	1	2	1	2	2	1	3	3	2	2	1	4	1	1	1	2	1	2	1	2	1	1	2	2	2	2	1	2	2	3	3	1	2	1	2	1	1	1	1	2	1	1	1	1	1	3	2	2	1	1	2	1	2	1	2	2	1	1	3	1	1	2	2	1	2	2	2
