step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14
1	-227.819641278382363	-226.357559193863494	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.488805960274944	3	5	4	4	7	6	5	8	8	10	11	12	14	17	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	3	3	4	4	5	6	7
500	-144.265762225032603	-140.547468220421649	-3.718294004610965	0.000009958510496	0.000085640811063	8.599761088793306	0.529977684990970	3	4	5	5	7	5	6	8	8	8	10	12	15	18	0	1	2	2	4	1	2	2	5	1	5	5	12	13	1	1	1	1	1	1	1	2	1	2	1	2	2	2
1000	-143.728611753551576	-141.799977593250873	-1.928634160300690	0.000009935057518	0.000021447943803	2.158814255897309	0.451560158065307	3	6	4	4	7	6	5	9	9	10	12	11	15	16	0	1	1	1	4	1	1	1	5	2	5	5	12	13	1	2	1	1	1	2	1	4	2	2	2	3	2	1
1500	-134.872459457619726	-132.185311555793248	-2.687147901826465	0.000009949651714	0.000043419135147	4.363884927228434	0.672302632341720	3	5	4	5	7	5	5	7	8	10	11	12	14	18	0	1	1	1	4	1	1	2	5	2	5	5	12	13	1	1	1	1	1	1	2	1	1	2	2	2	1	2
2000	-139.569853697124330	-136.146741011338520	-3.423112685785812	0.000009822286057	0.000070865297631	7.214745856432111	0.658148571588084	3	5	4	5	7	6	5	7	9	10	10	12	14	17	0	1	1	1	1	2	1	2	5	1	5	5	12	13	1	2	1	2	1	1	1	1	1	3	1	2	1	2
2500	-146.217429215801673	-144.062598821377918	-2.154830394423763	0.000009801934050	0.000026984872790	2.753015134853162	0.503661589268755	2	4	4	5	7	6	6	9	8	8	11	12	13	17	0	1	1	2	4	1	1	7	5	1	5	5	12	13	1	1	1	1	1	2	2	1	1	3	3	3	1	2
3000	-144.918393385246446	-142.920092929010679	-1.998300456235778	0.000009896577472	0.000023129357493	2.337106697564430	0.585163602365276	2	5	4	4	7	7	6	7	8	9	10	12	13	17	0	1	1	1	4	2	2	2	5	2	5	5	12	13	1	1	1	2	1	1	1	1	1	1	2	3	1	3
3500	-146.899806055930640	-144.033670051272566	-2.866136004658066	0.000009682567106	0.000048265401042	4.984773202438410	0.543623722935429	2	5	3	3	7	6	6	8	9	10	12	13	15	16	0	1	1	1	2	2	2	2	5	2	5	5	12	13	1	1	1	1	1	1	1	2	2	3	3	3	1	1
4000	-137.870765713158306	-135.899643933195080	-1.971121779963225	0.000010200563666	0.000023125615883	2.267091960730711	0.599832247801717	2	6	4	5	6	7	5	8	9	9	11	13	14	18	0	1	1	1	4	1	1	2	5	2	5	5	12	13	1	2	1	2	1	2	1	1	1	2	3	4	1	2
4500	-133.278116308964599	-130.866395287104012	-2.411721021860585	0.000011160297685	0.000038941142646	3.489256625917663	0.842199695690211	3	5	4	5	7	5	6	8	9	8	11	12	15	17	0	1	1	1	4	1	2	2	5	1	5	5	12	13	1	1	1	1	1	1	1	2	1	2	1	2	1	1
