step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19
1	-573.053039928396970	-571.590957843878073	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.858725588808109	-1	2	2	4	6	7	5	7	7	8	9	8	12	12	14	15	15	17	20	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	4	4	3	4	4	5	5	5	7	7	8	8	8	9	11
500	-141.543471031572579	-138.442776915467078	-3.100694116105489	0.000010027942289	0.000058828576881	5.866465440650587	0.529110070815686	0	3	2	3	5	8	6	7	8	8	8	8	12	11	14	15	16	17	21	0	3	1	3	1	7	3	3	8	5	4	7	11	9	5	10	0	17	17	1	1	1	1	3	1	3	3	1	2	3	1	2	1	5	4	1	1	2
1000	-144.333650603386559	-140.642889083614818	-3.690761519771753	0.000010076358881	0.000085287700882	8.464138870666018	0.517460817742782	0	2	2	4	6	8	6	6	8	7	9	8	13	11	13	15	14	17	18	0	1	1	3	2	7	2	2	8	2	4	7	11	8	5	5	0	17	18	1	1	1	1	2	1	2	2	1	2	3	1	2	3	2	4	1	2	1
1500	-147.403877544625630	-145.276093165409037	-2.127784379216594	0.000010139908493	0.000027170049549	2.679516246981265	0.568480947471139	-3	2	3	4	6	8	4	7	8	9	10	8	11	12	15	14	15	18	19	0	1	2	2	3	7	2	2	8	5	4	7	11	9	5	10	0	17	17	1	2	1	1	2	2	1	2	1	3	4	2	1	2	3	3	1	1	2
2000	-139.185441984527984	-136.813605506215822	-2.371836478312165	0.000010264481544	0.000034593177627	3.370182651646726	0.666137348883629	-1	3	2	5	7	8	6	5	7	8	8	9	12	12	14	15	14	18	20	0	1	1	3	2	7	1	2	8	3	4	7	11	9	5	5	0	17	18	1	1	1	1	2	1	4	1	1	3	2	2	2	3	3	4	1	2	1
2500	-145.026228278335367	-142.573116057462499	-2.453112220872876	0.000010397718721	0.000037585512918	3.614784543209139	0.584517330034943	0	1	3	4	6	8	4	7	8	8	9	8	13	12	14	14	15	17	21	0	1	2	2	1	5	3	5	8	5	4	7	11	9	10	10	0	17	18	1	1	1	1	2	1	1	1	1	1	2	2	2	3	3	2	1	2	2
3000	-147.725636852779076	-145.231566540475256	-2.494070312303816	0.000010624290424	0.000039745459030	3.740998922746573	0.541083938851610	-1	1	2	4	6	6	3	6	8	9	9	7	12	12	12	15	14	18	20	0	1	2	2	1	7	2	2	8	5	4	7	11	9	5	5	0	17	18	1	1	1	1	4	2	1	3	1	2	2	2	1	2	4	4	1	3	1
3500	-139.725026460256174	-137.348902791370705	-2.376123668885456	0.000011105262571	0.000037567929751	3.382894327082689	0.389148114913313	-1	1	3	4	4	7	5	7	8	8	9	8	13	12	14	14	15	17	20	0	1	1	1	2	7	2	1	8	2	4	7	11	9	5	10	0	17	18	1	1	2	2	2	1	2	4	1	4	2	1	2	2	5	4	1	1	1
4000	-146.766920888292162	-144.357100747432497	-2.409820140859675	0.000010995541490	0.000038303407850	3.483539931723035	0.419320616417026	0	3	3	4	5	5	5	7	8	8	9	9	12	12	13	15	15	18	20	0	1	1	2	2	2	2	2	8	5	4	7	11	8	10	1	0	17	18	1	2	2	1	1	1	1	2	1	1	3	2	2	3	2	8	1	2	2
4500	-137.210368449846584	-135.074508149428880	-2.135860300417699	0.000011249259284	0.000030388615983	2.701388172730363	0.604975073726060	-1	1	3	4	5	7	6	6	8	8	9	7	13	12	13	13	15	17	19	0	1	2	3	2	7	2	2	8	3	4	7	11	9	10	10	0	17	18	1	2	1	1	2	1	3	3	1	2	2	1	2	2	3	3	1	2	1
5000	-139.931118739507781	-137.709111335518543	-2.222007403989232	0.000012970612173	0.000038117201409	2.938735728280232	0.686659273104051	0	3	3	4	5	7	6	7	8	9	9	9	11	12	14	16	14	16	21	0	1	1	3	1	5	2	5	8	3	4	7	11	9	10	10	0	17	18	1	1	1	1	3	1	1	1	1	3	2	2	1	3	2	2	1	1	3
5500	-129.919154932403700	-127.423980471839315	-2.495174460564388	0.000015381194816	0.000057593796635	3.744429306259136	0.457202136377037	-1	2	0	3	6	7	5	6	8	7	9	8	12	11	14	15	15	18	19	0	3	1	3	2	7	2	2	8	5	4	7	11	9	5	15	0	17	18	1	1	1	1	2	1	2	2	1	1	3	2	2	1	3	1	1	2	1
6000	-121.926376571185870	-120.351517186891044	-1.574859384294822	0.000021690553785	0.000027999884285	1.290879180083798	0.844502402804196	0	3	2	4	6	7	5	7	8	8	9	8	12	11	12	14	15	17	20	0	3	1	3	2	7	2	2	8	5	4	7	11	9	10	15	0	17	18	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1
6500	-128.358148478650918	-126.977840311354569	-1.380308167296356	0.000059002825543	0.000026268790092	0.445212408901997	0.667834801935960	-1	3	2	4	5	8	5	7	8	8	9	9	10	12	15	16	15	17	20	0	3	1	1	3	4	2	5	8	8	8	7	11	9	3	15	0	17	18	1	1	1	3	1	2	1	2	1	1	2	2	1	2	6	1	1	1	3
7000	-127.655964696815630	-126.250622812254761	-1.405341884560867	0.000061364860133	0.000050769169364	0.827332927235887	0.572901908322491	-1	2	2	4	3	6	5	8	5	8	9	8	12	12	14	15	15	17	19	0	1	1	3	2	1	2	9	5	3	4	7	11	10	3	15	0	17	17	1	2	1	1	1	2	1	2	1	2	3	2	2	2	5	1	1	1	2
7500	-117.342454356062760	-115.854325832621015	-1.488128523441747	0.000154180150794	0.000046754324796	0.303244772786467	0.788654113608543	0	3	2	5	7	7	5	6	8	9	10	8	12	11	13	14	15	18	19	0	3	1	2	1	1	2	3	8	9	4	7	11	8	10	10	0	17	18	1	1	1	1	3	3	1	1	1	1	2	2	1	2	2	2	1	2	1
8000	-120.808556052908045	-119.418033533585742	-1.390522519322298	0.000079560422746	0.000033428685858	0.420167272923567	0.545191219943134	0	2	3	4	6	7	5	5	7	8	9	7	13	12	12	15	14	16	20	0	1	2	2	1	7	2	3	3	2	5	7	11	9	5	15	0	17	17	1	1	1	2	4	1	2	1	2	2	2	1	2	2	3	2	1	1	2
8500	-130.526168867737908	-129.022269161288250	-1.503899706449671	0.000145236163845	0.000042402867819	0.291958054362322	0.376456344938567	-1	3	1	5	5	7	6	7	5	9	9	8	12	11	15	14	15	18	21	0	3	1	1	2	7	4	9	3	8	1	1	11	8	2	11	0	17	15	1	1	1	3	1	1	1	1	2	1	4	4	2	3	7	2	1	2	3
9000	-111.216894063377026	-109.854997507008562	-1.361896556368469	0.000111584020306	0.000060015463566	0.537849984268811	0.731463777942422	0	2	3	4	6	6	5	7	8	9	8	7	12	13	13	12	15	18	20	0	1	2	2	4	2	3	5	8	5	3	7	11	9	16	10	0	17	18	1	1	1	1	1	2	2	1	1	1	3	1	2	2	1	1	1	2	1
9500	-135.571760759989104	-134.184818706579165	-1.386942053409947	0.000160986645482	0.000068935782798	0.428208082672465	0.633196485399285	-1	2	3	4	5	7	6	8	7	8	7	8	10	11	14	16	15	17	21	0	1	1	3	3	5	3	7	5	11	3	7	4	3	11	7	0	17	17	1	1	2	1	1	1	1	1	1	1	1	1	2	3	2	5	1	1	4
10000	-126.314507456076399	-123.901190517457380	-2.413316938619022	0.000247796528564	0.000023024151797	0.092915554266534	0.685017456557408	0	2	2	3	6	7	5	6	7	9	8	8	13	12	15	14	16	18	20	0	1	1	1	7	5	2	4	3	5	5	1	11	10	10	14	0	17	18	1	1	1	2	1	1	2	1	2	1	1	3	3	2	3	1	1	2	1
