step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47
5000	-251.185098228329849	-258.040586179289221	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.652432473665106	1	3	2	2	4	3	4	5	6	5	7	4	5	4	4	5	7	4	5	6	6	8	8	8	5	9	8	8	7	9	7	10	8	10	12	11	11	11	13	14	14	14	15	17	16	17	17	0	1	1	1	2	1	4	6	3	3	14	4	18	2	4	6	8	3	6	25	5	9	3	15	15	16	16	8	9	9	14	28	4	27	32	3	33	33	33	36	32	38	24	45	36	41	40	1	1	1	1	1	2	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	2	1	1	1	1	3	1	1	4	2	2	2	3	2	1	3	1	3	1	2
5500	-239.660384464061366	-246.515872415020738	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.729753900613358	0	2	2	5	4	3	3	5	6	4	7	4	5	5	5	5	7	5	6	6	6	6	7	9	7	8	7	9	8	7	8	9	7	9	10	11	9	11	13	15	13	15	14	17	13	17	17	0	1	1	12	2	2	3	5	12	3	15	3	2	7	3	2	8	7	12	15	14	7	18	30	15	16	16	22	11	13	19	5	9	27	32	24	33	37	37	36	28	39	24	40	24	41	40	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	2	1	1	2	2	1	1	1	2	1	1	2	3	2	1	2	1	2	2	1
6000	-224.812645561744091	-231.668133512703463	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.736267131990055	0	3	2	4	4	3	3	5	4	4	6	4	5	2	5	5	7	5	3	6	6	8	6	8	7	8	9	9	7	8	7	9	6	10	12	12	10	12	13	14	13	15	15	16	15	18	16	0	14	1	3	1	14	3	2	3	3	18	7	3	1	3	6	8	7	14	15	8	4	10	15	20	16	16	8	8	12	19	17	7	27	32	24	33	37	37	24	32	39	36	36	36	41	36	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	1	2	2	2	1	1	2	1	1	1	2	2	2	1	2	2	2	1	2	2	1	2	2
6500	-227.901838229824961	-234.757326180784332	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.658208312460994	0	3	2	4	1	3	3	4	6	4	6	4	4	5	5	5	7	5	6	6	6	8	7	9	8	8	8	8	8	8	8	9	9	9	12	12	11	12	13	14	13	15	14	17	15	17	17	0	1	1	3	1	3	3	2	4	7	18	3	6	5	12	6	8	4	2	15	8	9	4	23	20	16	2	21	8	4	19	17	18	27	32	24	33	37	37	24	32	39	36	40	40	41	43	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	2	1	2	1	1	2	3	1	2	2	1	1	2	1	2	2	1	1	1	4	2	1	1	3	1	2	2
7000	-191.909431516026700	-198.764919466986072	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.789667942329031	0	3	2	3	5	4	4	5	6	4	6	5	4	5	5	5	7	5	6	6	6	7	7	9	8	8	9	9	7	8	8	9	8	10	11	12	10	12	12	14	14	14	14	16	17	17	16	0	1	1	3	2	1	3	6	10	3	10	4	3	2	3	6	8	2	14	15	8	12	7	15	20	16	16	17	8	22	19	21	22	27	32	15	33	37	37	24	32	39	36	40	40	41	40	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	2	1	1	1	3	1	1	1	2	2	1	1	1	2	2	1
7500	-228.035335554187611	-234.890823505146983	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.645858180260130	0	2	2	4	5	2	3	5	6	5	6	4	4	5	5	5	7	6	5	6	7	7	7	9	7	8	8	8	8	6	7	9	7	9	11	11	9	12	13	14	14	14	15	16	15	17	16	0	1	1	3	2	1	3	2	12	4	12	3	7	2	12	6	30	4	2	15	8	30	8	15	20	14	16	30	17	12	30	21	10	27	32	22	33	37	37	36	35	39	36	36	36	41	40	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	2	2	1	2	2	2	2	1	2	2	2	2	1
8000	-215.539461339408604	-222.394949290367975	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.771201147527279	1	2	2	4	3	4	3	4	6	3	6	4	5	4	6	6	6	5	6	5	5	7	7	8	6	8	8	8	8	8	7	9	9	9	12	11	11	11	13	14	13	15	14	15	17	17	16	0	1	1	7	2	1	3	2	12	3	12	3	7	2	12	6	8	12	14	10	8	7	18	15	20	16	16	8	8	10	19	21	22	27	32	24	33	30	37	24	32	39	15	40	47	41	40	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	3	1	2	1	1	2	2	1	1	2	2	2	2	4	1	1	2	1
8500	-223.548475861777746	-230.403963812737118	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.703249381009591	0	3	2	3	3	3	3	5	6	4	6	4	5	6	4	5	7	5	7	5	6	7	7	9	8	7	8	7	7	8	8	9	9	10	11	12	11	12	13	14	14	15	16	14	17	17	15	0	1	1	3	1	1	3	1	10	4	12	3	7	5	3	6	8	4	14	15	8	18	9	15	20	16	16	8	8	14	5	14	22	27	32	24	33	37	37	36	35	39	40	25	47	41	24	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	2	1	1	1	2	2	1	1	1	1	2	2	1	3	1	2	3
9000	-206.865805343564347	-213.721293294523718	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.737572983773018	0	2	3	5	4	3	1	5	5	3	6	4	4	5	5	5	7	6	6	6	6	8	7	8	7	8	8	7	7	8	7	8	7	10	11	11	10	11	13	14	13	14	16	16	17	17	17	0	1	7	10	2	2	1	2	3	7	14	10	7	5	3	6	8	4	5	15	8	4	4	15	20	16	16	8	8	4	19	21	9	27	32	24	33	37	38	24	35	39	24	40	40	41	24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	2	2	1	1	2	1	1	4	1	1	2	4
9500	-237.302576997080251	-244.158064948039623	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.690408688265751	0	3	2	4	4	2	1	6	4	4	5	3	5	5	5	4	5	5	6	6	7	7	7	8	8	8	7	8	7	8	7	9	8	9	12	11	11	12	13	14	14	15	15	17	17	18	16	0	6	7	12	12	1	1	17	7	3	9	7	7	1	3	2	2	4	5	10	14	12	9	15	20	16	16	17	17	10	2	21	2	27	17	24	30	37	37	36	32	39	40	36	40	41	36	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	1	2	1	2	1	2	2	1	2	2	2	1	2	1	3	1	2	1	1	2	2	1	1	3	2	2	3
10000	-221.167988857826884	-228.023476808786256	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.762653824062930	0	3	2	5	4	2	3	5	4	4	6	5	4	5	4	5	6	6	6	6	6	7	7	9	8	7	8	8	6	8	8	9	7	10	11	10	9	11	12	14	14	15	15	16	17	18	18	0	1	1	7	1	1	3	2	7	7	5	9	3	2	7	6	8	10	5	15	5	7	9	15	20	16	26	8	8	4	19	5	9	27	32	15	33	37	37	24	32	39	40	40	40	41	45	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	2	1	1	1	2	2	2	1	1	1	2	1
