step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76
1	-3478.690215261381582	-3485.545703212340868	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.674580465964286	1	2	1	2	2	3	2	3	3	3	4	4	4	5	5	5	7	5	5	5	6	8	6	6	6	7	8	8	7	9	7	8	8	9	9	10	10	10	11	10	11	11	11	11	11	14	12	13	15	14	14	13	14	15	14	14	14	14	14	15	15	16	15	15	16	16	16	18	18	20	20	22	22	22	22	23	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	3	3	3	3	3	3	5	3	3	3	4	6	4	4	4	5	6	6	5	6	5	6	6	6	6	7	7	7	8	7	8	8	8	8	8	10	8	9	11	10	10	9	10	11	10	10	10	10	10	11	11	11	11	11	11	11	11	13	13	14	14	16	16	16	16	16
500	-577.941370704350902	-584.796858655310302	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.261377839048719	0	2	1	2	2	3	2	3	3	3	4	3	4	4	5	5	7	5	5	3	6	8	5	5	6	7	8	7	5	8	7	5	8	8	9	8	10	10	11	10	9	11	11	11	10	13	12	13	15	14	14	13	14	14	14	14	14	14	12	15	14	16	15	14	16	16	16	18	18	20	19	22	21	22	22	23	0	1	1	1	3	3	0	5	7	7	7	1	20	9	10	9	16	7	12	7	10	18	11	2	18	14	14	23	14	25	23	2	25	23	32	12	12	28	23	36	24	32	19	23	34	32	38	24	39	36	44	37	24	38	48	36	12	28	41	39	36	12	41	44	32	63	34	42	26	39	39	44	39	39	34	28	1	2	1	2	1	2	1	1	1	1	2	3	1	1	2	2	2	2	2	1	3	3	1	2	1	3	1	2	1	2	2	3	2	2	2	4	5	3	5	2	4	6	5	5	2	6	2	5	4	6	3	2	7	4	1	5	8	7	3	4	4	10	5	1	9	1	8	6	9	6	7	11	10	10	11	14
1000	-500.539353221999647	-507.394841172959048	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.321341063530050	0	1	1	2	2	3	1	3	3	3	4	3	4	4	5	5	7	4	4	3	6	7	6	5	5	7	6	8	7	8	7	7	7	9	9	8	10	10	11	10	11	11	11	11	10	14	12	12	12	14	11	13	14	15	14	13	14	14	14	15	15	16	15	13	14	16	16	18	18	20	19	22	22	22	22	22	0	1	1	1	3	3	0	5	7	7	7	2	10	7	7	9	10	7	12	7	14	14	9	12	18	15	14	22	10	9	27	1	25	31	36	32	36	28	29	32	36	32	32	34	34	32	45	36	34	32	34	41	42	49	42	43	43	45	52	47	55	24	50	34	12	56	58	56	58	54	49	39	49	54	60	49	1	1	1	2	1	2	1	1	2	2	2	2	1	2	3	1	2	3	1	2	2	2	2	2	1	2	2	1	2	4	1	3	1	2	1	1	2	2	2	2	2	3	2	2	1	4	2	4	2	3	2	2	2	2	2	1	2	3	1	2	1	7	1	3	10	2	2	3	3	3	6	10	7	4	5	10
1500	-449.078008002191950	-455.933495953151350	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.425229794702802	0	2	1	2	2	3	1	3	3	3	4	4	4	4	5	4	7	3	5	5	6	8	6	6	6	7	6	8	7	9	7	7	8	9	9	9	10	8	9	10	11	11	10	11	10	13	11	12	14	13	14	13	14	15	13	14	14	12	14	15	14	15	15	15	15	15	15	18	17	20	20	22	20	22	19	22	0	1	1	1	3	3	0	5	7	7	7	1	9	10	10	7	25	7	12	9	14	15	11	4	18	18	14	23	27	11	23	24	25	31	32	32	35	23	38	24	36	35	36	38	39	41	28	37	44	43	39	41	36	49	37	50	48	28	41	51	43	56	50	51	32	56	51	62	51	60	49	60	49	73	49	44	1	2	1	2	1	2	1	1	2	2	2	3	1	1	2	2	1	2	1	1	2	2	2	4	3	2	2	2	1	4	1	1	1	2	1	2	1	2	1	4	1	2	1	3	1	2	2	2	2	1	4	2	3	1	3	1	2	4	2	1	2	1	2	1	7	1	1	2	2	3	6	6	5	2	5	7
2000	-429.709862507670834	-436.565350458630235	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.557149839601302	0	2	1	2	2	3	0	3	3	3	4	4	4	5	5	5	4	5	5	4	5	8	6	5	6	7	8	8	4	9	7	8	8	9	9	10	10	10	11	9	10	11	9	11	10	14	11	13	15	12	14	13	14	15	13	14	14	14	14	12	13	16	14	14	15	15	16	17	18	20	20	22	22	22	22	22	0	1	1	1	3	3	0	5	7	7	7	2	7	29	17	13	7	10	12	10	9	14	29	12	17	29	14	31	9	25	13	24	25	28	32	35	43	28	28	2	32	40	32	34	28	50	45	36	60	43	34	41	36	60	43	50	61	39	52	38	37	56	50	39	63	56	58	53	51	49	49	54	49	71	49	54	1	2	1	2	1	2	1	1	2	2	4	1	3	1	1	1	3	2	1	1	1	2	1	1	2	2	2	1	1	3	3	3	2	1	1	1	1	2	3	4	2	1	1	2	2	1	1	2	2	2	4	3	3	2	2	2	1	2	1	2	3	1	2	2	1	1	2	3	4	5	2	4	4	2	5	7
2500	-409.107242521937280	-415.962730472896681	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.490473078801164	0	2	1	2	2	2	1	3	3	3	4	4	4	5	5	4	7	5	5	5	6	6	6	6	6	7	8	8	7	8	7	7	8	9	9	10	10	10	11	9	11	11	11	11	11	13	12	12	15	14	13	12	13	13	12	14	14	13	14	12	14	15	15	15	15	16	15	17	16	19	19	22	22	21	22	23	0	1	1	1	3	3	0	5	7	7	7	1	10	10	10	9	7	11	2	13	10	14	14	2	11	11	22	23	14	18	23	12	11	28	24	32	32	34	34	24	32	37	32	34	14	41	34	37	54	32	44	41	48	60	32	37	43	39	46	38	37	56	50	58	61	62	51	62	67	49	60	71	70	71	49	71	1	2	1	2	1	1	1	1	2	2	3	3	1	2	2	1	4	1	3	1	3	1	1	2	1	2	2	2	2	2	1	2	3	1	3	2	2	1	2	2	3	1	3	2	3	2	2	1	2	4	2	1	1	1	3	4	2	1	1	2	4	1	1	2	1	1	2	2	1	2	3	3	3	2	4	4
3000	-408.918125577351816	-415.773613528311216	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.554671673705138	-2	1	1	2	2	3	1	3	2	3	4	4	4	5	5	5	7	5	5	5	6	6	6	6	6	7	7	8	7	8	7	7	8	9	9	10	10	10	11	10	11	11	11	11	11	14	9	13	14	14	11	12	14	15	14	14	14	14	14	15	15	16	15	15	16	16	16	15	17	17	17	21	22	22	22	23	0	1	1	2	3	3	0	5	7	9	10	2	9	11	9	10	11	10	12	9	14	14	16	12	18	14	22	23	14	7	15	19	25	28	32	35	32	34	28	32	36	32	37	28	47	41	28	36	45	43	28	41	36	49	36	37	24	39	52	49	43	68	48	44	43	68	58	56	64	49	60	71	71	71	70	72	1	2	2	1	1	1	1	1	1	1	1	3	2	1	3	2	2	2	1	2	1	1	1	2	1	1	1	2	1	5	2	1	1	1	1	1	2	1	2	3	1	2	1	2	2	2	1	3	2	3	3	1	2	1	4	3	5	2	2	1	3	1	2	4	5	1	2	1	1	2	2	3	5	4	5	2
3500	-413.695868965041996	-420.551356916001396	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.463697249168709	0	1	1	2	2	2	2	3	3	3	4	4	4	4	5	5	7	5	3	5	6	8	5	6	6	6	8	7	7	9	6	8	8	8	9	10	10	10	10	10	11	11	11	11	11	14	12	12	13	13	13	13	14	15	14	14	14	14	14	15	15	15	15	15	16	16	16	18	18	17	20	21	22	22	22	23	0	1	1	2	3	3	0	5	7	7	7	1	9	9	7	9	11	11	1	13	15	9	14	19	10	14	14	31	23	18	23	19	25	28	32	32	32	34	34	24	24	32	37	28	23	36	34	36	39	43	39	36	48	49	43	32	32	51	52	49	43	56	43	58	56	32	64	62	67	54	60	70	70	70	72	74	1	1	1	1	1	1	1	1	1	1	2	3	1	1	3	2	2	1	2	1	1	4	1	2	3	2	2	1	1	3	1	4	1	1	1	2	2	2	2	2	3	3	1	3	3	2	2	1	2	2	2	3	2	2	2	3	6	1	1	2	2	1	3	1	1	4	1	2	1	2	3	2	4	5	1	1
4000	-383.999123966140303	-390.854611917099703	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.578164733733876	-1	2	1	2	2	2	2	3	3	3	4	4	4	4	5	5	7	5	5	5	6	8	6	6	6	7	5	8	6	9	7	8	8	9	9	10	10	9	11	10	11	10	11	11	11	13	12	12	13	13	14	12	12	15	13	14	14	13	13	15	14	16	14	15	13	15	13	18	16	17	20	21	22	22	22	23	0	1	1	1	3	3	0	5	7	7	10	2	9	9	11	9	7	7	2	13	9	29	14	12	18	14	14	23	14	25	23	24	25	28	32	24	32	28	38	35	32	32	37	34	34	52	44	41	39	43	58	41	41	49	43	41	2	39	41	49	43	61	50	67	43	56	39	66	64	60	70	71	70	70	72	73	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	1	2	1	1	2	1	2	1	1	2	2	1	2	2	1	1	3	2	1	2	1	3	1	1	2	2	1	1	1	2	2	1	1	1	2	2	2	5	1	2	2	2	2	1	2	2	1	2	2	1	1	2	1	3	3	1	1
4500	-369.556766761503695	-376.412254712463096	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.608055486133803	0	1	1	2	2	3	2	3	3	3	4	3	4	5	5	5	5	5	4	5	6	6	6	6	6	7	6	7	7	9	7	8	8	9	9	10	10	10	11	10	10	11	10	11	10	12	12	13	13	14	14	13	12	15	14	14	13	14	13	15	15	16	15	15	16	16	16	18	18	17	19	20	22	22	22	23	0	1	1	1	3	3	0	5	7	7	7	2	9	11	10	11	10	10	2	13	14	14	14	19	11	14	14	23	27	25	23	24	25	28	32	35	35	34	45	32	32	32	32	34	23	41	45	36	39	48	47	46	36	49	32	53	43	34	41	49	37	57	55	51	50	61	64	62	67	60	70	71	72	70	71	74	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	3	1	1	1	1	1	2	2	1	1	1	2	1	2	1	2	1	1	1	1	1	2	2	1	2	2	2	2	2	2	2	1	2	1	2	2	4	2	2	4	1	2	3	1	1	1	2	1	1	2	2	2	2	1	2	5	3	1
