step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43
5000	-223.936345238241984	-232.987188618693324	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997039498659228	5	-4	5	16	11	20	21	27	26	23	28	29	27	33	39	37	34	41	40	48	59	52	47	47	51	56	58	62	78	58	53	62	66	65	74	55	74	53	66	91	69	71	84	2	0	2	1	2	4	4	7	4	6	6	9	4	10	13	14	8	14	14	17	38	20	15	14	19	16	19	26	41	20	20	30	27	21	32	22	39	24	27	37	27	34	37	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5500	-236.487261930411307	-245.538105310862647	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999980606884432	-2	-9	5	12	9	20	18	27	31	16	26	20	23	29	41	37	32	36	38	45	52	41	49	45	45	54	61	57	64	55	59	61	62	54	76	57	73	68	70	84	74	70	75	2	0	1	5	3	4	4	7	13	4	13	10	6	13	16	17	11	8	17	22	22	17	24	11	22	23	36	25	34	23	15	28	30	23	29	23	26	29	38	41	30	29	33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6000	-224.550557434021187	-233.601400814472527	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996460888257789	5	-5	0	13	15	9	12	25	27	23	17	26	28	29	36	33	35	41	38	47	52	46	54	52	50	58	56	67	72	62	61	52	60	59	72	56	72	61	72	91	74	77	87	3	0	2	3	7	1	3	11	4	4	6	11	10	8	9	8	9	15	13	15	20	18	22	22	22	22	25	27	31	36	24	20	36	20	27	24	36	23	31	43	28	35	35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6500	-222.896428526109645	-231.947271906560985	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994213951031351	3	-2	10	20	14	20	21	25	26	28	29	23	31	34	39	37	36	40	32	45	55	48	52	57	45	48	53	64	79	64	61	56	68	58	69	67	73	67	72	93	75	64	85	2	0	1	5	1	5	5	3	7	12	7	5	10	8	10	9	9	11	6	15	15	15	18	22	18	16	22	24	33	24	26	27	30	23	34	27	38	30	28	29	36	32	41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7000	-228.991501603766608	-238.042344984217948	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.985901396221594	3	-1	4	14	17	12	20	22	30	27	22	26	26	35	43	31	34	35	37	42	54	53	51	54	50	48	54	65	72	59	58	63	65	55	71	66	76	61	62	84	72	70	81	2	0	2	6	1	3	5	6	8	5	6	8	6	12	18	12	13	8	18	12	26	26	20	15	20	15	26	32	39	23	23	30	34	15	34	27	42	23	23	43	42	21	35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7500	-226.499310049614451	-235.550153430065791	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.958303382970560	4	-3	9	0	11	17	15	19	28	27	31	25	22	28	35	39	36	38	43	41	60	52	58	53	51	51	57	67	78	61	47	62	64	61	76	68	75	58	68	82	73	73	73	4	0	4	2	4	5	3	1	6	13	12	8	7	13	9	14	12	10	16	18	19	17	22	31	20	31	26	27	41	23	20	26	30	26	36	32	21	22	21	35	33	36	30	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8000	-214.460709337632039	-223.511552718083379	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.974506777708835	2	-1	6	18	13	20	18	26	23	26	26	25	29	33	44	39	35	44	42	49	59	53	51	50	52	52	58	65	75	62	57	62	63	57	66	64	71	66	67	89	67	76	81	2	0	2	5	3	3	5	7	5	6	4	4	10	11	16	17	5	16	8	19	20	20	16	17	19	20	25	27	35	22	20	34	22	24	27	27	39	27	27	29	33	39	42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8500	-216.259145951940212	-225.309989332391552	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995996090664864	4	2	9	19	10	15	17	23	31	26	30	27	22	34	42	31	36	42	45	44	61	45	55	51	51	48	57	67	74	62	52	54	63	52	75	68	73	62	72	83	72	69	81	2	0	1	3	1	3	3	7	8	13	10	13	6	12	9	8	16	11	17	17	34	15	25	20	18	17	22	21	28	19	18	25	24	22	36	21	33	31	42	36	28	33	37	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9000	-239.312253038198918	-248.363096418650258	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.990829427225606	1	0	8	16	12	20	20	27	28	30	30	22	22	35	44	34	29	39	45	37	62	37	54	50	49	55	52	67	73	59	56	44	66	54	75	69	74	66	68	84	70	78	88	2	0	2	2	3	3	4	13	4	6	7	7	5	11	22	13	6	17	20	13	34	7	32	8	20	23	18	21	28	27	25	18	21	18	36	38	41	23	21	37	34	37	40	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9500	-228.653635651961821	-237.704479032413161	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.926189205568544	1	-4	4	15	8	21	13	19	31	26	32	26	23	32	44	30	35	35	42	47	54	46	61	52	48	52	61	64	76	60	61	61	64	41	70	64	76	59	70	90	69	67	83	2	0	1	5	1	5	1	7	8	4	12	6	7	6	17	8	9	6	17	34	24	19	21	25	19	22	22	31	36	26	15	20	25	14	31	38	39	24	31	43	32	31	29	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10000	-223.212342411535360	-232.263185791986700	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995237192064591	3	-1	8	16	11	20	22	23	28	31	30	16	27	31	42	33	36	42	43	41	58	52	55	46	53	50	58	66	68	54	61	60	63	63	68	62	59	64	72	89	61	76	82	2	0	2	1	1	4	3	12	6	8	8	5	7	7	17	8	16	8	16	17	22	24	22	20	15	20	30	21	32	24	32	30	22	32	38	37	26	37	29	39	23	29	28	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10500	-231.809501485965967	-240.860344866417307	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.960634092094712	3	-2	9	9	15	18	23	22	28	31	30	31	31	25	42	30	31	37	39	38	55	50	55	51	48	44	50	66	77	63	60	60	59	63	72	67	74	64	71	87	72	74	73	2	0	1	1	2	4	3	3	7	14	6	8	14	5	16	6	9	16	11	16	22	19	24	25	26	19	20	22	38	32	21	24	24	32	34	31	34	31	31	29	32	41	34	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11000	-227.627153124108503	-236.677996504559843	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.948800758751891	1	-6	7	15	15	17	17	25	29	24	27	27	23	21	39	38	35	41	47	46	60	48	55	52	50	54	53	62	69	63	61	60	67	62	69	67	71	57	71	84	69	77	73	2	0	1	3	3	5	3	7	7	5	8	14	7	3	11	9	6	15	16	18	19	17	19	19	20	18	19	26	26	26	24	25	21	27	31	28	31	19	34	29	28	43	21	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
11500	-223.929348304584096	-232.980191685035436	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.975132545088135	0	-5	8	18	10	14	21	22	31	29	29	23	28	34	39	38	37	37	46	44	52	52	58	50	46	46	60	59	77	61	55	50	67	61	71	67	67	68	73	77	73	77	83	2	0	1	3	1	1	4	5	7	8	7	6	7	9	13	9	9	9	15	18	25	20	24	14	17	20	32	24	37	26	18	19	32	22	27	30	27	23	38	39	36	35	33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
