step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43
17000	-221.171751221275116	-230.222594601726456	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998671896070350	3	-1	6	14	11	16	19	15	27	22	32	28	23	26	42	38	29	39	47	46	53	50	50	47	52	57	57	68	73	60	59	53	65	54	72	66	73	63	68	85	71	78	79	2	0	1	3	3	5	4	3	13	6	8	7	6	8	16	13	7	9	15	15	24	24	18	16	16	32	21	31	27	26	26	19	26	24	39	26	36	26	33	43	36	33	37	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
17500	-221.925261194050023	-230.976104574501363	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.972778605414248	4	-4	8	17	11	21	17	25	30	24	29	25	29	34	33	34	24	43	45	42	56	55	60	53	50	49	42	61	77	61	55	52	65	62	71	66	58	67	73	92	73	77	79	2	0	2	5	3	7	5	7	8	6	10	7	12	10	17	11	3	15	14	16	19	27	24	25	27	27	11	32	36	31	25	19	26	26	28	34	31	30	36	43	33	38	41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
18000	-233.862970172949218	-242.913813553400558	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.961816835276242	5	-1	7	17	11	17	22	23	30	29	31	24	19	31	41	38	35	43	37	33	56	57	45	51	45	47	60	62	71	63	61	36	61	54	66	69	67	62	67	88	72	75	85	2	0	1	3	3	5	6	4	7	1	6	13	5	8	9	14	14	19	11	12	23	34	32	25	32	15	34	24	33	21	22	11	22	25	24	33	22	22	27	29	31	27	41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
18500	-222.125391268077379	-231.176234648528720	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.948053567202123	4	0	3	19	13	16	21	16	25	26	31	26	22	30	41	30	33	35	39	45	63	54	47	53	44	48	59	66	73	62	55	51	64	62	69	60	76	67	74	69	77	78	87	2	0	2	5	1	2	6	1	4	4	9	6	5	12	14	10	14	16	16	12	32	20	15	26	19	15	24	34	33	27	26	23	22	27	33	31	38	30	30	30	40	29	42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
19000	-225.772449237826919	-234.823292618278259	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.990333489447993	0	-7	6	19	15	14	16	21	27	27	30	13	27	28	41	39	33	27	33	37	60	48	57	52	51	51	63	60	80	61	57	55	68	64	73	68	73	67	75	85	74	71	84	2	0	1	5	1	3	6	5	7	6	1	3	8	4	18	11	10	8	18	11	31	15	24	22	15	20	31	32	41	32	26	22	27	24	34	28	36	21	35	39	36	34	41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
19500	-227.855639252438095	-236.906482632889436	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.982549545366047	3	0	8	21	13	21	21	27	25	26	27	23	23	29	35	32	30	36	40	45	53	49	61	55	54	53	56	64	74	56	59	49	69	60	77	66	72	61	72	94	69	78	88	2	0	1	5	2	3	5	1	6	6	4	5	5	13	10	13	12	8	17	15	18	19	30	22	20	32	10	27	37	22	20	18	38	21	29	31	36	24	24	43	34	29	42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
20000	-229.345158977351872	-238.396002357803212	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.972795333572287	4	-7	5	18	10	9	23	24	27	26	30	20	29	32	42	30	34	39	44	43	52	53	50	51	47	57	58	62	74	60	60	55	66	65	72	64	74	59	66	86	71	80	81	2	0	2	6	1	1	4	4	8	8	9	1	12	9	13	9	14	13	16	18	25	25	17	11	18	15	32	32	34	32	24	23	30	21	33	23	33	22	38	29	33	37	28	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
20500	-217.735713867653288	-226.786557248104629	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.978717432477436	5	-2	7	17	12	16	20	29	32	22	22	27	26	27	43	36	35	43	44	46	60	57	55	48	53	52	61	65	72	65	56	60	63	60	75	67	76	68	70	79	70	74	77	2	0	2	3	1	3	6	11	11	4	6	10	7	6	16	8	8	16	16	9	15	19	20	18	24	19	22	21	28	21	25	19	26	31	39	34	29	24	30	39	38	38	42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
21000	-224.106174445916793	-233.157017826368133	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.975295571149961	0	-3	6	19	13	21	21	26	27	29	31	27	23	34	39	26	30	34	46	47	51	54	56	53	43	51	59	62	71	63	56	57	65	62	72	67	73	67	72	92	64	68	78	2	0	1	5	3	5	5	4	4	16	6	5	4	9	16	4	12	7	18	12	15	25	20	20	12	20	22	20	41	22	20	19	34	21	27	27	30	23	36	37	32	34	42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
21500	-224.234479265292265	-233.285322645743605	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.977381528148357	4	2	6	20	12	20	19	28	27	31	27	27	24	34	42	34	34	38	46	43	61	53	52	54	49	49	58	63	77	64	60	58	64	58	73	60	71	66	68	93	75	76	72	2	0	2	5	3	5	5	7	7	13	7	7	6	9	17	8	12	11	15	8	24	26	9	19	10	15	19	20	38	26	24	23	26	23	27	22	21	33	32	42	28	43	28	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
22000	-217.034375274902402	-226.085218655353742	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989552955854177	6	-2	8	19	13	16	20	20	30	23	26	21	21	34	38	34	37	43	41	39	60	50	58	55	42	53	58	65	68	59	61	62	65	52	70	63	76	64	73	90	74	78	81	2	0	2	5	3	5	5	5	8	7	3	6	6	9	14	10	9	16	16	9	22	25	26	22	14	19	26	36	21	24	22	26	24	18	36	31	29	31	33	37	35	29	42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
22500	-219.806689600102260	-228.857532980553600	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.977362869356092	2	0	6	14	11	19	19	24	32	29	22	20	29	29	44	33	31	33	35	46	55	57	51	51	45	56	62	67	69	62	62	59	61	55	70	65	75	66	74	86	74	76	81	2	0	2	5	1	5	3	7	13	7	5	4	6	12	19	11	12	12	12	19	25	23	20	20	17	24	24	30	30	21	32	21	32	23	36	22	36	22	38	43	38	33	41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
23000	-221.891045974738205	-230.941889355189545	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.979295015273064	4	-3	4	14	14	20	18	25	26	22	27	27	26	33	30	31	34	37	45	49	57	53	58	46	52	53	59	65	77	60	59	61	63	56	70	54	77	67	69	86	71	71	90	2	0	2	1	3	7	5	6	7	4	5	10	7	16	5	13	13	14	13	19	24	24	34	18	19	24	36	20	28	19	36	36	22	25	28	24	41	21	33	37	38	31	40	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
23500	-223.211434602231975	-232.262277982683315	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.986168753180817	5	0	8	6	14	19	20	25	32	15	29	26	25	28	42	35	24	39	45	48	57	53	57	50	52	52	60	58	78	60	45	59	65	48	76	58	70	67	68	88	75	79	78	2	0	1	2	1	5	5	7	12	3	8	5	10	13	13	11	10	8	11	15	22	24	25	19	34	20	23	31	37	26	18	26	27	31	33	25	27	32	21	43	38	35	33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
24000	-232.231868189401951	-241.282711569853291	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997987347980514	0	-6	3	19	6	18	23	28	25	24	30	26	29	31	42	37	25	27	44	44	52	50	60	53	51	55	47	58	61	65	57	63	68	63	67	65	78	64	71	91	72	70	84	2	0	2	5	1	5	6	6	6	4	17	7	4	11	14	14	7	10	14	9	16	20	22	22	27	20	20	22	31	26	21	31	28	27	30	29	39	25	38	43	35	34	37	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
24500	-214.927821311548371	-223.978664691999711	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997005345285620	4	-1	8	15	15	15	22	18	32	28	25	25	29	31	38	39	34	37	45	41	62	56	56	48	51	55	57	64	77	60	63	56	69	58	66	51	68	67	69	83	75	76	84	2	0	1	3	3	3	5	4	10	7	8	8	11	11	9	14	8	14	18	18	26	24	24	18	9	36	24	26	38	25	25	36	30	32	26	19	34	32	30	41	37	33	29	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
25000	-236.211304396155953	-245.262147776607293	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.991379580182645	5	1	7	18	16	13	19	21	24	32	18	28	25	32	42	39	37	40	44	44	57	50	54	50	51	55	54	59	77	49	46	61	60	63	76	57	73	70	68	84	69	73	77	2	0	2	6	1	1	11	5	4	7	6	8	4	13	14	13	9	14	16	17	23	15	22	9	30	30	25	23	21	31	15	36	23	28	33	25	41	33	36	43	34	33	37	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
25500	-224.754333987087819	-233.805177367539159	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.965193416974089	4	-3	9	21	14	13	17	28	28	27	22	21	26	34	42	27	36	41	45	49	61	52	60	48	47	53	50	67	70	61	56	59	65	59	75	66	66	63	72	81	71	76	83	2	0	1	3	3	3	6	12	5	3	5	6	7	9	17	11	12	10	15	18	31	19	26	14	18	20	18	32	30	34	26	27	30	31	37	32	23	32	28	41	30	31	35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
26000	-240.943986429116222	-249.994829809567563	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998835217986352	2	-13	-1	21	14	22	23	20	20	31	24	28	19	16	33	35	29	43	33	45	61	55	56	47	51	56	57	63	78	53	60	60	69	58	77	65	61	68	70	86	72	75	81	3	0	2	14	1	13	9	5	1	17	9	9	14	3	17	6	11	15	12	15	25	18	30	19	20	30	20	32	36	18	30	24	37	25	36	25	27	21	21	33	23	38	41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
26500	-219.670078078281676	-228.720921458733017	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994030251235333	3	-1	5	12	7	14	19	19	33	28	27	25	31	33	36	35	29	37	41	42	58	44	54	42	51	50	59	66	78	64	60	52	62	53	72	63	76	57	72	95	77	75	85	2	0	2	5	2	5	6	5	11	8	8	8	7	10	13	17	8	14	13	15	19	9	22	15	20	19	22	31	39	21	26	20	23	24	30	31	39	23	33	43	28	33	41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
27000	-231.620568399902567	-240.671411780353907	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.963090177672975	5	-1	8	12	14	19	20	23	25	26	31	25	28	31	42	36	32	45	38	47	61	46	52	46	50	51	54	55	71	65	55	62	67	41	75	57	76	65	68	77	72	64	77	2	0	2	3	3	3	4	5	5	8	6	5	9	13	19	8	9	15	13	15	36	19	20	34	15	24	20	15	38	21	25	27	32	19	30	25	41	25	32	32	38	28	29	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
27500	-229.341352273864317	-238.392195654315657	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.983805667661705	3	0	7	14	7	12	20	27	28	24	24	30	17	25	38	35	34	41	32	41	59	44	52	56	48	51	58	66	75	64	59	60	65	51	69	58	70	63	70	82	70	79	84	2	0	1	1	2	3	6	3	4	13	7	4	3	13	16	14	10	16	9	19	22	15	22	34	11	20	23	27	35	31	34	23	36	20	32	25	38	26	30	29	33	41	29	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
28000	-230.290319184723984	-239.341162565175324	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.990949570589112	5	1	8	15	12	19	19	21	31	27	24	25	26	18	46	36	29	33	42	45	56	41	57	56	50	56	57	63	71	60	54	63	62	62	72	66	71	66	69	83	66	71	86	2	0	1	2	3	5	4	3	10	6	14	6	7	3	22	9	6	5	9	16	25	17	25	20	15	19	25	30	28	22	19	23	31	31	36	26	34	23	26	29	21	38	41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
28500	-213.526415929662221	-222.577259310113561	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.979470223403398	6	1	5	14	12	19	19	19	28	29	29	28	26	34	39	25	34	39	39	47	56	51	57	54	47	50	60	66	70	61	58	63	57	61	68	67	71	66	74	82	71	76	87	2	0	2	5	3	5	5	5	16	6	6	8	8	11	17	6	7	10	17	19	22	19	24	25	19	25	23	34	36	23	24	23	20	31	38	34	28	33	27	39	38	29	37	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
29000	-220.133513756126632	-229.184357136577972	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996041825114624	2	-3	3	16	12	9	22	18	23	28	27	27	20	36	40	36	33	41	31	43	52	52	56	47	48	54	54	61	72	62	56	61	66	54	68	63	75	68	76	80	75	70	85	2	0	2	5	6	3	4	5	8	9	13	9	4	12	9	17	10	10	4	16	20	24	25	18	18	20	18	31	36	34	34	27	28	24	36	31	38	36	32	37	28	31	39	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
29500	-228.260956584565974	-237.311799965017315	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.847591879258156	4	-3	5	16	0	22	19	22	27	27	33	19	30	32	43	36	32	33	36	39	53	54	52	44	41	49	50	63	77	63	61	56	67	60	76	66	63	65	71	90	71	68	82	5	0	5	5	2	7	4	4	6	7	13	1	8	12	20	13	9	10	17	11	16	24	26	19	18	24	15	22	41	23	21	26	31	26	33	31	32	32	36	43	38	28	35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
30000	-226.788696614900374	-235.839539995351714	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995212766700031	6	-3	3	10	15	20	11	26	20	25	23	28	27	33	43	34	35	40	37	47	62	55	56	51	43	52	60	65	78	60	61	55	60	58	76	67	72	65	74	90	60	76	87	2	0	2	1	4	5	2	2	7	6	9	5	9	10	18	11	13	17	14	15	26	26	25	18	14	15	22	31	37	24	22	15	32	24	36	23	41	26	30	35	22	31	42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
30500	-233.180327883246491	-242.231171263697831	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.973724007350984	6	1	6	19	14	19	24	16	29	31	26	25	26	29	41	23	30	43	44	48	62	52	58	55	41	57	60	66	68	62	55	60	66	55	76	67	69	65	74	89	77	69	85	2	0	2	5	2	1	6	1	7	7	5	6	4	7	9	6	6	14	4	13	23	15	20	18	14	22	34	34	22	23	15	34	27	15	39	21	36	30	42	41	42	36	35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
31000	-224.893144344908393	-233.943987725359733	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.983470791551471	2	-1	7	17	14	19	17	22	24	27	28	26	31	27	38	28	33	41	41	38	45	47	51	56	47	53	56	67	72	60	61	56	66	61	74	60	64	65	67	86	77	74	87	2	0	1	3	3	5	3	3	4	8	6	8	16	6	13	7	10	11	17	16	19	18	22	18	18	19	21	24	28	25	24	23	23	26	38	24	34	26	31	35	39	28	28	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
31500	-218.721990738006269	-227.772834118457610	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.991709513242308	2	-5	6	19	14	17	19	24	27	27	11	21	28	31	38	35	35	37	45	43	63	55	58	52	52	54	52	67	78	60	53	58	67	61	73	68	72	64	64	88	71	73	85	2	0	1	6	3	5	11	4	6	7	1	6	12	13	14	9	8	4	18	18	22	18	27	20	19	19	20	22	35	19	16	27	21	26	38	39	33	30	32	41	38	33	42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
32000	-223.212629139206030	-232.263472519657370	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.993230231722537	4	-2	5	18	13	16	24	27	25	30	5	26	26	33	38	38	27	40	43	44	52	54	52	50	47	47	56	54	72	59	61	61	63	56	71	66	77	62	59	78	70	71	78	2	0	2	5	3	11	5	4	6	9	2	4	4	13	13	10	6	8	16	16	25	26	24	20	15	19	24	21	31	21	34	28	22	25	38	32	35	23	22	41	30	31	29	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
32500	-222.851477689304261	-231.902321069755601	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.943116313420199	1	-5	4	13	13	10	19	22	30	23	18	27	19	31	41	38	32	43	35	27	60	53	56	48	47	46	59	64	76	61	52	60	65	61	70	68	76	65	70	87	78	76	86	2	0	2	3	6	1	5	7	12	13	6	4	5	8	19	9	20	16	9	7	24	24	24	19	19	17	15	27	38	31	25	24	32	31	30	33	39	32	34	41	39	36	41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33000	-223.959940902156575	-233.010784282607915	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998567375270349	2	0	5	21	10	17	18	28	31	29	30	24	21	35	45	38	30	42	36	41	60	54	58	51	48	54	58	56	75	65	60	56	59	59	60	68	72	65	75	85	71	76	85	2	0	1	5	2	5	5	6	13	6	8	6	6	11	14	11	13	19	9	14	22	15	22	11	16	25	25	20	41	24	32	18	24	26	32	32	27	31	41	41	31	38	42	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
33500	-232.436858054831134	-241.487701435282474	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989826026179521	5	0	4	18	12	18	14	23	26	27	28	24	29	22	36	28	32	39	41	44	59	45	60	52	45	58	54	63	79	62	56	58	64	52	54	65	75	59	64	91	64	76	83	2	0	2	7	2	7	2	4	14	4	7	5	3	4	11	8	16	10	17	17	25	19	34	20	18	22	24	38	42	32	35	27	35	25	20	32	39	31	21	43	38	41	37	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
34000	-234.890979164879298	-243.941822545330638	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997565606461359	1	-3	1	18	14	16	21	25	31	23	27	27	24	28	30	36	31	38	34	47	59	50	40	56	49	57	57	62	76	55	59	57	62	47	70	52	61	61	67	92	72	65	80	2	0	2	5	3	5	6	4	14	4	6	7	6	13	11	19	10	14	14	23	30	34	17	34	15	20	22	27	28	25	25	34	27	17	31	20	24	34	21	29	28	33	29	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
34500	-222.314723465381775	-231.365566845833115	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997808553179476	3	-1	7	18	8	21	13	26	28	23	31	28	26	31	40	38	33	41	38	44	55	55	49	52	50	53	57	66	78	61	61	61	65	52	71	63	75	69	77	87	71	76	82	2	0	2	3	2	5	2	7	10	4	9	6	4	12	14	14	12	17	7	15	15	23	18	19	15	23	15	32	41	21	22	34	34	23	32	21	32	32	41	29	25	41	35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
35000	-213.558669590387240	-222.609512970838580	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.972022223502256	-1	-4	2	10	16	19	15	20	26	30	29	23	22	34	39	36	25	39	42	46	59	55	53	44	52	49	59	65	72	62	56	62	67	55	68	66	73	64	74	89	73	77	85	2	0	2	3	4	5	4	7	6	13	12	8	7	17	10	12	13	14	16	15	34	26	26	14	15	15	31	27	32	34	20	23	30	26	38	38	38	22	21	43	32	41	33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
35500	-231.155552883281899	-240.206396263733239	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.970572310298778	1	-2	5	21	14	18	16	28	24	29	31	25	27	31	38	31	35	27	44	36	51	43	57	53	48	54	48	58	78	61	50	62	68	60	76	67	65	62	75	84	55	77	80	2	0	2	6	2	7	5	4	7	9	13	6	7	5	17	12	8	6	14	8	19	20	21	19	8	25	20	24	36	28	19	26	32	26	36	30	32	21	36	42	31	33	39	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
36000	-220.465702738205295	-229.516546118656635	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.954555964203907	5	-2	6	21	11	14	20	22	24	30	27	27	28	29	40	32	23	40	42	43	55	47	57	51	52	52	53	61	72	58	61	60	66	61	73	67	66	66	73	82	72	68	81	2	0	2	6	3	3	5	6	7	9	17	17	4	4	14	13	5	14	11	11	25	12	25	20	19	20	18	26	33	23	21	26	30	24	28	28	32	32	42	39	42	31	29	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
36500	-214.140477103521533	-223.191320483972873	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989338380112234	6	2	9	9	15	18	18	24	31	26	16	24	27	34	38	32	32	41	47	47	58	53	54	53	52	55	58	62	71	61	62	57	67	62	68	61	74	67	67	90	64	67	77	2	0	2	2	3	5	3	7	10	7	3	11	12	12	17	10	10	8	18	15	24	19	19	19	19	25	22	23	33	22	27	24	31	21	21	32	39	27	30	43	32	22	38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
37000	-227.577923996952364	-236.628767377403705	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.980636312929597	4	-2	8	18	14	13	20	28	30	29	17	24	18	33	33	32	35	39	40	45	60	55	57	50	49	53	56	64	71	62	60	62	67	58	75	68	78	62	70	87	66	76	72	2	0	2	3	3	3	6	13	12	13	5	3	5	10	10	12	4	8	14	15	19	25	20	20	19	25	24	34	31	26	23	23	27	27	38	41	39	24	30	29	26	33	30	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
