step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16
1	-364.106309234013565	-362.644227149494668	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.033512497229421	-1	3	2	2	5	5	9	11	8	11	11	12	14	16	19	22	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	3	5	6	5	6	6	7	8	9	10	12
500	-120.001876253885158	-117.407342326624899	-2.594533927260263	0.000009953800487	0.000040404892288	4.059242732450364	0.054854347037493	0	3	1	2	5	6	6	11	8	11	10	12	13	16	19	23	0	3	1	1	3	2	2	11	7	11	7	7	9	13	7	0	1	1	1	2	3	1	2	1	1	1	3	3	2	2	5	1
1000	-114.996822106177433	-113.213640218530273	-1.783181887647155	0.000009987718096	0.000017951979872	1.797405543569197	0.117306637082177	-1	4	1	2	4	5	8	12	9	11	10	11	15	17	19	22	0	3	1	3	1	2	2	7	7	11	4	9	12	12	14	0	1	1	2	1	2	1	3	2	1	1	4	1	3	3	1	1
1500	-85.620454876933053	-83.414176525256750	-2.206278351676310	0.000009978972456	0.000028887505647	2.894837697448166	0.365827232876894	0	3	2	2	5	5	7	10	9	11	11	12	13	16	18	22	0	1	1	1	2	3	2	7	7	8	8	7	9	13	14	0	1	2	1	1	1	1	2	2	1	1	1	3	2	2	2	1
2000	-81.913261068777715	-80.277308424117749	-1.635952644659971	0.000009941046242	0.000014316321693	1.440122231104446	0.780892122646242	0	2	2	3	4	5	6	9	8	12	12	12	14	16	19	22	0	1	1	2	2	5	6	7	7	8	8	9	12	13	14	0	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1
2500	-75.728564573787992	-73.896302288668110	-1.832262285119875	0.000009971606558	0.000019125149527	1.917960703219556	0.891664848122086	0	2	2	2	5	5	9	9	8	10	10	12	14	16	20	22	0	1	1	1	2	3	9	9	5	8	8	9	12	13	14	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1
3000	-82.350685350435185	-80.648207980048625	-1.702477370386567	0.000009901745479	0.000015854897638	1.601222498788689	0.750225299940265	-1	3	2	3	5	5	10	11	7	11	12	12	14	16	18	21	0	1	1	3	2	3	9	9	2	7	8	7	12	11	14	0	1	2	1	1	1	1	2	2	2	1	1	1	1	1	1	1
3500	-83.224411766582932	-81.420036505228424	-1.804375261354503	0.000009525704227	0.000017616036028	1.849315872889165	0.849644783391903	-1	4	2	2	5	3	9	10	6	12	12	12	14	16	18	22	0	3	1	1	2	3	9	7	3	8	8	9	12	13	13	0	1	1	1	2	1	1	1	1	2	1	1	2	1	1	1	1
4000	-81.417108455755084	-79.805597269558902	-1.611511186196187	0.000009978984777	0.000013777881483	1.380689698489812	0.822480034876257	-1	4	2	3	4	6	10	11	8	10	12	11	14	17	19	22	0	3	1	3	3	5	9	7	6	9	8	9	12	13	13	0	1	1	2	1	1	1	1	1	1	1	1	1	2	2	2	1
4500	-82.528621654000446	-80.461720782281304	-2.066900871719143	0.000009432600820	0.000023738288609	2.516621773976552	0.544394077276240	0	3	2	2	4	4	10	9	8	11	11	11	14	16	19	23	0	3	1	1	3	1	9	9	6	9	8	9	12	12	13	0	1	1	1	1	1	2	1	1	2	2	1	2	1	2	2	1
