step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77
1	-736.024348962537260	-745.075192342988657	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.990816366718118	2	2	6	6	7	11	12	14	10	15	16	15	26	15	27	15	19	24	21	14	16	25	24	18	22	24	23	24	31	17	25	20	31	27	24	26	25	29	20	35	23	24	28	24	27	23	33	25	23	28	30	32	31	34	33	32	32	28	28	39	34	35	39	33	31	32	40	32	44	41	39	41	57	41	47	67	58	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-401.177404354190003	-410.228247734641343	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.985923421182238	3	1	11	6	5	14	10	12	10	18	13	11	22	14	19	14	22	26	17	9	15	18	20	20	17	19	16	21	32	17	16	7	32	23	21	21	21	28	21	33	25	22	19	23	21	26	24	24	23	22	28	25	28	33	29	31	35	28	27	39	33	30	38	25	31	28	40	29	41	33	42	30	49	43	44	59	57	2	0	4	2	2	12	4	1	5	8	4	32	12	5	5	3	6	24	4	4	7	9	3	25	8	14	5	21	36	27	9	1	64	43	25	27	25	41	8	39	14	25	21	27	11	27	30	35	9	20	34	43	17	55	19	51	53	42	49	62	38	45	68	22	45	50	59	52	29	49	58	49	74	63	63	73	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-410.760845473596248	-419.811688854047588	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.973197996506839	2	-2	4	8	3	12	13	6	12	15	14	12	27	19	28	13	19	22	25	11	10	20	20	20	17	16	14	27	28	20	23	21	32	25	17	24	22	21	16	34	27	16	29	20	31	25	35	21	8	29	23	35	31	33	31	28	31	26	14	27	30	26	37	27	29	28	32	30	47	37	41	43	49	39	48	66	60	2	0	2	5	2	4	5	1	20	6	2	5	23	11	32	49	7	42	12	5	5	39	21	39	6	4	3	32	31	42	35	9	22	35	5	42	27	10	20	36	18	59	35	27	17	12	45	26	3	35	16	61	44	14	51	34	36	51	5	23	41	23	56	30	30	23	22	36	19	56	57	63	71	52	71	77	69	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-392.537645419862884	-401.588488800314224	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.983815175945110	2	1	7	5	11	8	10	15	10	19	17	18	27	10	28	16	20	22	10	13	16	27	26	17	17	21	24	24	33	18	26	21	34	29	12	25	22	31	23	33	21	22	30	24	29	26	31	25	26	26	28	30	32	33	32	33	33	30	25	38	33	33	34	31	31	25	38	32	43	36	37	42	55	31	46	53	53	2	0	1	1	3	2	4	5	6	35	19	9	28	2	19	35	8	25	2	19	5	18	26	2	35	8	8	16	64	20	32	21	44	39	6	12	21	25	20	52	19	8	66	11	18	17	41	30	20	44	31	28	32	59	43	15	12	66	10	38	43	15	28	32	27	17	53	50	61	28	57	67	67	48	52	75	69	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-403.534254168522295	-412.585097548973636	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.992141369339806	5	-1	6	9	6	9	12	14	11	12	17	17	24	12	29	16	21	19	19	15	16	23	24	23	21	20	20	12	27	15	25	21	30	13	22	25	27	31	22	31	26	14	27	22	26	24	20	18	22	29	30	31	32	15	30	28	26	26	28	38	36	31	33	35	33	32	36	21	44	23	36	39	50	39	45	57	46	2	0	2	5	2	1	4	4	5	1	1	10	48	5	13	5	9	54	21	3	4	4	25	48	54	21	14	3	70	6	27	28	27	5	54	8	12	46	16	18	49	10	19	7	30	47	30	8	16	17	27	48	27	6	44	31	30	35	47	62	51	58	41	52	29	58	37	7	61	8	70	62	77	15	29	77	56	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-383.788918043177489	-392.839761423628829	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.992131285069961	4	-1	5	7	8	12	10	14	13	14	12	18	16	17	28	13	20	23	20	8	18	26	24	18	21	26	19	26	29	20	17	15	34	24	29	25	22	25	23	35	23	22	26	28	18	24	34	26	22	25	26	26	30	35	25	31	33	27	27	41	32	36	36	35	33	31	43	31	41	32	39	41	45	32	51	64	54	2	0	2	2	2	5	3	4	4	4	5	20	11	7	17	4	7	25	8	3	11	27	24	5	13	27	32	17	26	16	11	1	51	8	14	30	20	19	45	68	19	12	37	49	7	45	44	14	6	30	21	27	43	43	24	37	42	55	50	47	28	35	26	36	50	49	62	51	40	26	47	40	70	23	72	77	72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-398.242827005544257	-407.293670385995597	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.986157030189334	3	1	7	7	9	9	14	12	13	19	20	18	18	17	30	14	14	20	21	6	9	25	18	17	10	20	23	20	25	10	25	20	27	24	23	25	24	23	17	28	21	21	28	24	28	24	26	21	24	27	30	30	29	21	26	31	29	25	28	35	32	34	32	34	33	32	38	29	46	37	36	40	47	40	42	58	52	2	0	2	1	2	1	5	20	5	8	5	20	16	4	50	3	30	9	7	1	2	21	8	6	4	39	11	6	11	2	41	24	37	19	16	16	23	24	3	42	7	23	44	7	34	28	39	23	12	31	47	50	47	14	10	37	18	28	48	45	48	7	55	56	45	42	55	46	74	50	63	52	60	62	22	77	69	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-396.426744801070015	-405.477588181521355	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.958373350182545	2	-2	4	6	8	5	14	14	11	17	17	11	26	12	29	14	15	27	25	16	19	25	20	17	25	25	19	22	27	7	23	20	33	22	25	30	25	28	17	36	18	25	23	24	24	23	35	25	21	28	34	29	29	28	15	33	33	17	25	39	31	30	41	31	30	31	35	32	40	35	42	37	53	37	38	62	55	2	0	2	1	2	1	5	6	6	16	8	3	28	3	31	5	4	17	20	4	12	24	58	9	27	58	17	14	49	1	39	8	50	58	41	42	58	17	7	66	17	16	27	12	8	24	13	10	24	27	38	34	28	25	4	25	50	16	27	33	39	37	50	6	37	45	65	48	36	38	50	49	60	64	47	77	73	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-390.687952349479986	-399.738795729931326	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.996362273496486	2	-2	4	5	8	8	13	9	8	15	13	17	30	19	28	18	17	23	13	14	16	24	22	20	16	24	27	27	30	17	19	21	30	19	21	23	22	28	14	31	19	24	27	20	22	24	27	29	26	20	30	25	33	30	28	32	30	27	22	28	37	34	35	28	32	32	41	33	41	44	40	45	52	37	40	57	52	2	0	2	2	2	2	4	4	3	19	8	6	18	39	44	5	8	35	5	5	6	14	7	25	7	44	44	41	8	39	25	39	49	39	12	17	25	35	4	48	7	14	21	39	12	12	24	32	50	30	59	37	28	47	36	32	44	59	21	59	64	58	38	44	15	27	56	33	33	71	57	71	71	13	40	72	70	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-396.141421892640949	-405.192265273092289	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995132536486082	3	-3	7	4	9	11	14	11	7	17	11	18	21	15	28	16	18	21	24	14	13	18	18	17	22	26	22	18	34	13	21	21	32	26	21	26	28	21	19	34	24	23	29	15	25	16	31	21	16	29	26	28	24	38	35	32	28	26	27	31	29	31	32	33	26	31	39	29	43	36	35	37	55	40	46	62	57	2	0	4	2	1	1	9	1	1	4	1	8	7	6	13	5	11	4	46	5	4	7	30	4	7	16	49	8	66	3	44	24	26	25	23	31	53	1	6	7	14	20	23	6	18	30	34	23	8	44	28	46	23	33	51	50	12	16	35	45	13	57	45	19	18	17	33	46	66	52	47	56	47	56	54	69	69	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
