step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102
1	-3705.960071959766537	-3712.815559910725824	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.921838833406126	-1	3	6	8	10	10	9	12	11	10	11	14	12	12	11	11	13	12	13	13	13	13	15	14	13	14	14	15	15	17	15	15	14	14	14	15	18	15	15	15	15	16	16	16	16	15	16	16	15	16	17	18	17	19	17	17	16	19	18	17	17	18	17	18	19	18	19	21	19	19	20	20	19	21	22	19	20	19	21	21	21	20	21	23	22	23	23	23	26	26	26	28	30	29	30	32	31	32	35	33	33	35	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	5	6	6	5	7	6	6	6	8	7	7	6	6	7	7	7	7	7	7	8	8	7	8	8	8	8	9	8	8	8	8	8	8	10	8	8	8	8	9	9	9	9	8	9	9	8	9	9	10	9	10	9	9	9	10	10	9	9	10	9	10	10	10	10	11	10	10	11	11	10	11	12	10	11	10	11	11	11	11	11	12	12	12	12	12	14	14	14	15	16	15	16	17	16	17	18	17	17	18
500	-651.508860453412467	-658.364348404371867	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.345834893843691	-1	3	6	7	10	8	9	11	11	10	11	15	12	12	11	11	13	12	12	14	13	12	14	15	12	13	15	15	15	17	14	14	13	15	13	15	17	13	15	15	15	14	16	16	17	15	16	14	16	17	17	18	17	19	17	17	16	19	17	17	17	19	16	18	19	19	18	21	20	20	20	20	19	20	21	18	19	20	22	21	20	20	22	23	22	22	23	22	24	27	24	28	30	30	30	31	31	30	35	34	34	34	0	1	1	3	4	3	6	4	5	7	10	15	5	10	3	10	1	10	10	35	16	16	26	38	16	9	21	26	25	31	16	19	11	10	16	14	36	2	17	11	42	15	25	19	27	38	4	10	31	26	32	30	31	12	6	25	12	60	12	18	49	2	23	44	47	76	20	54	26	47	76	39	59	45	82	9	39	50	40	65	27	77	32	80	51	76	62	27	80	57	0	73	79	80	1	64	0	57	17	43	38	91	1	3	3	1	1	1	1	2	1	1	1	3	1	1	3	1	6	1	2	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	1	1	1	4	1	2	1	1	3	3	1	1	4	3	2	2	2	1	1	1	6	2	1	1	1	3	1	10	1	1	2	1	2	1	5	3	1	3	1	2	1	3	2	2	5	1	2	1	4	1	3	3	2	6	2	5	1	5	3	4	15	10	1	6	15	7	11	5
1000	-597.895386812548281	-604.750874763507682	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.500347902062825	-1	3	5	8	10	10	8	12	12	10	11	13	13	12	12	11	13	11	14	12	13	13	15	15	14	15	13	16	14	17	15	15	12	14	14	14	18	15	16	16	15	15	16	17	15	14	17	15	15	16	18	17	17	20	18	16	16	20	18	18	17	18	16	18	19	19	19	21	19	18	20	21	20	22	22	19	21	18	21	19	21	21	20	23	22	24	24	21	26	26	25	27	31	28	31	30	32	33	35	31	31	35	0	1	2	3	3	7	3	7	4	7	10	18	6	10	18	10	11	4	33	11	18	16	6	15	16	10	9	36	22	25	21	11	5	5	20	14	47	10	9	35	14	33	33	26	19	14	38	12	9	34	28	20	32	50	47	16	27	20	48	41	57	34	46	9	44	50	49	54	32	9	70	78	22	23	37	9	69	20	78	44	64	70	53	62	24	66	48	64	62	87	0	87	65	90	94	90	0	62	6	91	46	51	1	2	1	2	3	1	2	2	3	1	1	1	2	1	1	1	1	2	1	1	1	1	3	2	2	3	1	1	1	1	1	2	1	2	1	1	1	2	2	1	2	2	2	1	1	1	2	1	2	1	1	3	2	2	1	3	2	4	2	1	1	2	1	3	1	1	2	1	2	3	1	2	3	3	2	4	1	3	1	1	1	2	1	2	3	2	4	2	4	1	1	2	5	1	1	2	1	6	16	3	10	8
1500	-564.029080318542356	-570.884568269501756	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.602168508973057	-1	2	6	8	10	11	9	12	11	11	12	14	11	13	12	12	13	12	13	14	13	13	15	14	14	15	14	15	15	15	13	15	14	14	13	15	18	14	14	16	15	16	15	16	17	16	17	17	14	15	18	17	18	20	17	18	17	19	18	17	16	19	17	18	18	18	18	22	16	19	19	20	18	22	21	19	21	20	21	20	20	20	22	24	23	21	24	23	25	26	25	28	30	28	30	33	31	32	34	33	33	34	0	1	2	3	4	4	3	6	5	7	10	11	7	10	13	10	15	13	13	18	4	16	15	9	16	16	19	13	22	21	10	24	21	18	13	14	46	31	18	34	18	49	25	27	38	36	38	21	16	17	61	36	69	42	21	63	28	35	47	15	19	64	26	40	27	39	6	29	6	13	13	58	6	46	40	47	62	60	26	44	44	31	59	65	40	78	79	80	87	87	0	87	90	68	90	98	0	95	7	94	84	75	1	2	2	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	3	1	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	2	2	1	2	3	1	2	1	1	1	1	2	2	3	4	2	6	4	1	3	3	3	1	1	2	3	2	2	4	3	4	6	1	1	2	1	1	1	2	1	3	1	1	1	1	9	2	3	6
2000	-510.375053715750823	-517.230541666710224	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.677407152499307	-1	3	6	8	10	10	9	9	12	10	11	15	11	12	11	11	13	13	12	14	13	13	15	14	12	14	14	15	15	17	15	14	15	14	15	16	17	15	15	15	15	16	17	16	16	13	15	17	16	16	16	18	17	19	17	17	16	20	17	17	18	15	17	17	18	19	20	21	19	18	19	20	19	21	23	19	21	19	20	21	20	20	22	23	21	23	23	23	27	25	25	28	29	30	31	32	32	32	36	33	33	35	0	1	2	3	8	4	3	4	10	7	10	17	10	10	7	7	15	6	7	10	9	16	15	11	16	18	7	46	9	22	21	11	24	11	46	24	34	46	46	9	14	40	21	27	18	16	17	35	31	29	34	35	49	16	38	16	27	46	23	11	56	15	47	27	27	64	52	33	59	49	34	63	53	37	79	31	78	60	20	81	65	17	78	80	50	69	79	64	74	78	0	76	88	92	93	95	0	93	91	94	97	97	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	4	2	2	1	5	1	3	1	1	1	1	2	1	2	2	1	1	1	2	2	1	1	2	1	1	3	1	1	3	2	1	3	2	1	3	3	3	1	4	2	1	1	1	1	2	6	1	1	2
2500	-523.239091357021493	-530.094579307980894	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.650609241907928	-2	4	7	8	10	11	10	12	11	9	11	14	13	12	12	12	13	10	13	13	12	13	15	14	14	15	14	16	15	16	16	15	14	13	15	16	19	16	15	15	15	15	17	17	16	16	16	16	15	15	17	19	17	20	18	17	16	18	18	17	18	18	17	19	19	18	18	21	20	19	20	20	18	21	23	19	19	19	21	22	20	21	20	23	23	23	24	24	26	25	26	28	30	30	30	32	31	32	35	34	33	34	0	1	2	3	4	10	4	5	18	3	10	22	4	6	10	10	15	10	21	7	6	6	15	21	16	17	19	8	20	39	39	17	18	9	20	17	46	24	19	33	17	8	12	57	49	29	25	41	27	21	21	58	26	17	28	49	27	35	57	31	43	12	12	27	44	30	35	53	58	55	37	55	28	6	79	45	63	20	58	62	61	78	61	68	74	41	79	63	79	71	0	90	92	74	89	95	0	95	97	97	98	97	1	3	1	1	1	1	1	2	1	1	2	1	3	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	1	1	1	1	1	2	2	2	1	2	1	1	1	1	1	1	1	2	1	1	2	2	1	1	3	1	1	2	1	1	1	1	2	2	2	1	1	1	2	1	1	1	1	1	4	1	1	1	2	2	2	1	1	1	1	1	2	2	2	3	2	1	1	1	5	2	1	1	2	2	1	1	2
3000	-526.850787399363867	-533.706275350323267	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.675910149137527	0	4	6	7	10	10	9	12	11	9	12	14	12	11	11	12	14	11	13	12	13	13	14	15	14	14	15	15	15	17	14	15	14	15	13	14	18	15	15	15	13	17	17	16	13	15	16	16	15	15	15	17	18	18	18	17	17	18	17	16	18	18	17	17	19	18	19	21	19	19	20	20	19	21	22	19	20	19	22	19	21	20	21	21	23	24	23	24	25	26	26	28	30	29	30	31	31	32	34	34	33	35	0	1	2	3	4	3	4	3	6	4	9	11	10	10	10	10	16	10	13	18	18	16	15	21	16	22	17	41	22	48	35	18	19	35	20	14	32	11	19	36	18	49	10	27	16	22	24	12	11	19	13	20	29	17	23	24	44	28	25	50	47	60	12	27	51	29	52	59	62	17	55	65	22	31	55	49	45	26	66	64	64	57	52	38	81	78	79	80	87	74	0	90	92	92	89	94	0	93	101	98	96	101	1	3	1	1	2	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	3	1	1	1	1	1	1	1	1	2	1	1	3	1	1	2	1	1	1	1	2	1	2	1	1	2	1	1	1	1	4	3	1	2	2	2	2	1	2	1	2	4	1	3	1	4	1	3	1	1	1	1	2	1	1	1	1	1	1	2
3500	-482.402171471594158	-489.257659422553559	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.824060141525039	0	4	6	8	10	9	8	13	11	10	12	14	13	13	11	12	13	11	12	13	13	14	15	15	14	14	14	16	16	18	15	14	13	15	14	16	17	16	15	16	14	16	15	16	16	16	16	16	16	16	18	17	17	20	17	17	16	19	19	17	16	18	17	16	19	18	19	22	18	19	21	20	19	21	22	18	20	18	21	21	22	20	22	24	22	24	24	23	26	26	27	27	30	29	29	31	31	32	33	33	34	35	0	1	2	3	4	2	3	7	5	4	10	19	11	10	6	10	18	5	10	18	16	16	26	17	16	13	19	34	24	46	21	9	19	21	20	41	34	35	14	35	14	39	25	12	23	39	12	20	25	31	49	20	61	50	45	8	27	52	61	28	8	8	27	12	44	42	40	54	42	26	70	57	22	76	82	48	55	40	40	44	44	76	79	75	24	79	83	60	84	86	0	84	94	91	90	95	0	93	96	98	100	99	1	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	2	1	1	1	1	1	3	2	1	2	1	2	1	1	2	1	2	1	2	1	1	1	1	3	2	3	1	1	1	2	2	1	3	1	1	1	2	1	1	1	1	1	1	1	1	1	1
4000	-516.692207508136789	-523.547695459096190	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.690525774427775	-1	4	6	8	10	9	8	12	11	9	11	14	12	11	10	12	13	13	13	13	14	13	16	14	13	15	14	15	15	17	15	16	14	15	15	15	16	16	15	16	15	15	15	16	15	15	14	17	15	15	16	19	17	20	18	16	16	19	17	18	17	18	18	17	20	18	20	21	19	20	21	21	19	22	22	19	20	18	20	21	21	20	20	24	22	23	24	24	25	26	27	29	30	29	30	32	32	32	35	34	33	36	0	1	2	2	7	2	3	5	4	4	10	13	5	10	10	10	14	14	16	11	13	7	15	7	13	12	19	3	22	34	25	9	11	20	13	9	27	12	7	33	47	8	13	27	18	17	13	36	22	47	10	40	26	46	61	25	27	42	21	49	38	35	23	27	27	61	52	29	63	55	70	35	33	60	55	50	64	38	60	64	69	49	66	54	51	82	79	80	84	87	0	29	94	91	91	93	0	95	91	97	87	100	1	3	1	2	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	3	1	1	1	6	1	1	1	2	2	1	2	2	1	1	2	1	1	1	2	1	1	1	1	1	1	1	3	1	1	2	1	1	1	2	1	1	1	2	1	2	4	1	1	4	1	1	1	2	4	2	2	3	2	1	1	2	1	2	1	1	3	1	1	1	1	1	1	6	1	1	1	1	1	1	4	1	4	1
4500	-459.410813234177510	-466.266301185136911	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.744857182183365	-1	1	6	9	10	11	8	13	11	10	11	15	13	11	12	12	13	13	12	14	13	14	16	15	14	14	14	15	16	17	15	15	14	13	15	15	18	13	15	15	14	16	17	17	17	14	16	15	15	17	18	18	17	19	18	18	17	17	18	17	16	15	16	18	19	17	17	20	19	19	20	20	19	21	22	20	21	19	22	22	21	21	21	23	21	24	24	23	26	25	26	28	30	29	29	32	31	32	34	33	34	35	0	1	2	3	7	4	3	5	3	7	10	10	9	10	10	10	10	11	10	18	19	16	62	20	38	16	19	33	22	61	13	34	18	11	34	14	31	14	38	11	14	17	31	27	23	17	27	22	8	63	28	42	22	53	42	28	42	40	40	61	27	17	39	27	44	35	35	53	60	12	55	51	48	37	81	57	55	62	78	61	44	59	63	68	28	72	79	81	86	54	0	86	92	89	92	91	0	95	97	96	95	99	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	3	1	1	1	2	1	5	1	1	3	1	3	2	1	1	1	3	1	2	1	1	1	2	1	1	1	1	1	1
