step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84
1	-716.562080367231147	-725.612923747682544	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.497527491586829	0	5	1	3	8	4	4	6	6	9	8	6	6	8	6	8	7	7	9	7	8	9	8	7	9	8	9	9	8	11	10	8	17	12	9	12	9	10	9	9	10	14	13	10	13	10	9	10	11	13	11	10	10	13	14	14	12	11	12	11	12	13	12	14	15	13	13	14	13	13	13	14	15	14	16	17	18	18	15	16	16	16	24	18	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-254.318305245670501	-263.369148626121842	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.988531938696101	0	3	2	3	8	3	2	6	7	10	9	7	5	6	6	9	5	8	7	6	8	9	9	6	4	5	9	8	5	11	10	8	16	11	9	13	9	9	8	10	10	13	14	11	13	10	9	4	11	13	11	11	10	11	13	14	12	12	13	11	10	13	10	15	13	11	12	13	13	14	12	14	15	14	17	17	12	17	13	17	16	15	20	16	0	7	1	7	15	7	1	6	1	37	29	20	2	29	2	8	7	14	15	6	17	39	21	2	2	48	29	12	2	41	11	13	62	37	32	63	17	9	29	22	15	31	77	27	22	27	28	4	32	30	47	46	37	53	30	79	30	16	57	40	18	11	28	55	51	39	44	54	49	57	40	65	58	55	84	64	10	59	30	49	70	72	64	70	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-252.653651825262330	-261.704495205713670	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.987382560716060	0	4	2	4	8	5	5	6	7	8	6	6	6	7	6	5	7	7	10	6	9	9	7	6	8	7	9	9	7	12	9	8	14	8	10	12	10	8	8	8	11	11	10	10	13	9	10	11	10	13	12	10	10	14	14	13	10	10	12	12	12	13	10	15	15	13	13	11	11	11	10	15	14	9	16	17	15	18	14	14	17	16	24	18	0	1	1	1	29	4	2	4	4	13	7	2	16	24	16	2	6	15	40	7	25	17	2	6	12	3	25	10	8	19	18	23	36	8	74	19	9	4	26	12	28	15	8	25	48	12	5	19	27	28	49	28	8	50	42	69	32	32	63	27	27	70	38	26	45	22	27	58	71	74	26	30	69	34	79	77	73	76	60	51	50	30	84	82	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-253.630462252895825	-262.681305633347165	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998193038732255	0	4	2	4	9	5	4	6	6	9	9	5	7	7	5	8	7	7	9	6	8	8	9	5	6	8	10	9	9	11	10	9	16	12	9	12	9	11	10	8	11	8	13	10	14	10	9	10	10	10	3	9	11	14	9	14	12	12	12	12	6	13	12	12	13	12	14	13	11	10	12	12	16	15	15	14	19	18	11	17	15	16	14	15	0	3	1	3	21	7	51	2	2	21	9	7	24	8	51	12	51	51	26	51	18	13	13	51	2	9	47	13	9	46	21	12	56	46	20	27	25	28	37	17	52	14	36	26	58	5	17	42	14	25	3	42	10	79	9	64	50	79	46	46	24	23	38	50	49	69	63	59	10	40	70	48	70	72	71	59	75	33	50	72	45	56	71	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-256.735806281184693	-265.786649661636034	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998482383917670	1	5	2	3	8	4	5	7	5	9	9	6	7	8	6	8	8	8	9	5	9	9	7	8	10	8	8	6	5	11	11	9	13	12	9	11	7	10	3	9	5	15	13	10	13	10	9	9	9	13	11	9	11	14	15	14	13	11	11	10	12	14	11	14	12	13	10	12	12	12	14	13	13	14	15	18	16	19	13	16	17	16	17	19	0	3	1	1	39	3	4	7	39	8	16	39	29	20	9	8	13	8	8	3	17	17	12	13	35	23	12	29	3	21	12	26	18	35	18	60	6	35	1	41	4	50	49	10	10	16	12	5	27	30	38	12	32	57	72	14	61	5	60	47	53	52	10	5	35	52	14	53	10	19	43	70	59	72	57	83	74	76	61	69	22	66	42	83	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-259.603951282530829	-268.654794662982169	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995225416898993	0	6	1	4	9	4	4	5	6	8	8	7	7	6	5	9	8	6	6	8	9	9	7	7	8	9	10	10	8	12	11	8	18	13	10	12	9	8	10	8	11	13	12	11	11	7	7	11	11	14	8	10	9	14	11	14	12	9	9	11	10	13	13	14	13	13	12	12	14	13	13	12	14	15	15	14	19	16	16	15	15	15	17	18	0	7	1	3	23	3	1	6	3	7	2	9	8	4	4	17	2	6	6	18	24	10	6	19	18	2	38	46	9	16	5	9	69	39	12	44	23	15	22	7	37	39	45	5	22	18	15	21	13	35	6	13	47	28	21	58	20	32	29	10	20	57	38	61	30	27	59	5	42	17	67	25	39	43	68	35	83	50	56	42	76	64	63	81	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-252.689423085007718	-261.740266465459058	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.972627131716340	1	6	2	3	8	5	4	5	7	5	9	7	6	8	6	8	7	8	9	8	7	8	9	7	9	7	5	8	6	12	10	9	14	13	8	12	9	10	4	9	11	14	11	10	13	11	9	11	7	14	11	10	8	14	13	14	13	11	12	11	11	11	13	15	13	5	12	14	12	12	12	11	16	13	15	17	18	18	14	17	16	15	24	19	0	39	1	3	3	4	3	3	2	7	24	4	7	15	7	13	10	13	18	29	8	49	26	13	21	7	39	49	8	48	32	21	57	37	27	44	26	18	3	18	31	30	66	35	41	23	15	5	8	69	5	5	8	51	38	74	61	23	52	14	40	9	62	72	58	1	52	69	24	62	32	53	74	49	68	75	80	64	67	75	54	33	80	60	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-257.855656392572143	-266.906499773023484	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.981034580914326	1	5	2	4	8	4	3	5	7	8	7	7	6	8	6	8	6	7	7	8	8	8	9	8	10	9	9	10	7	11	11	9	17	13	7	12	8	9	9	10	11	9	11	7	11	9	9	11	10	10	11	9	11	11	10	12	8	12	10	12	11	12	10	13	14	14	12	14	10	14	13	13	13	12	15	17	17	19	14	15	16	16	22	15	0	6	1	1	29	3	1	3	8	6	15	4	3	12	2	2	2	17	2	15	19	6	35	17	35	44	21	47	2	21	42	9	79	61	2	30	35	9	37	5	21	17	52	13	63	37	11	21	57	37	42	22	14	35	12	22	12	39	27	32	16	25	57	24	34	31	9	58	19	30	51	46	30	63	68	58	81	33	58	49	79	73	76	64	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-247.069504911416345	-256.120348291867685	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.987525661221193	1	5	2	4	6	4	5	7	6	9	8	6	5	7	5	7	7	7	9	8	9	9	8	8	9	8	9	6	8	12	10	7	15	8	10	12	10	10	9	8	10	15	12	11	12	10	10	9	12	11	11	9	11	12	8	13	13	11	10	7	13	11	8	15	16	14	13	13	11	13	14	12	14	14	16	15	17	15	16	16	16	17	21	19	0	6	1	1	15	3	3	28	7	24	7	7	1	13	4	13	7	13	7	5	63	60	2	32	8	7	40	4	15	24	26	15	62	8	26	41	25	19	12	17	24	71	47	25	32	23	34	18	31	38	8	20	27	47	5	51	38	52	18	6	58	41	17	72	33	56	53	69	20	58	30	62	51	52	67	73	74	61	61	76	41	45	84	65	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-259.901954401557077	-268.952797782008417	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.970256764012410	1	6	2	4	9	4	3	6	6	10	5	5	4	9	6	7	8	8	10	7	7	7	9	5	10	9	10	8	4	10	8	9	15	9	9	12	10	9	9	7	10	12	12	11	12	11	10	10	11	12	11	10	10	11	12	14	12	12	13	9	13	14	13	15	13	10	8	14	14	13	13	12	12	13	16	14	18	17	16	16	16	16	22	14	0	4	1	3	15	3	3	12	7	17	7	4	3	21	24	9	29	40	26	11	15	12	16	29	31	8	39	24	1	32	11	11	59	4	22	66	38	22	31	11	38	41	38	53	52	19	26	23	66	10	31	5	34	52	66	54	14	44	5	16	43	63	44	19	66	31	21	51	46	17	66	17	52	42	44	55	63	62	84	71	61	49	80	58	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
