step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63
1	-2035.305519087646189	-2042.161007038605476	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.703639778789819	0	1	3	3	3	3	4	5	4	5	5	5	5	6	6	6	6	7	8	9	11	9	11	13	12	12	14	14	13	15	16	14	16	15	15	16	16	15	16	17	16	18	17	17	17	19	19	18	19	19	19	21	20	20	21	22	24	25	26	27	27	27	28	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	3	3	4	3	4	4	4	4	5	5	5	5	6	6	7	8	7	8	10	9	9	11	11	10	11	12	11	12	11	11	12	12	11	12	13	12	13	13	13	13	14	14	13	14	14	14	16	15	15	16	16	18	18	19	20	20	20	21
500	-589.037255385874801	-595.892743336834201	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.256358152899536	0	1	1	3	3	3	4	5	4	4	2	5	5	6	5	3	6	5	8	7	9	9	11	12	11	9	14	14	13	15	16	12	16	14	15	16	16	15	15	17	16	18	17	17	17	19	19	18	19	16	19	21	19	19	19	20	23	25	26	27	27	27	28	0	1	1	2	3	3	3	1	5	6	3	4	4	9	2	11	8	11	16	3	6	19	20	19	20	0	22	4	26	6	25	20	26	25	26	18	20	26	26	20	32	41	29	34	20	26	23	0	16	25	25	34	1	32	0	51	21	20	30	20	50	50	20	1	1	1	2	2	2	2	4	1	1	1	2	2	2	3	1	1	2	5	6	3	1	2	3	3	1	4	9	3	11	3	3	5	3	3	8	8	6	6	6	2	1	4	2	9	9	7	1	12	4	6	6	17	7	1	1	11	13	8	15	10	7	19
1000	-455.578712025774564	-462.434199976733964	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.347332108678039	0	1	1	3	3	3	4	5	4	5	4	5	5	6	6	6	6	7	8	8	11	9	10	13	12	9	12	14	12	15	16	14	16	14	14	15	16	15	16	17	16	17	17	17	14	19	19	16	19	19	17	21	20	20	21	22	24	25	26	26	27	27	28	0	1	1	3	3	1	6	2	6	5	5	6	6	9	10	11	13	11	18	6	20	16	18	20	11	0	22	19	26	28	34	20	45	25	26	21	36	45	35	28	20	31	35	25	26	26	36	0	4	31	36	37	26	47	0	47	25	50	41	25	41	47	32	1	1	1	1	1	3	1	2	1	2	1	2	2	2	1	2	1	2	1	3	3	2	2	4	5	1	2	4	3	1	2	6	2	1	4	4	1	1	2	2	6	1	3	4	3	8	4	1	14	3	2	4	10	1	1	3	9	3	7	10	9	7	13
1500	-359.822763227677569	-366.678251178636970	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.425947585442046	0	1	2	3	3	1	2	3	4	4	5	4	5	6	6	6	6	7	7	7	11	9	11	13	12	9	13	14	13	15	16	14	16	15	15	16	15	14	15	16	15	17	17	17	17	19	18	18	19	19	19	19	20	20	21	22	24	25	25	27	27	26	28	0	1	6	2	3	1	2	2	5	8	8	8	4	9	10	4	13	4	11	11	20	16	16	22	18	0	22	20	26	25	34	23	38	25	38	30	32	29	38	32	32	37	33	31	29	29	34	0	26	47	37	34	26	42	0	51	56	57	56	47	57	57	52	1	1	1	1	1	1	1	2	1	1	2	1	1	2	2	2	1	3	2	1	2	3	2	2	4	1	1	4	3	2	1	2	2	2	1	1	1	1	1	2	1	2	1	1	3	3	3	1	9	1	3	3	10	2	1	2	2	1	3	6	3	2	9
2000	-351.989482264645005	-358.844970215604405	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.422408659467393	0	1	3	3	3	2	3	3	4	5	4	5	5	6	6	6	6	7	7	6	10	9	10	12	11	10	14	13	12	15	16	14	16	15	14	16	16	14	16	17	14	17	17	17	16	19	19	17	19	19	19	21	20	20	21	22	23	25	25	27	27	27	27	0	1	6	1	6	1	2	1	5	4	3	4	8	5	4	8	10	11	16	11	4	16	20	22	20	0	24	23	26	16	23	25	38	32	26	34	28	26	29	31	25	37	33	32	38	29	42	0	26	31	28	37	26	51	0	51	56	56	57	57	57	57	57	1	1	1	3	1	1	1	2	1	2	1	1	2	2	3	2	1	1	1	1	6	2	3	2	4	1	2	2	2	4	4	3	1	1	3	1	2	4	1	1	2	1	1	3	1	4	2	1	8	2	4	3	10	1	1	3	1	2	2	4	2	3	3
2500	-306.355036861958752	-313.210524812918152	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.559763864871316	0	1	2	3	2	1	4	4	4	5	5	5	5	6	6	6	6	7	7	8	11	8	11	13	11	11	14	13	13	15	15	14	16	15	14	16	14	15	16	15	16	17	17	17	17	18	18	18	19	19	19	21	20	20	21	22	23	25	26	27	27	27	28	0	1	6	2	6	1	4	1	5	3	6	8	8	5	8	11	8	11	11	19	20	11	20	22	18	0	24	23	26	32	28	23	38	32	26	32	28	26	38	28	37	37	33	34	38	33	31	0	33	47	47	31	46	42	0	52	56	56	57	57	57	59	61	1	1	1	1	1	1	1	2	2	2	1	1	1	3	1	1	2	2	2	1	3	2	2	2	3	1	1	1	2	1	2	3	1	1	3	2	1	3	1	1	2	2	1	2	2	2	1	1	3	1	1	3	2	1	1	1	1	2	3	3	2	1	1
3000	-312.594570317060345	-319.450058268019745	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.666057349342295	0	1	2	3	3	3	4	5	4	5	5	5	5	6	6	6	6	7	8	9	10	7	11	13	12	11	14	14	13	15	16	13	16	14	14	14	15	14	16	16	16	18	16	17	17	19	19	18	19	19	18	18	20	19	21	21	24	23	26	26	25	27	28	0	1	2	1	3	3	4	1	5	4	6	2	3	9	8	11	13	11	16	18	16	16	20	22	23	0	24	32	26	28	25	25	29	32	26	24	24	29	35	24	37	37	35	34	38	43	52	0	38	28	41	37	35	42	0	54	56	56	57	57	57	59	61	1	1	1	1	1	1	1	3	1	1	1	3	2	2	1	1	1	2	1	2	2	1	2	6	1	1	1	1	2	1	1	1	2	1	3	1	1	1	1	2	1	2	2	3	3	3	1	1	2	3	2	1	3	1	1	1	1	2	2	2	1	1	2
3500	-296.930883451744705	-303.786371402704106	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.594580185908771	0	1	3	3	2	1	4	5	4	4	5	5	4	6	6	6	6	7	7	9	11	8	11	12	12	11	14	14	13	15	16	13	16	15	14	15	16	15	16	17	15	18	17	17	17	19	19	18	19	18	19	20	20	20	21	21	24	25	26	27	25	27	27	0	1	1	1	6	1	3	4	5	2	2	6	3	11	8	4	10	3	16	16	16	18	18	22	23	0	21	32	26	28	32	25	38	32	26	28	28	35	35	31	32	36	33	34	33	38	37	0	33	37	37	36	33	51	0	50	56	57	57	57	57	59	61	1	1	3	1	1	1	1	2	1	2	3	1	1	1	1	1	2	2	1	2	4	1	2	3	1	1	1	1	2	1	3	1	1	2	2	1	2	1	1	1	2	3	1	2	1	2	2	1	2	2	2	2	2	1	1	2	2	1	2	2	1	1	2
4000	-285.028817199700484	-291.884305150659884	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.779624011249385	0	1	3	3	3	2	4	5	4	4	4	5	5	6	5	6	6	7	7	8	11	9	10	12	12	12	14	14	13	15	16	13	16	15	15	16	16	15	14	17	16	18	16	16	17	16	17	18	18	19	19	18	19	20	21	21	24	25	25	26	27	27	28	0	1	6	2	6	2	4	1	5	4	3	4	3	9	10	11	13	16	11	18	23	19	20	16	21	0	24	32	26	20	28	25	38	32	26	30	30	29	26	37	32	37	38	34	46	38	37	0	33	52	41	47	33	41	0	54	56	57	56	59	59	59	61	1	1	1	1	1	1	1	2	1	1	1	2	1	2	1	2	1	1	2	1	1	2	2	2	1	1	1	1	1	2	1	1	1	2	2	1	1	2	2	1	2	2	1	1	1	1	1	1	1	1	3	1	2	4	1	1	3	1	3	1	1	1	1
4500	-291.649591673915211	-298.505079624874611	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.616661514435162	0	1	2	3	3	3	4	5	4	5	5	5	5	6	6	6	6	7	8	8	11	9	10	13	12	12	14	14	13	15	15	14	16	15	15	15	16	15	16	17	16	18	17	15	17	18	19	18	16	17	19	21	19	20	20	21	24	25	25	26	27	27	27	0	1	2	2	3	3	2	2	5	7	6	2	4	9	10	11	13	16	16	16	23	19	20	22	23	0	24	25	26	28	25	23	26	32	29	32	32	26	35	28	25	37	35	20	35	43	37	0	35	37	41	30	46	47	0	54	56	57	57	59	60	57	57	1	1	1	1	1	1	2	2	1	1	2	2	2	2	1	1	1	1	2	2	1	1	2	2	2	1	1	2	1	1	1	2	4	1	2	1	2	3	1	3	2	2	2	3	1	1	2	1	1	1	2	5	1	1	1	1	3	1	1	1	1	2	3
