step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92
1	-781.209320635022664	-790.260164015474061	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.083913537714121	0	0	5	1	3	2	3	2	3	3	8	4	4	9	4	4	3	5	4	4	7	7	7	4	4	6	8	7	6	7	7	6	6	5	9	5	6	7	6	7	7	11	9	9	8	8	11	8	6	7	9	10	7	9	7	9	10	8	8	10	9	8	8	9	9	11	9	9	11	18	10	9	12	10	9	12	11	10	16	10	10	10	11	12	13	13	12	12	15	16	19	16	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-394.677537260310714	-403.728380640762055	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.248792693247389	-1	1	6	2	4	2	3	1	4	3	9	4	4	10	3	4	4	6	5	3	8	8	7	4	4	6	9	8	4	8	6	6	7	6	6	5	7	6	3	7	6	11	9	9	8	9	7	6	6	7	7	11	6	9	5	8	9	8	9	10	9	7	9	9	8	11	8	9	10	12	9	9	11	9	9	9	10	11	14	11	5	10	11	8	13	13	10	12	13	16	17	13	0	1	25	8	6	2	2	1	4	2	30	4	8	28	4	2	39	5	7	2	40	48	26	6	6	12	81	34	39	49	24	2	5	25	29	12	34	5	1	32	6	72	21	26	18	18	31	5	81	3	48	28	10	62	17	12	37	47	3	25	38	36	26	18	32	59	53	67	74	73	30	47	63	84	62	47	84	22	70	71	7	32	71	20	56	58	76	27	78	80	90	66	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-287.059282003765190	-296.110125384216531	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998689945125554	0	1	5	2	2	3	3	3	3	2	4	3	2	7	4	5	4	6	5	4	8	6	7	4	4	7	7	7	6	3	8	6	6	6	5	5	4	4	6	5	7	11	9	8	9	6	11	8	5	3	8	5	7	10	7	10	10	8	9	9	8	9	9	9	8	10	8	9	12	15	10	8	7	10	10	8	8	11	12	10	9	8	8	10	8	13	13	12	14	12	19	17	0	1	6	1	1	5	4	13	2	1	10	5	2	49	6	17	7	38	25	9	27	17	52	6	7	32	36	46	3	10	14	52	8	36	12	24	4	6	3	9	4	61	73	22	24	19	75	27	6	2	11	12	19	18	20	23	31	41	22	55	29	53	14	77	3	23	46	53	47	3	44	50	46	51	45	18	34	14	75	44	26	26	23	46	50	82	29	83	79	65	92	70	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-269.394811012945922	-278.445654393397263	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989048364909330	0	1	2	2	3	2	4	2	4	4	8	2	4	6	3	5	3	5	5	3	6	8	7	4	4	6	8	8	7	7	6	5	5	5	8	6	7	5	6	8	7	8	6	9	8	9	12	6	7	6	9	11	5	9	4	9	10	7	8	11	10	9	8	9	7	10	9	9	12	17	10	8	9	10	9	10	7	11	8	10	10	7	8	13	14	13	11	11	13	16	18	16	0	1	2	1	4	1	4	1	15	17	65	1	6	24	3	20	2	17	1	8	16	21	32	4	20	3	36	65	7	18	12	13	15	25	23	4	21	12	19	26	55	41	7	20	49	41	87	17	38	20	77	56	12	79	15	49	59	14	33	71	63	49	7	11	15	40	41	79	21	90	7	19	30	58	27	67	33	68	43	75	45	39	43	71	76	71	54	68	78	85	70	69	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-271.987025505417591	-281.037868885868932	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994142340750346	-1	1	6	1	4	3	3	3	2	3	8	2	3	9	4	5	4	6	4	4	5	6	5	1	4	5	7	8	6	6	8	6	6	6	10	2	6	7	6	8	7	9	10	10	8	9	12	9	7	5	9	6	4	10	8	8	9	7	9	8	10	7	8	9	9	9	10	7	11	16	8	9	10	10	7	7	12	8	15	5	9	9	10	10	13	11	11	12	15	12	19	11	0	1	20	1	36	12	9	36	2	4	68	1	4	22	7	20	9	16	4	9	10	21	19	1	13	7	21	19	21	50	23	53	53	7	60	24	15	52	16	3	23	41	31	51	33	52	87	76	33	36	60	17	2	71	6	33	38	16	71	37	42	26	37	75	27	45	14	53	46	88	41	20	66	58	19	21	74	16	46	13	26	11	82	45	86	66	84	61	88	82	79	64	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-267.282460237562304	-276.333303618013645	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999243864204128	0	1	5	1	3	3	3	2	4	3	8	4	4	10	5	5	4	4	2	4	7	4	7	4	5	7	8	8	6	7	5	6	5	6	8	4	7	8	6	7	7	10	10	9	6	8	12	7	5	7	10	8	6	10	7	8	10	8	8	10	8	6	9	9	10	8	9	9	11	12	11	9	12	9	10	10	11	10	16	10	11	11	12	11	11	14	12	9	13	16	19	14	0	1	9	1	4	4	2	4	5	4	39	10	8	50	6	8	2	4	4	5	17	5	12	7	13	49	50	30	49	15	22	10	24	12	48	19	3	24	18	9	39	66	35	30	6	49	80	36	13	2	68	53	18	68	3	41	46	39	41	59	21	1	55	52	72	29	20	34	57	21	60	18	56	66	45	37	62	58	57	61	66	14	54	78	14	54	78	32	73	89	68	69	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-276.585916069796781	-285.636759450248121	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998424189236342	0	1	6	1	3	1	4	2	3	2	5	4	4	9	3	2	2	5	5	4	8	7	7	3	3	4	7	5	7	7	7	6	6	4	6	5	7	7	6	4	8	12	9	8	8	5	9	6	7	7	10	10	8	10	5	9	9	8	8	10	8	3	6	6	7	12	8	9	12	14	9	7	12	10	7	11	10	6	15	10	10	9	12	10	10	13	12	12	11	14	16	13	0	1	17	1	16	1	16	1	2	1	8	24	10	33	2	2	2	15	17	16	7	34	39	2	6	25	48	24	48	46	39	12	18	4	13	25	33	3	5	8	38	14	27	32	22	9	41	19	28	46	30	67	32	22	9	65	65	55	38	8	64	2	36	13	9	54	23	65	23	66	41	34	81	44	62	55	47	7	42	29	49	33	81	47	37	77	89	57	81	69	90	51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-287.576191068142748	-296.627034448594088	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.984869373399108	-1	1	6	2	1	1	2	3	3	4	9	5	3	9	5	4	2	5	2	4	6	8	8	5	0	7	9	6	5	8	3	7	6	5	5	6	6	4	6	8	7	12	9	10	9	8	10	9	7	6	7	10	5	4	8	10	11	7	8	10	6	7	8	10	6	5	6	9	12	17	10	9	13	8	9	10	11	9	17	10	7	11	9	11	14	8	13	12	15	14	20	17	0	1	18	5	25	1	5	2	17	4	28	7	6	40	4	5	1	38	5	17	18	10	51	38	1	36	81	9	16	41	17	54	15	6	4	53	10	8	29	61	15	50	62	22	30	21	68	81	15	54	18	45	31	17	15	32	39	50	39	63	31	35	33	30	16	54	17	22	57	87	67	18	88	15	15	75	72	41	90	30	15	45	46	10	69	28	33	47	36	82	79	85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-286.529423107131777	-295.580266487583117	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.978984683933362	-3	1	5	0	4	-1	4	1	2	3	9	4	2	7	3	5	2	6	4	1	6	7	6	5	2	7	7	7	7	6	3	5	7	4	10	5	7	8	6	8	7	4	9	4	8	7	11	8	6	5	9	10	7	10	8	7	10	6	9	10	9	9	8	9	8	11	9	10	10	16	11	6	11	9	8	9	12	10	14	8	9	7	11	12	13	12	10	10	15	15	18	16	0	6	25	6	31	1	13	6	4	20	33	9	20	32	2	12	6	31	4	1	24	58	36	42	4	23	44	36	5	16	20	7	32	9	49	2	23	21	19	56	7	17	22	9	16	44	40	44	50	31	82	48	36	48	14	32	63	12	14	80	23	53	37	27	23	57	56	39	11	77	40	36	67	46	24	29	52	64	48	28	75	49	35	59	23	16	67	75	58	60	79	71	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-275.614752776678927	-284.665596157130267	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999528145164725	-1	1	5	2	3	1	1	2	2	3	9	5	5	8	5	5	3	6	5	3	5	7	6	5	2	4	7	8	6	7	7	6	7	6	10	6	5	8	6	7	5	12	9	9	8	9	11	9	7	7	8	10	7	9	3	7	10	7	7	9	10	8	7	8	8	10	9	4	8	18	10	8	10	8	9	12	11	10	4	8	11	10	8	13	13	10	7	10	15	16	19	13	0	1	17	7	7	1	1	2	2	2	40	6	10	41	8	10	4	26	55	6	7	8	68	26	7	17	21	50	3	21	68	5	37	68	72	3	68	27	3	12	68	71	50	51	7	22	22	14	3	32	68	28	12	83	4	32	33	32	37	53	38	3	19	23	27	29	49	10	18	85	69	59	46	18	36	46	48	54	7	31	31	74	21	76	77	31	19	27	85	58	70	81	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5000	-261.579011059330014	-270.629854439781354	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.976527648959653	0	1	5	1	3	2	3	3	4	3	6	4	4	9	4	3	4	5	4	4	7	6	7	2	3	5	5	5	5	8	7	6	6	6	7	5	6	8	6	7	7	11	10	9	7	7	12	9	5	8	6	11	6	9	3	10	8	5	8	8	10	8	8	10	9	11	9	9	8	15	9	9	13	9	9	13	11	7	16	10	11	10	10	12	13	13	11	12	14	13	14	15	0	1	4	1	2	1	4	4	6	1	13	24	10	30	16	2	24	16	10	6	29	12	3	1	2	5	4	16	19	32	55	8	18	28	36	13	18	46	13	34	37	40	62	19	13	27	64	50	25	34	13	63	26	51	4	68	37	9	21	27	57	78	35	50	69	48	63	69	34	85	21	57	75	30	62	81	14	17	87	71	38	53	57	77	80	45	64	63	76	61	48	85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5500	-287.695159720709228	-296.746003101160568	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999027899156801	-1	1	2	2	0	3	3	1	4	3	8	3	3	10	5	5	3	4	2	4	6	6	5	1	3	5	6	8	4	4	7	5	6	6	10	5	7	7	7	7	7	11	4	3	8	9	10	5	5	8	9	11	4	8	5	9	11	6	8	8	9	6	9	7	10	12	7	8	10	19	10	7	12	5	9	13	11	8	10	9	6	10	11	10	13	14	9	11	16	15	20	7	0	5	1	2	1	8	3	1	19	2	58	19	19	67	3	17	3	3	1	44	19	44	13	5	2	9	6	74	25	4	48	29	18	44	15	20	81	49	16	32	55	38	2	4	81	78	56	53	13	22	64	41	3	72	3	50	56	20	67	20	45	15	11	23	78	57	27	58	92	89	50	29	69	44	39	69	71	55	92	31	15	80	75	75	77	76	78	46	76	42	90	81	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6000	-264.861259829812127	-273.912103210263467	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.985014548488649	-1	0	5	1	3	3	4	2	4	3	8	4	5	8	4	2	4	6	4	4	7	6	7	4	5	6	8	7	6	8	6	6	5	6	10	6	6	7	6	7	8	11	5	10	3	8	5	8	6	8	10	10	6	9	6	9	10	8	9	7	8	7	8	9	9	11	10	9	11	13	8	9	13	9	10	9	6	10	14	11	11	10	12	12	10	13	13	13	16	13	17	16	0	1	20	1	8	4	16	2	8	16	29	6	9	34	16	2	8	24	6	45	15	6	29	10	17	47	37	8	2	8	19	3	9	24	50	45	3	37	7	24	15	51	2	59	2	31	10	22	33	31	14	76	43	50	13	28	50	43	48	53	60	22	43	27	27	13	58	28	30	66	31	29	75	12	74	63	45	55	73	68	76	11	75	51	29	80	81	52	87	84	92	70	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6500	-263.033990084058019	-272.084833464509359	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.980194750028804	-1	0	5	1	4	2	2	3	4	3	8	5	5	10	2	3	0	6	3	4	7	8	7	4	3	7	8	7	5	8	6	7	5	4	9	4	6	5	7	7	7	10	9	8	9	6	11	8	7	7	7	9	5	8	7	9	9	7	8	11	10	9	6	10	10	11	10	7	11	19	9	9	12	11	9	12	8	10	14	10	11	8	11	13	14	13	12	12	12	15	16	15	0	1	20	1	25	17	17	4	19	4	13	24	5	56	2	7	1	13	4	10	3	36	46	25	2	53	29	18	36	46	29	18	25	15	58	4	53	36	33	3	20	50	21	63	77	3	52	31	34	46	13	11	25	39	16	26	3	24	49	45	55	51	9	22	39	42	30	10	43	47	23	11	57	61	26	72	13	53	69	35	52	41	62	78	47	76	81	61	47	65	84	63	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
