step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88
1	-3199.640855241533245	-3198.178773157014348	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.250636691976494	0	2	5	5	6	7	8	9	9	8	9	8	10	10	10	13	11	12	12	13	14	13	13	14	13	13	13	14	14	14	17	16	16	17	19	16	15	15	15	18	17	18	17	16	17	16	18	19	19	18	18	19	20	19	19	22	21	20	20	20	20	20	21	23	22	23	24	23	24	24	24	26	25	24	26	26	26	26	28	28	29	28	29	29	31	31	32	33	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	4	4	5	5	4	5	4	5	5	5	7	6	6	6	7	7	7	7	7	7	7	7	7	7	7	9	8	8	9	10	8	8	8	8	9	9	9	9	8	9	8	9	10	10	9	9	10	10	10	10	11	11	10	10	10	10	10	11	12	11	12	12	12	12	12	12	13	13	12	13	13	13	13	14	14	15	14	15	15	16	16	16	17
500	-885.171199995019492	-883.135849664821080	-2.035350330198419	0.000009991024417	0.000024313639978	2.433548249237639	0.264464298950458	-1	3	4	5	6	7	9	6	9	7	9	9	8	9	11	14	10	12	12	14	14	14	12	13	13	12	13	12	15	11	17	15	16	17	20	14	15	14	15	18	16	19	17	15	16	16	18	17	20	18	18	20	21	18	19	21	22	21	20	20	20	19	22	22	22	23	24	24	24	25	24	26	23	24	26	25	27	24	28	29	30	29	28	30	31	31	32	33	0	1	2	3	3	4	3	3	4	8	1	3	8	6	10	12	13	6	11	3	13	30	15	10	17	8	14	15	21	8	24	7	17	22	10	23	16	30	38	30	10	33	26	36	37	39	19	30	39	30	36	37	10	38	15	33	8	31	55	34	0	46	30	33	43	23	35	15	61	51	35	37	47	26	54	48	54	54	38	54	25	13	13	0	54	0	0	0	1	2	1	1	2	1	3	2	2	1	4	3	1	1	2	3	1	3	3	4	2	2	1	3	1	2	2	1	1	3	2	3	4	2	10	1	1	2	1	5	7	2	2	1	1	1	3	3	3	4	3	3	8	3	3	2	8	2	1	1	1	1	5	2	3	5	2	9	2	4	2	5	3	7	5	4	4	4	10	7	9	16	9	1	9	1	1	1
1000	-708.165280570598270	-706.018851494096793	-2.146429076501449	0.000010049587140	0.000027436452571	2.730107435043823	0.496751272163991	-2	1	4	6	6	7	8	7	10	8	9	8	8	9	9	13	11	12	13	13	15	11	12	15	14	12	13	14	13	14	15	17	16	17	19	14	14	16	15	18	17	18	17	16	17	17	18	18	19	18	19	20	21	19	20	22	22	20	20	21	20	21	22	23	21	23	23	22	24	24	24	26	26	24	25	27	27	26	29	29	29	29	30	28	32	31	32	33	0	1	1	3	3	4	3	3	6	8	12	4	8	4	10	12	13	15	5	5	17	8	15	18	13	15	6	16	13	17	19	20	13	22	23	23	4	30	30	30	24	33	15	36	33	39	19	30	38	38	44	51	51	40	48	42	33	33	49	47	0	46	40	56	43	47	60	35	50	62	65	35	54	65	63	45	54	63	54	73	78	13	63	0	77	0	0	0	1	2	2	1	1	1	2	2	1	1	1	1	1	1	1	2	2	1	4	3	1	2	1	1	3	1	3	1	2	1	1	2	3	4	5	1	3	1	1	3	1	1	4	1	1	1	2	2	2	1	2	1	1	1	1	2	3	2	1	2	1	3	2	1	2	2	1	2	3	1	1	4	4	2	1	4	6	2	5	1	2	14	7	1	3	1	1	1
1500	-653.815649303123109	-651.642565450259667	-2.173083852863457	0.000010083487219	0.000028264294377	2.803027738783213	0.597051347839203	-1	2	4	5	7	7	9	8	9	9	8	8	10	10	11	12	12	12	13	13	14	14	13	14	14	13	13	15	14	14	15	17	17	16	19	15	14	13	15	18	17	19	17	16	18	17	17	17	19	17	18	18	20	19	20	22	21	21	20	20	20	20	22	24	21	23	23	23	25	25	23	26	26	24	27	26	26	24	28	27	30	28	29	29	30	30	32	34	0	1	2	3	4	4	5	3	4	8	3	4	8	9	10	12	13	6	11	17	13	13	15	26	17	15	10	21	17	38	38	27	28	22	10	23	27	13	38	48	26	33	26	36	31	39	19	38	48	38	44	39	44	40	26	33	33	62	49	27	0	38	54	56	43	42	41	65	68	74	65	74	74	71	76	78	78	63	78	52	79	17	77	0	82	0	0	0	1	1	1	1	1	1	1	2	2	1	2	2	1	1	1	2	2	3	3	1	2	2	1	1	1	1	1	1	1	1	1	2	1	1	6	2	1	1	1	1	2	1	1	1	1	1	2	2	2	3	1	2	2	1	3	3	2	1	1	4	1	3	2	1	2	1	3	1	1	1	1	1	1	1	1	2	1	1	2	4	1	9	2	1	1	1	1	1
2000	-657.700306438793973	-655.397566200138613	-2.302740238655348	0.000010212810338	0.000032355861560	3.168164343534450	0.631311821207029	1	2	4	6	7	7	7	8	7	9	10	8	10	9	11	13	12	13	13	13	13	12	14	14	14	13	13	15	14	14	17	16	15	18	17	16	15	13	15	18	17	18	18	17	17	17	18	18	18	19	18	19	20	19	20	22	19	20	20	18	21	21	21	24	21	22	25	23	24	22	25	25	25	25	27	27	25	23	27	29	28	29	28	30	30	31	32	34	0	1	2	3	4	4	3	3	4	8	10	6	8	5	10	12	13	6	1	15	13	13	10	10	13	10	15	22	8	38	28	13	18	22	26	24	16	17	38	30	24	33	35	36	30	39	19	30	30	48	44	35	51	38	34	42	18	48	49	23	0	31	54	56	43	65	50	65	78	41	65	50	69	68	77	77	78	63	77	75	76	54	69	0	83	0	0	0	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	2	4	1	1	1	3	3	2	2	2	2	2	1	1	3	1	2	2	2	1	1	1	2	2	2	1	1	1	1	2	2	4	1	1	2	2	5	1	2	2	1	1	2	1	2	1	1	2	1	3	1	1	2	1	2	1	1	1	1	1	1	1	1	1	6	2	1	1	1	1	1
2500	-617.146407059953049	-614.989538154837760	-2.156868905115262	0.000010020452017	0.000027642258673	2.758584006602818	0.698680889545349	0	2	4	5	7	7	7	8	10	9	7	8	11	10	10	14	10	12	12	13	14	14	13	14	14	14	14	14	14	13	16	15	16	17	16	15	15	14	15	18	17	19	18	17	17	16	18	18	19	18	18	19	19	19	19	22	21	20	20	19	21	20	21	23	22	23	24	23	22	25	23	27	25	25	26	26	26	23	29	28	30	29	28	30	31	32	32	33	0	1	1	3	3	4	3	7	11	8	4	6	17	5	10	9	8	5	5	13	13	20	10	15	30	10	13	15	20	13	28	30	21	22	26	23	18	30	21	38	26	33	31	36	22	39	19	30	40	32	44	22	44	40	48	42	42	39	20	25	0	40	54	56	43	52	53	43	55	63	43	69	68	68	40	78	78	63	76	75	70	78	70	0	82	0	0	0	1	1	2	1	2	1	2	1	3	1	1	1	1	2	1	1	2	2	2	1	2	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	2	1	2	2	1	2	1	3	1	1	1	2	1	3	3	2	1	1	2	1	2	1	1	3	1	1	3	2	2	1	4	2	1	1	1	1	3	4	1	1	1	1	1	1
3000	-645.400168574805093	-643.301194010195331	-2.098974564609711	0.000010089269668	0.000026252291840	2.602001205536387	0.640971204691928	0	3	5	6	6	8	8	8	10	9	9	8	11	10	10	13	9	12	10	13	12	14	13	14	14	12	13	14	13	14	17	16	17	18	20	15	15	16	15	18	16	19	16	16	18	17	18	20	18	18	19	19	21	19	18	20	21	21	20	20	20	20	22	22	23	22	24	23	24	25	25	27	25	25	26	26	26	25	29	29	28	27	29	30	31	31	32	34	0	1	2	3	3	4	5	5	6	8	8	4	17	4	10	12	8	10	5	26	13	17	26	15	21	15	6	16	17	8	44	27	17	22	43	23	28	39	30	38	10	33	10	36	32	39	19	40	38	30	44	37	44	30	43	42	33	27	38	55	0	39	45	56	43	60	48	55	61	66	65	68	58	68	54	78	78	63	78	67	77	78	82	0	79	0	0	0	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	2	1	1	2	1	2	1	1	4	1	2	3	1	1	4	2	2	1	1	1	1	2	4	1	2	1	1	1	6	1	1	2	1	2	3	3	1	1	2	3	2	1	1	2	2	1	4	1	2	3	1	1	1	2	2	2	5	1	1	1	3	2	1	1	1	1	1	1	1	1
3500	-641.856995073230109	-639.824650485156212	-2.032344588073844	0.000010287873349	0.000024955089867	2.425680120704194	0.636448777399972	0	2	4	6	7	8	7	8	10	9	9	8	10	10	11	14	11	12	12	13	13	14	13	14	13	12	14	14	15	13	17	17	16	17	19	16	16	15	16	18	16	18	17	17	17	17	18	19	19	18	18	20	20	17	17	22	21	20	20	21	21	20	21	24	22	23	25	20	23	24	24	26	26	24	24	26	27	25	28	27	28	28	29	29	31	32	32	33	0	1	2	3	3	4	3	7	6	8	7	4	8	6	10	12	13	10	5	26	13	13	15	15	11	10	30	12	17	17	36	33	21	22	25	23	16	13	30	38	15	33	20	36	33	39	19	38	38	39	44	35	51	30	25	42	42	48	49	53	0	32	54	42	43	58	75	43	56	47	65	74	70	68	54	54	76	48	78	75	76	78	82	0	76	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	3	1	1	2	1	1	2	2	1	4	2	1	1	1	1	2	3	1	1	2	2	2	4	1	1	1	1	1	3	2	2	1	1	1	1	2	1	3	2	1	1	1	1	1	2	2	3	1	1	1	1	3	1	1	1	2	3	4	1	2	1	2	1	1	1	1	2	1	1	1
4000	-638.466800648016601	-636.724340444555992	-1.742460203460643	0.000011473450694	0.000019483977232	1.698179366574464	0.613329858661397	1	3	5	6	5	8	7	7	7	9	9	9	10	10	11	13	11	12	12	12	15	13	13	12	13	12	13	14	13	14	16	16	16	18	19	15	15	16	15	17	18	18	18	16	17	17	18	20	19	18	18	19	20	19	19	22	20	19	20	20	21	20	22	22	21	23	25	22	24	24	23	26	26	25	26	24	26	26	28	29	29	27	29	30	30	31	29	34	0	1	2	3	1	4	3	3	4	8	7	4	8	9	10	12	13	17	5	13	17	13	26	15	20	10	18	22	17	13	23	25	21	22	26	27	13	17	30	13	31	33	45	36	44	39	19	52	40	38	44	46	44	40	28	42	42	40	46	33	0	39	62	42	43	55	31	43	56	56	35	66	56	68	76	54	76	76	76	75	77	78	82	0	78	0	0	0	1	1	1	1	2	1	2	1	1	1	1	1	2	1	1	2	1	1	4	1	2	2	1	1	1	2	1	1	1	2	2	1	1	2	3	1	2	3	1	3	2	1	1	1	1	1	3	1	1	1	1	1	2	1	2	2	2	1	2	2	1	3	1	2	2	2	3	2	1	1	1	1	2	2	1	3	2	1	2	1	2	1	1	1	3	1	1	1
4500	-609.508438410634085	-607.709247086726009	-1.799191323908065	0.000013272992962	0.000024377167682	1.836599156800833	0.603037317400829	1	3	4	5	6	7	8	9	9	8	10	9	10	8	11	13	12	12	12	14	14	12	13	14	11	13	13	12	14	13	18	16	15	18	18	15	15	15	16	17	17	19	16	16	18	15	18	20	19	19	17	20	20	18	20	23	21	19	21	20	21	21	21	22	22	23	24	23	24	22	24	27	25	24	26	25	26	27	29	29	27	29	29	29	31	31	33	33	0	1	1	3	3	4	5	3	6	5	7	6	8	6	10	9	13	4	3	13	17	13	15	15	13	10	3	10	17	8	29	16	27	22	26	23	16	20	46	46	26	33	10	36	25	30	19	40	38	40	44	39	44	38	40	64	42	54	40	35	0	52	54	42	35	43	59	43	61	53	65	66	46	68	63	63	76	76	78	75	76	76	78	0	82	0	0	0	1	1	2	1	1	1	1	2	1	1	2	1	1	1	2	3	1	3	3	2	1	2	1	1	1	2	4	1	1	1	1	1	1	3	3	1	1	1	1	1	3	3	4	1	4	1	4	1	3	2	1	2	1	2	1	1	1	1	2	1	1	1	2	1	2	3	2	4	2	1	1	2	4	1	2	2	1	1	1	2	1	2	1	1	1	1	1	1
