step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	Tinf_113	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	alpha_113	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112	kappa_113
1	-1937.052939051520298	-1943.908427002479584	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.328011020472304	0	3	3	2	4	4	3	3	5	4	5	5	6	6	6	10	7	6	8	7	9	9	9	9	9	9	9	9	10	12	10	9	13	10	10	10	10	10	11	11	13	12	11	13	11	11	12	12	12	12	13	12	12	14	13	13	13	13	14	14	14	14	14	15	13	14	15	15	15	15	15	16	19	15	15	15	16	16	16	17	17	17	18	18	17	18	19	18	17	19	18	20	20	19	20	22	21	19	21	22	21	20	21	20	21	22	21	21	22	24	23	26	25	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	2	3	2	3	3	3	3	3	5	4	3	4	4	5	5	5	5	5	5	5	5	5	6	5	5	7	5	5	5	5	5	6	6	7	6	6	7	6	6	6	6	6	6	7	6	6	7	7	7	7	7	7	7	7	7	7	8	7	7	8	8	8	8	8	8	10	8	8	8	8	8	8	9	9	9	9	9	9	9	10	9	9	10	9	10	10	10	10	11	11	10	11	11	11	10	11	10	11	11	11	11	11	12	12	13	13
500	-791.301912445627295	-798.157400396586695	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.403327347219861	0	4	3	2	4	4	4	2	5	5	5	6	6	6	6	10	8	6	7	6	9	10	7	8	10	8	9	10	10	12	10	10	14	10	10	10	10	10	12	11	12	12	11	12	10	11	12	13	13	12	13	12	12	14	13	14	12	12	15	15	15	14	15	12	13	15	14	15	15	15	16	16	19	16	16	16	16	16	16	17	17	18	19	18	16	18	19	17	17	19	19	20	21	20	21	22	21	20	22	23	21	21	22	20	21	23	21	21	21	25	23	24	25	0	4	4	1	8	8	4	1	4	5	2	4	2	7	9	2	20	10	10	7	10	19	7	15	2	18	26	13	14	12	20	27	50	24	13	26	27	24	18	29	25	28	22	45	24	28	27	20	43	24	39	38	0	36	15	42	2	14	39	19	35	55	25	45	17	34	51	53	54	48	51	51	81	18	22	25	25	68	19	45	44	68	33	64	18	35	2	63	60	64	80	64	85	79	63	94	64	64	85	66	58	74	77	85	39	74	31	90	85	102	45	103	64	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	1	2	2	2	1	3	1	1	4	2	3	2	1	1	1	2	1	1	1	4	1	1	1	1	1	2	1	1	3	1	2	1	2	1	1	2	2	6	3	2	4	3	1	2	1	2	2	1	1	1	1	2	2	1	4	3	2	4	1	4	2	2	1	3	3	5	5	8	1	2	4	1	5	2	2	2	1	6	5	4	2	4	3	4	2	4	5	6	2	3	1	7	1	8
1000	-657.385616756934041	-664.241104707893442	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.464113999129475	0	2	3	3	5	4	4	1	5	4	6	5	6	6	6	11	6	6	8	7	10	9	9	10	8	9	9	9	11	11	10	10	14	8	10	11	9	8	12	12	13	12	10	14	11	10	13	12	11	11	13	12	12	15	13	13	13	14	13	14	14	13	13	13	14	14	16	15	15	15	15	16	18	16	15	15	16	15	16	18	17	18	18	19	17	18	19	19	16	20	18	21	20	20	20	21	20	19	22	22	21	20	22	21	22	23	22	21	21	22	22	27	25	0	1	1	1	6	4	4	1	2	2	2	6	5	4	3	12	3	10	15	3	19	15	7	13	13	17	18	34	15	20	4	38	46	13	4	26	18	13	26	26	30	29	19	64	46	28	49	35	31	24	37	38	0	36	5	48	35	47	26	19	42	31	35	46	48	50	58	53	37	41	40	60	58	26	29	56	59	55	47	46	64	79	45	64	72	51	23	61	51	64	36	64	89	42	67	31	80	64	60	81	93	61	93	51	91	92	85	90	89	73	92	109	98	1	1	1	1	1	1	1	1	2	1	3	1	1	2	1	3	1	1	1	2	1	2	2	2	1	1	2	1	2	2	3	1	2	1	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	4	2	1	1	3	1	1	1	2	4	2	2	1	2	1	2	1	2	3	1	2	1	2	4	2	1	2	1	1	5	2	1	3	4	1	3	7	3	2	5	3	4	2	5	2	5	1	4	4	2	1	3	1	4	2	1	3	1	4	3	1	3	3
1500	-718.990006894848420	-725.845494845807821	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.558746913854366	0	2	3	2	4	5	4	4	5	4	4	4	6	6	7	9	8	7	8	6	9	8	8	8	9	10	9	10	10	12	11	10	13	10	11	10	10	11	11	12	13	13	11	13	11	11	12	12	11	11	13	13	12	15	14	13	14	13	14	14	15	14	14	15	14	14	16	15	15	14	15	15	19	16	14	15	16	16	16	17	17	15	17	18	17	17	19	17	18	19	18	19	20	19	21	22	21	20	21	22	20	20	21	19	19	22	21	21	22	24	24	26	25	0	1	1	1	4	12	4	1	8	2	3	2	6	5	2	20	18	10	20	8	20	7	7	13	24	18	18	24	21	35	5	17	46	24	18	27	21	21	27	34	35	30	9	28	25	25	26	43	25	24	21	50	0	37	56	30	32	47	5	51	48	12	29	33	41	40	39	53	39	30	60	51	79	54	29	36	5	66	43	42	33	19	46	82	27	72	63	76	72	64	70	52	67	31	92	69	98	79	54	108	77	59	101	31	76	98	92	81	60	97	107	93	97	1	1	1	1	1	1	2	2	1	1	1	1	1	2	2	1	1	2	1	1	2	1	2	1	1	2	2	1	1	1	4	1	1	2	2	1	1	1	1	1	1	1	3	2	1	1	1	1	1	2	2	1	1	3	1	1	2	1	2	1	1	5	3	1	1	1	3	1	2	1	1	2	1	1	1	2	3	1	3	2	2	4	3	1	3	2	3	1	1	2	1	5	2	2	1	2	1	2	2	1	2	2	1	4	1	1	1	2	6	2	2	2	3
2000	-726.180799600301157	-733.036287551260557	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.643627549895923	1	2	3	2	3	4	4	4	5	5	5	6	6	5	7	10	8	6	9	7	7	9	9	8	10	9	9	10	9	10	9	9	13	11	11	11	9	10	12	11	12	13	10	13	12	11	12	13	12	12	14	12	11	14	13	12	14	12	12	14	14	14	13	14	12	14	14	16	16	16	14	17	20	15	16	15	17	16	16	18	17	18	18	18	18	18	17	19	16	16	19	19	20	19	19	21	21	19	21	22	19	20	21	21	20	20	18	21	22	25	23	26	25	0	1	1	1	2	4	5	2	3	5	3	5	5	7	4	32	12	5	18	11	7	15	15	13	10	4	5	32	15	12	9	13	45	24	27	18	18	24	19	22	30	37	9	34	46	15	19	30	32	34	42	17	0	42	56	30	43	19	25	25	27	40	23	44	30	34	26	53	54	55	42	42	107	35	62	63	51	48	76	61	61	78	45	64	72	50	42	70	27	64	80	90	77	49	77	54	98	86	35	81	35	43	101	101	82	49	72	90	78	73	90	109	81	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	2	2	2	1	1	2	3	1	1	1	1	2	1	1	1	1	1	2	3	1	1	3	2	2	1	1	1	2	1	1	1	1	2	1	1	2	2	1	2	1	1	1	2	3	1	2	1	1	1	2	1	1	1	1	1	1	3	1	2	1	1	3	2	1	3	2	1	2	1	3	1	4	1	1	6	2	2	4	1	1	1	2	1	2	3	2	5	2	3
2500	-716.739857023550940	-723.595344974510340	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.609873466457637	0	2	4	2	4	4	3	3	5	3	5	5	6	7	6	10	6	5	9	7	8	10	8	9	9	9	7	8	10	10	11	10	13	11	9	11	10	11	10	12	14	12	10	13	11	11	12	13	12	9	14	13	13	14	12	11	13	13	14	13	15	13	14	16	13	14	15	15	15	16	14	17	19	16	14	16	17	16	16	16	15	18	18	18	17	16	19	19	17	20	19	19	21	19	20	22	21	18	20	21	22	20	21	20	21	21	20	22	22	24	22	26	24	0	1	2	1	2	2	4	4	4	1	8	6	6	8	9	50	11	10	7	6	18	23	15	13	21	18	18	13	14	12	21	11	45	24	28	25	18	24	18	39	55	43	9	50	50	50	37	30	31	17	39	38	0	47	56	19	43	27	20	26	58	30	29	44	30	34	60	16	18	55	60	67	60	26	22	59	51	54	51	33	45	62	64	44	51	45	29	63	27	64	44	64	104	63	87	39	92	44	35	90	93	70	73	85	104	90	67	92	91	109	100	109	44	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	3	1	2	1	1	1	1	2	1	3	1	1	1	2	2	1	1	1	2	1	2	2	1	1	1	1	1	3	3	3	2	1	1	2	2	2	2	1	3	7	2	1	1	3	3	2	2	2	1	1	1	2	2	2	2	2	2	5	3	5	2	2	1	1	2	1	5	1	3	3	1	1	2	1	2	1	1	3	2	2	1	1	2	6
3000	-749.318534627677536	-756.174022578636936	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.481920157653202	0	4	3	3	2	4	4	2	5	5	5	5	6	6	7	10	6	6	7	4	8	9	9	8	10	9	8	9	11	10	10	10	14	9	10	11	10	10	12	11	13	12	12	11	12	10	12	13	13	12	13	12	13	15	13	12	13	13	15	13	13	14	14	15	13	13	14	16	15	15	16	15	18	15	15	16	17	17	16	18	17	17	17	19	17	17	19	18	17	19	19	21	21	20	20	21	21	19	22	21	20	21	21	20	21	21	21	21	22	25	23	27	25	0	5	1	5	1	8	8	1	3	4	4	4	2	20	10	1	4	5	3	8	4	4	14	5	12	18	18	13	14	17	11	26	44	24	11	26	19	34	10	35	30	32	17	34	46	13	18	30	46	38	18	16	0	42	30	17	19	25	47	26	50	47	21	61	17	13	37	53	26	65	62	67	71	15	29	51	51	56	52	83	64	21	45	47	49	64	75	50	74	81	35	46	77	75	74	69	98	46	51	90	67	90	101	47	101	81	84	90	77	98	32	109	92	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	2	2	2	1	3	4	1	3	2	2	1	2	2	2	1	1	2	1	3	1	1	1	5	1	3	1	3	2	2	3	3	2	2	1	3	1	1	2	2	3	4	1	2	1	1	1	3	2	4	2	2	2	3	1	1	1	2	5	2	2	2	3	2	1	2	5	2	2	1	1	2	3	1	1	4	5	2	2	3	2	1	3	4	2	2	1	1	4	1	2	2	1	3	3	5	3	1
3500	-663.652780425159222	-670.508268376118622	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.637734138202965	0	4	4	3	4	4	4	2	5	5	4	5	7	6	7	10	7	6	6	8	8	9	9	9	9	10	9	9	10	12	9	10	14	11	11	7	10	10	12	11	13	12	12	14	12	10	11	10	12	10	13	13	11	15	13	14	13	13	15	12	14	15	15	16	13	13	13	16	12	15	16	16	19	15	16	13	15	16	14	17	18	18	18	19	15	18	19	17	17	20	18	21	20	20	20	23	21	18	21	22	20	20	21	18	21	21	22	22	23	22	23	26	24	0	8	1	8	1	4	8	1	1	5	8	8	5	2	12	21	5	4	9	10	3	14	20	13	13	21	36	13	14	48	9	28	25	13	28	18	21	13	27	29	30	46	19	76	46	25	27	8	38	24	37	38	0	26	48	30	31	47	26	40	34	41	19	44	30	24	43	53	27	2	54	85	71	69	29	42	67	44	40	33	64	56	33	76	67	72	63	61	85	98	75	64	104	43	104	91	98	64	60	90	104	88	104	59	101	81	89	98	101	87	100	103	92	1	1	1	1	1	1	1	2	3	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	3	2	2	1	3	2	1	1	1	2	2	1	1	1	3	1	2	1	1	3	1	1	1	1	1	2	2	2	2	1	2	1	1	2	3	1	1	1	1	2	1	4	1	1	1	1	3	1	1	1	1	2	1	2	3	4	1	1	2	2	1	1	1	3	1	3	1	2	2	1	5	1	1	2	2	2	1	1	2	1	2	1	1	2	1
4000	-687.773921365486672	-694.629409316446072	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.601679289711178	0	3	2	3	5	5	4	2	5	5	5	5	7	6	7	11	7	7	9	8	8	8	10	9	10	9	9	9	10	11	9	10	14	10	11	10	11	9	10	11	12	13	11	12	12	9	12	13	12	13	13	11	12	14	13	13	13	13	13	11	13	13	13	15	13	14	15	15	15	14	15	16	19	15	14	16	15	15	15	17	17	17	16	19	18	18	19	16	17	19	18	19	20	17	20	23	22	20	22	22	20	20	22	20	22	21	21	22	22	23	23	26	25	0	3	1	1	4	4	8	1	1	8	4	4	6	7	5	12	12	10	11	11	13	11	14	13	4	18	20	13	15	5	9	20	34	13	36	26	26	13	26	28	25	35	5	46	46	13	26	30	31	38	60	38	0	40	6	41	43	15	37	19	28	60	23	61	19	21	26	53	51	41	60	77	76	47	29	48	62	55	48	64	64	63	50	44	62	88	75	62	47	81	83	81	58	19	88	93	98	90	93	92	40	81	85	42	71	92	94	98	67	77	97	93	97	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	3	1	1	2	1	1	2	2	1	3	1	1	1	1	3	2	1	2	2	1	1	1	1	1	1	1	1	2	2	2	1	2	1	1	3	1	1	1	2	5	1	1	3	1	2	2	1	1	1	2	3	4	2	1	1	2	1	1	2	2	2	1	2	1	1	1	2	3	5	3	1	2	2	4	1	1	1	4	4	3	2	2	1	1	2	3	1	3	3	5	1	2	1	4	4	1	5	1
4500	-645.687405547996491	-652.542893498955891	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.606775768786444	0	4	3	2	4	5	4	2	5	4	5	6	7	7	7	10	7	6	9	7	8	8	10	9	10	9	9	9	10	11	10	8	14	9	8	10	11	10	11	11	13	12	11	12	12	11	13	11	13	12	14	11	13	12	14	10	14	11	13	14	13	15	15	14	12	14	16	15	15	15	15	17	19	14	15	16	17	16	15	17	17	17	19	17	18	18	20	18	17	19	19	21	19	19	20	22	22	20	21	19	21	20	21	21	22	23	21	22	22	24	23	26	24	0	8	4	1	1	4	4	1	4	4	3	8	5	2	4	5	9	10	15	18	5	14	19	13	32	20	18	13	35	5	9	12	42	13	8	26	18	13	26	18	48	19	9	5	52	24	18	56	29	19	54	24	0	18	49	6	5	26	54	39	54	41	47	44	56	34	51	53	61	56	42	62	81	47	21	57	67	61	49	46	64	63	80	64	27	55	76	81	47	81	78	81	51	75	72	91	81	90	91	81	60	65	93	93	93	92	91	98	47	104	100	109	97	1	1	1	1	2	2	1	1	1	1	1	1	2	2	2	2	1	1	1	1	2	1	1	1	1	1	1	2	1	4	3	1	1	1	3	1	2	1	1	2	1	2	2	4	1	1	4	1	2	1	1	2	1	2	1	2	5	1	1	2	1	1	1	1	1	2	2	1	1	2	1	1	1	1	3	1	1	1	1	2	1	1	1	2	4	2	3	1	2	1	1	3	3	4	2	2	3	1	1	1	4	4	1	1	1	1	1	1	4	2	2	2	1
