step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85
1	-3288.796734772839045	-3287.334652688320148	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.684577276006676	0	2	4	4	5	5	5	7	7	7	8	8	8	8	10	9	9	9	10	9	10	9	12	9	11	10	12	11	11	11	11	11	11	14	12	12	12	14	13	14	14	13	14	14	14	14	15	13	14	15	14	13	14	16	16	14	16	16	15	15	17	17	17	17	18	18	19	18	19	21	21	20	20	21	21	21	20	22	22	23	23	23	25	25	27	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	4	4	4	4	4	4	4	5	5	5	5	5	5	5	5	6	5	6	5	6	6	6	6	6	6	6	7	6	6	6	7	7	7	7	7	7	7	7	7	8	7	7	8	7	7	7	8	8	7	8	8	8	8	9	9	9	9	9	9	10	9	10	11	11	10	10	11	11	11	10	11	11	12	12	12	13	13	14
500	-794.203357062722262	-792.446471691561896	-1.756885371160371	0.000009989094689	0.000017313708437	1.733261018685666	0.254588379931202	0	2	4	4	3	5	5	6	5	6	8	8	7	7	9	9	8	8	10	6	10	10	12	8	11	10	12	11	11	10	11	12	10	14	10	13	9	14	12	14	12	13	15	15	11	14	13	12	15	15	14	13	13	16	17	15	16	13	16	13	16	17	18	18	19	19	20	19	19	21	21	21	21	21	21	22	21	22	23	24	23	22	25	26	28	0	1	2	2	2	4	5	4	5	5	4	5	6	6	7	9	8	0	9	5	11	13	15	9	18	18	17	17	18	20	21	25	17	9	9	8	20	16	18	20	20	9	9	17	33	33	9	16	35	37	16	29	30	38	29	53	42	37	24	24	39	42	58	45	60	58	58	20	58	66	33	45	5	20	58	58	58	45	58	37	73	58	50	58	69	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	3	2	1	3	2	1	2	2	2	2	1	2	2	2	2	1	1	2	5	2	4	2	2	3	5	3	6	6	5	1	2	4	2	3	4	2	1	2	1	4	1	2	3	4	2	2	3	4	6	4	5	6	9	5	1	6	5	9	7	5	7	8	7	8	10	1	6	7	11	7
1000	-648.225457393276997	-646.818934604176889	-1.406522789100076	0.000009991091545	0.000008306686782	0.831409335438990	0.372542417324093	0	2	4	3	5	5	6	6	6	7	8	8	7	9	10	10	8	8	11	7	10	9	13	10	12	11	13	11	11	11	12	12	10	15	12	13	9	15	14	14	14	12	14	14	11	13	16	12	15	14	14	13	13	16	15	15	16	13	15	14	17	18	17	15	16	18	20	19	19	22	21	20	20	21	21	22	21	23	23	23	23	23	26	26	27	0	1	2	2	2	4	5	4	5	5	4	5	6	6	7	9	8	0	24	5	11	13	15	9	29	18	17	17	18	20	11	18	17	16	9	17	10	16	18	30	20	24	16	27	33	33	42	16	16	37	24	18	20	16	39	53	35	37	35	24	55	57	58	45	60	58	58	58	58	63	45	64	69	50	69	58	58	64	58	37	75	70	58	68	63	1	1	1	1	1	2	1	2	1	1	3	2	1	2	2	2	1	1	1	1	1	2	2	2	1	3	3	2	2	2	2	2	1	3	3	2	1	3	2	2	4	1	1	1	1	1	2	1	2	3	2	3	4	3	1	1	1	2	3	2	1	1	4	3	1	2	5	4	4	4	7	2	1	4	1	5	5	6	7	10	2	1	6	4	4
1500	-554.918654180630938	-553.351450805159516	-1.567203375471428	0.000010019187282	0.000012744057014	1.271965146086717	0.488641621823309	-1	2	4	3	5	5	6	8	7	7	7	9	9	8	10	10	9	8	10	10	9	8	13	9	11	10	12	11	11	12	11	12	11	14	12	13	11	13	12	15	15	13	14	15	14	14	16	14	14	15	14	13	13	15	15	15	16	13	16	15	18	17	16	17	18	19	20	18	19	22	22	20	21	21	20	22	21	22	21	23	23	23	24	25	27	0	1	2	2	2	4	5	4	5	5	4	5	22	6	7	9	8	0	9	10	11	6	15	9	18	18	17	17	18	20	11	25	17	42	24	27	20	9	18	53	20	35	35	27	33	33	16	9	16	58	16	29	30	38	18	53	49	37	51	38	55	57	58	45	60	63	63	58	63	63	64	64	69	58	69	69	68	64	63	58	75	68	79	83	82	1	2	1	1	2	1	1	2	1	1	3	2	1	2	2	2	1	1	2	1	1	2	2	2	1	1	2	2	2	2	3	1	1	1	2	1	1	3	2	1	2	1	1	1	1	2	3	3	2	2	3	2	1	1	3	1	1	1	1	1	1	1	2	3	2	1	3	3	1	3	3	2	1	4	1	2	1	2	3	8	2	3	1	1	2
2000	-534.189617050179208	-532.825097740780279	-1.364519309398940	0.000010154577941	0.000006441541682	0.634348539111702	0.586736745855529	0	1	3	5	4	5	6	7	7	6	8	9	9	8	9	9	8	9	11	9	11	7	13	8	11	10	11	12	12	11	11	12	10	15	13	11	13	14	13	14	13	13	15	15	13	14	16	14	13	15	14	14	13	17	16	14	16	15	16	15	18	17	17	18	19	19	19	18	19	22	21	20	20	22	21	21	21	22	22	23	23	23	26	26	27	0	1	2	3	2	3	5	4	5	5	6	10	22	6	7	9	8	0	16	10	11	6	15	9	18	18	17	17	18	20	11	25	17	35	16	17	20	16	18	53	30	9	35	28	33	33	35	16	24	37	42	29	20	38	39	53	49	37	51	38	55	57	58	45	60	58	68	58	68	68	64	64	69	58	69	69	69	71	63	63	75	63	82	70	82	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	1	2	1	2	1	2	1	2	2	3	1	2	1	1	2	2	2	2	2	2	1	1	3	2	1	2	2	2	2	2	1	1	1	2	2	2	1	2	1	1	1	1	1	1	3	2	2	1	2	1	2	2	1	1	4	1	2	1	1	3	3	1	3	2	1	2
2500	-523.939061308420605	-522.208743978029588	-1.730317330390970	0.000010117667186	0.000016883309548	1.668695879942614	0.653528215647461	0	2	5	4	4	5	6	6	7	6	7	9	9	9	10	8	8	8	10	9	10	8	13	10	10	11	12	11	11	11	11	11	11	14	12	13	13	12	13	15	15	12	15	14	15	13	15	14	14	14	13	13	14	17	16	15	16	16	15	16	18	17	17	18	18	18	20	18	18	20	21	21	19	20	19	21	20	23	22	23	23	23	25	24	27	0	1	2	2	2	4	5	4	5	5	3	10	6	6	7	9	8	0	9	10	11	6	15	16	18	18	17	17	18	20	11	25	17	42	24	28	20	9	18	53	20	19	9	17	33	33	34	35	24	37	16	29	20	60	29	53	49	37	51	24	55	57	58	45	60	58	68	58	58	63	64	64	69	58	69	69	69	72	68	70	75	58	80	68	80	1	1	2	1	1	1	1	2	1	1	1	2	2	2	2	1	1	1	2	2	2	2	1	2	1	1	2	2	2	1	2	1	2	1	1	1	2	2	2	1	3	1	2	3	3	1	1	1	2	1	3	1	2	1	3	1	1	1	2	3	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	2	2	1	2	1	2	3	1	2	2
3000	-487.555661950629542	-486.125489669263118	-1.430172281366398	0.000010433291498	0.000009468774650	0.907553925037824	0.781386959434338	0	2	3	3	4	5	6	7	7	7	8	7	8	7	10	9	8	9	10	9	10	10	12	10	11	11	12	11	11	10	11	12	11	14	12	13	11	11	13	15	14	13	15	15	14	14	15	13	14	15	14	13	13	16	15	14	16	17	15	16	17	17	18	15	18	19	20	18	19	21	21	20	20	22	21	21	21	22	22	24	23	23	26	25	28	0	1	2	2	3	4	5	4	5	5	4	5	6	6	7	9	8	0	9	5	11	13	15	9	18	18	17	17	18	20	11	25	17	42	24	28	30	24	18	53	20	38	24	27	33	33	34	38	35	37	35	29	20	35	39	53	49	50	51	24	55	57	58	45	60	63	58	58	68	68	72	64	69	68	69	69	69	72	58	70	75	74	82	80	74	1	1	1	1	1	2	1	2	1	1	2	2	2	1	1	1	1	1	1	2	1	1	1	2	1	1	2	2	2	1	2	1	2	1	1	1	1	1	2	1	2	1	3	1	2	1	1	1	1	2	1	1	2	2	1	1	1	1	1	3	1	1	1	1	1	1	2	1	1	2	1	2	1	2	1	1	1	1	3	1	2	1	2	1	2
3500	-515.415905230216026	-514.040135410932066	-1.375769819283956	0.000010714180879	0.000007577055766	0.707198791171241	0.703981214784866	1	2	4	4	4	6	5	8	7	8	8	8	8	9	10	10	9	9	10	7	10	9	13	9	10	10	12	11	12	11	12	12	12	15	12	13	12	11	13	14	15	12	15	15	15	14	14	14	14	15	11	11	13	16	16	15	16	16	15	14	18	18	17	16	17	19	19	18	19	21	21	21	20	20	21	21	20	23	22	21	24	23	25	24	27	0	1	2	2	2	4	5	4	5	5	4	5	6	6	10	24	8	0	9	5	11	13	15	9	18	18	17	17	18	20	21	25	17	42	24	28	30	24	18	53	30	16	35	27	33	33	42	35	16	37	24	18	20	16	29	53	49	50	51	38	55	57	58	45	60	68	68	58	63	63	64	64	69	63	69	69	69	72	70	58	75	74	82	80	83	1	1	1	1	1	1	1	2	2	2	2	2	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	2	1	1	1	2	2	1	1	1	2	1	2	1	1	2	2	1	2	1	2	2	1	1	2	3	1	1	1	1	3	1	1	1	1	1	1	1	1	2	1	2	2	2	1	2	1	2	1	1	1	2	2	2	2	1	1
4000	-524.893699748154290	-523.430523763289102	-1.463175984865179	0.000010906307129	0.000010939408266	1.003035045307098	0.613629134994118	0	1	3	4	5	5	6	7	7	7	7	8	8	9	10	10	8	9	10	9	9	10	12	8	11	10	12	11	11	12	12	11	11	13	12	12	13	15	14	14	14	13	14	15	14	14	15	13	15	15	14	13	13	17	16	15	16	16	14	16	17	18	17	17	18	18	19	19	19	21	21	19	21	21	22	21	21	22	23	21	24	24	24	25	26	0	1	2	3	3	4	5	4	5	5	2	5	6	6	7	24	8	0	9	5	11	13	15	9	18	18	28	17	18	5	11	18	17	9	24	28	20	35	18	53	30	35	35	27	33	33	42	35	16	37	34	29	20	60	39	53	49	37	16	9	39	57	58	45	60	58	58	63	63	63	64	64	69	63	73	69	69	72	68	63	75	74	63	83	74	1	1	1	1	1	1	1	1	1	2	3	2	2	2	1	1	1	1	2	2	2	1	1	1	1	1	1	2	1	4	2	2	2	3	2	1	2	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	1	2	2	5	1	1	1	1	1	1	2	2	1	2	3	1	1	2	1	2	1	2	1	2	1	2	2	1	2
4500	-481.163073355422853	-479.745592331177193	-1.417481024245679	0.000011994629949	0.000010409365449	0.867835480869033	0.769546516789126	0	2	3	5	4	6	5	7	8	8	8	8	8	8	9	10	8	9	10	9	11	9	12	9	11	11	11	11	10	12	12	12	12	14	12	13	13	14	12	14	14	12	14	13	14	14	15	13	14	15	14	13	13	16	15	14	17	15	16	15	18	18	18	18	18	18	19	18	19	22	21	20	21	21	20	22	20	22	21	24	24	24	25	24	27	0	1	2	3	3	4	5	4	5	5	4	5	6	6	7	24	8	0	9	12	11	13	15	9	18	18	17	17	18	20	21	25	17	42	24	28	30	24	18	53	30	24	35	27	33	33	34	9	35	37	35	18	20	38	39	53	49	37	51	16	55	57	58	45	60	58	63	58	58	63	64	64	69	68	69	69	69	71	68	70	75	68	80	68	82	1	1	1	1	1	1	1	1	2	2	2	3	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	2	1	2	1	1	2	2	1	1	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2	1	1	3	1	1	2	2	2	1	1	2	2	2	2	1	2	2	1	2	1	1	1	1	2	3	1	3	1
