step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28
1	-669.041042639841407	-667.578960555322510	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.449451350094730	0	3	3	3	4	5	6	6	7	7	6	7	6	8	8	8	8	8	10	11	11	11	12	13	11	13	13	13	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	3	3	4	4	3	4	3	4	4	4	4	4	5	6	6	6	6	7	6	7	7	7
500	-319.533309314145981	-316.983006921810329	-2.550302392335627	0.000009987850541	0.000039128310263	3.917590687227388	0.416882027031883	0	2	2	1	5	5	5	6	8	6	5	6	4	9	6	9	7	8	10	10	11	10	12	13	11	13	12	14	0	1	1	1	4	13	4	4	2	13	13	11	4	10	11	12	0	2	13	5	6	6	19	4	14	22	7	8	1	1	1	1	2	1	2	2	3	1	1	1	2	2	1	1	1	3	2	3	3	4	1	7	1	1	3	4
1000	-242.381133385498998	-240.350992953299794	-2.030140432199211	0.000009997593591	0.000024193329928	2.419915323450828	0.540623572702333	0	4	3	2	5	5	7	5	6	8	6	7	6	9	8	9	8	8	10	11	10	11	12	13	12	13	13	14	0	1	1	1	4	4	4	4	2	8	2	11	4	10	11	12	0	9	13	5	6	21	8	7	19	22	21	7	1	2	1	1	2	2	2	2	1	1	1	1	2	1	1	1	1	1	2	2	3	1	4	4	1	1	2	3
1500	-256.704099553272556	-253.464915584944379	-3.239183968328185	0.000009988597327	0.000064181912363	6.425518044163415	0.844130556262099	1	4	3	4	5	6	7	6	7	6	5	6	6	7	8	8	9	8	10	10	9	11	12	13	11	14	11	12	0	1	1	1	4	4	13	4	2	4	3	11	4	10	11	12	0	9	13	5	6	21	7	28	2	22	21	19	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	2	2	1	1
2000	-269.474974052790344	-267.096319860018468	-2.378654192771884	0.000009954418354	0.000033749532332	3.390407267518440	0.744879556025661	1	3	2	3	4	6	5	5	7	4	5	7	6	8	7	9	8	9	8	9	10	12	13	13	11	14	13	12	0	1	1	1	4	8	4	4	2	1	2	11	4	10	11	12	0	9	8	5	4	21	19	28	19	22	21	4	1	1	1	1	1	1	1	2	2	2	1	1	2	2	1	1	1	1	2	2	3	2	2	1	2	1	1	3
2500	-254.882613034283821	-252.063787988502042	-2.818825045781774	0.000009909010366	0.000047726020358	4.816426524732387	0.545469418211514	1	3	4	3	4	5	6	5	7	7	6	7	7	9	8	9	7	8	8	11	10	12	10	13	11	13	14	12	0	1	4	1	4	4	6	4	2	4	4	11	8	10	11	12	0	9	8	5	19	21	8	28	19	22	26	4	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	3	1	1	2	1	2	1	1	5
3000	-260.637066844560991	-258.422054462257620	-2.215012382303384	0.000010012124725	0.000029227212042	2.919181776535337	0.735937982966579	0	3	4	2	4	5	6	4	7	7	5	6	6	9	9	9	8	8	11	9	10	11	12	12	11	14	13	13	0	1	4	1	4	8	8	4	2	7	2	11	8	10	11	12	0	9	8	5	13	21	13	19	9	22	21	19	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	4	2	2	1	2	1	2	1	2	1
3500	-246.353069711709878	-244.103769773436426	-2.249299938273459	0.000010026627505	0.000030235484080	3.015518833566113	0.694566392229463	0	3	2	3	4	5	6	6	7	8	5	7	6	9	7	8	9	8	10	10	10	11	12	12	12	12	13	14	0	1	1	1	4	4	4	4	2	8	4	11	4	10	11	12	0	9	7	5	13	21	8	8	8	22	21	24	1	2	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	2	3	3	1	4	2	3	1	2	1
4000	-246.824649684247078	-245.086279648860142	-1.738370035386929	0.000010691950807	0.000018050619246	1.688243761324977	0.672600569383690	0	3	4	2	5	5	5	7	7	7	5	6	4	8	9	9	8	9	10	11	9	12	13	11	11	13	13	13	0	1	2	1	13	4	4	13	2	4	2	11	4	10	11	12	0	9	4	5	6	21	24	7	9	22	21	24	1	2	1	1	1	1	1	1	2	2	2	1	1	1	2	2	1	1	3	3	2	2	1	3	1	1	2	1
4500	-240.297509318118813	-238.020844751052067	-2.276664567066736	0.000010795044130	0.000033392284503	3.093297637403646	0.690597062041955	0	2	4	2	5	5	6	6	7	7	5	7	6	9	8	9	9	9	11	10	9	12	13	11	12	13	13	13	0	1	4	1	4	4	4	4	2	13	2	11	4	10	11	12	0	9	7	5	13	21	24	13	19	21	22	24	1	1	1	1	1	1	2	2	2	1	1	2	2	1	2	1	1	1	3	2	1	2	1	2	1	2	1	1
5000	-252.500726972370927	-250.496979484590867	-2.003747487780073	0.000013522132793	0.000031793402748	2.351212137549822	0.716049366304824	0	3	3	3	5	5	6	4	7	7	6	8	7	9	7	9	7	8	10	11	8	11	13	11	10	12	13	14	0	1	1	1	4	4	8	4	1	4	2	11	8	13	11	12	0	9	13	5	13	21	24	8	8	21	26	24	1	1	1	1	1	1	1	1	4	2	2	1	1	1	1	1	1	1	2	2	1	2	1	3	4	2	1	2
5500	-244.205197866266502	-242.566943875463721	-1.638253990802792	0.000016355387213	0.000023645086182	1.445706290805295	0.653178150932547	1	3	4	2	4	6	7	5	7	8	5	6	6	7	9	8	6	8	8	12	9	11	12	11	10	13	13	13	0	1	2	1	4	4	4	4	2	14	2	11	4	8	11	11	0	9	7	5	8	21	13	8	7	22	21	24	1	1	1	1	2	2	3	1	2	1	1	1	2	1	3	2	1	1	1	3	2	1	2	3	1	1	2	1
