step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102
1	-2513.476738550284153	-2520.332226501243440	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.948588140157031	-1	2	4	4	5	6	6	10	7	7	6	7	8	8	7	8	8	9	9	10	9	11	9	9	10	10	10	10	11	11	10	12	11	10	10	11	12	11	11	12	12	12	14	12	13	12	13	12	14	14	13	16	15	15	15	15	15	15	14	16	15	15	16	15	16	17	19	18	18	20	18	19	18	19	23	21	20	21	20	21	21	23	22	23	22	24	24	26	25	26	26	26	28	27	28	29	29	31	31	31	32	34	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	3	4	4	6	4	4	4	4	5	5	4	5	5	5	5	6	5	6	5	5	6	6	6	6	6	6	6	7	6	6	6	6	7	6	6	7	7	7	8	7	7	7	7	7	8	8	7	9	8	8	8	8	8	8	8	9	8	8	9	8	9	9	10	10	10	11	10	10	10	10	12	11	11	11	11	11	11	12	12	12	12	13	13	14	13	14	14	14	15	14	15	15	15	16	16	16	17	18
500	-562.060226078796290	-568.915714029755691	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.332569499613077	-2	3	5	5	6	6	5	9	7	6	7	7	7	9	8	8	8	9	9	11	10	10	9	8	8	9	9	11	11	11	11	13	11	10	8	11	12	11	10	12	12	13	14	13	13	12	14	12	15	15	13	16	16	15	15	14	16	15	14	16	16	15	16	15	14	17	19	18	17	21	19	18	17	19	24	19	19	20	20	21	20	24	22	23	22	25	24	25	24	26	26	26	26	28	29	30	29	31	31	28	29	35	0	1	1	2	1	3	2	24	1	1	7	2	6	12	4	4	6	3	4	11	6	9	11	2	7	9	3	35	14	16	23	2	19	16	4	10	27	8	24	14	24	20	36	31	38	18	37	12	39	1	38	15	5	31	34	25	48	34	33	13	34	14	65	8	15	44	40	2	43	54	15	73	48	66	85	16	1	54	15	36	5	48	5	60	81	43	9	79	78	32	82	77	67	5	15	94	70	20	60	90	89	86	1	4	3	1	3	1	2	1	5	5	1	2	1	1	1	2	1	2	2	3	2	1	2	2	1	1	1	1	1	2	1	6	1	1	1	3	1	1	1	2	1	1	2	1	1	2	1	1	3	9	1	4	2	2	2	3	2	3	2	4	3	4	2	2	2	2	3	5	1	5	7	1	3	1	2	5	11	2	5	6	8	6	8	3	1	7	7	3	2	7	1	3	4	12	8	1	3	7	7	1	2	6
1000	-527.763049024745783	-534.618536975705183	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.408169482435560	0	2	4	5	6	6	7	11	6	7	6	8	8	9	7	8	7	9	10	9	10	11	9	8	10	10	10	9	11	10	11	13	10	10	10	12	12	11	10	12	13	12	14	13	13	12	13	11	12	14	12	15	12	14	13	15	13	15	14	16	16	16	17	15	15	16	20	18	18	20	18	18	18	19	24	20	20	21	21	21	20	23	23	23	21	23	24	25	25	25	27	26	28	27	28	27	30	31	31	31	32	35	0	1	2	1	4	3	2	18	3	11	3	6	9	3	4	11	1	6	24	12	20	18	16	1	12	15	20	12	15	15	23	23	11	6	20	29	39	19	15	19	21	12	8	18	22	19	34	21	13	3	23	35	7	37	7	22	22	35	48	13	26	50	20	32	42	11	54	63	36	6	55	32	22	42	70	63	74	60	70	39	68	39	60	70	66	74	77	41	63	44	89	11	67	15	91	68	84	96	93	22	70	95	1	1	1	3	1	2	3	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	1	3	1	1	1	1	2	3	1	2	1	2	1	1	1	1	2	2	1	2	1	1	1	1	2	1	2	4	2	3	3	1	2	1	1	2	2	6	4	1	5	1	2	5	4	1	3	7	2	2	5	4	2	1	1	2	1	6	1	5	5	2	3	2	3	4	4	6	1	11	4	8	1	3	4	2	2	8	6	3
1500	-540.059226898953739	-546.914714849913139	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.314881584848173	0	3	5	2	6	6	5	10	7	7	6	8	8	7	8	9	7	8	10	10	9	10	9	9	11	11	10	8	12	11	10	12	12	9	10	10	12	10	11	12	11	13	14	13	13	13	14	12	14	13	12	15	15	14	15	15	15	15	13	17	15	15	16	14	16	16	19	16	19	21	19	20	17	18	23	20	20	21	20	19	21	23	22	24	22	24	23	26	25	27	27	26	27	26	28	28	27	32	30	30	33	35	0	1	1	1	7	2	4	24	3	2	1	6	9	6	6	6	1	2	9	13	1	10	3	6	35	6	13	5	24	12	15	26	11	12	16	13	12	34	16	41	27	29	9	21	39	40	10	38	38	16	20	13	41	5	50	33	5	20	39	58	41	50	20	8	47	35	49	44	53	7	1	19	17	73	80	69	37	28	58	54	48	78	43	72	55	75	49	73	39	89	71	75	55	21	21	73	44	96	20	82	81	101	1	2	2	1	1	2	2	1	1	3	2	1	1	1	1	1	4	2	1	1	5	1	2	2	1	3	1	1	1	2	1	1	4	1	1	1	2	1	1	1	1	1	3	2	1	1	3	2	3	1	1	4	3	3	1	2	5	2	2	1	2	1	3	1	1	3	3	2	3	4	7	4	5	1	2	1	3	5	2	2	3	1	4	2	4	1	5	3	5	1	4	1	5	4	9	5	6	1	10	5	5	1
2000	-523.843279064061448	-530.698767015020849	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.402000839769462	-1	3	4	5	6	6	6	10	8	8	6	8	7	8	7	9	7	9	10	9	8	9	9	8	9	9	10	9	11	11	11	11	11	10	10	11	11	12	10	13	11	13	14	13	11	11	12	13	14	15	14	17	15	14	13	16	15	16	13	14	16	14	17	14	16	16	19	16	18	20	18	19	18	20	23	21	20	21	20	21	22	22	22	23	22	24	24	26	26	26	27	24	27	27	28	29	29	31	30	30	33	33	0	1	1	3	3	3	4	28	15	15	1	6	3	7	3	11	5	6	12	4	7	13	1	11	2	14	16	17	6	11	8	7	15	16	25	21	3	18	11	23	9	30	17	38	10	21	32	29	48	6	19	20	11	36	16	10	36	20	33	12	30	47	11	28	5	33	50	33	58	51	5	58	58	38	80	73	63	67	71	61	1	29	16	82	62	80	81	86	83	85	37	74	63	82	80	70	88	85	63	90	90	83	1	3	2	1	2	2	1	1	1	1	4	1	1	1	1	1	1	1	1	2	1	1	4	1	3	1	1	1	3	3	1	2	2	1	1	2	3	2	2	2	2	1	5	1	2	2	1	1	1	4	2	5	4	2	3	4	2	4	1	2	4	1	6	3	4	4	1	3	1	3	5	2	1	4	1	1	1	1	1	2	10	3	6	1	4	2	1	1	2	3	8	2	4	2	3	4	2	4	7	2	3	6
2500	-530.001343086235465	-536.856831037194866	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.508864690172454	0	2	4	5	4	6	6	10	8	7	6	7	8	8	8	8	6	9	9	9	9	12	9	9	10	11	10	9	11	10	10	13	11	11	11	12	12	11	11	11	12	13	14	12	14	13	13	12	14	14	12	17	16	16	15	16	13	16	15	15	15	15	16	16	16	17	19	18	18	20	18	16	15	18	24	22	19	19	21	20	19	21	21	24	22	25	23	25	24	26	26	26	28	27	28	29	29	31	31	31	32	33	0	1	2	2	2	1	3	24	11	2	5	4	7	7	5	6	2	6	6	14	2	28	11	2	19	30	21	2	4	11	16	16	20	25	9	7	11	15	21	23	9	39	22	35	32	44	36	39	35	51	35	51	45	24	32	43	16	28	23	39	44	29	45	43	36	33	48	30	49	36	54	46	42	47	85	78	19	55	80	21	11	21	59	76	64	67	51	79	76	63	76	41	88	86	57	94	41	94	90	90	89	83	1	1	1	2	1	3	1	1	1	2	1	1	1	1	2	1	2	2	2	1	4	2	2	4	1	1	1	4	3	2	2	2	2	1	1	2	3	2	1	1	3	1	1	1	1	1	1	1	1	2	1	3	1	3	1	1	2	4	3	2	1	1	2	1	2	3	3	4	3	5	2	1	1	2	2	1	5	2	1	5	3	4	4	1	3	2	7	1	1	3	2	7	2	1	7	1	9	2	2	2	5	7
3000	-544.196170818172163	-551.051658769131564	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.426262702464794	0	3	3	4	5	6	5	11	7	7	7	7	8	8	7	7	6	9	9	10	10	10	9	9	10	11	9	10	11	11	11	11	9	10	10	10	13	12	12	13	12	10	14	11	14	13	13	11	15	13	13	16	13	15	15	15	15	14	15	17	15	15	16	13	16	16	19	18	17	19	17	19	18	20	22	21	20	22	21	21	21	23	22	23	22	22	24	25	26	26	26	25	27	28	28	30	28	28	30	32	31	32	0	1	1	1	3	5	2	33	3	2	5	5	3	7	7	6	3	12	4	24	12	6	1	12	2	20	3	13	24	28	6	2	5	14	5	11	1	23	21	2	33	11	32	27	20	21	21	12	51	28	44	3	32	51	64	34	14	2	29	28	9	51	15	23	38	33	71	17	57	43	61	13	66	51	49	49	49	50	50	64	45	63	37	72	55	80	86	82	77	67	74	46	43	74	52	77	7	80	77	92	77	95	1	1	2	3	1	1	1	1	2	2	1	1	3	1	1	1	3	1	1	1	1	1	4	1	2	1	4	1	1	1	4	3	2	1	2	2	4	1	1	5	1	1	1	2	2	2	1	2	1	1	1	6	1	1	1	2	3	6	2	3	5	1	3	3	2	3	2	6	1	2	1	6	1	2	3	3	3	5	4	4	3	3	5	2	2	1	1	1	3	3	3	5	6	4	6	5	13	2	5	4	6	2
3500	-575.610637907542127	-582.466125858501528	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.443342189575324	0	2	4	4	5	6	5	9	8	8	6	8	9	7	7	8	8	9	10	10	8	11	9	7	10	11	11	11	11	9	9	12	12	11	9	12	10	11	11	11	12	12	14	13	13	13	14	10	13	15	12	16	16	13	16	15	14	15	14	17	15	15	16	14	15	17	20	19	18	19	17	19	18	18	24	22	19	22	20	22	22	23	23	23	21	24	24	26	25	26	23	25	27	26	28	29	28	32	29	31	33	34	0	1	2	2	2	5	2	24	2	3	4	11	7	5	3	11	5	15	21	13	11	5	15	7	6	35	18	24	16	11	24	26	40	23	10	20	3	13	31	30	37	8	51	33	27	36	48	12	37	49	29	62	50	26	33	12	42	35	38	29	12	29	19	51	46	2	55	71	55	5	37	60	47	44	80	52	33	66	49	12	31	37	51	76	61	78	77	80	53	86	79	46	87	44	73	57	21	90	84	76	97	98	1	1	1	1	2	1	2	1	5	2	1	1	2	1	1	1	1	2	1	1	1	4	1	1	2	1	1	2	1	2	1	1	1	1	1	1	3	1	1	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	2	4	1	3	2	2	3	2	2	1	1	8	2	1	1	5	4	1	2	2	1	4	3	2	4	6	5	6	6	1	2	1	3	1	4	1	1	5	2	7	9	7	12	2	3	5	2	1
4000	-530.311961947122086	-537.167449898081486	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.412692686911209	-1	3	5	4	5	7	6	10	7	6	6	7	6	8	7	9	8	9	8	10	8	12	10	9	10	8	10	10	11	11	11	12	11	11	10	10	13	11	10	11	12	11	13	12	12	12	14	13	15	15	12	15	15	16	16	15	16	15	14	15	15	15	15	14	16	17	17	19	17	18	18	20	18	19	23	21	21	20	19	20	21	24	22	22	22	24	24	27	25	26	25	26	28	28	27	28	29	32	31	30	31	34	0	1	4	2	2	5	3	16	3	3	1	2	4	11	10	15	6	6	6	14	10	12	7	5	26	6	15	26	19	16	17	5	2	13	17	5	6	39	17	14	1	24	16	28	28	15	51	25	45	8	5	41	6	64	64	1	47	43	32	7	16	45	35	40	44	12	48	17	50	3	62	71	40	66	85	12	69	49	58	67	56	83	41	70	37	54	50	77	49	86	87	26	81	91	12	47	62	84	76	97	83	31	1	3	1	1	1	1	1	1	2	1	4	2	1	2	1	1	1	1	1	2	1	2	1	2	2	1	2	1	1	1	1	4	3	2	1	3	3	1	1	2	8	2	1	1	1	2	1	1	1	4	3	2	3	1	1	8	1	1	1	5	3	1	2	1	2	4	1	5	2	5	2	1	4	1	1	7	1	3	2	3	4	1	4	2	4	5	4	3	4	1	1	9	3	2	8	9	6	3	4	1	4	10
4500	-553.011423671288981	-559.866911622248381	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.448484830935352	0	3	4	5	5	7	6	11	5	7	6	7	8	7	8	8	9	9	9	10	9	11	8	9	10	10	11	10	11	11	9	13	12	10	10	11	12	11	12	12	12	13	14	13	14	12	13	13	14	15	13	16	15	15	16	16	15	15	14	16	16	15	16	16	17	17	19	17	17	21	18	20	18	19	23	21	20	21	19	20	21	23	20	23	22	24	24	27	25	27	25	27	29	27	28	30	28	32	30	29	32	34	0	1	1	3	1	7	9	10	2	2	9	4	2	3	7	3	10	12	15	24	10	26	5	5	15	12	12	12	15	18	6	19	28	21	24	5	20	21	10	38	31	15	32	23	39	13	29	36	33	45	31	29	48	41	39	59	43	21	51	3	44	15	41	62	8	56	68	23	50	56	45	53	55	40	71	30	59	8	71	47	54	78	26	81	77	70	61	72	76	89	87	55	92	2	39	16	65	84	74	90	62	37	1	1	1	1	3	1	1	2	1	3	1	1	2	1	2	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	3	1	1	1	4	1	1	2	1	1	2	1	3	1	2	1	1	2	1	2	2	2	1	2	1	1	3	1	5	1	3	4	1	3	1	1	6	1	3	2	2	1	4	2	6	3	3	1	4	3	1	3	1	1	1	4	4	2	1	1	5	1	10	6	10	6	5	4	1	7	10
