step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83
1	-17722.092094305797218	-17720.630012221277866	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.308121168050738	-1	1	2	2	4	3	3	3	4	4	6	8	6	7	7	8	8	9	7	10	9	9	10	10	11	9	12	11	10	12	11	13	14	12	13	13	15	14	16	16	17	19	18	18	19	19	19	19	20	21	21	20	23	23	23	24	24	24	24	24	25	26	25	27	25	26	27	27	27	27	27	29	28	27	28	29	29	32	30	32	34	38	43	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	2	2	3	3	4	5	4	4	4	5	5	5	4	6	5	5	6	6	6	5	7	6	6	7	6	7	8	7	7	7	8	8	9	9	9	10	10	10	10	10	10	10	11	11	11	11	12	12	12	13	13	13	13	13	13	14	13	14	13	14	14	14	14	14	14	15	15	14	15	15	15	17	16	17	18	20	22
500	-1049.588797364262973	-1046.676026880752261	-2.912770483510638	0.000009984934375	0.000051460022443	5.153766716178544	0.183565604470012	-3	1	1	2	4	4	2	3	4	4	5	7	6	7	7	8	8	7	7	10	8	9	10	9	11	9	11	11	9	13	9	14	14	11	11	12	12	12	16	13	16	19	19	19	16	19	19	20	21	21	18	17	23	24	24	24	25	25	25	25	25	27	25	27	25	25	27	27	28	27	27	30	29	28	28	30	30	32	30	32	34	38	42	0	1	1	1	2	4	0	3	4	7	2	7	7	2	7	12	2	13	7	14	1	18	24	16	26	11	17	24	13	26	12	25	29	31	0	29	34	15	35	29	38	35	40	29	34	40	38	40	40	33	37	40	51	52	52	40	45	37	40	33	51	45	0	51	51	38	37	37	34	15	45	40	15	0	51	38	37	51	51	45	24	38	0	1	2	2	2	2	1	1	1	2	1	2	2	2	3	4	1	4	1	2	2	6	2	1	1	1	2	1	1	1	3	1	1	2	1	1	1	1	4	4	2	2	5	5	7	3	4	4	5	5	3	3	2	2	6	4	8	4	10	8	8	5	8	1	4	5	7	8	8	13	11	6	10	15	1	5	13	11	10	7	10	17	14	1
1000	-828.876007268233138	-826.305063689046165	-2.570943579187008	0.000009988622657	0.000039788580401	3.983390079702227	0.301822113842531	-2	1	1	3	5	4	3	3	5	4	6	8	7	7	8	7	8	9	6	11	10	8	8	10	12	8	12	12	11	11	10	14	14	11	11	14	13	13	15	13	17	19	19	19	16	20	19	20	20	21	20	17	23	23	22	24	21	24	24	25	26	27	26	27	24	26	26	24	28	26	27	29	29	27	29	30	30	32	30	33	34	39	42	0	1	1	2	2	4	0	3	4	7	2	10	7	2	7	10	5	15	10	14	17	7	19	16	20	5	17	24	23	26	12	25	29	31	0	29	34	34	35	29	38	35	40	40	31	40	41	40	40	44	45	40	51	52	52	52	51	51	52	52	57	38	0	58	57	58	37	45	45	45	38	55	45	0	61	37	45	68	58	68	45	58	0	1	2	1	1	2	1	1	1	1	1	3	2	2	3	2	1	2	1	1	3	1	2	1	2	1	1	2	2	2	2	1	2	1	1	1	1	2	2	2	1	3	5	4	3	4	4	2	3	4	1	2	2	1	2	3	4	1	4	6	5	3	8	1	2	1	1	7	4	8	6	7	4	9	1	1	13	10	3	4	7	14	11	1
1500	-645.993219911698247	-643.584328339992339	-2.408891571705960	0.000010040628772	0.000034948907417	3.480748886376396	0.401851090573535	-1	2	2	1	1	4	3	4	4	5	6	8	6	6	7	9	8	8	7	8	9	9	10	10	11	9	12	11	10	12	11	13	13	12	13	14	16	14	16	15	17	19	18	18	18	19	20	19	21	21	18	20	22	22	23	25	24	22	25	24	26	27	26	26	25	26	28	27	28	27	28	29	28	26	29	30	28	32	31	33	35	38	43	0	5	1	1	1	4	0	3	4	7	1	7	7	2	7	10	14	13	13	14	2	15	15	15	20	20	17	13	12	21	12	25	29	31	0	33	34	34	35	29	38	35	40	40	37	40	41	40	43	43	37	46	51	52	52	46	53	51	54	52	57	53	0	57	57	58	51	37	58	65	37	60	34	0	64	58	65	69	76	76	58	80	0	1	1	1	1	1	2	1	1	2	1	4	3	1	2	2	2	1	2	1	1	3	1	2	2	1	1	2	3	1	2	2	1	1	1	1	1	2	1	2	2	3	4	1	2	1	2	2	2	2	2	1	1	2	1	2	3	1	2	2	4	2	4	1	1	1	2	5	4	4	2	5	3	8	1	2	7	2	2	1	2	9	3	1
2000	-568.055382557436246	-566.252522031640865	-1.802860525795411	0.000010178913118	0.000018786189109	1.845598728672500	0.575548308533503	-1	1	3	1	4	2	3	2	4	4	7	8	6	7	7	7	8	10	6	8	7	9	11	10	10	9	12	9	10	13	10	12	13	12	14	14	16	15	16	16	17	19	18	19	19	18	19	19	20	22	21	20	20	23	23	24	22	23	25	24	25	26	25	27	26	26	28	28	27	27	27	30	27	28	28	29	30	31	30	33	35	38	43	0	1	8	1	2	4	0	1	4	7	2	13	7	5	10	10	11	22	7	14	5	15	19	19	20	20	17	15	15	26	12	25	29	31	0	33	34	34	35	33	38	39	40	40	37	40	41	40	43	49	45	46	37	52	52	52	53	53	54	52	57	58	0	61	57	58	57	58	58	65	61	60	53	0	64	58	65	62	76	76	62	81	0	1	1	1	1	1	1	1	1	2	1	2	1	2	2	2	2	1	1	1	1	1	1	2	3	1	1	2	1	3	2	1	1	2	2	1	1	2	2	1	1	1	1	1	2	2	1	1	1	2	2	1	1	2	2	3	2	1	2	2	2	2	2	1	2	2	1	4	4	2	1	1	3	3	1	1	6	2	3	1	2	5	2	1
2500	-531.326693219694107	-528.899934393676972	-2.426758826017149	0.000010103423047	0.000035711857994	3.534629583161409	0.603043694096890	-1	1	2	1	4	3	3	3	4	5	7	8	6	5	7	9	9	9	7	9	9	9	11	10	12	10	11	12	10	12	11	14	12	13	13	13	16	14	16	16	16	18	18	19	19	18	19	20	20	21	21	20	20	22	24	25	24	25	24	25	25	25	25	27	25	27	27	24	27	27	27	30	28	27	29	29	30	32	31	30	35	37	43	0	1	1	1	2	4	0	3	4	7	14	7	7	2	7	10	5	12	10	11	14	7	19	10	20	20	17	22	12	26	22	25	29	31	0	33	34	34	35	33	38	35	40	40	37	40	41	40	43	49	45	46	37	52	52	55	53	68	54	52	57	68	0	61	53	58	61	53	62	65	65	60	65	0	64	69	65	68	76	76	68	81	0	1	1	1	1	2	1	1	1	2	1	1	3	2	2	2	2	3	1	1	2	2	4	2	3	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	2	1	1	1	1	2	2	1	1	1	1	1	1	3	1	1	1	2	1	1	1	1	1	4	1	1	2	1	1	1	2	2	1	1	1	2	3	1	1	7	1	1
3000	-472.742427779432035	-471.039825255338314	-1.702602524093744	0.000010226607037	0.000016378172374	1.601525541628085	0.757692875633429	0	2	2	2	4	4	3	3	4	5	6	7	6	7	7	8	8	9	8	10	9	10	11	10	12	8	11	11	10	12	11	14	13	13	14	14	16	14	17	16	17	19	17	18	20	19	19	19	20	22	20	20	22	21	23	22	24	24	25	25	26	26	24	27	25	26	28	28	27	27	27	29	28	27	28	29	30	32	30	32	34	37	43	0	1	1	1	2	4	0	3	4	7	5	10	7	2	7	7	11	16	13	26	14	18	19	19	20	11	17	16	19	26	24	25	29	31	0	33	34	34	35	29	38	39	40	40	37	40	41	40	43	43	37	46	51	52	52	52	53	53	54	52	57	53	0	61	53	58	57	58	62	65	65	60	65	0	64	62	65	68	76	76	80	81	0	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	2	1	1	2	1	1	1	2	2	1	2	1	1	1	1	1	1	2	1	2	3	1	1	1	1	2	2	1	1	2	3	2	1	1	1	2	1	1	1	2	2	1	2	1	1	1	1	2	3	1	1	1	2	2	1	1	2	3	2	1	1	1	1	1
3500	-509.713327321598058	-507.808609050702103	-1.904718270895928	0.000010532658133	0.000022102369283	2.098460711887344	0.634017403206849	-1	2	0	0	4	3	3	4	4	4	5	8	6	7	7	6	7	10	8	11	7	9	10	11	11	9	12	11	11	12	11	14	13	12	13	14	15	13	17	15	17	19	18	18	17	18	19	18	21	22	19	20	23	21	24	24	24	24	24	23	25	26	24	27	25	27	27	27	28	28	27	28	27	26	28	30	29	32	31	32	34	39	42	0	1	1	1	2	4	0	1	4	7	2	7	10	2	7	7	11	22	10	26	2	15	19	23	26	14	17	19	19	5	19	25	29	31	0	33	34	34	35	33	38	39	40	40	37	40	41	40	43	43	45	46	51	46	52	52	53	53	54	52	53	53	0	61	53	62	57	62	62	73	65	60	65	0	61	62	65	68	76	76	80	80	0	1	1	1	1	1	2	1	3	2	1	2	2	1	4	1	2	1	1	3	1	2	1	1	1	1	1	2	2	2	3	2	1	1	1	1	1	2	1	2	1	2	1	1	2	1	2	1	2	2	3	1	1	2	2	2	1	1	1	2	1	2	2	1	1	1	1	2	1	1	1	1	3	1	1	2	2	2	3	1	1	1	3	1
4000	-453.454397369796311	-451.708996905425863	-1.745400464370436	0.000010581227837	0.000018044429142	1.705324695744040	0.737787870280432	0	1	1	2	4	3	2	3	4	4	6	7	6	7	8	8	9	9	7	10	9	8	10	9	11	8	12	12	11	11	9	14	13	12	10	12	15	15	15	16	17	18	17	18	19	19	19	18	20	21	21	20	23	23	23	24	23	24	24	25	25	25	25	28	26	26	26	28	27	27	28	28	27	27	28	28	29	32	30	32	34	38	44	0	1	1	1	2	4	0	3	4	7	5	7	10	11	13	13	14	22	13	26	11	13	24	19	20	14	17	24	24	26	12	25	29	31	0	29	34	34	35	33	38	39	40	40	37	40	41	40	43	43	45	46	51	52	52	55	51	53	54	52	57	58	0	67	61	58	57	62	62	65	65	60	65	0	67	69	73	68	76	76	80	81	0	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	2	1	1	1	1	2	2	2	2	1	1	1	1	2	2	1	1	2	2	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	1	2	1	2	1
4500	-494.636050374865476	-492.667037529815389	-1.969012845050110	0.000011214222925	0.000025363030940	2.261684211983868	0.711175018319859	-1	1	2	2	5	4	3	4	4	5	7	9	6	4	8	7	8	10	7	10	9	9	9	9	11	8	12	9	9	11	10	13	12	12	12	13	16	14	16	16	17	20	18	18	20	19	19	19	21	22	21	20	21	22	24	25	23	23	25	25	25	26	25	27	25	25	25	28	28	27	27	29	27	28	28	28	29	32	30	32	35	38	43	0	1	1	2	2	4	0	3	4	7	14	16	7	2	7	13	14	22	13	26	11	16	15	19	26	5	17	13	19	26	15	25	29	31	0	33	34	34	35	33	37	39	40	40	37	40	41	40	43	43	45	46	45	52	52	55	53	53	54	52	57	57	0	57	57	58	57	62	62	65	65	60	65	0	61	62	65	68	76	76	80	80	0	1	2	1	1	2	1	1	2	2	2	2	1	2	1	2	1	2	1	1	2	2	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	2	1	2	2	1	2	1	1	2	1	1	2	2	2	1	1	1	1	2	1	1	1	2	3	2	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	2	2	1	2	1	3	1
