step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57
1	-1212.148934288510873	-1219.004422239470159	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.771061611879706	0	2	2	5	3	4	5	6	4	6	6	6	6	7	7	7	6	10	11	8	8	9	8	9	9	9	9	10	10	9	11	11	11	13	14	13	14	13	14	14	16	15	16	17	17	18	18	19	20	19	21	22	22	22	23	23	25	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	2	3	3	3	3	4	4	4	3	5	6	4	4	5	4	5	5	5	5	5	5	5	6	6	6	7	7	7	7	7	7	7	8	8	8	9	9	9	9	10	10	10	11	11	11	11	12	12	13
500	-359.786352605119873	-366.641840556079273	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.463159079409220	0	3	2	5	4	5	5	6	3	6	7	5	5	7	6	8	7	9	11	8	8	9	8	9	9	9	9	10	10	9	11	11	11	13	15	12	15	13	13	14	16	14	16	18	17	19	18	18	20	19	21	21	22	22	24	23	23	0	1	1	3	3	9	2	3	3	5	3	9	9	13	2	5	15	5	16	13	14	9	10	4	5	21	4	12	11	14	25	21	27	28	39	11	32	27	32	36	38	16	19	41	36	41	36	41	41	45	48	41	50	45	48	46	48	1	2	1	3	1	1	1	3	1	1	2	1	1	1	2	2	1	2	2	2	1	4	1	3	3	1	2	2	2	1	1	2	1	1	1	3	2	1	1	1	3	3	2	1	4	2	3	1	3	1	1	3	1	2	3	2	3
1000	-284.559953193334536	-291.415441144293936	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.756594815579724	1	3	2	5	4	5	6	6	4	6	6	5	6	7	7	6	6	10	11	8	8	10	9	9	9	9	10	11	10	9	12	12	12	12	15	13	14	14	14	13	16	15	16	17	17	18	19	19	20	20	21	22	21	23	24	24	26	0	1	1	2	3	9	4	5	3	3	2	9	9	12	4	9	12	8	5	12	14	14	15	11	6	14	21	13	11	14	25	22	27	28	33	24	32	33	33	24	38	38	40	42	43	41	45	37	46	45	48	49	50	53	51	49	55	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	3	2	1	1	1	2	2	2	1	2	2	1	2	1	2	1	2	2	1	1	1	2	1	1	2	1	1	1	1	2	1	1	1	1	1	1	2	2	1
1500	-270.950382352311010	-277.805870303270410	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.833596220430466	1	2	2	5	4	4	5	6	5	6	7	6	6	7	7	7	6	9	10	9	8	10	9	8	9	9	9	11	9	10	12	11	11	13	14	12	13	14	14	15	17	16	17	18	16	18	18	19	20	19	22	21	22	22	23	23	25	0	1	1	1	3	3	2	5	6	5	5	6	9	13	4	2	6	5	10	12	14	14	15	11	16	14	14	20	24	27	25	27	27	28	32	29	32	33	32	36	38	38	40	42	40	41	45	44	46	45	48	49	47	50	51	52	55	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	2	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1
2000	-283.811668565004084	-290.667156515963484	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.784447833336576	0	2	2	6	4	4	4	5	5	6	5	7	6	6	7	8	7	8	11	9	8	9	9	7	8	8	9	11	10	10	11	12	12	13	13	13	14	13	14	15	17	15	14	17	16	19	18	19	19	20	21	22	22	22	24	24	26	0	1	1	2	3	3	1	5	6	2	3	9	6	6	4	9	13	5	10	12	14	21	15	11	10	14	14	20	24	27	25	27	27	28	32	24	27	32	22	36	38	38	36	42	43	41	45	41	41	47	48	49	50	50	51	52	55	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	4	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
2500	-326.310281598225117	-333.165769549184517	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.583618082098864	0	2	3	5	2	4	6	5	5	7	6	6	5	7	8	7	7	10	11	9	9	9	7	9	10	9	9	10	10	10	11	12	11	12	14	13	12	13	14	13	15	16	15	16	16	19	19	19	18	19	21	21	22	20	23	23	25	0	1	5	3	1	5	4	3	6	3	5	13	6	12	8	3	9	1	23	9	14	14	4	11	16	14	16	15	11	21	18	33	30	9	37	24	33	33	33	18	38	38	40	38	40	41	45	44	42	45	48	46	54	50	51	49	51	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	4	2	2	1	2	1	1	1	1	2	1	3	1	1	1	1	3	1	2	1	1	2	2	1	2	1	2	2	2	2	2	1	2	2	1	1	1	1	2	2
3000	-286.799281368272943	-293.654769319232344	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.745373576705935	0	1	2	3	3	5	6	4	4	6	6	6	5	7	8	7	7	9	10	7	8	9	8	9	9	9	9	10	10	8	12	11	11	13	15	12	14	13	13	14	17	15	16	18	17	18	18	20	20	19	22	22	20	22	23	23	25	0	1	1	3	3	9	8	3	5	8	8	6	9	6	11	5	6	16	10	9	14	14	12	11	16	14	21	12	24	10	25	27	27	28	33	24	27	32	32	36	38	38	36	41	43	38	45	44	41	47	48	49	50	50	51	49	55	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	2	2	1	1	2	1	1	2	1	1	2	2	2	2	2	1	1	2	1	2	1	1	2	1	1	1	1	1	1	1	2	1	2	1
3500	-302.901002198626941	-309.756490149586341	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.673562876456890	1	3	3	5	2	4	5	6	3	7	5	7	5	7	7	8	7	11	11	9	8	9	7	10	9	9	9	10	8	9	11	11	12	13	15	13	14	13	14	14	15	16	15	17	16	18	18	19	21	20	21	23	23	21	24	23	24	0	1	5	9	1	9	1	2	5	8	3	9	9	13	8	23	13	16	23	12	14	21	4	8	12	12	14	5	11	21	25	27	27	20	37	28	21	27	27	36	38	38	40	38	43	41	45	44	46	47	48	49	50	50	51	46	51	1	1	1	1	1	1	2	1	1	1	1	3	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	3	2	1	1	2	2	3	1	2	3	2	3	1	1	2	1	2	1	1	1	1	2	1	1	1	1	1	2	2	1
4000	-282.691030109336168	-289.546518060295568	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.716792455518177	0	2	2	5	4	2	5	6	4	7	6	6	5	7	7	8	6	11	9	8	8	9	9	10	9	9	10	10	11	10	11	11	10	13	13	13	13	14	15	15	16	16	16	17	18	17	19	19	20	20	21	22	22	23	24	23	25	0	1	1	2	3	1	2	2	6	2	2	6	6	12	4	5	6	23	8	13	14	12	15	11	10	14	22	20	10	14	25	27	14	28	27	24	33	37	37	36	38	38	36	41	43	38	45	44	46	45	48	49	50	50	51	52	51	1	1	1	2	1	1	1	2	1	3	1	2	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2	2	1	1	2	2	1	2	2	1	1	1	2	1	2	1	1	2	1	1	1	1	1	1	1	1	2	1	2
4500	-294.272205857805432	-301.127693808764832	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.700681248225667	0	2	2	5	4	4	5	6	5	5	7	6	6	6	7	7	7	11	10	8	9	8	8	9	9	10	9	10	11	10	12	12	12	13	14	14	13	13	14	13	16	15	16	16	17	19	18	19	17	19	21	22	21	23	23	23	25	0	1	1	2	2	3	3	5	6	5	5	6	6	6	4	5	3	4	16	13	14	14	15	11	20	21	22	20	24	27	25	27	27	20	32	40	33	33	37	18	38	38	40	35	43	41	45	44	38	47	48	49	50	50	51	52	55	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	2	2	1	1	1	2	4	1	1	2	1	2	1	1	1
