step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68
5000	-350.243592206875633	-347.538042318169005	-2.705549888706646	0.000012001696708	0.000053116381418	4.425739352420816	0.412343542351092	0	5	8	6	8	8	10	8	10	9	9	9	10	10	6	10	10	8	10	10	13	12	11	12	12	12	13	13	11	14	14	14	15	15	14	16	16	14	16	17	18	15	17	19	16	16	19	18	19	19	18	18	15	18	18	19	18	17	17	20	17	21	20	20	19	20	20	21	0	1	15	2	4	15	3	15	18	2	15	18	2	15	2	2	2	2	3	6	24	19	9	19	17	15	10	10	1	24	23	22	18	9	12	23	38	21	30	11	32	3	2	61	24	15	18	16	4	55	45	2	15	10	15	58	16	37	21	41	16	12	9	49	37	24	32	58	1	2	1	1	1	1	1	1	1	2	1	1	2	2	1	3	1	1	1	1	1	1	1	1	1	3	2	1	5	1	1	1	4	2	2	2	1	1	1	3	2	4	7	1	1	5	5	4	4	1	1	7	2	3	6	1	5	1	2	1	4	7	6	1	1	4	4	2
5500	-403.132321272996933	-401.059054557313402	-2.073266715683514	0.000016713526882	0.000042343587007	2.533492021526602	0.428007758816911	1	2	8	6	9	8	8	9	11	10	10	8	12	9	8	9	11	11	10	11	12	12	11	12	13	12	13	13	12	14	14	14	16	15	16	15	17	14	16	16	18	16	17	19	17	14	18	17	19	20	18	18	17	19	17	19	19	18	19	21	19	20	19	20	18	20	21	22	0	1	2	1	3	1	4	15	3	7	12	1	18	3	1	3	16	16	15	10	18	12	15	16	29	11	7	9	15	19	25	18	27	8	11	14	12	5	28	32	37	9	4	29	16	10	27	36	3	54	27	20	27	16	9	27	1	11	11	49	42	32	45	25	30	38	4	44	1	1	3	2	1	3	1	1	1	1	1	3	1	1	2	1	2	1	1	1	1	2	1	1	1	1	2	1	3	2	1	1	1	4	3	3	5	3	1	1	1	3	3	4	2	2	3	1	5	1	2	4	1	6	2	3	9	4	3	1	2	4	1	4	3	4	6	2
6000	-467.781966332046409	-466.300086615476914	-1.481879716569520	0.000032770161262	0.000034537928536	1.053944417905352	0.460957593513228	1	4	7	5	8	7	7	9	11	9	9	8	11	10	10	10	12	11	10	10	11	11	11	13	13	12	13	13	13	12	13	15	15	15	14	16	17	13	16	16	18	15	15	19	17	17	20	17	18	20	19	17	16	18	15	19	20	19	20	20	18	20	20	20	18	21	18	21	0	1	2	1	4	4	1	4	5	5	7	7	4	3	3	3	15	3	2	5	11	6	1	23	30	10	22	1	8	23	22	35	10	25	3	31	21	11	27	32	27	16	2	21	3	19	18	10	53	23	31	6	10	22	2	46	32	21	21	35	43	16	65	29	53	53	37	61	1	2	1	2	2	1	3	3	2	1	1	1	3	1	2	2	2	2	2	1	1	2	4	1	1	1	1	6	1	1	1	1	2	1	3	2	3	2	2	1	3	2	7	2	5	5	4	3	2	4	2	5	5	4	6	1	1	4	7	3	2	6	1	3	1	2	1	2
6500	-561.924702929270779	-560.548923337310612	-1.375779591960146	0.000119252919417	0.000084341480109	0.707248766077942	0.387044049245510	1	5	7	5	9	8	9	9	10	9	10	9	12	10	9	11	11	10	10	10	12	13	10	12	14	13	12	14	12	12	14	12	15	15	14	16	18	14	13	16	17	16	15	19	17	16	19	18	16	20	18	19	17	19	18	19	19	18	18	21	18	21	18	19	18	20	21	22	0	1	2	1	3	2	4	3	10	1	7	3	12	2	4	20	15	12	3	4	11	8	4	7	27	11	6	10	15	8	24	10	12	9	9	14	14	16	23	9	7	39	11	41	39	32	10	36	39	34	22	16	40	4	28	46	39	12	4	54	18	10	45	45	42	41	39	53	1	2	1	2	2	2	1	1	1	5	1	1	1	2	1	1	1	1	2	2	1	2	2	2	1	2	2	3	2	1	1	1	3	2	1	2	4	1	1	4	5	1	2	1	2	2	5	1	1	2	2	6	1	6	3	2	3	5	5	1	3	6	1	1	1	1	3	2
7000	-320.348501842115809	-318.305096091831217	-2.043405750284588	0.000233604437528	0.000030896263473	0.132258889427404	0.390392837323245	1	4	8	6	8	7	10	9	10	7	9	8	12	10	9	9	12	10	10	9	12	11	13	9	14	12	13	12	13	13	15	14	16	14	16	14	17	14	15	15	17	16	17	19	18	15	19	18	18	18	18	19	17	19	19	19	17	18	18	20	17	17	18	20	19	20	20	21	0	1	10	1	10	2	3	4	20	2	4	4	10	4	10	12	9	20	3	10	9	8	8	4	11	18	3	15	9	17	34	21	12	9	15	13	5	15	28	2	22	15	12	38	25	18	25	3	2	33	57	33	21	6	16	35	3	21	25	35	27	15	18	46	53	62	4	5	1	2	1	3	1	1	1	2	1	1	2	1	2	2	1	1	2	1	1	1	1	2	2	1	3	1	3	1	1	1	1	1	3	2	4	2	5	1	2	6	3	4	5	3	2	2	3	4	7	1	1	3	3	5	6	1	6	3	2	2	2	5	4	2	1	1	9	6
7500	-483.829315245438011	-481.851865319391834	-1.977449926046152	0.000348121684972	0.000049497035269	0.142183142865163	0.367030728823798	1	5	7	5	7	7	10	8	9	9	10	8	9	8	9	10	11	8	10	10	11	13	11	11	12	13	12	14	13	14	14	12	16	15	15	15	17	15	16	17	18	16	16	20	18	15	19	17	18	20	18	16	17	20	18	17	18	18	19	20	17	21	17	19	20	20	21	21	0	1	2	1	4	2	12	4	12	8	3	5	3	3	6	2	10	6	12	3	18	21	12	16	8	15	14	24	18	20	7	6	12	3	2	26	12	18	31	1	33	22	2	24	11	3	9	2	1	40	29	2	12	59	5	35	11	9	61	38	22	12	34	42	41	39	3	8	1	2	1	2	1	2	2	1	1	1	2	1	2	1	1	2	1	1	1	2	2	1	1	1	3	2	2	3	2	2	2	3	4	3	5	1	3	4	1	8	1	2	6	3	4	5	7	5	8	1	3	5	4	1	6	1	3	4	1	2	2	5	1	1	1	1	6	9
8000	-364.248987133115577	-362.581207438040792	-1.667779695074761	0.000403015654404	0.000086235513460	0.213975592555354	0.364663984416980	0	4	7	6	9	8	9	8	10	10	9	8	12	9	9	11	12	11	8	9	12	12	9	13	12	13	12	13	13	12	14	14	15	15	13	15	17	13	14	16	17	17	17	20	16	16	19	18	17	19	18	17	16	19	17	18	19	18	19	20	18	20	20	21	19	20	19	22	0	1	4	2	3	2	4	3	7	20	3	4	18	3	19	14	18	12	3	8	9	7	3	13	14	3	11	11	4	16	5	25	2	4	11	23	9	7	26	21	19	28	30	48	24	4	4	2	18	49	36	12	3	1	4	13	25	12	12	58	38	25	41	67	33	36	4	62	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	3	1	3	4	1	3	1	6	4	2	2	4	2	1	3	4	2	2	1	1	5	5	5	2	1	2	6	5	6	5	2	5	6	7	1	3	4	1	1	2	3	9	1
8500	-368.927770252138771	-367.545029160430886	-1.382741091707872	0.000136748429840	0.000059978343060	0.438603522764203	0.370581873854751	0	5	8	6	8	8	10	8	9	10	9	9	11	10	9	10	11	11	11	11	12	12	11	12	10	12	11	14	11	12	11	15	15	15	15	16	17	11	16	17	17	16	18	20	16	16	17	19	18	19	18	16	17	18	19	19	20	19	19	20	18	18	19	19	19	21	21	21	0	1	4	1	4	1	4	4	6	3	3	6	4	2	6	3	3	8	4	2	4	10	3	38	2	3	10	4	4	23	15	38	12	23	3	19	25	12	38	4	20	22	3	40	3	18	35	25	36	37	41	20	3	3	36	37	51	3	16	49	31	1	53	21	42	44	47	55	1	2	1	3	1	3	2	2	1	1	1	1	3	3	1	1	2	2	3	2	4	1	1	1	2	2	1	3	3	1	1	3	4	2	4	2	3	1	5	5	3	3	4	1	4	2	1	5	2	2	1	3	5	4	1	1	1	5	5	1	4	9	1	3	1	1	3	1
9000	-310.642989118288085	-309.050426842616503	-1.592562275671580	0.000201578812590	0.000049043437078	0.243296586820377	0.418968472624119	1	5	8	6	8	7	8	9	10	9	9	7	11	11	9	11	11	11	10	10	12	11	12	12	13	12	13	13	12	13	12	14	15	16	15	15	17	14	15	16	17	16	18	19	17	16	19	18	16	18	18	18	17	19	18	18	18	17	19	20	19	19	19	20	19	19	19	21	0	1	6	2	12	2	4	12	7	2	6	4	15	10	2	10	8	3	10	7	19	9	17	16	10	10	5	12	10	20	17	27	21	25	24	20	25	15	29	15	30	12	25	49	24	4	19	15	4	36	25	30	2	40	16	13	24	15	14	56	16	17	58	67	58	41	10	49	1	2	1	1	1	1	1	1	1	2	1	1	1	2	3	1	1	1	1	1	1	1	1	1	2	2	2	3	2	1	1	1	1	1	2	3	3	2	2	3	3	3	2	2	2	5	6	4	3	1	3	2	7	2	2	4	4	3	4	1	8	4	1	1	1	1	5	3
9500	-362.338855003124991	-360.692435459605008	-1.646419543520009	0.000331229370567	0.000073376935687	0.221529073830889	0.566839519597887	1	5	8	6	9	7	8	9	10	8	10	9	11	10	9	10	10	11	10	10	13	12	12	13	13	11	12	13	12	14	15	12	16	16	14	15	17	15	16	17	17	16	16	18	17	15	18	18	18	19	17	19	18	19	17	18	19	18	17	20	18	19	19	20	19	19	20	21	0	1	2	1	4	2	4	10	10	4	3	4	16	2	10	6	4	15	2	8	23	12	10	17	19	5	12	15	3	16	35	20	16	3	1	12	19	9	19	3	36	25	4	59	18	1	51	3	35	21	36	16	41	15	24	36	3	25	10	56	22	30	35	25	34	58	11	47	1	1	1	2	2	1	1	1	1	1	1	2	1	3	1	1	2	1	2	1	1	1	3	2	2	1	2	1	2	2	1	1	3	2	6	2	3	2	4	3	1	1	6	1	2	6	1	5	3	2	1	6	1	5	2	1	5	2	3	1	2	2	3	4	1	1	5	2
