step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82
1	-399.914857624731326	-406.770345575690726	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.141299682391764	0	2	2	3	4	3	4	4	7	5	6	6	6	6	7	8	8	9	7	7	8	7	10	8	9	9	9	10	9	10	9	10	10	10	10	9	10	11	10	10	11	11	10	11	11	11	12	12	14	12	14	14	13	12	12	14	14	14	17	15	15	17	17	16	15	16	17	17	17	16	20	19	20	21	20	21	20	22	21	22	22	23	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	4	3	3	3	3	3	4	4	4	5	4	4	4	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	6	5	5	6	6	5	6	6	6	6	6	7	6	7	7	7	6	6	7	7	7	9	8	8	9	9	8	8	8	9	9	9	8	10	10	10	11	10	11	10	11	11	11	11	12
500	-449.246621653346608	-456.102109604306008	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.319828690050895	1	2	3	3	5	3	4	4	8	5	7	6	6	5	8	7	8	10	6	6	8	7	10	8	6	9	9	10	9	11	9	10	9	10	8	9	9	12	9	10	11	10	9	11	11	11	12	10	14	12	15	14	13	12	11	14	13	14	17	14	15	16	17	14	15	15	14	17	17	16	20	19	20	22	19	22	21	22	22	22	23	24	0	1	2	2	1	1	6	2	19	3	8	1	8	8	2	19	16	8	2	8	4	14	2	14	14	2	4	19	19	36	8	19	2	13	4	7	8	11	8	8	36	36	20	32	27	11	33	24	21	9	48	28	1	33	1	23	55	39	50	42	28	44	48	44	5	56	1	34	37	57	8	52	59	33	42	19	65	12	37	2	38	68	1	1	1	1	2	1	1	1	2	1	1	2	1	1	3	1	1	4	2	1	3	1	3	1	1	3	3	3	2	2	3	2	4	2	3	2	4	3	2	2	1	1	1	1	1	1	2	1	3	3	3	2	4	1	4	4	1	4	3	1	3	3	3	1	6	1	5	3	4	2	9	2	2	10	5	8	3	6	6	9	6	3
1000	-470.779532731887798	-477.635020682847198	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.554986699915284	1	3	2	3	5	4	4	5	7	4	6	5	5	6	7	8	8	10	7	6	7	7	10	8	9	9	10	10	6	11	10	9	11	9	11	6	10	10	11	11	12	12	10	12	11	11	13	12	13	12	13	14	13	12	13	15	14	15	18	15	13	17	18	16	14	15	17	18	17	17	19	20	19	20	20	21	19	23	20	22	23	22	0	1	1	1	1	2	4	3	2	1	13	3	4	7	1	19	36	19	2	1	14	10	1	6	1	21	10	24	2	15	21	12	26	2	9	6	1	15	22	17	27	1	16	38	43	34	21	26	39	20	34	49	27	38	43	30	38	25	66	53	1	57	57	21	23	41	44	65	34	60	64	59	53	43	1	43	50	21	59	67	74	68	1	1	1	1	2	1	1	1	2	2	1	1	2	1	3	1	1	1	2	2	1	1	3	2	3	1	2	1	1	2	3	2	1	2	2	1	3	2	1	1	1	4	1	1	1	1	4	2	1	4	2	1	1	1	2	2	2	3	2	2	5	1	2	5	2	2	2	2	3	1	1	1	3	3	6	6	3	7	1	2	1	1
1500	-445.063785935764315	-451.919273886723715	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.452587047816449	0	2	3	3	3	4	4	5	8	5	6	6	7	6	6	9	9	10	8	7	8	7	11	8	9	10	8	9	10	9	10	10	10	10	10	7	10	11	10	11	11	12	10	10	10	12	12	12	13	12	14	15	12	13	11	15	15	14	17	16	15	15	18	16	15	16	18	17	16	17	19	18	19	20	20	21	21	22	21	22	22	23	0	1	1	2	2	2	5	3	15	3	1	7	5	6	5	7	21	22	10	7	13	10	43	1	10	27	2	13	9	1	24	22	12	21	4	10	7	9	25	36	25	14	15	19	24	31	2	45	23	39	31	51	28	22	28	48	49	33	52	1	24	45	70	53	23	28	24	47	38	26	24	43	59	69	27	45	40	67	63	58	59	73	1	1	1	1	1	1	1	1	1	1	4	1	2	1	2	4	1	2	1	2	1	1	1	4	1	1	3	1	1	4	2	2	3	1	3	1	3	2	1	2	1	4	2	1	1	2	5	1	1	1	2	1	1	4	1	1	2	3	1	6	4	1	1	1	2	6	7	3	2	4	4	3	1	4	5	6	5	2	2	6	3	2
2000	-427.973235658875979	-434.828723609835379	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.385106241114030	1	3	2	4	5	2	5	3	8	4	6	7	6	6	7	8	8	10	8	5	9	7	10	8	8	7	7	10	9	11	7	11	11	10	10	10	10	12	10	11	10	12	9	12	9	11	13	11	13	12	13	13	12	11	13	14	13	14	17	15	14	16	18	16	13	17	16	18	16	15	21	19	20	22	20	21	20	22	22	20	22	24	0	1	1	2	8	1	1	1	13	3	10	8	2	3	10	10	11	2	6	8	7	5	9	3	12	8	10	31	2	12	1	25	45	13	19	24	1	35	10	14	11	2	16	23	12	45	1	31	9	2	14	42	13	1	33	52	45	37	70	15	38	45	11	21	32	47	50	18	11	19	57	45	40	67	57	2	62	57	77	10	14	76	1	1	1	1	1	1	2	1	1	1	1	2	2	2	3	2	1	5	3	1	3	1	1	3	1	2	1	1	3	2	2	2	1	3	1	1	5	1	4	2	2	4	1	1	1	1	5	2	3	4	3	1	3	5	2	1	2	2	1	3	1	3	7	3	1	3	2	3	5	3	6	6	5	3	4	9	2	6	1	7	6	1
2500	-528.614820653497759	-535.470308604457159	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.429380021638857	1	3	2	3	2	3	5	4	7	5	5	6	6	7	7	8	8	10	7	6	8	6	8	7	9	6	10	10	9	10	9	10	9	10	10	9	9	11	9	8	11	11	10	11	10	12	13	12	13	10	15	14	13	12	12	15	15	13	17	14	14	17	17	16	16	16	18	17	17	16	21	20	20	21	20	21	20	22	21	23	22	23	0	1	1	1	1	1	6	6	11	6	1	3	4	12	7	8	14	19	3	1	26	11	1	12	19	2	33	6	13	4	23	2	15	40	16	15	1	43	13	4	39	15	9	34	23	28	40	29	46	1	25	45	30	14	36	50	55	9	25	26	2	46	51	35	53	47	52	57	55	58	52	15	66	7	62	48	67	28	66	1	69	63	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	2	1	1	3	1	1	1	3	1	1	1	1	3	2	3	1	3	1	1	2	1	4	1	3	3	1	2	1	1	1	2	2	2	1	4	3	2	1	3	1	3	1	4	4	2	3	1	1	3	2	2	2	2	2	2	7	9	1	9	2	5	1	5	3	9	3	3
3000	-461.626302053812083	-468.481790004771483	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.447370002055424	0	2	2	2	4	4	5	4	8	4	6	6	6	6	7	8	8	9	7	7	9	8	9	9	7	7	9	9	7	9	9	8	10	8	10	9	10	11	10	10	11	11	10	10	12	12	12	11	12	10	14	14	12	12	12	14	14	13	17	15	16	18	17	15	14	17	16	17	17	16	18	20	20	20	20	22	19	22	21	21	23	24	0	1	1	1	1	2	6	3	29	4	7	10	1	3	2	8	11	4	13	14	2	2	10	9	7	1	13	10	14	10	19	12	14	2	2	6	22	16	17	11	15	14	10	27	20	30	15	16	12	28	46	42	35	19	21	45	53	22	48	33	28	7	44	1	46	2	22	53	60	55	1	65	59	67	2	63	58	80	71	73	43	74	1	1	2	1	3	1	1	1	1	1	1	1	3	2	3	2	1	4	1	1	4	3	2	1	1	2	2	1	1	2	1	1	1	3	3	3	1	1	1	2	2	2	3	1	3	3	3	1	3	1	1	2	1	3	1	1	1	3	3	3	6	7	6	7	1	7	4	2	1	2	7	3	1	2	11	3	3	1	2	1	5	3
3500	-396.262131251203357	-403.117619202162757	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.415153047734354	0	2	2	4	4	3	4	5	7	5	7	6	5	5	7	8	7	9	6	8	8	7	11	8	9	9	10	9	10	10	8	10	9	11	10	8	10	11	10	10	11	11	9	12	11	11	12	12	14	10	14	14	13	11	12	13	15	14	17	16	16	17	17	15	16	14	18	16	17	17	21	17	21	21	19	22	21	23	21	21	22	22	0	1	1	2	1	1	2	2	13	6	4	4	7	4	13	9	19	36	6	8	7	14	19	19	5	13	15	2	1	17	7	8	11	16	9	7	21	26	2	28	25	17	15	31	29	16	2	40	47	4	44	32	27	40	28	26	42	28	54	56	48	28	56	2	29	43	56	18	33	46	24	48	47	58	1	67	59	74	75	40	57	63	1	1	1	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	2	2	2	1	3	1	3	3	1	4	7	1	2	2	1	2	2	2	1	1	4	1	1	2	1	2	1	2	6	1	1	2	1	2	1	1	2	2	1	3	4	2	2	3	2	6	2	2	2	3	5	3	9	2	5	3	10	1	2	1	1	7	4	2
4000	-388.797408866176113	-395.652896817135513	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.487843887040377	1	3	2	3	4	4	4	3	8	6	5	6	6	6	7	7	7	10	6	7	8	7	10	9	9	8	9	10	10	10	9	9	9	9	10	7	11	11	10	10	11	12	10	11	12	11	12	12	12	12	15	15	13	11	12	15	11	15	18	16	14	18	17	16	15	16	18	17	16	16	21	19	18	21	20	22	20	22	21	22	22	23	0	1	1	1	2	2	8	1	22	7	2	4	2	6	7	8	12	1	2	7	15	11	12	13	26	7	17	15	7	13	13	36	3	19	5	8	43	24	36	21	16	7	9	34	30	18	33	25	20	41	28	54	57	1	36	50	25	36	64	27	9	46	49	53	23	43	19	47	61	50	56	53	41	73	62	71	67	74	63	41	72	67	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	5	1	1	1	1	2	1	1	2	1	1	3	2	2	1	4	2	3	2	1	1	1	1	2	3	2	1	1	1	1	1	2	1	3	2	1	5	2	2	1	4	1	3	3	5	3	2	2	2	5	3	1	2	3	3	3	1	1	1	1	1	3	7	3	3
4500	-445.212898463093609	-452.068386414053009	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.443899572356813	1	2	2	3	3	3	5	5	7	4	6	6	7	6	7	8	8	8	6	7	9	7	10	9	9	9	8	10	8	10	9	10	10	10	7	7	9	11	9	11	11	10	10	11	12	12	11	13	15	13	14	14	14	13	11	13	13	15	16	15	15	17	17	16	14	16	17	18	18	15	18	20	20	21	19	21	20	22	21	22	22	22	0	1	1	2	3	1	5	10	7	1	1	3	10	10	2	5	35	2	6	8	14	8	31	14	15	2	2	15	10	26	17	8	29	36	2	11	9	17	1	1	24	36	29	37	5	26	17	17	54	17	33	21	25	24	7	33	16	36	32	56	54	45	30	49	46	21	13	40	58	23	7	1	62	22	1	57	51	71	69	58	69	77	1	1	1	1	1	1	1	1	1	1	2	2	2	1	3	4	1	3	2	1	2	1	1	2	1	3	3	1	1	1	1	2	1	1	2	1	1	1	3	4	1	2	1	1	4	2	1	4	1	3	3	2	3	2	2	2	2	4	3	1	1	2	4	1	1	3	5	4	1	2	3	10	1	5	7	4	3	1	2	4	2	1
