step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74
1	-7520.010296308208126	-7518.548214223689683	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.404997268606081	9	6	6	15	14	23	26	30	34	37	36	35	34	37	38	45	42	43	43	40	44	47	46	45	43	44	47	43	50	47	46	50	50	52	53	48	49	50	52	51	53	51	57	53	51	56	57	55	61	63	63	62	60	69	61	68	74	65	66	69	72	75	80	76	75	78	80	87	89	86	92	89	92	101	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	3	4	4	5	5	5	5	5	5	6	7	6	6	6	6	7	7	7	7	6	7	7	6	8	7	7	8	8	8	8	7	7	8	8	8	8	8	9	8	8	9	9	8	9	10	10	10	9	11	9	11	12	10	10	11	11	12	13	12	12	12	13	14	14	14	15	14	15	16
500	-911.870077895663940	-910.187521145000119	-1.682556750663851	0.000009985956831	0.000015508231675	1.553004077388074	0.290017934278629	11	7	4	14	13	19	20	24	28	32	29	30	34	25	37	43	42	41	38	33	38	49	45	36	33	39	49	39	47	45	39	49	50	50	41	44	48	50	50	52	52	51	42	46	51	58	58	48	58	63	63	63	45	70	63	64	73	62	62	65	73	74	79	78	73	76	78	89	86	89	85	85	91	97	0	0	0	3	3	0	0	6	8	14	8	8	9	2	10	13	11	24	25	11	9	18	28	10	12	25	21	13	0	24	20	19	14	19	20	0	23	24	25	28	23	28	26	24	35	38	26	31	35	19	26	35	31	43	33	31	20	43	22	53	50	53	58	53	53	58	56	43	53	43	53	53	60	0	1	1	1	2	2	1	1	2	1	2	1	1	2	4	2	1	2	2	2	2	1	2	1	1	1	2	4	1	1	2	1	1	6	2	2	1	1	2	2	3	2	4	1	2	2	2	5	2	3	4	4	6	1	7	2	8	8	6	3	4	3	7	3	10	6	4	3	15	12	15	9	7	8	1
1000	-824.696002948391993	-823.101239979308389	-1.594762969083548	0.000009974027289	0.000013363000278	1.339779799172387	0.362700571669970	7	1	2	10	14	18	25	26	29	35	33	29	34	29	33	46	38	37	42	41	45	46	45	41	36	41	44	41	42	48	44	48	50	47	45	47	50	50	53	50	53	53	44	55	50	56	52	52	54	58	64	62	44	63	58	65	73	57	64	68	66	65	79	76	73	78	77	89	88	89	94	86	89	94	0	0	0	3	3	0	0	6	8	14	8	8	9	2	14	13	9	14	25	11	8	18	28	18	8	25	17	13	0	24	11	19	30	19	20	0	23	18	32	28	40	28	25	38	35	30	26	20	35	47	47	35	20	58	46	53	31	43	30	53	50	53	66	53	53	58	57	58	53	43	53	56	60	0	1	1	1	2	2	1	1	3	1	1	2	1	1	5	1	3	2	2	2	2	4	2	1	1	2	1	1	2	1	2	2	2	1	1	1	1	1	2	1	3	1	2	2	1	1	2	3	2	3	2	4	6	1	1	1	4	5	3	3	4	2	4	1	10	6	4	1	11	10	15	9	4	4	1
1500	-806.083665203683154	-804.074010163396110	-2.009655040287019	0.000009941708173	0.000023527433679	2.366538352263488	0.391964786666670	8	3	6	11	15	18	26	27	29	37	30	33	33	26	36	44	40	41	41	39	43	45	45	42	40	43	48	38	40	47	42	52	49	52	47	46	51	50	52	50	52	49	43	50	52	53	51	52	58	62	60	59	47	65	64	59	70	49	56	57	68	75	77	75	76	76	75	88	90	86	94	82	94	102	0	0	0	3	3	0	0	6	8	14	8	11	9	2	14	13	9	15	25	11	9	15	28	15	12	25	21	13	0	18	20	25	24	12	20	0	23	18	25	28	23	28	12	22	35	22	26	31	45	47	47	35	31	58	46	53	53	43	33	53	47	53	58	53	56	58	56	58	62	43	53	67	57	0	1	1	1	1	1	1	1	2	1	3	2	1	1	3	2	2	2	1	1	2	2	2	1	2	2	1	2	1	1	2	1	2	1	5	2	1	2	2	3	3	1	2	2	1	2	1	2	2	1	1	2	2	1	2	2	2	5	2	1	2	4	4	5	8	4	4	2	10	4	13	10	2	5	1
2000	-738.276331113234960	-736.698876004308090	-1.577455108926868	0.000009886547261	0.000012825595599	1.297277528752453	0.468242897509611	9	5	5	14	16	22	27	27	30	38	35	34	33	27	35	40	43	41	44	39	39	46	46	41	37	44	48	43	46	46	44	47	49	50	47	49	49	49	53	53	52	48	51	54	52	57	52	54	61	66	60	57	54	66	60	67	76	59	63	69	73	75	73	76	75	78	81	88	92	85	93	84	91	100	0	0	0	3	3	0	0	6	6	14	8	8	9	2	14	13	9	14	25	11	9	18	28	10	12	25	21	13	0	24	20	25	10	19	20	0	23	24	25	42	23	28	26	18	35	24	26	31	35	47	47	35	31	58	33	53	53	43	38	53	47	56	58	60	56	58	56	58	65	43	57	67	65	0	1	1	1	2	2	1	1	1	1	2	2	2	1	3	2	2	2	2	1	1	2	1	1	1	1	2	2	2	1	2	1	2	2	2	2	1	1	2	2	1	1	1	1	3	1	3	2	2	2	1	2	2	3	1	3	2	3	2	2	3	2	2	3	2	1	4	3	8	2	12	4	1	2	1
2500	-690.428338242042173	-688.631520212273358	-1.796818029768869	0.000009945332065	0.000018207730216	1.830781526065987	0.635476265305330	6	7	7	11	12	20	26	27	30	33	33	33	33	28	37	43	42	44	42	40	43	47	46	39	38	46	47	36	48	46	46	47	47	51	48	50	48	51	47	50	52	45	54	43	51	53	55	53	60	62	64	56	60	68	61	64	74	58	65	69	75	69	74	77	70	77	78	88	88	86	81	87	93	97	0	0	0	3	3	0	0	6	8	14	8	8	9	2	10	13	9	24	25	11	17	24	13	14	12	25	21	13	0	18	20	19	18	32	20	0	23	30	25	28	23	28	26	24	35	33	25	31	35	47	47	35	48	43	46	53	56	43	38	56	47	56	54	53	53	63	62	58	65	58	67	71	69	0	1	1	1	1	2	1	1	1	1	1	1	1	1	4	1	2	2	1	1	1	1	2	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	1	2	2	2	2	1	2	1	2	2	1	1	2	1	3	1	3	1	2	3	2	1	2	8	3	7	1	1	1	1
3000	-697.119207096493710	-695.576363137003455	-1.542843959490245	0.000009781433601	0.000011848079862	1.211282552832642	0.572167804553650	10	5	6	16	13	19	26	28	33	35	33	30	35	23	28	46	41	36	42	39	39	46	46	34	36	44	48	39	46	43	43	47	50	50	50	43	50	52	51	49	52	48	53	53	52	55	47	54	55	61	62	63	60	64	57	68	73	59	65	69	72	72	67	77	68	74	80	87	87	82	94	83	93	101	0	0	0	3	3	0	0	6	8	14	8	8	9	2	14	13	9	24	25	11	9	24	28	14	12	25	21	9	0	18	20	19	18	25	20	0	23	30	32	28	23	28	26	33	35	10	26	31	35	47	47	45	48	58	46	53	53	43	33	53	50	60	58	57	53	63	62	58	65	58	67	62	69	0	1	1	1	2	1	1	1	1	2	2	1	1	1	2	1	2	2	1	1	1	1	2	2	2	2	2	2	1	1	2	1	1	2	2	2	1	1	2	1	3	1	2	1	1	1	5	1	2	1	2	2	3	1	1	1	2	3	2	2	2	2	1	1	1	1	2	1	7	3	4	2	2	2	1
3500	-646.582585918029508	-644.876614148357817	-1.705971769671718	0.000009898644306	0.000015933693768	1.609684445247525	0.670644033925362	9	7	6	15	11	19	24	27	30	38	32	34	34	26	34	45	34	40	41	39	42	48	46	45	36	40	48	38	52	45	44	48	50	48	46	45	49	49	51	41	53	49	56	53	51	55	53	51	55	62	61	60	56	69	59	69	73	63	63	70	67	75	69	74	77	78	80	87	86	85	91	87	93	97	0	0	0	3	3	0	0	6	8	14	8	8	9	2	14	13	9	15	25	8	17	24	40	18	12	12	21	13	0	18	20	25	18	19	20	0	23	24	19	28	23	28	26	38	35	38	26	31	35	47	47	35	48	58	46	53	53	43	46	53	50	56	58	60	60	63	60	66	65	66	72	67	69	0	1	1	1	2	1	1	1	2	1	2	1	1	1	3	1	2	2	1	2	2	2	1	1	1	1	1	2	1	1	1	1	2	2	1	1	1	1	1	2	1	1	2	2	1	1	1	2	2	2	2	2	2	1	1	1	2	3	1	1	2	1	1	2	1	2	1	2	2	1	1	1	2	1	1
4000	-667.149798469997222	-665.456204294801068	-1.693594175196135	0.000010309189674	0.000016285603828	1.579717159467044	0.680221701052321	5	5	6	15	9	22	26	29	32	34	31	35	34	31	39	42	40	36	41	41	34	46	44	42	39	45	47	41	49	48	42	46	48	53	48	48	47	50	52	51	52	50	58	39	50	52	56	49	58	61	64	62	61	68	56	68	74	65	67	65	70	76	78	74	76	80	80	89	81	86	92	88	88	97	0	0	0	3	3	0	0	6	8	14	8	8	9	2	10	13	9	14	25	11	9	24	16	18	12	25	21	13	0	24	20	25	24	32	20	0	23	24	32	28	40	28	32	18	35	33	26	31	35	47	50	49	48	43	46	60	56	43	33	53	47	60	58	53	60	63	60	66	65	66	72	57	69	0	1	1	1	2	1	1	1	2	1	1	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	2	2	1	1	1	1	2	1	2	1	2	2	1	1	1	2	2	2	1	1	1	2	2	1	2	2	1	4	1	2	2	2	2	2	2	3	3	1	1	1	2	1	1
4500	-649.803783157675184	-648.114085238861662	-1.689697918813533	0.000010589874994	0.000016629139984	1.570286711932224	0.627589370332497	0	6	7	16	14	16	23	26	29	33	35	35	36	27	34	41	36	37	38	38	42	46	46	45	41	45	46	41	47	47	47	45	48	50	50	46	50	43	50	47	54	49	55	52	53	51	57	52	58	59	62	62	61	68	62	68	70	66	63	68	71	72	74	76	73	76	81	81	84	84	93	88	88	100	0	0	0	3	3	0	0	6	8	14	8	8	9	2	14	13	9	10	12	11	17	38	28	14	19	19	21	13	0	38	11	25	18	25	31	0	23	18	32	28	23	28	26	24	35	24	26	20	35	47	47	35	31	58	24	53	60	43	33	53	50	53	58	60	56	58	62	66	65	66	67	67	69	0	1	1	1	2	1	1	1	2	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	4	1	2	1	1	1	2	3	1	1	2	1	1	1	1	1	2	2	2	2	1	1	1	2	2	2	1	1	2	1	1	2	2	1	2	2	1	2	2	2	1	1	2	1	1	2	1	2	2	1	1
