step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83
1	-8257.902052794381234	-8256.439970709861882	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.401866763616969	0	2	1	4	5	5	7	9	11	10	11	10	11	13	13	13	14	14	14	14	15	14	18	17	17	16	15	18	17	16	16	16	16	19	17	19	18	18	18	19	19	20	19	20	19	21	23	21	22	23	23	23	24	23	25	25	27	27	27	27	29	29	28	30	29	32	32	32	31	31	33	34	32	34	35	34	33	36	36	37	39	39	40	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	4	5	6	5	6	5	6	7	7	7	7	7	7	7	8	7	9	9	9	8	8	9	9	8	8	8	8	10	9	10	9	9	9	10	10	10	10	10	10	11	12	11	11	12	12	12	12	12	13	13	14	14	14	14	15	15	14	15	15	16	16	16	16	16	17	17	16	17	18	17	17	18	18	19	20	20	20
500	-2512.959089937952285	-2509.841047074049129	-3.118042863903261	0.000010021136137	0.000059474359967	5.934891927755954	0.166428322310901	-1	1	1	4	6	5	4	6	9	7	8	11	12	11	11	10	15	14	15	14	12	14	18	18	18	13	15	19	16	16	17	16	16	19	17	19	15	18	19	16	20	20	20	20	16	19	24	21	20	23	24	23	24	23	26	25	27	28	27	28	30	30	28	31	30	32	32	32	29	32	34	35	32	35	36	35	34	37	36	37	40	40	40	0	1	1	2	7	2	2	4	8	8	8	9	10	10	8	11	11	12	15	26	10	11	11	16	18	14	21	16	11	15	22	16	16	11	16	9	10	30	16	20	21	30	23	16	21	26	11	16	21	45	40	43	21	45	45	40	46	45	21	40	26	49	56	37	46	45	26	45	46	40	37	21	37	45	46	46	37	46	49	40	49	57	37	1	1	1	2	2	2	2	1	1	1	1	1	2	2	2	2	4	3	3	1	3	5	5	5	3	2	2	6	3	3	3	3	4	5	5	6	8	1	3	1	6	3	1	5	3	6	13	8	8	7	8	2	9	4	7	5	7	12	10	12	15	9	2	15	7	12	15	13	5	12	13	20	14	17	15	15	15	14	10	16	18	11	19
1000	-1994.923113649402467	-1992.243782820122988	-2.679330829279579	0.000010056445055	0.000043622281010	4.337743682837963	0.175270076604959	-1	2	1	4	5	4	8	8	10	10	11	9	11	11	12	13	14	14	14	15	15	14	18	18	16	14	15	19	18	16	15	17	17	20	16	20	15	18	18	16	20	21	20	19	19	18	23	22	19	23	20	23	24	23	25	24	28	27	28	27	30	29	28	31	27	32	32	33	31	32	34	35	33	35	35	34	34	37	37	37	40	39	41	0	1	1	2	4	2	5	2	8	8	8	8	10	10	9	11	11	9	15	26	14	16	8	16	18	14	14	16	17	19	22	22	16	9	16	25	14	30	31	26	27	30	23	24	37	40	11	44	14	37	46	43	49	49	49	46	51	49	49	46	51	53	60	37	46	37	40	49	65	51	49	37	49	49	56	46	49	51	64	56	49	65	55	1	2	1	2	1	1	2	3	2	1	2	1	1	1	1	1	2	2	2	1	2	1	5	3	2	2	2	2	2	2	1	2	1	7	2	3	2	1	2	1	3	2	1	1	3	2	9	2	4	3	2	1	4	2	5	4	5	7	9	9	5	4	1	14	4	13	15	12	2	9	8	18	14	16	11	10	13	12	3	11	18	10	15
1500	-1549.890429906647341	-1547.342544690780414	-2.547885215866946	0.000010097769538	0.000039481469891	3.909919882911157	0.289942944438669	1	3	2	4	6	5	8	6	12	8	10	8	12	12	12	13	13	14	14	15	14	14	18	17	17	14	15	18	18	16	17	16	16	17	17	20	17	18	19	18	20	20	19	20	19	19	24	21	19	24	23	22	25	24	22	24	28	28	26	28	30	29	29	31	26	33	32	33	31	30	34	35	32	35	36	34	34	36	36	38	40	40	41	0	1	1	2	2	4	5	2	12	8	12	8	10	10	12	11	11	11	15	26	10	16	11	16	18	14	21	16	17	19	22	16	22	11	16	25	27	30	31	20	21	30	34	35	37	40	11	44	37	45	46	43	49	49	49	46	56	49	55	46	56	53	60	49	51	49	21	55	65	51	55	49	21	55	70	65	59	69	77	70	55	70	55	1	2	1	1	1	1	1	1	3	1	1	1	2	3	2	2	1	2	2	1	5	1	4	1	2	1	1	3	2	1	2	1	1	5	3	1	1	2	1	1	3	2	1	3	1	1	9	1	2	2	3	3	4	2	2	2	3	5	4	7	5	2	1	9	2	12	12	10	2	7	5	16	12	13	6	8	7	3	1	7	15	7	15
2000	-1301.108706586412382	-1298.538971671717945	-2.569734914694517	0.000010120767234	0.000040275820994	3.979522506977942	0.372642205866220	-1	2	1	3	6	5	7	9	12	10	12	10	11	12	13	13	14	14	15	15	15	14	18	16	18	14	14	18	17	16	17	16	17	17	18	20	17	18	19	16	18	19	19	20	19	18	24	22	19	22	21	24	25	23	22	23	28	27	24	27	30	29	28	31	29	33	33	33	32	29	33	35	32	35	32	35	33	35	35	38	40	39	40	0	1	1	2	6	2	5	2	12	8	12	8	10	10	8	11	11	8	15	26	14	16	11	16	18	14	14	16	17	15	22	22	22	11	24	25	27	30	31	20	27	30	34	24	37	40	43	44	37	45	46	43	49	49	49	46	56	53	49	56	56	53	60	55	57	59	56	59	70	51	64	49	49	55	70	65	55	75	77	70	59	75	59	1	2	1	1	1	2	1	5	1	1	2	1	1	1	2	1	1	3	1	1	2	1	3	2	2	1	1	3	2	2	2	2	2	2	1	1	1	1	1	1	3	2	1	3	1	1	4	2	1	1	2	3	4	2	1	4	2	1	2	4	5	2	1	5	1	8	7	7	2	7	1	16	10	12	3	6	7	2	1	6	13	5	12
2500	-1161.582213954185136	-1159.166860120769115	-2.415353833415988	0.000010224653639	0.000035788267261	3.500193602948388	0.391411156546918	0	2	1	4	5	5	8	8	10	10	11	10	11	12	12	12	14	14	13	15	14	13	18	15	17	14	15	17	17	16	15	16	17	16	17	20	17	17	19	18	19	20	18	20	19	20	22	22	21	23	22	24	24	23	22	24	28	27	24	27	30	29	29	29	30	33	33	32	32	29	30	35	33	35	34	35	34	36	36	37	40	40	41	0	1	1	2	4	2	5	2	8	8	8	8	10	10	12	11	11	12	15	26	14	16	11	16	18	14	21	16	17	15	22	22	22	11	24	25	27	30	31	26	27	30	34	24	37	40	43	44	37	45	46	47	54	49	49	51	56	53	55	56	56	58	60	59	57	71	51	59	70	46	64	55	59	59	70	70	59	75	77	75	64	75	64	1	1	1	1	1	1	2	4	1	1	2	1	1	1	2	1	1	2	1	1	1	1	3	2	2	1	1	2	2	2	1	1	2	2	1	2	1	1	2	2	2	2	1	1	2	1	3	1	1	2	1	2	1	2	1	1	2	2	1	3	4	1	1	4	1	2	7	5	2	6	1	12	8	8	2	4	5	2	2	2	9	4	10
3000	-997.309877779177668	-994.909292928309583	-2.400584850868078	0.000010394630576	0.000035922028873	3.455825448542609	0.515513880038910	0	2	1	5	5	5	6	8	9	10	11	10	12	12	12	12	14	15	13	15	14	14	18	18	17	14	15	18	18	16	17	16	16	16	17	20	17	18	19	20	18	20	20	20	20	22	23	21	22	22	24	24	25	22	23	25	28	27	24	27	29	29	29	29	30	32	33	33	31	30	33	34	33	35	34	35	34	36	36	37	39	40	41	0	1	1	2	2	2	4	4	8	8	9	8	10	10	12	11	9	12	15	26	14	16	34	16	18	14	21	35	17	15	16	22	22	11	16	25	27	30	31	20	27	30	34	24	37	40	43	44	45	45	46	47	49	45	49	51	56	53	55	56	57	58	60	59	61	64	69	64	70	57	66	59	59	64	70	70	66	75	72	75	64	80	64	1	1	1	2	1	2	1	2	1	1	1	1	2	1	1	1	2	3	1	1	1	1	1	2	2	1	1	1	3	1	3	2	1	3	2	2	1	1	1	3	2	2	1	1	2	1	1	1	1	2	1	1	1	2	1	1	2	1	1	2	1	1	1	4	1	2	1	2	1	1	1	6	6	6	1	2	1	1	1	2	8	2	10
3500	-876.657042962928017	-874.247295586066230	-2.409747376861762	0.000011094019825	0.000038644034288	3.483321185287490	0.644207939486551	0	2	1	5	5	6	7	7	11	10	11	10	12	12	12	13	14	14	14	15	14	15	19	16	18	14	15	19	17	16	16	17	17	18	17	20	17	19	19	17	19	20	19	20	19	21	23	21	22	23	23	24	24	23	24	25	27	27	27	27	28	28	28	29	29	30	33	31	32	30	32	34	32	34	35	35	30	37	36	37	40	39	41	0	1	1	2	2	4	5	6	8	8	12	8	10	10	12	11	11	12	15	26	14	16	34	16	18	14	21	16	17	19	22	22	22	11	24	25	27	30	31	26	27	30	34	35	37	40	43	44	45	45	46	47	49	49	49	51	56	53	55	56	57	58	60	55	61	64	69	64	70	65	64	77	66	64	70	70	64	75	72	75	72	80	77	1	1	1	2	2	1	1	1	2	2	1	2	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	2	2	1	1	2	1	4	1	2	2	1	2	2	2	2	1	1	2	2	2	1	1	2	1	1	1	1	1	1	2	1	2	1	1	1	1	2	1	1	1	1	2	1	1	2	1	4	2	3	1	1	1	1	4	1	9
4000	-824.380578806682934	-822.048722710977586	-2.331856095705366	0.000012044851216	0.000039177577178	3.252641022713850	0.709226512929584	0	2	2	5	5	5	8	9	10	10	11	11	12	12	14	13	13	14	15	15	14	14	18	17	18	14	15	17	17	16	17	17	16	16	18	19	17	18	19	19	18	18	19	20	19	21	21	22	22	23	23	23	24	24	23	25	26	27	27	27	28	30	29	29	29	31	33	33	32	31	31	34	32	35	35	34	33	37	36	37	37	39	41	0	1	1	2	2	2	5	6	8	8	9	9	10	10	12	11	11	12	15	26	14	16	34	16	18	14	21	16	17	15	22	22	22	11	24	25	27	30	31	20	27	30	34	24	37	40	43	44	45	37	46	47	49	49	49	51	56	53	55	56	57	58	60	59	61	64	69	71	70	65	64	77	66	71	70	70	66	75	72	75	79	80	81	1	1	1	1	1	2	2	2	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	2	2	1	1	2	2	1	2	2	1	2	1	1	2	1	1	2	2	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	1	1	1	2	1	1	3	2	2	1	1	1	1	1	1	4
4500	-771.411065166238586	-769.653422102226614	-1.757643064011954	0.000015478754690	0.000026857274008	1.735105604191111	0.731462820141377	0	2	1	4	6	6	7	9	11	11	12	10	12	12	13	13	15	13	14	15	14	14	18	16	15	13	16	18	16	16	16	16	17	17	17	19	17	18	19	18	19	20	19	20	20	22	22	22	22	23	23	24	24	24	25	25	27	28	28	27	28	30	28	29	29	31	33	31	32	31	33	34	32	34	34	34	33	37	36	37	37	40	41	0	1	1	2	4	2	5	6	12	8	9	8	10	10	12	11	11	12	15	26	14	16	34	16	18	14	21	16	17	19	22	22	22	11	24	25	27	30	31	26	27	30	34	24	27	40	43	44	37	45	46	47	49	49	49	51	56	53	55	56	57	58	60	59	61	64	69	59	70	65	64	77	66	68	70	70	66	75	77	75	79	80	81	1	1	1	1	2	2	1	2	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	1	4	1	2	1	1	2	3	1	2	1	3	2	2	1	1	2	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	1	1	2	2	1	1	4
