step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55
1	-703.309614388574118	-712.360457769025516	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.627496558670866	9	10	4	15	9	11	11	18	24	19	25	24	20	27	29	25	28	33	26	31	26	31	26	33	40	33	37	29	34	39	50	38	38	36	47	43	53	40	50	49	47	46	45	53	50	48	67	55	68	52	63	57	53	59	63	3	3	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-285.801209377478244	-294.852052757929584	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.958308797062308	5	7	-3	16	10	5	2	17	23	20	27	25	14	28	31	22	30	35	22	33	19	31	21	27	41	35	21	27	31	38	50	37	36	35	48	43	52	35	46	36	46	39	39	42	46	48	67	55	67	54	64	55	50	58	63	3	1	0	6	6	3	3	5	10	4	4	27	3	23	8	4	27	24	4	14	8	9	8	27	40	14	8	9	28	15	36	17	28	17	43	32	43	29	30	22	42	29	14	38	40	43	55	35	54	30	54	26	26	52	45	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-268.446184459635617	-277.497027840086957	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995809046834224	12	7	0	18	10	4	8	18	25	15	22	26	20	22	26	25	32	34	26	33	25	28	25	31	38	30	39	32	28	42	52	37	41	38	47	44	42	40	53	45	45	43	46	52	43	50	68	53	68	46	63	59	53	53	64	2	3	0	1	6	3	3	1	14	5	4	6	5	8	4	11	12	12	14	22	8	15	1	23	19	23	24	9	23	18	41	12	25	20	33	25	20	17	36	27	38	29	33	36	34	40	51	35	51	33	52	31	35	38	52	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-273.265184925935273	-282.316028306386613	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.971142020398696	10	14	2	16	8	11	8	16	27	21	23	18	20	27	30	27	28	32	28	32	25	27	26	28	41	33	38	31	30	28	45	41	36	39	42	43	52	40	44	39	46	44	37	54	47	50	69	58	62	47	62	59	50	57	61	3	1	0	6	3	5	3	6	13	5	6	8	5	13	21	12	10	21	13	14	4	10	2	10	27	21	26	22	14	10	43	43	26	24	19	27	41	20	29	28	40	27	15	31	25	42	48	37	54	35	45	41	35	45	46	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-287.023488107073092	-296.074331487524432	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994504490722548	12	6	0	17	4	8	11	15	27	10	21	28	20	18	25	28	32	28	18	26	24	26	24	35	40	36	32	28	33	39	49	39	34	32	48	36	50	39	43	44	45	43	33	47	48	40	69	55	66	46	56	58	44	52	51	2	3	0	2	3	5	3	6	14	6	1	13	6	8	4	7	21	19	8	19	13	14	14	27	26	27	12	23	16	17	41	33	17	15	32	17	25	43	38	38	33	24	23	39	42	33	52	44	52	39	55	45	32	50	38	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-272.669697150202808	-281.720540530654148	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999042262275365	7	9	2	15	9	8	14	15	18	17	27	22	18	24	23	26	22	32	23	32	29	26	25	35	39	31	36	24	32	34	43	31	37	37	44	40	54	39	45	46	48	48	43	50	53	50	67	56	61	53	55	59	54	56	65	3	1	0	6	3	3	6	1	5	5	28	8	5	13	9	9	8	23	4	22	14	14	9	22	21	17	16	4	28	28	33	10	26	26	29	24	35	29	31	31	30	40	25	31	43	31	53	42	41	35	41	53	35	37	37	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-289.350413689969173	-298.401257070420513	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.975903977055027	11	11	2	14	9	9	7	18	27	16	13	16	22	28	21	24	32	31	24	32	20	24	25	32	38	30	27	27	31	31	52	36	40	39	49	45	46	40	43	41	45	48	40	30	51	47	54	51	62	53	64	56	43	52	56	7	6	0	6	7	3	3	4	13	5	6	5	4	15	12	15	14	14	2	13	6	8	11	16	30	22	8	19	15	19	46	44	17	17	39	25	25	28	34	20	43	38	28	16	41	34	48	46	48	41	52	35	17	33	45	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-284.056194336566023	-293.107037717017363	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.954549996681933	7	12	4	17	7	12	14	19	23	20	23	25	21	22	24	25	28	31	21	23	25	32	29	28	38	28	31	31	32	34	44	39	38	34	46	42	50	36	51	42	50	43	40	45	49	47	61	54	61	48	64	56	56	51	54	3	5	0	3	3	3	1	2	4	7	4	9	2	7	5	15	9	9	4	10	8	9	14	13	23	15	21	15	12	23	43	30	9	9	18	25	31	26	35	22	44	25	30	25	29	40	41	22	54	40	47	41	54	40	35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-282.540475849177824	-291.591319229629164	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.982293924254378	12	12	6	15	9	14	10	17	21	19	22	25	18	30	22	28	18	35	28	29	23	33	26	33	42	28	34	22	28	33	47	39	40	35	36	42	54	36	53	45	48	44	41	54	49	46	59	45	68	48	53	58	56	59	63	5	7	0	1	3	7	3	5	4	5	17	17	1	28	9	11	2	16	9	21	17	15	6	2	34	10	16	2	11	15	18	34	38	16	16	18	25	12	50	43	32	32	24	25	40	36	51	25	47	42	50	51	41	40	41	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-289.602258505354826	-298.653101885806166	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.999081580844987	6	10	0	15	8	13	12	18	24	19	21	14	16	26	32	22	22	31	24	32	21	31	30	35	36	36	35	31	25	32	51	40	31	36	45	41	55	41	49	49	50	45	49	47	50	42	61	51	72	49	58	58	49	60	62	3	1	0	1	3	1	5	4	2	12	2	5	6	12	6	8	4	17	10	19	13	1	29	28	20	14	28	14	10	11	34	34	14	30	26	30	43	24	38	35	32	28	42	22	27	15	31	53	55	35	44	43	24	36	51	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
