step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86
1	-711.244202103644511	-720.295045484095908	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.361143291893587	0	1	4	3	2	3	3	8	5	5	4	3	4	6	7	9	4	5	6	4	9	4	7	7	6	5	7	7	8	7	6	12	7	7	8	8	8	11	7	8	12	9	9	10	11	9	11	11	11	11	12	14	12	11	10	11	10	11	11	10	11	14	11	11	13	17	14	13	13	15	14	15	14	13	15	14	20	14	15	16	18	17	19	22	20	20	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-289.707135119577231	-298.757978500028571	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989766228377500	-1	1	2	3	3	0	3	8	5	6	4	4	5	6	8	10	5	5	7	3	9	2	4	7	4	5	5	4	7	6	7	13	7	8	6	6	8	11	8	9	13	7	7	10	11	8	7	11	10	10	13	12	10	9	10	12	9	11	12	8	11	14	10	11	8	18	13	14	14	9	15	13	12	12	14	14	19	15	14	13	18	17	18	20	21	17	0	6	6	1	1	1	22	5	5	25	22	3	2	25	30	21	22	3	4	3	65	6	22	12	3	20	20	2	13	17	17	48	25	24	28	26	17	60	36	34	53	17	10	9	39	24	14	16	33	65	24	58	19	42	42	50	31	60	54	14	34	67	23	7	18	82	21	14	58	60	67	73	63	49	57	43	86	67	34	73	71	31	32	80	82	71	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-264.721203441058492	-273.772046821509832	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.958364718536499	-1	1	5	2	3	3	2	6	5	6	1	3	4	6	7	9	3	5	4	4	7	5	6	7	6	3	7	7	9	5	7	10	8	6	8	8	8	11	8	8	12	10	8	9	12	9	12	12	11	12	12	14	12	11	11	8	10	8	10	11	10	9	11	12	12	16	13	13	13	16	14	16	9	12	11	13	18	15	14	16	10	16	14	18	20	19	0	1	12	11	4	7	1	20	13	18	1	7	4	3	20	21	2	26	26	2	19	5	6	18	12	4	25	23	27	6	8	20	18	20	23	27	7	42	24	10	39	16	3	37	32	37	46	29	36	42	16	74	61	73	42	22	43	28	43	36	40	56	57	43	46	83	54	53	41	75	65	67	8	63	37	38	52	45	74	76	40	45	74	83	84	76	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-262.023308046095963	-271.074151426547303	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.986495851723860	1	2	5	3	2	3	3	9	6	6	5	4	4	7	7	5	5	5	5	5	10	3	7	8	6	4	6	8	8	8	7	11	7	5	8	8	7	12	8	7	9	9	9	10	12	10	12	9	10	11	13	14	9	10	11	12	11	8	11	6	9	13	11	12	12	17	14	11	12	15	13	15	13	13	13	14	19	14	15	13	19	17	19	23	17	20	0	1	2	1	1	1	1	14	13	18	26	22	4	27	16	1	5	4	26	22	26	1	3	27	17	7	4	13	31	34	26	54	9	7	27	11	19	35	10	34	31	30	39	29	61	36	43	28	36	41	45	65	15	28	30	22	43	60	27	16	33	54	23	43	54	75	74	8	18	47	43	73	48	8	63	57	52	62	74	61	70	32	82	83	67	80	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-256.220272553195571	-265.271115933646911	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994752803289006	-2	2	5	4	1	4	2	5	6	6	4	3	5	5	7	9	2	5	7	4	9	1	7	7	6	6	7	6	8	8	6	10	6	7	5	6	8	12	6	8	13	10	8	10	12	10	12	7	11	10	12	15	13	8	9	9	10	10	7	8	10	13	11	12	13	18	14	13	13	12	15	13	14	13	16	15	21	12	15	16	19	17	16	20	20	19	0	5	7	7	1	17	5	22	6	18	12	22	22	5	36	48	22	12	20	17	26	1	36	25	20	20	13	18	11	36	8	30	6	35	6	13	39	44	13	14	21	37	18	59	32	40	57	35	40	13	25	74	61	10	26	60	43	43	26	26	43	64	10	37	64	80	63	70	78	21	47	32	78	44	65	51	80	29	51	72	80	71	53	82	66	52	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-246.418057273810007	-255.468900654261347	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.992847828334727	0	1	4	3	2	2	4	7	6	5	4	3	5	5	5	10	5	5	6	4	10	4	7	7	6	4	6	7	8	7	6	12	7	8	8	8	9	7	8	6	12	9	8	11	12	9	11	9	9	12	13	12	13	11	9	12	10	12	12	10	9	13	10	12	11	18	15	11	13	16	13	12	14	13	13	14	21	11	14	16	19	16	17	16	18	18	0	1	6	5	1	2	5	26	18	20	4	6	20	26	5	34	6	4	10	5	48	1	9	25	26	6	10	3	27	14	3	63	15	14	15	18	33	15	30	4	65	28	20	42	63	23	48	19	31	63	52	54	78	60	29	28	27	61	57	23	19	78	55	54	46	83	53	37	60	67	44	61	72	41	72	59	82	34	32	72	67	50	32	69	80	76	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-242.794920546668180	-251.845763927119521	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994432497729272	0	2	5	3	1	3	2	9	5	5	4	3	4	6	7	8	4	4	5	3	8	5	7	7	7	5	7	7	9	6	6	13	5	8	9	8	6	10	4	8	7	9	10	10	11	10	11	11	10	12	12	13	12	11	6	11	9	11	11	8	9	14	9	11	13	16	14	10	13	15	14	16	14	14	16	14	18	14	16	13	17	18	17	23	17	19	0	1	13	5	1	5	1	30	17	39	5	2	6	17	3	25	7	4	13	7	25	5	55	10	9	1	33	33	25	10	13	64	20	14	25	23	33	16	5	41	10	28	57	63	44	16	46	19	40	8	44	58	54	60	22	49	15	38	42	41	15	51	31	29	49	65	56	36	43	78	50	78	54	69	67	32	32	59	44	29	70	71	69	82	70	79	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-256.545732750078002	-265.596576130529343	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997761092264538	0	2	5	4	2	3	4	7	5	5	4	4	4	3	7	8	2	6	7	4	8	5	8	8	7	2	8	5	6	8	7	13	8	6	8	9	8	12	7	9	11	8	10	11	10	9	10	11	10	10	9	13	10	11	11	10	10	9	7	9	11	14	11	12	13	16	14	7	14	16	15	12	13	12	10	12	16	14	14	15	18	17	20	23	14	20	0	1	6	5	1	17	2	3	2	14	17	17	6	17	22	6	1	13	13	14	59	12	9	68	10	1	10	26	20	34	13	54	14	12	12	30	22	30	3	16	51	22	35	37	30	35	23	50	34	27	59	64	36	21	59	30	24	30	9	21	47	38	25	57	72	71	52	9	49	52	85	50	48	53	30	47	71	61	65	74	66	67	77	83	65	65	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-260.218778925151355	-269.269622305602695	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.989602532956622	0	1	5	3	2	3	2	9	6	5	5	3	4	6	7	9	4	6	4	4	8	2	8	8	5	6	8	7	9	8	6	11	7	6	8	9	5	11	7	9	13	9	10	8	11	6	11	10	12	11	12	13	12	10	10	12	10	7	10	10	10	15	9	11	9	15	14	11	9	15	13	13	12	14	8	12	18	15	15	11	18	17	16	22	20	21	0	1	13	22	2	22	2	21	19	20	17	5	6	17	14	34	4	13	5	2	26	2	12	26	20	20	14	14	75	26	25	75	13	22	26	35	12	54	11	19	55	4	16	25	15	37	35	40	43	40	75	45	68	44	65	63	21	17	36	28	21	67	75	14	27	64	73	69	28	29	53	61	55	71	28	50	83	45	72	63	79	49	79	86	70	85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-249.154394913898841	-258.205238294350181	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.988440522139569	-1	1	4	4	3	2	4	9	6	3	4	3	4	6	7	10	5	6	6	1	8	5	5	8	6	6	8	8	8	8	6	11	6	7	7	8	9	10	5	7	12	7	9	8	12	10	11	11	11	7	10	14	13	11	10	10	11	12	12	9	11	13	9	11	13	15	13	12	13	13	8	13	14	11	13	14	19	14	14	17	17	16	16	23	16	20	0	1	20	2	20	1	5	29	17	2	6	20	1	13	11	25	4	39	3	1	18	12	10	42	11	10	19	18	19	9	11	56	3	14	22	26	71	15	4	39	17	3	35	18	55	60	56	37	37	14	21	54	54	71	63	30	63	34	16	28	56	57	29	38	57	45	48	64	48	32	35	61	45	71	56	63	81	41	55	67	65	76	78	77	52	81	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
