step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110
1	-2293.897684444135393	-2292.435602359616496	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.870634195143572	-1	1	1	1	3	3	2	3	3	5	4	5	6	6	6	6	6	7	9	9	8	9	8	9	9	9	11	11	11	12	12	11	12	11	13	14	12	13	12	13	15	16	15	14	15	15	15	16	15	15	17	16	16	16	17	15	18	18	16	17	16	17	18	18	18	19	19	19	19	19	18	19	19	19	20	19	20	23	21	22	21	25	23	23	23	23	26	27	29	29	32	34	33	35	35	37	37	36	37	40	37	38	39	40	42	41	45	45	47	49	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	3	3	3	4	4	4	4	4	4	5	5	5	5	5	5	5	5	6	6	6	7	7	6	7	6	7	8	7	7	7	7	8	9	8	8	8	8	8	9	8	8	9	9	9	9	9	8	10	10	9	9	9	9	10	10	10	10	10	10	10	10	10	10	10	10	11	10	11	12	11	12	11	13	12	12	12	12	14	14	15	15	17	18	17	18	18	19	19	19	19	21	19	20	20	21	22	21	23	23	24	25
500	-855.024907957877872	-853.056773939878326	-1.968134017999523	0.000010000559149	0.000022595581004	2.259431764449508	0.161786499120026	0	2	2	2	3	3	2	3	2	5	5	5	6	7	6	7	7	7	8	10	6	9	7	9	8	9	10	12	10	13	11	10	12	11	12	14	12	13	12	13	16	14	14	13	15	15	16	17	16	16	16	17	17	16	18	14	18	19	17	17	16	17	18	18	16	20	17	20	17	20	16	19	19	17	20	20	20	24	21	21	20	23	23	23	24	24	27	26	29	30	32	35	33	35	36	37	37	34	36	41	37	37	40	40	42	40	46	44	47	49	0	1	1	1	4	1	1	1	1	5	9	1	9	9	1	9	9	8	15	25	1	16	11	9	1	1	1	14	21	9	1	21	1	1	1	27	4	19	5	9	1	11	9	31	1	9	1	21	20	1	1	9	28	9	1	9	1	1	44	1	9	20	51	1	1	51	1	9	1	55	1	1	1	1	5	53	1	1	1	9	9	1	1	27	9	9	1	1	1	53	72	9	16	63	1	1	1	41	44	1	67	1	1	1	1	1	1	1	1	76	1	1	1	1	1	2	1	1	2	1	2	4	2	2	3	2	3	2	1	1	3	1	1	3	4	6	6	3	2	5	6	2	7	6	5	2	4	3	5	8	9	5	6	1	8	7	8	9	4	7	6	8	3	8	9	7	9	10	2	9	7	3	1	8	8	2	8	10	9	1	5	10	11	9	9	1	10	12	10	10	8	11	13	6	12	11	12	14	15	8	6	16	12	8	19	19	19	10	13	21	14	18	19	17	21	21	24	23	24	15
1000	-1068.738360125072404	-1066.604033854428053	-2.134326270644284	0.000009960226085	0.000026865007725	2.697228707144446	0.149130221805639	0	1	2	2	4	3	2	3	3	5	4	5	6	7	5	5	7	6	8	9	8	10	5	7	8	8	11	9	12	10	10	11	12	11	14	15	13	14	12	11	15	17	15	14	15	15	15	16	15	16	15	16	16	16	18	15	18	18	16	18	16	17	16	19	17	19	17	20	20	20	18	20	20	19	19	20	20	24	20	23	21	26	23	22	22	20	25	26	29	30	33	35	32	34	35	37	38	37	37	41	34	39	38	39	41	40	46	46	48	47	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7	8	15	18	1	1	3	3	1	1	9	13	11	1	1	28	27	1	9	27	1	14	21	1	30	48	31	28	1	1	1	1	33	18	40	1	39	1	29	1	1	1	20	35	1	36	29	52	43	35	1	1	40	42	54	1	1	1	1	53	25	1	1	25	1	30	1	1	48	1	1	1	1	46	88	44	75	41	56	1	1	55	1	1	1	25	1	1	1	1	48	1	1	66	1	1	1	1	2	1	1	2	2	3	2	3	4	3	2	3	3	2	2	1	5	5	2	2	5	5	4	2	5	6	5	1	1	4	5	2	10	4	2	3	3	1	2	2	8	7	6	10	1	5	2	7	2	8	4	6	8	7	3	2	8	1	1	2	1	4	6	10	7	1	1	11	11	10	10	2	7	12	9	7	10	13	9	8	3	8	11	12	13	8	4	11	6	9	15	19	19	9	10	21	10	17	17	17	20	21	23	23	21	14
1500	-1332.298922097686955	-1329.877783535791195	-2.421138561895670	0.000010032137899	0.000035289458559	3.517640897010036	0.160294533490570	0	2	1	1	3	2	2	3	3	5	4	5	6	6	6	7	5	8	9	8	8	8	7	10	9	10	9	10	10	12	12	11	12	11	13	12	13	13	12	14	14	17	15	14	15	16	13	16	15	15	18	17	17	16	16	15	18	18	16	18	15	17	19	19	18	20	19	20	18	19	18	19	19	19	19	20	21	24	22	22	21	23	24	23	23	24	24	28	28	29	32	35	33	35	34	37	37	37	36	39	37	37	39	41	43	42	46	45	47	48	0	1	1	1	7	1	1	1	7	7	1	9	3	10	1	1	1	17	23	14	11	1	12	20	21	1	23	22	22	16	17	21	1	27	32	27	10	2	32	9	16	21	38	14	1	37	1	9	38	17	20	25	3	1	1	31	1	30	56	35	1	48	62	52	43	64	59	22	1	61	45	22	1	9	10	46	68	1	17	50	17	10	79	1	1	50	1	81	1	47	67	89	88	12	1	9	1	48	1	1	89	76	1	87	1	20	1	53	1	54	1	2	1	1	1	1	1	2	1	3	3	1	3	1	2	3	2	2	1	1	3	5	1	1	1	5	1	1	1	2	3	2	5	1	1	2	4	5	1	6	3	5	1	6	9	3	5	9	1	7	7	6	8	8	5	2	10	2	1	2	6	1	1	1	2	1	2	8	8	3	2	8	9	9	7	3	1	12	9	3	12	11	1	12	7	7	12	5	13	8	7	5	3	12	14	19	20	11	11	20	7	7	16	15	22	19	23	24	22	15
2000	-923.112622440472933	-921.470025159958823	-1.642597280514139	0.000010018146445	0.000014588832812	1.456240721962141	0.182659811752291	0	2	1	1	3	3	3	3	4	3	3	5	6	6	7	6	6	8	9	9	9	8	8	10	10	8	11	11	11	11	11	11	11	10	13	14	13	13	11	14	15	16	12	15	15	14	16	15	16	15	18	16	17	17	16	15	18	19	17	15	16	16	19	18	16	20	20	18	19	19	18	20	18	17	20	19	19	23	21	21	19	26	23	23	20	23	26	27	29	29	33	32	33	35	33	37	37	36	38	41	37	39	39	40	43	42	45	45	48	49	0	1	1	1	1	1	1	1	8	1	1	1	1	7	10	1	3	14	15	16	22	1	8	13	22	1	1	9	6	1	13	8	1	1	22	1	1	5	20	29	30	46	1	24	1	37	1	30	23	31	1	1	41	1	37	1	1	60	50	35	1	34	51	52	1	60	74	1	1	54	61	30	1	1	51	71	68	22	1	65	1	77	79	31	1	1	32	87	1	35	84	89	83	71	1	1	1	56	85	1	89	1	1	1	1	81	1	1	1	77	1	1	1	1	1	2	2	2	1	2	2	4	4	2	3	3	3	1	1	1	1	3	3	3	2	4	6	4	4	5	4	4	4	3	1	9	6	5	1	2	2	1	6	2	8	1	7	1	4	2	9	7	1	7	1	6	10	3	2	1	7	3	1	1	6	2	1	9	8	1	1	5	7	5	2	1	1	8	11	2	10	6	1	8	7	11	10	1	13	9	6	2	5	7	15	20	20	10	8	19	6	15	17	12	22	14	24	25	24	12
2500	-842.000673880479894	-840.380684455509709	-1.619989424970185	0.000010214684840	0.000014314203705	1.401335814941830	0.163960904989701	0	1	2	1	4	3	3	3	4	6	4	6	5	7	6	5	6	6	9	9	8	10	8	9	9	9	10	10	12	12	10	11	12	11	13	13	10	12	13	11	15	15	13	13	15	15	16	15	15	15	17	16	16	15	17	12	18	18	16	16	15	17	19	19	19	20	19	19	20	20	19	19	19	19	20	20	20	23	20	23	20	25	23	23	23	24	27	27	29	29	32	34	34	34	33	37	37	37	37	41	37	38	39	40	42	42	43	45	48	49	0	1	1	1	1	1	4	1	1	1	6	1	3	9	1	1	1	5	1	16	16	1	9	1	16	1	1	10	28	21	1	28	1	27	22	1	1	27	31	9	30	15	32	24	22	37	30	30	34	56	1	1	24	1	37	31	1	60	56	45	22	12	51	52	1	43	56	1	1	53	18	1	28	56	40	52	60	48	1	65	1	1	79	1	54	31	79	84	1	59	32	89	58	50	1	1	9	86	1	1	95	1	1	81	1	81	1	1	1	91	1	1	1	1	2	1	1	2	2	3	1	3	2	2	3	3	3	1	6	3	2	6	3	5	3	6	4	3	1	2	5	1	5	1	1	6	5	2	2	3	2	5	1	2	3	3	2	1	2	2	7	7	4	8	5	1	8	1	2	1	3	5	1	2	7	3	4	9	9	2	8	7	5	4	3	2	3	4	11	2	7	10	2	9	4	10	5	3	14	6	11	3	7	9	15	19	17	5	10	18	3	18	16	12	20	12	25	23	24	10
3000	-1138.750117231248396	-1136.600633677472160	-2.149483553776269	0.000010229543884	0.000028012869077	2.738427968559338	0.188035027665436	0	1	1	2	3	3	2	3	4	6	4	5	6	6	6	6	6	8	10	10	8	10	8	9	10	9	10	12	11	12	13	12	12	10	13	14	12	14	12	13	15	16	15	14	14	15	14	17	16	15	17	16	15	17	18	14	18	17	16	17	15	17	19	19	19	20	17	19	18	20	17	18	18	19	20	19	19	23	21	23	19	26	23	23	20	23	27	27	29	30	33	34	33	36	33	38	37	36	37	40	36	38	39	37	42	40	45	45	47	48	0	1	1	1	1	1	1	1	4	7	1	9	3	1	1	1	3	15	1	15	14	1	4	5	16	1	1	20	26	23	1	12	23	13	22	33	9	31	19	14	30	39	17	28	29	37	23	29	44	56	1	1	29	9	39	32	1	21	56	45	35	30	69	30	1	40	56	35	1	51	9	1	28	50	69	53	38	30	1	42	9	9	79	81	1	1	81	84	1	72	14	89	8	79	1	1	1	69	27	1	95	1	1	9	1	1	1	1	1	99	1	1	1	1	2	1	1	2	1	2	2	1	3	3	2	2	2	1	5	2	1	6	5	3	2	5	6	1	1	2	7	3	2	2	1	2	4	1	1	3	2	2	6	1	3	2	4	2	1	1	4	8	1	8	4	1	9	4	1	2	2	2	1	4	10	3	2	3	8	2	6	9	2	2	1	3	4	6	10	4	8	12	1	1	5	10	5	3	9	8	13	3	15	7	14	19	15	10	15	22	2	19	19	13	23	12	25	23	26	5
3500	-1059.870021845927795	-1057.774559644123201	-2.095462201804513	0.000010169168803	0.000026364635359	2.592604751718342	0.184251341940684	0	1	2	2	3	3	1	2	3	6	4	5	7	7	5	4	6	8	8	9	8	9	7	9	10	7	11	11	11	12	12	12	12	11	13	14	11	14	11	12	16	17	15	14	16	14	15	15	14	13	17	16	16	16	17	15	19	19	17	17	17	17	17	18	17	19	20	19	20	20	18	19	19	19	19	19	21	24	20	23	20	26	23	23	21	23	26	27	29	30	32	34	34	35	35	38	35	37	38	41	38	38	40	40	43	41	45	46	47	48	0	1	1	1	1	1	1	1	3	1	1	1	3	4	1	1	3	23	1	17	16	21	16	23	1	9	3	23	14	1	1	18	14	14	1	33	15	20	5	19	30	26	17	2	44	1	30	28	14	15	40	1	26	12	46	39	1	18	50	45	45	13	1	38	1	15	13	54	40	76	18	30	31	59	32	46	18	30	1	65	31	1	79	81	1	1	84	81	1	79	68	89	12	63	1	1	1	67	14	1	95	1	1	1	44	1	1	1	1	93	1	1	1	1	2	2	1	1	1	2	2	3	4	4	3	2	2	1	4	1	2	1	1	1	6	1	5	2	2	6	6	2	2	2	5	2	2	3	5	3	2	6	4	7	1	3	1	1	3	2	3	8	4	6	2	2	10	7	2	1	1	5	7	2	8	7	6	2	4	1	7	3	4	1	2	1	7	8	11	4	4	12	1	2	6	12	2	4	9	6	5	2	15	8	17	19	15	9	15	22	3	20	20	13	18	11	23	23	26	7
4000	-1001.825504532986201	-1000.060671026245814	-1.764833506740380	0.000010916091994	0.000019131769172	1.752620734820715	0.160376566034277	0	1	2	2	4	3	2	4	4	4	4	4	6	7	6	6	7	8	7	9	9	9	6	8	9	9	11	12	10	12	12	10	13	12	13	13	10	14	11	12	16	17	15	15	15	13	16	15	15	15	15	16	16	16	15	14	18	18	17	17	16	17	17	18	17	18	19	19	19	19	17	18	18	19	20	20	19	23	21	22	22	24	24	23	23	23	25	28	28	29	30	34	33	36	35	37	36	36	38	41	36	38	38	39	42	42	45	45	44	49	0	1	1	1	1	1	1	4	3	7	1	1	1	10	1	1	1	7	23	10	16	1	1	9	16	1	1	4	23	1	1	2	1	24	21	1	5	37	14	1	30	55	1	8	35	1	38	30	26	56	40	9	50	35	1	13	1	1	50	35	30	19	1	23	1	15	1	61	40	53	29	1	65	59	51	42	35	48	23	73	67	1	79	31	1	23	84	1	1	33	88	89	33	91	1	1	1	21	23	1	88	1	1	65	44	31	1	1	1	105	1	1	1	1	3	2	1	1	1	1	2	2	4	2	3	2	4	3	1	3	2	5	2	2	2	3	6	5	3	6	7	5	4	2	2	5	5	3	2	7	4	1	6	5	1	4	1	2	3	1	2	8	1	1	7	3	9	7	1	2	2	5	10	4	10	7	9	1	4	2	4	5	1	2	4	1	3	4	9	2	1	11	2	5	7	11	1	7	10	9	2	3	9	4	18	17	11	10	16	19	3	19	19	16	16	18	26	25	26	3
4500	-1221.868033469921556	-1220.086782357060883	-1.781251112860704	0.000012716567483	0.000022796817606	1.792686401959731	0.202319108563379	0	2	1	2	2	3	2	3	4	5	3	5	5	7	6	6	6	7	9	9	9	10	7	9	8	10	11	11	11	12	10	11	12	12	12	15	11	13	10	14	15	17	15	13	15	15	16	16	14	16	17	17	17	15	17	14	18	19	16	16	16	15	19	18	16	18	20	18	17	20	18	20	19	20	21	18	18	23	21	22	22	24	23	24	22	22	26	28	30	29	31	34	32	35	35	35	37	37	37	40	36	39	40	41	40	40	43	46	48	49	0	1	1	1	1	1	1	1	2	1	1	1	3	9	1	1	3	12	1	14	1	25	7	1	11	23	1	13	16	1	13	18	27	1	21	1	1	15	10	24	21	45	24	21	9	1	41	16	39	28	1	9	59	35	1	9	1	61	3	35	54	38	9	1	1	40	1	54	29	54	29	52	31	53	51	69	61	48	1	73	79	1	67	81	21	20	81	59	88	54	73	88	87	84	9	1	23	58	1	1	88	32	38	86	1	1	1	62	1	7	1	1	1	1	1	1	2	1	2	3	2	2	2	1	5	4	2	1	4	1	5	2	3	5	2	2	3	3	3	5	2	2	1	4	1	9	5	3	3	2	3	1	3	3	6	7	1	3	2	3	7	6	1	3	8	5	8	1	6	2	1	1	9	8	10	2	10	1	5	4	3	1	5	2	2	1	1	4	10	2	1	8	1	2	5	8	2	7	2	7	9	2	4	5	16	13	13	11	17	19	4	17	18	14	18	13	24	21	25	21
