step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28
1	-990.777226575917211	-997.632714526876612	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.566341019851308	0	0	4	5	6	7	8	8	8	10	11	12	13	12	13	15	16	16	18	17	21	20	25	29	30	31	34	35	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3	4	4	4	4	5	6	6	7	6	7	8	8	8	9	9	11	10	13	15	15	16	17	18
500	-415.557346350340254	-422.412834301299654	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.426613965556006	1	0	4	5	7	8	6	8	8	10	12	13	14	12	11	14	16	15	18	17	20	21	24	30	30	31	35	34	2	0	2	2	2	7	3	3	3	8	10	15	10	6	10	8	3	12	13	15	17	21	0	0	0	9	16	9	1	1	2	2	3	1	1	1	2	2	1	1	2	2	1	4	5	1	3	2	2	1	1	1	1	10	14	11
1000	-239.516054518106898	-246.371542469066270	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.471194442857677	1	-1	4	4	7	7	9	8	8	10	10	12	14	11	13	15	15	15	18	17	21	20	23	28	27	32	35	34	2	0	2	1	1	4	3	6	6	8	8	8	12	6	10	12	12	8	16	15	18	19	0	0	0	18	25	25	1	1	2	1	3	2	2	1	1	1	1	2	1	1	2	1	3	3	2	2	2	1	1	1	1	9	7	4
1500	-216.694484078358244	-223.549972029317615	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.554108731080939	1	0	4	4	5	7	9	8	8	10	11	12	13	12	13	16	14	16	18	17	22	20	26	28	30	31	34	35	2	0	2	1	4	4	3	6	3	8	8	10	10	8	10	12	12	9	16	15	19	16	0	0	0	7	25	25	1	1	3	1	1	2	3	1	2	1	2	1	2	1	2	2	1	3	1	3	2	2	1	1	1	11	2	3
2000	-236.842489450290941	-243.697977401250313	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.505699625619379	1	0	3	5	6	7	9	9	9	10	11	12	14	11	13	16	15	16	18	18	21	20	26	30	30	30	34	33	2	0	1	3	4	4	2	6	1	6	6	8	11	6	12	12	14	10	16	17	12	8	0	0	0	9	25	25	1	1	1	1	1	1	4	1	3	1	2	2	1	2	1	2	3	3	2	3	3	5	1	1	1	10	2	2
2500	-236.817524476939354	-243.673012427898726	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.545447527691998	1	0	4	5	7	7	9	8	6	10	12	12	13	11	12	15	16	15	19	17	21	20	26	29	31	31	34	36	2	0	1	3	3	9	6	9	4	8	8	8	10	10	10	14	8	7	16	16	12	19	0	0	0	18	25	27	1	1	1	1	2	1	1	1	1	1	2	2	2	1	1	3	4	3	1	1	5	1	1	1	1	13	2	2
3000	-215.831901780249098	-222.687389731208469	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.545002573330388	1	0	3	6	7	7	9	8	8	10	12	13	13	12	13	15	16	17	18	17	21	20	25	30	30	31	34	35	2	0	1	3	3	4	4	2	3	6	10	6	10	4	10	8	12	13	14	13	19	16	0	0	0	8	25	25	1	1	1	1	2	1	1	4	2	2	1	2	1	3	2	4	2	2	2	2	2	2	1	1	1	9	3	2
3500	-234.906599871800779	-241.762087822760151	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.391017143914816	0	-1	4	6	4	8	8	8	7	11	10	12	13	12	14	16	16	16	17	18	21	21	26	30	30	30	35	35	2	0	1	3	2	9	9	9	4	8	8	6	3	3	12	12	12	14	12	18	16	19	0	0	0	3	25	25	1	1	2	1	2	1	1	1	1	2	1	3	5	3	1	2	2	2	2	1	2	2	1	1	1	11	2	2
4000	-238.769553270842920	-245.625041221802292	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.410295865528953	0	-2	4	4	6	7	9	9	6	7	10	12	13	11	11	16	16	16	18	18	22	21	24	29	29	30	34	35	2	0	2	2	2	9	4	6	1	3	8	10	8	9	8	14	12	14	16	17	19	19	0	0	0	5	25	25	1	1	3	3	3	1	4	1	3	1	1	2	2	3	1	3	1	2	1	1	2	1	1	1	1	11	2	2
4500	-213.925602507580322	-220.781090458539694	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.451097961336388	1	-1	4	5	6	7	8	8	9	11	12	10	13	12	14	15	17	16	16	15	22	19	25	29	29	28	34	36	2	0	1	3	3	3	4	6	2	7	8	8	11	12	6	10	11	11	10	13	19	19	0	0	0	9	25	25	1	1	1	1	1	1	2	1	5	2	2	1	1	1	3	1	2	2	2	1	2	1	1	1	1	8	2	4
