step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57
1	-4488.385426448041471	-4486.923344363523029	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.727708680521859	1	1	1	3	3	4	3	4	4	5	6	7	7	8	10	10	10	11	11	12	12	13	15	16	19	17	18	18	21	19	22	20	20	21	21	21	21	24	22	22	22	26	23	23	25	24	24	24	24	25	26	26	26	27	29	28	28	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	3	3	3	4	5	5	6	7	7	7	8	8	8	8	9	11	11	13	12	13	13	15	13	16	14	14	15	15	15	15	17	16	16	16	18	16	16	18	17	17	17	17	18	18	18	18	19	21	20	20
500	-711.731799101612410	-708.761689447377194	-2.970109654235224	0.000010024249234	0.000053787902799	5.365778677589709	0.220748432160810	0	1	1	3	3	3	2	4	4	4	5	6	7	5	10	9	10	11	10	12	11	10	14	16	19	14	18	18	21	18	22	20	20	21	21	20	20	24	22	22	22	26	22	23	25	24	24	24	24	24	26	26	26	27	26	28	28	0	1	1	7	1	7	3	6	7	6	10	14	11	10	13	14	13	13	10	15	19	12	13	22	14	22	22	16	19	24	22	22	26	22	22	24	22	22	22	22	19	26	16	22	22	12	22	22	22	22	26	26	23	22	0	22	41	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	3	3	2	5	2	1	4	5	5	10	3	5	7	7	2	9	7	4	7	8	2	8	13	10	9	10	10	13	11	15	15	12	9	14	12	12	11	10	14	1	15	4
1000	-586.877467535920346	-584.203153150020398	-2.674314385899906	0.000010001600979	0.000043217018594	4.321010074530134	0.176851461909510	0	1	1	3	3	3	2	4	4	4	5	7	7	7	10	10	10	8	9	11	12	12	15	13	17	14	18	18	21	19	22	20	19	21	21	21	20	24	22	22	22	26	23	23	25	24	24	24	22	25	25	26	26	27	29	28	28	0	1	1	7	1	7	3	6	4	6	10	10	11	10	11	10	14	13	12	11	19	14	18	22	12	24	26	26	26	27	33	28	27	26	10	33	26	24	26	32	32	33	16	25	22	14	22	26	16	22	35	26	37	26	0	25	41	1	1	1	1	3	1	1	1	1	1	1	2	2	2	4	5	2	1	2	6	2	4	6	1	7	1	4	4	5	1	2	2	1	6	13	1	3	8	5	2	2	5	12	6	11	17	9	8	11	9	4	9	6	11	1	9	4
1500	-346.686924750080607	-344.945618695540531	-1.741306054540098	0.000010072557744	0.000017076765488	1.695375288092051	0.386574217775999	0	1	1	3	2	3	2	4	4	5	6	7	7	7	9	10	10	11	10	12	12	12	14	13	18	14	18	18	21	19	21	20	20	21	20	21	19	22	22	22	21	26	23	23	25	24	24	24	24	25	26	26	26	27	29	28	28	0	1	1	7	1	7	3	6	7	8	10	10	11	10	13	12	12	15	14	15	19	14	20	22	24	24	26	26	26	28	33	25	28	28	26	35	25	31	29	31	37	29	33	41	44	26	39	41	37	41	49	37	49	41	0	44	54	1	1	1	1	1	1	1	1	2	1	1	2	1	2	2	1	2	2	3	3	2	2	2	1	4	1	2	3	3	1	1	2	2	3	6	1	1	1	1	1	2	4	3	2	2	9	2	3	3	4	1	6	2	3	1	5	1
2000	-331.026612343106308	-329.246713180021516	-1.779899163084798	0.000010230234331	0.000018305806900	1.789382951284350	0.653599537623210	0	1	1	3	2	3	2	4	4	5	6	6	7	8	10	9	10	9	11	10	12	12	15	14	19	16	18	18	19	19	22	20	20	21	20	21	18	24	22	22	21	24	23	23	22	23	24	22	24	24	26	25	26	24	29	25	28	0	1	1	7	1	7	3	6	4	8	10	10	11	12	18	12	14	11	14	18	14	14	15	22	26	24	26	26	27	28	33	37	29	30	29	33	24	33	33	35	32	33	29	41	37	26	39	41	45	37	50	32	56	41	0	45	56	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	3	2	3	1	1	4	2	3	2	2	2	2	2	1	1	2	2	1	2	1	1	3	2	1	2	1	2	2	2	2	5	2	1	1	4	1	4	1	2	1	3	3
2500	-261.879081033105365	-260.117272422744009	-1.761808610361381	0.000010099622204	0.000017626367085	1.745250141910669	0.756318644974252	0	1	1	3	1	3	2	4	4	5	6	7	7	6	10	10	8	11	11	12	12	13	15	16	19	17	18	18	19	18	22	20	20	21	21	21	20	24	21	22	21	26	23	23	25	24	24	24	24	24	26	26	26	27	29	25	28	0	1	1	7	1	7	3	6	7	8	10	14	11	10	13	14	14	15	16	18	19	16	20	22	24	24	26	26	26	24	33	29	29	30	29	33	29	33	33	35	37	43	33	41	37	39	33	44	44	41	49	45	56	56	0	44	54	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	1	1	1	1	1	3	2	3	1	1	1	1	2	2	2	1	1	2	1	1	1	3	1	1	1	1	2	2	2	3	1	1	1	1	2	1	1	2	1	2	1
3000	-265.002068850541548	-263.361930155903678	-1.640138694637890	0.000010415289417	0.000015105067221	1.450278203111743	0.622631442669148	0	1	1	3	3	3	2	4	3	5	6	7	7	6	10	10	10	11	8	12	12	13	14	16	19	17	18	18	19	19	22	20	20	21	20	21	20	22	22	22	22	23	23	23	24	24	24	24	24	25	26	26	26	27	29	27	28	0	1	1	7	1	7	3	6	7	8	10	14	11	10	11	14	14	15	14	15	19	16	20	22	24	24	26	24	28	28	33	29	29	30	29	29	29	33	33	35	37	38	29	37	37	39	39	44	44	45	49	45	45	53	0	45	54	1	1	1	1	2	1	1	1	1	1	1	1	1	1	3	2	3	1	2	2	3	3	2	2	2	1	1	2	1	1	2	1	1	2	1	2	1	2	1	2	2	1	2	2	3	2	2	1	1	1	2	1	1	1	1	2	1
3500	-273.165174152106658	-271.347770946462219	-1.817403205644450	0.000010069382984	0.000018943869840	1.881333729113746	0.720246470232501	0	1	1	3	3	3	2	4	4	5	6	7	7	6	9	9	7	11	11	12	12	13	15	16	19	17	18	17	19	18	22	20	20	21	20	20	20	23	22	22	22	23	21	23	24	24	24	23	24	25	26	26	26	27	29	28	27	0	1	1	7	1	7	3	6	4	8	10	14	11	10	11	14	14	15	16	18	16	19	18	22	24	24	26	24	26	28	33	29	29	30	29	29	29	33	43	35	37	33	33	37	37	39	39	37	44	44	49	45	45	53	0	53	53	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	2	2	2	2	3	1	1	1	1	1	2	1	1	2	1	1	1	2	1	2	2	2	1	2	3	1	2	1	1	1	1	2	2	1	1	1	1
4000	-269.021379291397125	-267.297765765996530	-1.723613525400588	0.000010708174927	0.000017694559135	1.652434635669781	0.689081417316109	0	1	1	3	3	3	2	4	3	5	6	7	7	6	10	9	10	11	11	12	12	12	15	14	19	17	16	18	19	19	22	20	20	21	20	21	21	24	22	22	22	25	22	23	25	23	24	24	24	25	25	26	25	26	29	28	28	0	1	1	7	1	7	3	6	7	8	10	14	11	10	11	12	14	15	16	18	19	16	20	22	26	24	24	26	26	26	33	29	29	30	29	33	32	39	33	35	37	40	33	37	37	43	39	44	44	44	49	41	41	53	0	53	54	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	1	2	3	1	2	2	1	1	1	1	2	1	1	2	1	1	1	1	2	2	1	2	2	2	3	1	2	1	1	2	1	2	2	1	1	2	2
4500	-291.414310803020328	-289.595413873884979	-1.818896929135358	0.000011109201566	0.000020940959672	1.885010326617447	0.571906788487938	-1	0	1	3	3	3	2	4	4	5	6	7	7	6	10	10	10	10	11	12	12	13	15	16	19	17	18	18	19	19	22	19	20	21	20	20	21	21	22	22	22	26	23	23	25	24	24	24	24	25	26	25	25	26	28	28	27	0	1	1	7	1	7	3	6	4	8	10	14	11	10	11	12	12	13	14	15	19	12	20	22	24	24	24	24	28	28	33	26	29	30	32	29	33	33	33	35	37	29	38	37	41	39	39	41	37	41	49	48	41	41	0	53	53	1	1	2	1	3	1	1	1	1	1	1	1	1	1	2	2	3	2	3	2	1	5	2	2	2	1	1	2	1	1	2	2	1	2	1	1	1	1	2	2	1	4	2	2	2	2	2	2	3	2	1	1	2	2	1	3	1
