step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24
1	-1470.801549454584801	-1477.657037405544088	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.832232776094926	1	4	6	8	8	10	8	9	13	11	13	11	12	12	13	14	17	19	20	19	20	21	21	22	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	4	5	4	4	6	5	6	5	6	6	6	7	8	9	10	9	10	10	10	11
500	-175.379263866903784	-182.234751817863156	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.522733341005032	1	5	6	7	9	10	8	9	11	11	13	11	10	12	14	14	17	19	20	19	18	22	22	21	0	0	2	1	3	7	4	3	5	8	4	2	4	8	14	5	14	12	20	17	10	19	18	18	1	1	1	3	1	1	1	2	2	1	4	3	2	2	1	2	2	3	1	1	2	1	2	1
1000	-195.607887822530699	-202.463375773490071	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.552946249163486	0	4	7	7	9	11	9	9	14	11	14	11	13	13	14	13	17	19	20	19	19	22	21	22	0	0	2	1	2	7	4	3	16	3	13	8	4	2	16	3	14	12	20	17	10	17	18	18	1	1	1	2	3	1	2	1	1	2	1	1	2	6	1	4	2	3	1	1	2	3	1	2
1500	-187.285918745395918	-194.141406696355290	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.485300562725478	1	4	6	6	9	11	8	9	13	10	14	12	12	11	13	14	16	19	20	16	20	21	21	22	0	0	2	1	2	7	4	3	3	8	13	14	4	8	14	8	14	12	20	14	9	17	18	18	1	1	1	2	2	2	1	2	5	1	2	1	3	1	1	3	3	5	3	3	2	2	1	2
2000	-177.686094253394032	-184.541582204353404	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.579215375532816	1	4	5	7	8	10	8	8	12	12	14	12	11	11	13	14	17	18	20	19	19	19	22	21	0	0	2	1	3	7	4	3	5	8	13	14	4	2	14	9	14	14	17	14	10	17	18	18	1	1	1	2	2	2	1	2	2	2	1	1	2	4	1	1	4	3	2	3	3	1	3	1
2500	-191.561729611989222	-198.417217562948593	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.683657009379057	0	4	6	7	8	10	8	10	13	12	13	11	11	13	14	15	17	19	20	18	17	20	21	22	0	0	2	1	3	4	4	5	3	8	13	2	4	2	14	14	14	12	20	14	10	20	18	18	1	1	1	2	1	2	1	1	3	1	2	2	1	4	1	2	2	3	1	3	2	1	1	2
3000	-193.760091534457445	-200.615579485416816	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.456336585922111	2	3	6	7	7	11	9	10	13	12	12	12	13	11	13	13	17	19	20	20	19	20	21	21	0	0	2	1	2	7	4	3	3	5	4	14	4	5	14	3	14	14	17	17	10	17	18	12	1	1	2	2	2	1	1	2	2	4	2	1	3	2	1	3	3	5	2	2	4	2	1	5
3500	-186.213909014138466	-193.069396965097837	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.651075281651490	2	5	6	6	7	10	8	9	14	12	13	12	12	11	13	14	18	19	21	19	20	22	21	23	0	0	2	1	3	7	4	5	8	5	13	14	4	5	14	2	14	12	20	17	16	17	18	18	1	1	1	1	1	2	1	1	3	4	1	1	3	2	1	5	3	3	1	1	3	2	1	1
4000	-180.267547102126429	-187.123035053085800	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.621844890336983	1	4	6	5	8	10	8	9	14	11	13	12	12	10	13	15	17	19	20	19	19	19	21	22	0	0	2	1	3	7	4	5	5	5	13	14	4	2	14	3	14	14	17	17	10	14	18	18	1	1	1	2	1	1	2	1	3	1	1	1	3	2	1	3	4	4	1	1	3	4	2	2
4500	-175.418952545708009	-182.274440496667381	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.500761203877871	1	5	6	7	8	11	8	9	12	11	13	11	12	10	13	14	17	19	19	19	21	21	21	23	0	0	2	1	3	4	4	3	5	5	4	14	4	2	14	8	14	12	17	17	16	14	18	18	1	1	1	3	1	2	1	2	2	1	2	1	2	2	2	2	3	4	1	1	3	4	2	2
5000	-189.978468050352262	-196.833956001311634	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.650462538335725	2	4	7	6	8	10	9	10	11	11	14	12	12	10	14	14	17	20	21	18	20	21	22	21	0	0	2	1	2	7	4	3	8	5	13	14	4	5	14	2	15	15	17	17	10	17	18	18	1	1	2	2	3	1	1	2	1	2	2	1	4	2	3	5	1	3	2	1	4	2	2	1
5500	-172.886178629965343	-179.741666580924715	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.617562109348592	2	4	7	7	8	9	8	10	13	11	13	12	12	9	12	12	17	19	20	19	20	22	21	22	0	0	2	1	3	7	4	5	5	5	13	14	4	3	14	5	14	12	20	17	10	17	18	18	1	1	2	3	1	1	1	1	3	2	1	2	2	1	1	2	3	3	1	1	3	2	1	3
6000	-172.681502158240647	-179.536990109200019	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.476162169738911	2	4	7	8	9	11	9	9	12	11	14	12	12	10	14	13	15	18	20	19	19	22	20	21	0	0	2	1	3	7	4	3	8	3	13	14	4	2	14	14	14	12	17	17	10	17	18	18	1	1	2	3	1	1	1	2	1	1	1	1	2	3	2	2	3	3	2	2	4	3	1	1
6500	-184.060252520992066	-190.915740471951437	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.434887189539307	2	3	7	7	6	10	8	9	12	11	14	12	11	11	13	14	17	20	21	19	21	21	21	22	0	0	5	1	2	7	4	5	3	8	13	14	4	8	14	9	9	12	20	17	10	17	18	18	1	1	1	1	2	1	1	2	3	1	2	1	3	1	1	1	2	4	1	1	4	3	1	1
7000	-170.292596244024537	-177.148084194983909	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.613625800089274	2	4	6	8	9	10	9	10	13	12	13	12	12	12	13	14	18	17	20	19	20	20	21	21	0	0	2	1	2	4	4	3	8	8	13	5	4	5	14	8	14	12	17	17	10	14	18	18	1	1	1	3	3	1	1	1	2	1	1	1	2	2	1	2	2	3	1	1	2	3	2	2
7500	-164.936052960859513	-171.791540911818885	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.480242202675063	1	4	6	8	9	11	9	9	11	11	13	12	12	11	13	14	18	19	21	19	21	21	21	21	0	0	2	1	3	7	4	3	3	8	4	14	4	8	14	8	14	12	17	17	10	17	18	18	1	1	1	4	2	2	1	2	2	1	3	1	2	1	1	2	4	4	1	1	3	1	1	1
8000	-169.666362688185075	-176.521850639144446	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.535487379268268	1	5	7	8	8	10	9	9	14	11	14	11	13	10	12	14	18	19	21	20	21	20	21	22	0	0	2	1	3	4	4	3	5	8	13	14	4	2	14	5	14	12	20	17	9	14	18	18	1	1	1	3	1	1	1	1	3	1	1	1	2	2	1	3	4	4	1	1	4	6	1	2
8500	-175.081713958612454	-181.937201909571826	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.626388593362104	2	4	6	7	8	11	8	10	12	12	12	12	12	10	14	14	17	19	19	20	20	19	21	22	0	0	2	1	3	7	4	5	8	8	4	14	4	2	14	8	14	14	17	19	10	17	18	23	1	1	1	2	1	1	1	1	1	1	2	1	2	4	2	2	3	4	1	1	4	1	2	1
9000	-170.598176673132997	-177.453664624092369	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.624493927907714	1	4	6	7	8	11	8	10	12	12	13	12	12	11	14	12	17	19	20	19	19	21	21	23	0	0	2	1	3	7	4	3	5	8	4	14	4	2	14	3	14	12	17	17	10	17	18	18	1	1	1	2	1	1	1	2	2	2	2	1	3	3	1	3	2	4	1	1	4	2	1	2
9500	-163.248607361227272	-170.104095312186644	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.422726537115737	0	4	6	8	8	11	9	10	13	12	13	12	12	10	11	13	17	20	20	19	21	21	21	22	0	0	2	1	3	7	4	3	3	8	4	14	4	2	14	5	14	12	20	17	9	17	18	18	1	1	1	4	1	1	1	2	4	1	2	1	2	4	1	2	4	4	1	1	5	2	1	1
10000	-170.670581554063801	-177.526069505023173	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.527599529037664	2	4	6	8	9	11	9	9	14	11	14	12	12	11	13	14	18	20	21	19	20	22	21	23	0	0	2	1	3	7	4	2	5	3	4	14	4	2	14	3	14	17	17	17	10	17	18	18	1	1	1	3	1	1	1	3	2	2	3	1	2	4	1	4	3	1	1	1	3	2	1	1
10500	-160.425852450460098	-167.281340401419470	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.522231642552411	2	4	6	7	8	9	8	9	13	12	12	12	11	11	13	14	17	19	21	18	20	21	21	22	0	0	2	1	3	4	4	3	5	8	13	14	4	8	14	9	14	12	20	17	10	17	18	18	1	1	1	3	2	1	1	2	2	2	1	1	2	1	1	1	2	4	1	1	4	2	1	1
11000	-176.737804648597347	-183.593292599556719	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.704773161976751	2	4	6	6	9	10	8	9	14	11	13	12	11	11	13	14	18	19	20	20	18	20	22	21	0	0	2	1	2	7	4	3	5	5	13	14	4	5	14	10	14	12	17	17	10	17	18	18	1	1	2	2	3	1	1	1	2	1	2	1	3	1	1	1	3	3	1	1	3	2	1	1
11500	-161.929950259945741	-168.785438210905113	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.567054704559869	2	4	6	7	8	10	8	9	12	11	14	12	12	10	13	13	17	19	21	19	19	20	21	21	0	0	2	1	3	7	4	3	5	8	13	14	4	2	14	5	14	12	22	17	10	17	18	18	1	1	1	2	1	1	1	2	2	1	1	2	2	3	2	3	3	3	1	1	5	1	1	1
12000	-175.600081321017797	-182.455569271977168	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.562811933236398	1	3	6	7	7	10	8	9	14	12	14	12	11	11	13	14	18	19	20	20	20	22	22	22	0	0	2	1	2	7	4	5	5	3	13	14	4	5	14	8	14	12	9	17	10	19	18	18	1	1	2	3	2	1	1	1	3	3	2	1	2	2	1	3	4	2	2	1	4	2	1	2
12500	-166.660508947123645	-173.515996898083017	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.444449483072719	0	5	6	8	7	9	9	10	14	11	13	12	12	10	14	14	17	19	20	19	20	20	22	21	0	0	2	1	3	4	4	3	3	8	4	14	4	2	14	3	14	12	17	17	10	14	18	18	1	1	1	4	1	1	1	2	4	1	3	2	2	3	2	4	3	4	2	1	4	5	2	1
13000	-172.068200684805561	-178.923688635764933	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.518612102101530	2	5	7	7	9	11	9	10	13	12	14	11	12	9	13	14	17	19	20	19	20	21	22	22	0	0	2	1	3	7	4	3	5	8	13	14	4	2	14	10	14	17	20	17	10	17	18	18	1	1	1	2	2	1	1	2	2	2	1	1	2	2	2	1	4	1	1	1	3	3	2	2
13500	-180.548746643783431	-187.404234594742803	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.520039391853305	2	3	6	7	8	11	8	9	12	12	13	12	13	10	13	15	17	19	20	19	20	20	21	22	0	0	2	1	3	7	4	2	8	8	4	14	4	2	14	3	14	12	17	17	16	15	18	18	1	1	1	2	1	2	1	3	1	2	4	1	2	3	2	4	4	3	2	1	3	3	1	2
14000	-176.706698884954875	-183.562186835914247	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.541835687517261	0	4	6	8	8	10	9	9	14	10	12	12	9	11	14	14	16	18	21	19	18	21	21	20	0	0	2	1	3	4	4	5	8	5	4	14	4	5	14	5	15	12	20	17	16	14	18	18	1	1	1	4	1	2	1	1	2	1	1	1	1	2	2	3	1	3	1	2	2	5	2	1
14500	-180.463020848970501	-187.318508799929873	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.667630757369459	1	5	6	7	8	10	8	9	13	12	13	11	11	10	12	14	17	17	21	19	19	21	22	23	0	0	2	1	3	7	4	5	8	3	13	14	4	3	12	9	9	12	20	17	10	17	18	23	1	1	1	3	1	1	1	1	2	2	1	1	1	2	1	1	2	2	1	1	3	2	2	1
15000	-170.877540638660236	-177.733028589619607	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.736044887078159	0	4	6	7	7	10	9	10	13	12	14	12	12	11	14	14	18	19	21	20	19	20	21	23	0	0	2	1	3	7	4	5	8	3	13	14	4	8	14	9	14	12	17	17	10	17	18	23	1	1	1	3	1	1	1	2	2	2	1	1	3	1	2	1	3	3	2	1	2	1	2	1
15500	-178.824585763865429	-185.680073714824800	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.541004056414713	2	3	7	6	7	10	9	9	12	12	11	12	12	11	13	15	17	19	21	19	18	21	20	22	0	0	2	1	2	7	4	3	8	3	4	14	4	5	14	8	14	12	20	17	10	17	18	18	1	1	2	2	2	1	1	2	1	3	2	1	3	2	1	3	3	3	1	2	2	2	1	1
16000	-180.376672209470172	-187.232160160429544	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.672834285820125	1	4	6	6	8	10	8	8	12	11	13	12	10	10	13	14	18	17	21	19	20	20	21	22	0	0	2	1	3	7	4	3	8	5	13	14	4	5	14	8	14	12	20	17	16	17	18	18	1	1	1	3	1	2	2	1	1	1	2	1	2	1	2	3	2	3	1	1	3	1	2	3
16500	-172.752072987187347	-179.607560938146719	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.590048385448157	1	4	5	7	9	10	8	10	12	11	13	12	9	11	13	14	18	19	21	19	20	22	21	21	0	0	2	1	3	7	4	3	5	5	4	14	4	2	14	8	14	12	20	17	10	17	18	18	1	1	1	3	1	1	1	2	1	1	4	1	1	3	2	3	3	3	2	1	4	2	1	1
