step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66
1	-11195.779314655146663	-11194.317232570627311	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.351767361217731	0	1	1	2	2	5	4	4	5	5	5	6	6	6	7	8	9	9	8	9	12	9	10	10	9	10	11	11	11	12	13	13	13	13	14	13	14	15	17	17	16	18	20	19	19	22	19	23	20	21	24	26	25	27	26	30	30	31	33	34	37	38	42	43	45	46	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	3	3	3	3	3	3	4	4	5	5	4	5	6	5	5	5	5	5	6	6	6	6	7	7	7	7	7	7	7	8	9	9	8	9	10	10	10	11	10	12	10	11	12	13	13	14	13	15	15	16	17	17	19	19	21	22	23	23
500	-1524.558748986978799	-1521.052330514735331	-3.506418472243525	0.000010000458313	0.000075908159698	7.590468088878522	0.206272122226327	0	1	1	2	2	5	4	4	5	6	5	7	5	7	8	8	7	9	8	10	11	9	10	11	8	10	12	12	8	13	12	13	14	11	15	12	14	12	17	17	17	15	20	18	19	21	20	24	17	21	24	26	26	27	27	31	29	31	34	35	38	39	43	44	46	47	0	1	1	3	3	3	4	4	5	7	7	8	5	7	3	11	10	13	14	25	16	13	19	19	11	17	20	19	13	24	26	27	29	0	29	29	0	0	36	0	29	0	40	0	36	38	35	40	38	38	38	42	49	49	49	49	42	49	49	49	49	49	49	51	46	46	1	1	1	1	1	2	2	1	2	2	1	2	2	2	3	2	1	2	1	2	1	3	1	1	2	1	2	1	1	1	1	1	3	1	3	2	1	1	1	1	7	1	1	1	4	9	4	5	3	6	11	9	7	6	8	12	14	10	16	14	14	20	17	18	19	21
1000	-1306.840998026816123	-1303.128687480224016	-3.712310546592088	0.000010021081990	0.000085882391278	8.570171500845543	0.250801445156798	0	2	1	2	3	6	3	4	5	5	4	7	5	5	8	7	9	10	8	10	13	9	10	10	9	10	11	12	11	12	14	13	13	14	14	13	13	13	16	18	17	19	20	20	19	19	20	23	17	22	25	26	25	27	23	30	31	31	34	35	38	38	43	43	45	46	0	1	1	3	3	3	4	4	3	7	7	8	5	7	3	11	10	13	14	25	16	13	19	19	16	17	20	23	13	24	26	27	29	0	29	29	0	0	29	0	35	0	40	0	41	38	41	44	38	49	49	49	49	49	49	49	49	49	49	46	52	49	52	46	46	46	1	1	1	1	1	2	1	2	2	1	1	1	1	1	5	1	2	2	2	1	2	2	1	1	1	1	1	1	3	1	2	2	2	1	2	1	1	1	2	1	3	1	1	1	2	6	2	1	2	4	7	4	6	5	3	10	11	9	11	12	9	19	10	17	17	18
1500	-1233.904275311327183	-1230.910336201706741	-2.993939109620399	0.000010086294270	0.000055023549343	5.455279002368397	0.337204963097168	-1	0	1	2	3	5	3	5	6	4	5	7	6	6	8	7	9	9	7	9	13	10	10	9	8	10	10	12	11	11	13	12	14	12	14	13	15	16	17	18	17	16	20	20	19	21	20	23	17	19	24	23	26	28	25	30	31	32	34	34	37	38	43	43	46	47	0	1	1	3	3	3	4	4	5	7	7	8	3	10	6	11	10	13	7	25	16	13	19	19	16	17	20	23	13	24	26	27	29	0	29	29	0	0	36	0	29	0	40	0	41	49	41	44	42	42	49	49	49	55	49	52	52	51	52	52	59	51	59	51	51	51	1	1	1	1	1	3	1	2	2	1	1	1	2	1	3	1	3	2	2	1	3	2	2	2	1	1	1	1	3	1	2	1	1	1	2	1	1	1	2	1	2	1	1	1	1	3	2	2	1	2	7	3	5	2	4	5	6	7	8	7	2	13	6	13	17	12
2000	-1217.995011674102898	-1214.598959581706822	-3.396052092396025	0.000010134594930	0.000071906829806	7.095185382374796	0.380740622873817	-1	0	0	2	3	6	3	5	5	5	5	6	6	7	7	8	9	10	8	9	12	8	10	10	10	11	11	12	11	12	13	14	12	13	14	13	13	15	18	17	16	16	21	18	20	22	19	22	17	20	23	23	25	26	26	30	29	32	33	35	37	37	42	42	46	46	0	1	1	3	3	3	4	4	5	7	7	8	5	10	6	11	10	22	14	16	16	13	19	19	20	17	20	23	13	24	26	27	29	0	29	29	0	0	29	0	35	0	40	0	41	50	41	44	42	42	49	49	49	51	51	52	52	56	52	57	59	57	62	53	51	51	1	1	1	1	1	3	1	2	1	2	1	1	1	1	1	2	2	1	1	1	2	1	2	1	1	1	1	1	2	2	2	2	1	1	2	2	1	1	4	1	2	1	1	1	2	1	2	2	1	1	4	4	5	1	2	4	4	2	6	2	1	5	4	10	13	11
2500	-1151.964294930575079	-1148.201198414801866	-3.763096515773309	0.000010492878729	0.000092582603064	8.823374924580014	0.547349105878240	-1	1	1	2	3	6	4	4	4	6	6	6	6	6	8	8	8	8	8	9	13	10	10	10	10	9	11	11	11	12	13	13	13	13	13	14	15	15	17	17	15	18	21	19	20	22	19	23	20	21	23	26	26	27	26	29	30	32	33	34	36	37	42	43	45	46	0	1	1	3	3	5	4	4	5	7	7	8	3	7	6	11	10	13	14	16	16	18	19	19	20	17	20	23	18	24	26	27	29	0	29	29	0	0	36	0	35	0	40	0	41	50	41	44	42	42	49	51	49	51	51	52	52	57	57	58	59	59	62	43	43	43	1	1	1	1	1	2	1	1	1	1	2	2	3	1	1	1	1	1	1	1	3	1	1	1	1	1	2	1	2	1	3	1	1	1	1	2	1	1	2	1	1	1	2	1	2	1	2	2	1	2	3	2	3	2	2	1	3	1	2	1	2	3	3	10	10	10
3000	-1221.351703587820339	-1216.913867046153200	-4.437836541667062	0.000010564927504	0.000133746893638	12.659518353321461	0.531796768953527	-1	1	1	2	2	3	4	3	6	5	5	6	5	6	8	8	7	9	8	9	13	9	10	10	10	9	11	12	11	11	13	14	13	14	14	12	14	14	17	18	16	18	21	18	19	22	18	22	20	21	24	26	25	27	27	30	31	32	34	34	37	38	42	43	43	45	0	1	1	3	3	3	3	4	3	7	7	8	3	7	6	11	10	13	14	11	16	13	19	19	20	17	20	23	22	24	26	27	29	0	29	29	0	0	29	0	35	0	40	0	41	50	41	44	42	42	49	51	51	51	51	52	52	57	57	58	59	59	62	3	40	40	1	1	1	1	1	1	2	1	2	1	1	2	1	1	2	2	1	2	1	2	2	3	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	3	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	2	2	2	1	2	1	1	2	2	16	11	13
3500	-1192.384165702116434	-1188.804303549719634	-3.579862152396735	0.000010930987944	0.000086698768103	7.931466812431778	0.430501899576123	-1	0	1	2	2	6	4	5	5	5	6	7	6	5	4	7	9	8	8	8	11	10	10	10	9	10	10	12	11	12	13	13	13	13	14	13	14	15	17	18	16	18	20	19	20	23	19	23	19	21	24	27	25	27	24	30	29	32	33	34	36	39	43	44	46	47	0	1	1	3	3	15	4	4	5	7	7	8	5	7	3	11	10	13	14	16	16	13	19	19	20	17	20	23	22	24	26	27	29	0	29	29	0	0	36	0	35	0	40	0	41	50	41	44	42	42	49	55	51	51	49	52	52	57	57	58	59	59	62	51	22	46	1	1	1	1	1	1	1	2	2	1	2	1	2	1	2	1	3	1	2	1	2	3	1	1	1	1	1	2	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	2	2	2	2	1	2	3	2	1	2	3	2	1	1	2	1	2	3	2	13	13	14
4000	-1134.155233388412171	-1130.548738160016910	-3.606495228395223	0.000011906393541	0.000095934839713	8.057422206349960	0.524290637066078	-1	1	0	2	2	5	4	4	4	5	5	6	5	6	8	7	9	9	8	9	13	9	10	10	10	11	11	11	11	13	14	14	13	13	14	12	14	15	18	18	16	18	20	18	20	22	20	23	20	20	25	26	26	27	26	29	30	31	33	33	37	38	42	42	44	47	0	1	1	3	3	3	4	4	5	7	7	8	3	7	6	11	10	13	14	16	16	13	19	19	20	17	20	23	13	24	26	27	29	0	29	29	0	0	36	0	35	0	40	0	41	50	41	44	42	42	49	51	51	55	49	52	56	57	57	58	59	61	62	13	13	13	1	1	1	1	1	2	1	1	1	1	1	1	3	1	2	1	2	2	1	1	3	2	2	1	1	1	1	1	3	2	2	2	1	1	2	1	1	1	3	1	1	1	1	1	2	1	2	2	1	1	3	1	1	1	3	2	1	1	2	1	2	1	2	13	11	23
4500	-1128.997497655600000	-1125.764999786574208	-3.232497869025827	0.000015089876123	0.000096542707036	6.397846228195784	0.470278142435208	-2	1	1	2	2	6	4	4	6	6	6	6	6	5	5	7	9	9	8	9	12	10	9	9	10	10	10	12	10	12	13	13	12	13	14	13	13	15	16	16	15	18	19	18	19	22	20	23	20	21	23	26	26	27	26	29	30	31	33	34	37	39	42	44	43	46	0	1	1	3	3	15	4	4	5	7	7	8	5	7	4	11	10	13	14	16	16	18	19	19	20	17	20	23	13	24	26	27	29	0	29	29	0	0	36	0	35	0	40	0	41	50	41	44	42	42	49	51	51	55	51	52	52	57	57	58	59	61	62	37	43	34	1	1	2	1	1	1	1	1	2	2	1	2	2	1	1	1	3	1	2	1	2	1	1	1	1	1	1	2	2	2	2	1	2	1	2	2	1	1	1	1	1	1	2	1	2	1	3	2	1	2	3	2	2	1	2	2	2	1	2	2	2	1	1	17	12	17
