step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58
1	-1909.193893919021093	-1916.049381869980380	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.090597726397059	0	1	2	2	5	3	3	4	4	4	5	5	5	8	6	6	7	6	7	8	7	8	8	9	9	9	10	9	11	10	12	11	12	12	12	13	12	13	14	15	13	14	14	14	15	17	15	17	15	15	16	16	16	17	18	17	18	18	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	4	3	3	3	3	3	4	4	4	6	5	5	6	5	6	6	6	6	6	7	7	7	8	7	8	8	9	8	9	9	9	10	9	10	11	11	10	11	11	11	11	13	11	13	11	11	12	12	12	13	13	13	13	13
500	-1065.053641540362833	-1071.909129491322119	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.132673770463429	0	1	2	2	5	3	3	4	4	3	3	4	5	8	6	6	6	6	7	8	5	8	7	8	9	9	10	9	11	9	12	11	12	11	12	13	12	13	14	14	13	12	13	14	15	17	15	17	15	15	15	15	16	17	17	17	18	18	0	1	2	2	6	2	4	11	11	4	4	7	10	4	7	12	21	6	12	17	11	19	16	21	24	15	17	0	26	20	11	25	5	21	21	29	25	1	2	41	18	16	31	20	7	42	41	16	35	20	31	44	27	15	35	31	11	17	1	1	1	1	2	1	1	1	1	1	1	1	2	3	3	2	1	3	2	2	1	1	1	2	1	3	2	1	2	1	6	2	6	3	6	2	3	11	12	1	6	5	1	6	11	4	2	9	2	6	3	1	4	9	5	5	13	11
1000	-518.608214260570435	-525.463702211529835	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.372140076257695	0	1	2	2	5	3	3	4	4	3	5	3	5	7	6	4	7	6	7	8	7	7	8	8	9	9	10	9	10	10	12	11	12	12	12	13	11	13	13	14	13	14	13	13	15	17	14	16	15	15	15	16	15	16	18	17	18	18	0	1	2	2	2	2	4	12	7	4	7	4	10	11	7	4	18	7	18	21	15	12	21	18	24	24	26	0	25	17	24	25	28	30	20	25	25	8	28	31	35	33	35	31	24	33	43	51	35	41	43	47	43	5	50	48	35	5	1	1	1	1	4	2	1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	4	1	1	1	1	1	1	1	2	2	2	1	1	3	2	2	7	1	2	1	2	1	1	5	2	1	1	2	1	2	2	2	7	2	1	5	10
1500	-292.567591350424550	-299.423079301383950	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.650704664217701	0	1	2	2	5	3	3	4	4	4	5	5	5	8	5	6	7	4	7	6	7	8	8	8	9	9	10	9	10	9	11	11	12	12	11	13	12	13	14	13	12	14	13	12	14	17	14	17	15	15	16	16	16	17	18	16	18	18	0	1	2	2	6	3	4	7	4	4	18	8	10	8	6	11	20	4	5	18	20	16	19	20	5	24	24	0	30	17	17	25	28	27	20	37	25	28	33	44	31	33	44	35	34	39	43	56	35	35	43	47	43	50	54	43	54	43	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	2	1	1	2	2	2	2	2	2	1	1	4	1	1	1	2	1	1	1	2	1	1	3	3	2	2	2	2	1	1	1	5
2000	-273.120275232343658	-279.975763183303059	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.677088117660152	0	1	2	2	4	3	3	4	4	3	5	5	5	8	6	4	7	6	7	8	7	8	7	8	9	9	10	9	11	10	10	11	11	12	11	13	12	11	14	14	13	12	13	14	15	17	14	17	15	15	15	16	16	17	18	17	18	18	0	1	2	2	6	2	4	7	6	4	16	7	10	12	12	7	9	7	16	21	7	19	11	21	24	24	24	0	25	24	17	25	28	35	20	25	25	28	33	35	35	38	35	41	30	39	43	53	44	44	40	47	43	50	54	43	50	53	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	3	2	2	1	2	1	2	1	1	1	1	1	1	2	1	2	2	1	2	3	2	2	2	1	1	1	2	1	2	1	1	1	1	1	1	2	2	2	1	1	2	2
2500	-290.070935288546536	-296.926423239505937	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.547939632921809	0	1	2	2	4	3	3	4	4	4	3	5	5	8	6	6	7	5	7	6	7	8	8	9	9	9	10	9	11	8	12	11	12	12	11	13	12	10	13	14	13	14	14	14	15	17	15	17	14	15	16	16	15	17	18	16	18	18	0	1	2	2	2	2	4	11	7	7	4	11	11	17	11	12	20	3	11	18	20	11	19	19	11	18	21	0	25	20	30	26	38	27	21	37	32	28	33	35	17	33	31	35	34	39	43	53	35	41	53	47	43	50	50	43	54	56	1	1	1	1	2	2	1	1	1	1	1	2	1	1	2	1	1	2	4	1	1	2	1	1	5	3	2	1	1	2	1	2	2	2	2	1	1	1	1	3	2	1	2	2	1	2	1	2	3	2	1	1	1	2	2	2	1	2
3000	-311.422933740226597	-318.278421691185997	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.638012624770664	0	1	2	2	5	3	3	4	4	4	5	3	5	8	6	6	5	6	7	8	6	8	8	8	9	9	7	9	11	10	12	11	12	12	12	13	11	11	14	13	12	14	14	14	15	17	12	15	14	15	16	14	16	17	18	17	17	18	0	1	2	2	2	2	4	4	7	4	8	4	6	11	7	8	8	12	16	17	17	15	18	27	17	18	17	0	25	26	20	25	38	30	30	32	25	28	38	35	30	38	17	41	34	39	25	43	40	31	48	47	48	50	57	48	50	56	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	2	1	2	1	2	1	1	2	1	4	2	1	1	1	1	2	2	1	2	2	2	2	2	2	1	2	3	4	2	3	2	1	1	1	1	1	2	1	2	1	2	2	1
3500	-292.929980444910314	-299.785468395869714	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.630880413972973	0	1	2	2	5	2	3	4	4	4	4	4	5	7	6	4	7	6	7	7	5	8	8	9	9	9	8	8	11	10	11	10	12	12	12	13	12	11	14	15	13	13	13	14	14	16	14	15	15	15	16	16	16	17	18	17	17	18	0	1	2	2	10	2	4	4	7	7	7	7	10	10	11	4	21	4	16	21	12	12	19	17	11	27	21	0	25	27	20	25	38	30	31	32	32	28	33	44	31	38	35	35	24	33	43	43	45	41	43	47	43	50	57	48	53	53	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	2	1	2	1	2	2	2	1	1	1	1	2	2	1	2	1	1	1	1	1	4	3	1	1	1	2	2	2	3	2	1	2	1	2
4000	-271.172218749541514	-278.027706700500914	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.660594029625356	0	1	2	2	4	2	3	4	4	4	5	5	5	8	6	6	6	3	7	8	7	8	8	8	9	8	10	8	11	10	12	11	12	11	12	13	11	13	14	15	13	14	14	13	15	17	15	17	15	15	16	16	16	17	18	17	16	18	0	1	2	2	18	2	4	7	4	18	10	4	10	6	18	18	12	4	16	17	17	10	7	21	26	17	24	0	30	24	20	25	28	27	27	37	25	28	33	44	35	33	31	31	30	39	43	53	31	44	43	47	43	50	50	53	40	48	1	1	1	1	1	1	1	1	2	1	1	2	1	3	2	2	1	1	1	2	1	3	3	1	1	2	2	1	1	2	3	2	2	1	2	2	2	2	1	2	1	2	1	1	3	3	1	1	2	2	1	1	2	2	2	1	1	1
4500	-268.392796061653598	-275.248284012612999	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.615413003584511	0	1	2	2	5	3	3	4	4	4	5	5	5	8	6	6	7	6	7	8	7	7	8	8	9	9	9	9	11	10	9	11	12	12	10	12	11	13	14	15	13	13	14	13	14	17	15	17	14	15	16	16	16	16	18	16	18	17	0	1	2	2	6	2	4	7	4	4	4	8	10	12	12	12	10	7	12	21	5	11	19	21	24	14	24	0	25	24	17	25	28	27	21	25	25	33	38	44	35	33	10	35	34	39	43	51	44	44	47	47	43	40	54	43	54	56	1	1	1	1	2	2	1	1	2	2	3	1	1	3	1	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	2	2	1	6	2	2	2	1	1	1	2	1	1	2	1	1	2	2	1
