step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61
1	-2016.041654777498024	-2022.897142728457311	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.097543684854042	-1	2	3	5	3	5	6	5	6	6	6	6	8	8	7	9	7	10	9	8	9	9	12	10	13	11	12	13	14	12	13	14	14	14	13	14	15	15	15	15	16	16	15	15	16	17	17	18	20	19	21	21	22	23	26	29	28	30	31	32	33	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	3	4	3	4	4	4	4	5	5	4	5	4	6	5	5	5	5	7	6	7	6	7	7	8	7	7	8	8	8	7	8	8	8	8	8	9	9	8	8	9	9	9	10	11	10	11	11	12	12	14	15	15	16	16	17	17
500	-380.381644444830442	-387.237132395789843	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.149323759973815	-1	3	3	5	4	6	6	5	6	7	7	5	6	9	8	8	7	11	10	8	9	9	12	9	14	11	12	12	14	12	14	14	14	14	14	14	15	15	16	16	17	17	14	14	16	15	16	19	19	19	22	22	23	22	26	29	28	30	32	32	32	0	1	1	1	0	1	5	3	5	5	2	2	5	4	7	6	2	0	4	7	0	17	20	0	19	16	22	0	6	16	16	7	17	18	30	27	24	8	25	21	44	28	30	27	14	0	35	18	46	27	2	24	41	29	36	22	0	2	47	37	6	1	2	2	3	1	3	1	2	1	1	2	1	2	1	1	1	2	1	2	1	1	1	2	1	1	2	2	1	5	2	2	3	4	1	1	1	2	4	1	6	1	3	1	1	5	1	1	3	2	4	13	9	3	6	6	10	1	11	10	8	14
1000	-313.920153904633878	-320.775641855593278	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.415959690052606	0	2	3	5	3	5	7	4	4	6	6	7	5	8	7	9	7	9	9	6	9	10	13	8	11	11	11	13	14	11	13	14	13	13	13	14	15	14	13	16	16	15	16	15	14	15	17	19	18	19	21	22	22	23	26	28	27	30	30	32	34	0	1	2	5	0	5	5	2	5	9	9	3	5	10	20	10	3	0	15	6	0	17	9	0	21	16	17	0	31	14	21	34	22	26	8	25	24	24	25	44	29	25	35	35	23	0	38	18	24	23	35	24	31	47	44	33	0	56	51	40	60	1	1	1	2	1	1	2	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	4	1	1	1	3	1	1	2	2	1	1	1	3	1	4	3	1	1	1	1	2	1	1	1	1	5	2	3	4	9	4	3	5	9	1	1	4	6	1
1500	-357.661225969500379	-364.516713920459779	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.546334935635381	0	2	3	5	3	6	4	5	7	6	4	6	8	8	7	10	7	11	9	9	10	9	11	9	13	11	12	12	14	12	11	14	14	14	14	12	15	14	15	16	16	16	13	14	16	17	17	19	21	18	21	21	23	23	26	26	29	30	31	32	32	0	1	1	11	0	3	5	2	5	11	1	8	7	11	7	12	12	0	12	15	0	12	20	0	16	8	22	0	25	9	13	23	27	31	27	23	24	22	31	35	35	25	26	36	32	0	30	30	50	35	28	24	49	49	54	49	0	47	51	57	57	1	1	2	1	1	1	1	2	1	1	2	1	2	2	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	2	1	1	3	2	1	2	1	2	1	1	1	1	3	4	3	2	4	6	1	1	2	3	1	5	4	1	2
2000	-554.400557929390857	-561.256045880350257	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.608588875632663	-1	2	2	5	3	6	6	4	6	6	6	7	8	8	7	9	7	10	9	8	10	9	13	11	14	12	11	14	14	12	13	14	13	14	14	15	14	15	15	15	16	16	15	15	16	17	17	17	19	18	22	21	23	24	27	29	28	29	31	30	33	0	1	1	8	0	3	5	2	5	4	8	6	5	9	4	17	10	0	7	15	0	17	16	0	11	19	6	0	10	21	27	30	27	24	33	33	24	30	30	31	24	30	21	37	37	0	42	32	43	48	43	41	23	51	52	55	0	57	51	56	52	1	1	1	1	1	2	2	1	1	1	1	1	3	1	1	1	1	1	1	1	1	1	2	1	3	1	3	1	3	1	1	1	1	1	1	1	2	1	1	1	2	3	2	1	2	1	1	2	2	1	4	4	3	1	4	1	1	1	5	1	5
2500	-397.003242325331883	-403.858730276291283	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.635004630876667	0	2	3	6	3	6	5	5	6	6	6	7	8	9	7	9	7	11	7	9	10	9	13	10	13	11	13	12	15	13	12	13	13	15	11	14	15	15	16	16	16	15	15	15	16	18	17	18	21	19	22	19	22	24	25	30	28	29	29	33	32	0	1	1	8	0	3	5	2	5	3	5	5	7	12	5	2	10	0	7	15	0	4	20	0	21	20	22	0	25	20	20	26	22	24	5	21	16	23	36	32	36	25	25	23	28	0	29	47	52	48	42	37	49	53	51	57	0	54	51	61	56	1	1	1	1	1	1	1	2	2	1	1	2	2	1	2	4	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	2	2	3	2	3	1	1	2	1	1	1	1	1	1	1	1	1	1	4	2	1	1	1	1	1	3	2	1	1
3000	-578.370064499408045	-585.225552450367445	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.569899258935223	-1	2	3	6	3	5	7	5	7	6	6	5	8	8	8	10	7	11	8	6	9	9	11	11	12	12	13	12	14	13	12	14	15	13	14	15	14	16	13	15	17	15	16	14	16	15	17	18	21	20	20	22	22	23	26	29	29	30	28	32	34	0	1	2	8	0	3	4	3	10	12	6	5	5	12	20	21	8	0	3	5	0	8	7	0	8	15	22	0	28	24	18	31	22	9	18	34	24	25	6	30	33	25	28	14	33	0	42	38	46	33	32	50	47	50	49	55	0	56	4	56	60	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	2	1	4	1	2	1	1	1	1	1	4	3	2	1	2	2	3	1	2	1	2	3	1	1	1	1	4	2	4	1	2	2	3	1	1	1	6	2	1
3500	-277.239736172124537	-284.095224123083938	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.588575156128265	0	2	3	5	3	5	6	5	7	7	7	5	8	8	7	7	8	11	9	9	9	10	12	11	14	11	12	12	14	12	13	14	14	14	13	14	14	15	15	15	16	16	16	16	15	16	17	16	20	20	22	21	19	23	26	29	29	31	31	33	33	0	1	1	3	0	5	5	3	5	7	4	3	7	5	5	5	8	0	15	15	0	17	15	0	21	21	22	0	12	24	24	18	12	23	18	30	24	23	33	4	32	28	11	40	23	0	48	37	47	42	25	49	47	51	52	54	0	55	42	58	56	1	1	2	1	1	1	1	1	3	1	1	1	1	2	1	2	2	1	1	1	1	2	3	1	2	1	1	1	3	1	1	1	3	1	1	1	1	1	1	5	1	3	3	1	2	1	1	1	2	2	2	1	1	1	2	4	1	2	6	1	2
4000	-667.409825528388637	-674.265313479348038	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.635995774920884	-1	1	3	6	3	5	6	5	6	6	7	7	5	8	7	9	8	11	8	7	10	9	11	10	11	11	12	12	14	11	12	14	13	14	13	14	15	16	14	14	17	17	16	15	15	18	17	17	20	20	22	20	23	23	27	29	29	30	31	32	33	0	1	2	6	0	5	13	2	5	3	13	7	5	4	10	10	8	0	7	5	0	11	15	0	11	20	22	0	25	16	16	4	27	31	14	18	24	39	30	19	36	27	36	40	30	0	45	43	37	42	25	37	48	51	51	55	0	55	44	56	59	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	2	1	1	2	1	2	2	1	1	1	1	2	3	1	1	2	2	2	1	2	3	1	3	1	1	2	1	1	1	2	2	7	3	2	1	2	1	1	2	7	2	1
4500	-287.006409774796168	-293.861897725755568	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.550639175118530	0	2	3	4	3	6	6	5	7	6	5	6	9	8	7	9	7	10	10	8	10	9	12	10	13	11	13	13	13	11	14	14	15	14	13	14	15	16	13	14	17	15	15	14	16	17	18	18	20	20	21	20	22	23	25	27	28	31	31	32	31	0	1	2	3	0	8	5	3	7	5	3	11	7	2	10	7	8	0	7	15	0	17	7	0	11	16	30	0	6	6	7	6	27	23	21	23	24	26	9	27	45	21	40	35	44	0	41	38	37	34	14	24	50	51	49	51	0	56	45	57	56	1	1	1	1	1	1	1	2	1	1	1	1	1	3	1	1	1	1	2	1	1	1	3	1	5	1	2	1	5	2	3	3	1	1	1	1	2	3	2	1	1	2	1	1	1	1	1	1	2	2	4	3	1	1	2	2	1	2	6	2	2
