step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10
1	-129.495774034206960	-128.033691949688091	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.215416135767388	1	1	4	1	3	3	4	5	5	9	0	0	1	0	1	1	1	1	1	1	1	1	2	1	1	1	2	2	2	4
500	-60.799714182407385	-59.335461490137476	-1.464252692269908	0.000010045398822	0.000003241762646	0.322711193756919	0.278843131997328	1	0	4	1	3	4	4	5	5	10	0	0	1	0	2	4	2	4	5	9	1	1	2	1	1	2	3	3	1	3
1000	-59.135428499873925	-57.771515534787170	-1.363912965086756	0.000010110152163	0.000005222201081	0.516530413825950	0.402947015826756	2	0	4	0	3	3	2	5	5	9	4	0	1	0	7	4	2	6	5	9	1	1	1	1	1	2	1	2	1	2
1500	-59.588057167562361	-58.218951684487088	-1.369105483075276	0.000010093568932	0.000006754381629	0.669176747562068	0.838571636289577	1	1	4	0	4	2	3	4	6	10	4	0	1	0	7	4	2	4	7	9	1	1	2	1	1	1	1	2	1	2
2000	-61.932294550364041	-60.568463102766231	-1.363831447597811	0.000010135201274	0.000005241985476	0.517205858483999	0.798759639052975	2	1	5	0	3	2	2	6	6	10	4	0	1	0	7	4	2	6	7	9	1	1	2	1	1	1	1	2	2	2
2500	-61.104090431518891	-59.685742888215678	-1.418347543303210	0.000010519543398	0.000009158545750	0.870621984507660	0.545977937025899	2	1	4	-1	4	4	2	5	5	10	4	0	1	0	7	4	2	6	5	9	1	1	1	1	1	3	1	1	1	3
3000	-54.287657051635250	-52.910109657934711	-1.377547393700540	0.000010512384687	0.000007527813127	0.716089959745314	0.960586376520287	2	0	5	1	4	4	2	5	6	9	4	0	1	0	7	4	2	6	5	9	1	1	1	1	1	1	1	1	1	1
3500	-60.801194934552008	-58.164996556111930	-2.636198378440077	0.000010763087414	0.000045150397457	4.194929923165527	0.745874037969659	2	1	5	0	4	3	3	5	4	9	4	0	1	0	7	4	2	6	7	9	1	1	2	1	1	2	1	1	1	2
4000	-55.219536909615009	-53.479426984600892	-1.740109925014115	0.000011834135997	0.000020028915661	1.692469620663573	0.903063127747719	1	2	4	0	3	2	5	6	6	8	4	0	1	0	2	4	5	6	7	9	1	1	1	1	1	1	1	2	1	1
4500	-53.482493657380957	-51.880555757194365	-1.601937900186591	0.000011449549779	0.000015540797360	1.357328249583483	0.872834744577621	1	1	5	0	3	3	4	5	6	8	4	0	1	0	2	4	5	6	5	9	1	1	2	1	1	2	1	1	1	1
5000	-58.552576585772393	-57.040158682048059	-1.512417903724332	0.000012273072062	0.000013917825122	1.134013151057390	0.609950469317801	2	1	4	1	4	3	4	5	5	8	4	0	1	0	2	4	2	4	5	9	1	1	2	1	2	1	2	2	1	2
5500	-60.385427213423540	-58.879579974108182	-1.505847239315359	0.000012231777482	0.000013663363506	1.117038265806939	0.752243012799396	1	1	4	-1	3	3	5	6	4	10	4	0	1	0	2	4	5	4	5	9	1	1	1	1	1	2	1	3	1	2
6000	-51.636555124760264	-49.414729502973280	-2.221825621786981	0.000014027889753	0.000001549978654	0.110492645802198	0.687691058936281	2	2	4	1	4	3	5	5	6	10	4	0	1	0	2	4	5	4	5	9	1	1	1	1	1	1	1	2	1	2
6500	-56.420413585156147	-54.563952332147693	-1.856461253008455	0.000011578260601	0.000022900384979	1.977877832269229	0.822424766615062	2	1	4	1	2	3	5	6	4	9	4	0	1	0	2	4	5	6	5	9	1	1	1	1	1	1	2	1	1	2
7000	-51.419406370128286	-49.946231171200544	-1.473175198927744	0.000025087656581	0.000025852038139	1.030468432005619	0.551117807871712	1	0	4	0	3	3	4	5	6	8	4	0	1	0	2	4	5	6	5	9	1	1	2	1	1	2	1	1	1	1
7500	-40.377299926728448	-38.301478904959453	-2.075821021768995	0.000076100656860	0.000009725836171	0.127802263117264	0.926397185344579	2	1	4	0	3	3	4	6	6	9	4	0	1	0	2	4	5	6	7	9	1	1	1	1	1	1	1	1	1	2
8000	-47.413062518497206	-44.523382484483967	-2.889680034013238	0.000138162609961	0.000008847613382	0.064037682729646	0.780323108023004	1	2	4	0	3	3	4	6	5	8	4	1	1	0	2	4	5	6	7	9	1	1	1	1	1	2	1	1	1	2
8500	-51.916208936728246	-49.313030586568679	-2.603178350159565	0.000158854758155	0.000012618031665	0.079431247835116	0.547916389790738	1	2	5	0	4	3	5	5	6	10	4	1	6	0	2	4	5	6	5	7	1	1	1	1	1	1	1	1	2	3
9000	-43.282085440653837	-41.486794210413478	-1.795291230240359	0.000115205844881	0.000020471284507	0.177693106873533	0.862873896161775	1	2	4	0	3	3	5	4	6	9	4	1	1	0	2	1	5	6	7	9	1	1	1	1	1	1	1	1	1	1
9500	-45.270040304537851	-43.455639652489332	-1.814400652048521	0.000146829029812	0.000025437437581	0.173245288164356	0.897287166956307	1	2	4	0	3	3	4	5	5	9	4	1	1	0	2	4	5	6	7	9	1	1	1	1	1	2	1	1	1	2
10000	-51.618236836024685	-49.214154272647349	-2.404082563377337	0.000085873430136	0.000008042852250	0.093659380290742	0.913692665688256	0	1	4	-1	2	2	4	5	6	9	4	1	1	0	2	1	5	6	7	9	1	1	2	1	1	1	1	2	1	2
10500	-62.030060753395020	-59.575795361941253	-2.454265391453770	0.000263799936202	0.000023669415750	0.089724872913489	0.787066675948088	1	2	4	-2	3	3	5	5	6	9	4	1	6	0	1	1	5	1	5	7	2	1	1	1	1	2	1	2	2	3
11000	-50.460821223557247	-48.785182127845040	-1.675639095712208	0.000131907209607	0.000027875438249	0.211326115774899	0.921926298005375	1	2	4	0	3	2	5	5	5	9	4	1	1	0	2	4	5	6	5	7	1	1	1	1	1	1	2	2	1	1
11500	-50.658151502374594	-48.687585730155149	-1.970565772219442	0.000143998617441	0.000020633892462	0.143292295637493	0.800470718104498	1	2	4	0	3	3	4	6	6	10	4	1	1	0	2	4	5	4	7	7	1	1	1	1	1	1	1	3	1	2
12000	-46.112564133733002	-44.188462036630995	-1.924102097102006	0.000117199852161	0.000017719190173	0.151187820170686	0.940270172760978	1	2	4	0	3	3	4	5	4	10	4	1	1	0	2	4	5	6	5	9	1	1	1	1	1	1	1	1	1	2
12500	-51.332298589532570	-49.055722675086251	-2.276575914446320	0.000258685439465	0.000027152169954	0.104962111551510	0.737196897566616	1	2	4	0	3	4	4	4	5	9	4	1	1	0	2	1	5	2	5	5	1	1	1	1	1	1	1	1	1	3
13000	-42.937754226078475	-40.743920644272841	-2.193833581805637	0.000178020297335	0.000020205924302	0.113503485865912	0.984851055242513	1	2	3	0	4	2	5	5	6	9	4	1	1	0	2	4	5	6	5	9	1	1	1	1	1	1	1	1	1	1
13500	-48.769399250417919	-46.825838686417519	-1.943560564000401	0.000183989315138	0.000027192019723	0.147791298111754	0.844946931020175	1	2	4	-1	3	3	4	5	5	9	4	1	1	0	2	1	5	1	7	9	1	1	2	1	1	1	1	1	1	2
14000	-44.281386931670625	-42.194589398556730	-2.086797533113892	0.000129370380569	0.000016345919052	0.126349779449970	0.948258885788893	1	2	3	0	3	4	5	5	5	7	4	1	1	0	2	4	5	6	5	9	1	1	1	1	1	1	1	1	1	1
14500	-43.549665124349538	-41.817114006220486	-1.732551118129050	0.000110948005032	0.000021515551188	0.193924633265911	0.818259391431059	1	2	4	0	3	2	5	4	5	9	4	1	1	0	2	4	5	6	5	9	1	1	1	1	1	1	1	1	1	2
15000	-46.702619523888892	-45.303652366986967	-1.398967156901928	0.000072870641825	0.000029399354406	0.403445800259041	0.904817791868159	1	2	4	0	3	3	4	5	5	9	4	1	1	0	2	4	5	6	7	9	1	1	2	1	1	1	1	1	1	2
15500	-49.124531202500521	-45.528578053145992	-3.595953149354525	0.000167713485557	0.000006799769335	0.040543962890154	0.814232970203566	1	2	3	-1	3	3	5	4	6	9	4	1	1	0	2	4	5	4	7	9	1	1	1	1	1	2	1	2	1	1
16000	-45.828856993859574	-42.804494051600869	-3.024362942258708	0.000146722419718	0.000008550699820	0.058278072545269	0.941331648415292	1	2	4	0	4	3	3	6	5	9	4	1	1	0	7	4	2	6	7	9	1	1	1	1	1	1	1	1	1	2
16500	-51.735818317835488	-49.595775892341486	-2.140042425494002	0.000200643735005	0.000024012436047	0.119676978930562	0.866375218188302	0	1	3	-1	3	3	2	5	5	9	4	1	1	0	7	4	2	6	5	9	1	1	1	1	1	2	1	1	1	2
17000	-45.805660610914146	-42.618948222472504	-3.186712388441643	0.000206523775442	0.000010796456717	0.052277064439210	0.992182684998510	1	2	4	0	4	2	3	4	5	9	4	1	1	0	7	4	2	6	7	9	1	1	1	1	1	1	1	1	1	1
17500	-52.474330468550846	-48.912490476575236	-3.561839991975613	0.000195919611551	0.000008105815378	0.041373169914709	0.400585251820223	1	2	4	-1	4	4	3	6	5	9	4	1	1	0	7	1	2	6	7	9	1	1	2	1	1	1	1	1	1	2
18000	-54.719212225766064	-52.083715625964068	-2.635496599801998	0.000174900922764	0.000013543305392	0.077434156312018	0.845108760802405	1	2	2	-1	3	2	4	5	5	8	4	1	1	0	6	1	2	6	7	7	1	1	1	1	1	1	1	1	1	3
18500	-48.863693300219374	-47.122931800963073	-1.740761499256304	0.000090914278840	0.000017423041410	0.191642518998585	0.731699500425638	1	2	4	0	4	4	5	6	6	9	4	1	1	0	2	4	5	6	5	5	1	1	1	1	1	2	1	1	1	2
19000	-47.457299830351580	-45.909219722057031	-1.548080108294552	0.000143829729018	0.000038136778641	0.265152266515321	0.727099906079035	1	2	4	-1	3	3	4	5	6	10	4	1	1	0	2	4	5	6	7	9	1	1	1	1	1	2	1	1	1	2
19500	-46.433203363092204	-44.509845514404205	-1.923357848687997	0.000174224032085	0.000026363657029	0.151320439051943	0.813283082788387	1	2	4	-1	3	4	4	6	5	10	4	1	1	0	2	1	5	6	5	9	1	1	1	1	1	1	1	1	1	2
20000	-53.490497062652501	-51.026900057424371	-2.463597005228128	0.000186014250478	0.000016559252192	0.089021417171201	0.565069951762761	1	2	5	-1	3	3	5	6	5	9	4	1	1	0	2	1	5	4	5	5	1	1	2	1	1	1	1	4	2	3
20500	-52.175690249463798	-49.857112035728754	-2.318578213735048	0.000089700086395	0.000009060781353	0.101011957924871	0.660133833862295	1	2	4	-1	4	2	5	4	6	8	4	1	1	0	2	4	5	6	5	9	1	1	1	1	1	2	1	1	2	1
21000	-62.188997692107343	-60.531272502333124	-1.657725189774216	0.000082106037225	0.000017855159082	0.217464630923923	0.427834573594784	0	1	5	-2	3	4	2	6	6	10	4	1	1	0	2	4	2	6	5	9	1	1	2	1	2	3	1	2	1	2
21500	-47.861094965660278	-46.353289028835093	-1.507805936825187	0.000132839600757	0.000038433542759	0.289322931870550	0.722632589514260	1	2	5	0	3	3	4	6	5	9	4	1	1	0	2	4	5	6	7	9	1	1	2	1	1	1	1	1	1	2
22000	-49.842425026104706	-47.129333833847397	-2.713091192257306	0.000205504535655	0.000014988611378	0.072935671857043	0.621736417700287	1	2	4	0	3	3	4	5	5	9	4	1	1	0	2	2	5	4	7	5	1	1	1	1	1	1	1	2	1	3
22500	-46.992994753983844	-44.830656174422899	-2.162338579560945	0.000088461401627	0.000010354688901	0.117053186031809	0.754905599082055	1	2	5	0	3	3	5	6	5	9	4	1	1	0	2	4	5	6	5	9	1	1	2	1	1	1	1	2	1	2
23000	-44.620540848152771	-40.940820855279860	-3.679719992872915	0.000157546702348	0.000006081704216	0.038602548486281	0.855906447018243	1	2	4	-1	3	3	4	5	6	8	4	1	1	0	2	4	5	6	7	9	1	1	1	1	1	2	1	1	1	1
23500	-47.381238436627989	-45.765673222146667	-1.615565214481320	0.000062978099618	0.000014703355390	0.233467752743969	0.907148111351743	1	2	5	0	3	2	5	4	6	8	4	1	1	0	2	4	5	6	5	9	1	1	1	1	1	1	1	1	1	1
24000	-50.716935923855992	-47.789603618357845	-2.927332305498145	0.000089171271943	0.000005559584959	0.062347265410611	0.666840935028203	1	2	5	-1	3	3	4	6	5	6	4	1	1	0	2	4	2	6	5	9	1	1	2	1	1	2	1	1	1	1
24500	-43.627430232338760	-41.061781167996600	-2.565649064342159	0.000131092848048	0.000010729869254	0.081849387011528	0.911390903874433	1	2	4	0	3	3	5	4	5	9	4	1	1	0	2	4	5	6	5	9	1	1	1	1	1	1	1	1	1	2
25000	-48.100126161580476	-45.548729218425350	-2.551396943155128	0.000122244494007	0.000010121474815	0.082796979095703	0.572143066878659	1	2	4	0	3	3	5	5	6	9	4	1	1	0	2	4	5	6	5	9	1	1	1	1	1	2	1	1	2	1
25500	-47.757448661093477	-45.292026691253973	-2.465421969839501	0.000245027836588	0.000021779259169	0.088884836401010	0.844603726392105	1	2	3	0	3	3	4	5	5	9	4	1	1	0	2	1	5	6	3	9	1	1	1	1	1	1	1	1	1	2
26000	-48.786127166973117	-46.924662164815594	-1.861465002157520	0.000158168200890	0.000025799835928	0.163116453136854	0.735158025591876	1	2	5	0	3	3	4	5	5	9	4	1	1	0	2	4	5	6	7	5	1	1	2	1	1	2	1	1	1	2
