step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45
5000	-465.362248967956248	-463.471091177914445	-1.891157790041829	0.000014500478358	0.000029935072535	2.064419655366200	0.535621346446435	-1	2	2	4	2	3	3	7	7	6	10	9	9	8	10	11	12	10	13	15	18	17	20	21	21	22	24	29	31	36	34	33	33	35	34	38	36	36	35	37	39	40	43	45	45	0	1	1	5	1	2	3	5	7	6	3	8	8	10	10	13	15	10	11	19	22	20	21	23	23	23	24	11	28	32	29	29	29	32	29	33	35	35	32	33	31	29	42	43	28	1	2	1	1	1	1	1	2	2	2	3	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	6	2	2	1	1	1	1	1	2	1	1	1	2	2	4	2	1	7
5500	-433.373739915445867	-431.669105481585973	-1.704634433859896	0.000020287907778	0.000032591424323	1.606445804044404	0.519741484612676	-1	1	2	4	3	3	4	6	6	5	9	8	10	8	9	11	12	11	12	15	17	16	19	21	21	21	23	27	31	36	32	36	33	34	34	38	36	35	35	35	40	41	43	45	46	0	1	1	3	2	3	1	5	7	6	7	8	8	10	10	13	15	15	11	19	22	20	21	23	23	23	24	7	28	39	29	39	29	29	29	40	35	35	31	33	30	30	42	43	28	1	1	1	1	1	1	3	2	2	1	3	1	2	1	2	1	2	1	1	1	1	1	1	1	1	1	2	8	2	1	1	1	1	2	1	2	1	1	1	1	2	2	2	1	8
6000	-379.147831285088159	-377.785937863435095	-1.361893421653071	0.000049435532645	0.000029837323061	0.603560262509807	0.549450449019474	0	1	2	4	3	4	4	5	6	7	7	8	8	9	9	11	12	11	14	16	17	16	19	21	22	22	23	29	31	33	33	36	34	34	35	38	36	36	38	36	39	41	43	45	45	0	1	2	5	1	3	3	4	7	6	3	8	8	10	10	13	18	10	8	19	20	19	21	23	23	23	24	19	28	29	29	30	29	30	30	32	35	35	33	29	39	32	42	43	28	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	2	1	2	6	1	1	1	1	1	2	1	2	8	1	1	1	2	2	1	1	1	1	1	2	2	1	2	1	1	8
6500	-363.502846539293671	-361.761787077960491	-1.741059461333204	0.000148169527903	0.000028383453895	0.191560669026551	0.516766360349228	-1	1	4	4	3	4	3	5	5	6	9	9	9	9	9	10	10	11	14	16	16	18	20	22	19	21	24	29	31	34	33	35	33	35	36	38	36	35	37	35	39	41	42	44	45	0	1	7	5	2	7	2	4	7	3	4	5	9	10	10	13	15	15	2	19	19	21	19	21	21	21	26	19	28	29	29	31	29	29	30	31	38	31	33	33	31	32	36	43	28	1	1	1	1	1	1	1	1	1	1	2	4	1	1	1	1	1	1	5	1	1	2	3	4	2	2	1	5	1	2	2	1	1	2	1	2	1	1	2	1	3	3	2	2	7
7000	-362.416651280765564	-360.933670428873313	-1.482980851892255	0.000183762064806	0.000056447499527	0.307177107452671	0.540868665381482	-1	2	1	4	3	4	4	5	7	7	10	8	9	8	9	9	12	10	14	16	18	16	22	21	22	21	24	28	31	35	33	35	34	35	36	38	36	35	37	36	39	41	41	45	43	0	1	1	5	1	5	2	1	8	2	14	7	12	8	10	8	6	6	18	19	22	19	24	21	22	20	24	19	28	29	29	31	29	31	38	33	38	29	30	33	39	32	29	42	28	1	2	2	1	1	1	2	3	1	2	1	2	1	1	1	3	3	3	3	2	1	1	1	2	3	3	2	7	1	2	1	1	1	1	1	2	1	1	1	1	1	3	6	2	5
7500	-318.156238408306876	-316.680610942678641	-1.475627465628248	0.000162065211666	0.000050731824572	0.313033402114112	0.602479139646837	-1	1	4	3	3	4	3	7	6	6	9	9	9	8	9	11	11	10	13	16	17	17	21	20	22	21	23	27	31	34	33	36	35	35	36	37	37	35	38	36	39	39	42	45	44	0	1	7	2	2	7	2	4	7	6	7	8	8	10	10	13	14	6	18	19	20	19	21	22	24	21	26	19	28	31	29	30	30	30	38	40	38	29	40	33	36	32	39	45	43	1	1	1	1	1	1	1	2	1	1	3	1	1	2	1	2	2	4	3	1	1	2	3	1	1	1	2	6	2	1	1	1	1	1	1	1	2	2	2	1	1	2	3	1	1
8000	-342.321780844406589	-340.915448918016125	-1.406331926390486	0.000155969669141	0.000060951876121	0.390793135981582	0.518774440430782	0	2	4	4	2	3	2	6	6	6	9	8	8	7	9	10	11	11	14	15	17	17	20	22	21	20	24	28	31	36	33	36	33	34	37	39	37	34	36	37	39	41	41	45	46	0	1	7	2	1	7	1	4	7	6	7	8	1	5	6	13	14	15	13	19	20	19	21	23	26	22	24	19	28	38	29	31	29	31	33	29	38	28	33	32	31	39	39	42	43	1	1	1	1	1	1	1	1	1	3	2	1	3	3	2	1	2	1	4	1	1	1	2	1	1	2	1	5	1	1	1	2	2	1	2	3	1	2	2	1	3	3	2	2	3
8500	-350.021970550640447	-348.485314171765026	-1.536656378875392	0.000124561523360	0.000033819927199	0.271511830351538	0.661262591854809	0	2	3	4	4	4	4	7	5	6	9	9	9	8	9	11	10	9	12	14	16	18	21	20	21	21	22	29	31	33	33	36	33	34	36	37	37	34	37	36	39	41	42	44	46	0	1	2	2	2	3	3	4	7	6	7	8	8	5	6	13	15	14	2	19	19	21	21	21	24	21	23	19	28	29	29	30	29	30	38	29	35	29	30	33	36	39	42	43	44	1	1	1	1	1	1	1	1	1	1	3	1	1	2	3	1	1	1	5	1	2	1	2	2	1	1	1	9	1	2	2	2	2	1	1	3	1	1	2	2	1	2	1	1	1
9000	-353.733420716807700	-352.173989829974744	-1.559430886832977	0.000156118247757	0.000040460190140	0.259163747490507	0.630960155684086	0	2	2	4	4	3	4	7	7	6	9	9	8	9	9	10	10	11	13	14	16	17	22	22	21	20	23	28	33	35	33	35	34	32	37	38	36	35	36	37	39	41	41	45	46	0	1	1	3	2	3	3	5	5	6	2	8	4	6	10	11	10	10	3	19	20	21	26	26	21	22	26	19	34	29	34	29	34	28	34	33	38	29	32	33	40	35	34	42	44	1	1	1	1	1	1	1	1	1	1	4	2	2	3	2	1	2	2	4	1	1	1	1	1	3	2	2	9	1	1	1	1	1	2	2	2	1	1	1	2	1	2	3	1	1
9500	-378.314787950613209	-376.696981020655699	-1.617806929957537	0.000212416418816	0.000049398498551	0.232554991872531	0.652456448537716	0	2	4	2	4	3	4	6	6	6	9	8	9	8	9	10	12	10	14	15	18	17	22	20	22	21	23	29	33	34	34	34	33	32	36	39	36	35	35	36	38	41	41	46	45	0	1	4	1	2	4	1	4	5	3	8	7	5	10	14	8	18	13	11	19	20	20	26	21	21	24	25	8	34	29	29	29	34	28	34	41	39	29	30	29	29	36	36	45	43	1	1	1	1	1	1	2	2	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	2	1	1	12	1	1	1	1	1	2	2	1	1	1	1	3	2	1	1	1	2
