step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55
1	-3053.600099961195156	-3052.138017876676258	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.786465855690085	0	3	4	3	3	4	5	5	5	6	5	7	6	7	7	6	7	6	6	7	8	7	7	7	7	7	7	8	8	8	8	8	9	8	8	10	10	11	9	10	10	11	12	13	12	13	14	15	16	15	14	16	18	21	18	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	3	3	3	3	3	4	3	4	4	3	4	3	3	4	4	4	4	4	4	4	4	4	4	4	4	4	5	4	4	5	5	6	5	5	5	6	6	7	6	7	7	8	8	8	7	8	9	11	9
500	-632.954486252822790	-630.576028930598227	-2.378457322224549	0.000010021739705	0.000033971918849	3.389822510771442	0.538570635189500	0	2	3	4	2	4	6	5	5	5	5	5	4	6	7	5	6	6	6	5	9	7	7	7	7	7	7	8	8	9	9	8	9	8	7	11	11	10	7	9	11	10	12	13	12	14	15	15	16	15	14	17	19	22	18	0	1	5	2	1	3	20	3	5	3	3	3	5	5	6	6	6	6	6	3	7	7	10	17	6	5	12	14	14	15	39	17	14	25	14	20	21	28	17	25	35	39	39	39	39	43	44	42	39	39	0	39	44	42	52	1	2	1	1	1	1	1	1	2	1	1	1	1	3	1	1	1	1	1	2	1	1	1	1	2	4	1	1	1	1	1	1	2	1	1	3	1	1	1	1	3	2	3	4	2	1	1	2	5	6	1	6	5	10	1
1000	-562.156999876139594	-559.468637466614041	-2.688362409525608	0.000010004100458	0.000043697446174	4.367953556252868	0.656680185032401	0	1	3	3	2	4	6	5	4	6	5	6	6	6	6	7	5	6	7	5	8	7	7	7	6	6	8	8	9	8	9	8	10	8	8	11	11	11	7	11	10	11	13	13	11	14	15	15	16	15	14	16	17	22	18	0	1	5	2	1	3	20	3	5	5	3	3	5	5	6	6	6	6	6	5	7	7	10	17	6	9	12	13	35	15	39	17	14	25	14	20	21	28	17	34	35	39	42	39	31	43	44	44	44	39	0	50	52	42	53	1	1	1	1	2	1	1	1	1	2	1	2	2	2	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	2	1	2	1	1	4	2	2	1	1	1	2	1	2	1	1	1	1	2	4	1	1	1	6	1
1500	-518.367191356101443	-515.926767176624026	-2.440424179477425	0.000010058090876	0.000035968649685	3.576091141704002	0.836259778043708	1	3	4	4	3	5	6	5	6	6	5	5	6	7	7	7	6	6	6	5	9	8	7	7	7	7	8	8	8	8	9	8	9	9	9	9	10	12	8	11	11	10	12	13	12	14	14	15	16	16	13	17	18	20	19	0	1	5	2	1	3	20	3	5	3	3	3	5	5	6	6	6	6	6	3	7	7	10	17	6	9	12	13	14	15	39	17	14	25	29	20	21	28	17	34	35	39	42	39	42	43	44	44	44	44	0	50	52	52	53	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	1	1	2	1	1	1	1	2	2	1	1	1	1	1
2000	-540.832710163322190	-538.497794889800844	-2.334915273521383	0.000010021998972	0.000032687466236	3.261571501707966	0.705683185644235	0	1	3	2	1	4	6	6	5	6	5	6	5	6	6	6	5	6	6	5	8	7	8	7	7	7	8	7	7	8	8	8	9	8	9	10	10	11	7	10	10	11	12	11	12	14	13	15	16	15	14	16	18	18	19	0	1	5	2	1	3	20	3	5	3	3	3	5	5	6	6	6	6	6	3	7	7	10	17	6	9	12	13	14	15	39	17	14	25	29	20	21	28	17	34	35	39	42	39	44	43	44	42	44	42	0	50	52	52	53	1	1	1	1	1	1	1	1	2	1	1	2	2	3	1	2	1	1	1	2	1	1	2	1	1	1	1	2	1	1	1	1	2	1	1	2	1	2	2	1	1	2	1	2	1	2	1	2	2	2	1	1	1	1	1
2500	-532.234597101562372	-529.601439352447528	-2.633157749114844	0.000009868982235	0.000041301224268	4.184952742217228	0.788899278339057	0	3	3	4	2	4	6	6	6	5	5	5	6	5	6	6	7	7	6	5	8	7	7	8	6	8	8	8	7	9	9	8	9	9	8	11	10	12	8	11	10	11	12	13	12	13	14	15	17	14	13	16	17	21	18	0	1	5	2	1	3	20	3	5	3	3	3	5	5	6	6	6	6	6	3	7	7	10	17	6	9	12	13	14	15	39	17	14	25	29	20	21	28	17	34	35	39	42	39	42	43	42	44	44	44	0	50	52	52	53	1	2	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	2	1	1	1	2	1	2	1	1	2	1	2	1	1	1	1	3	1
3000	-519.789383221502817	-517.194096993478638	-2.595286228024212	0.000010202687157	0.000041439981015	4.061673202229594	0.806470600007083	-2	2	3	3	2	4	6	5	5	5	5	7	7	5	7	6	6	7	6	5	7	8	7	8	7	7	8	8	8	8	9	8	9	8	9	10	10	10	8	9	10	11	12	13	11	14	14	13	16	15	14	16	18	21	19	0	1	5	2	1	3	20	5	5	3	3	3	5	5	6	6	6	6	6	5	7	7	10	17	6	9	12	13	14	15	39	17	14	25	29	20	21	28	17	34	35	39	39	39	39	43	42	42	44	44	0	50	52	52	53	1	1	1	1	2	1	1	1	1	1	1	2	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	2	2	2	1	1	2	1	2	1	1	1	1	2	1
3500	-553.323244382129360	-550.718453136325252	-2.604791245804051	0.000010242198666	0.000041915612107	4.092442792076083	0.791882189034958	-1	1	3	2	2	4	6	6	6	5	5	6	5	7	7	5	5	6	7	5	8	7	8	7	6	8	8	7	8	8	9	7	8	8	9	10	10	12	7	11	10	11	12	12	12	13	14	15	15	15	15	16	18	22	19	0	1	5	2	1	3	20	3	5	3	3	3	5	5	6	6	6	6	6	3	7	7	10	17	6	9	12	13	14	15	39	17	14	25	29	20	21	28	17	34	35	39	42	42	39	43	39	44	44	44	0	50	52	52	53	1	1	1	1	1	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	3	1	3	1	1	1	2	1	1	2	1	3	2	2	2	1	1	1	2	1
4000	-524.872374932718230	-522.648330274112823	-2.224044658605365	0.000011781918091	0.000034691153909	2.944440255077610	0.763191529465660	0	3	3	4	2	4	5	6	6	6	5	5	6	6	7	6	6	6	7	4	9	7	7	8	7	7	7	8	7	9	9	8	9	9	8	10	11	10	8	10	11	10	12	13	13	13	13	15	16	15	14	16	18	22	19	0	1	5	2	1	3	20	3	5	3	3	3	5	5	17	6	6	6	6	3	7	7	10	17	6	9	12	13	14	15	39	17	14	25	29	20	21	28	17	34	35	39	39	42	42	43	42	44	45	44	0	50	52	52	53	1	2	1	1	1	1	1	3	2	1	1	1	2	2	1	1	2	1	1	1	3	1	1	1	1	1	1	1	1	1	1	2	2	1	1	3	1	1	1	1	2	1	3	1	2	1	2	1	1	1	1	1	1	2	1
4500	-511.182781196677752	-509.026951665827312	-2.155829530850460	0.000013042411375	0.000035941548133	2.755744095158842	0.856008371232652	-1	2	3	4	2	4	6	5	5	5	5	5	6	6	8	6	6	5	7	5	8	8	8	8	7	7	7	9	7	9	9	8	9	9	9	10	10	11	8	10	11	11	12	14	12	13	14	15	16	15	15	16	17	20	19	0	1	5	2	1	3	20	3	5	3	3	3	5	5	16	6	6	6	16	5	7	7	10	17	6	9	12	13	14	15	39	17	14	25	29	20	21	28	17	34	35	39	39	39	39	43	42	39	42	44	0	50	52	52	53	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	2	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	3	2	1	2	2	2	1	1	1	1	2	1
