step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97
1	-586.848233854370619	-593.703721805330019	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.201231462513945	-1	1	2	2	4	5	4	5	7	7	7	7	9	8	8	10	9	10	11	11	11	11	12	12	11	12	13	13	13	12	13	13	13	13	13	12	13	15	14	13	15	14	14	16	14	16	16	17	16	17	19	18	19	18	21	19	21	20	22	22	21	22	24	22	23	23	23	24	23	24	24	24	24	24	24	27	26	27	27	29	27	29	29	30	34	34	34	34	35	35	35	35	37	38	40	44	48	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	3	4	4	4	4	5	5	5	6	5	6	6	6	6	6	7	7	6	7	7	7	7	7	7	7	7	7	7	7	7	8	8	7	8	8	8	9	8	9	9	9	9	9	10	10	10	10	11	10	11	11	12	12	11	12	13	12	12	12	12	13	12	13	13	13	13	13	13	14	14	14	14	15	14	15	15	16	18	18	18	18	18	18	18	18	19	20	21	23	25
500	-639.854914289377575	-646.710402240336975	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.186038161293449	0	2	2	2	5	5	4	5	7	6	8	7	9	7	8	10	10	10	11	11	11	10	13	13	12	12	14	13	14	12	13	12	13	13	14	11	14	15	12	14	16	14	13	16	14	17	16	16	14	17	20	18	20	18	21	18	18	20	22	22	22	22	25	23	23	21	23	24	24	24	23	24	23	24	25	28	26	28	27	28	26	29	30	31	35	32	34	34	34	35	36	36	38	38	39	45	47	0	1	1	1	2	3	1	4	2	4	12	3	5	7	0	3	12	15	11	9	3	14	12	12	18	12	22	19	12	12	9	12	1	13	18	3	1	6	10	25	7	9	36	34	0	3	26	33	26	12	16	41	57	43	36	39	32	46	58	4	49	40	1	17	28	33	35	56	50	17	1	25	31	1	59	16	10	2	63	1	37	54	56	1	41	77	52	63	1	24	5	60	7	69	79	61	50	1	2	1	2	1	1	1	2	3	1	1	3	2	1	1	4	1	1	2	3	4	2	2	3	2	4	3	1	4	2	4	3	7	3	2	2	9	3	2	2	6	3	1	2	1	9	2	2	1	5	5	1	1	2	4	3	2	1	1	10	4	3	15	6	4	4	4	4	4	6	12	6	5	12	1	8	12	12	1	16	6	7	6	15	9	3	10	5	18	10	13	10	18	14	5	14	12
1000	-638.394475340286363	-645.249963291245763	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.266347430540785	0	2	2	3	4	6	4	5	7	7	8	7	9	9	7	10	10	11	11	11	9	10	12	11	11	13	14	13	12	12	13	13	14	14	14	13	13	15	13	14	15	13	15	17	15	15	16	16	15	17	18	19	20	17	19	19	21	18	22	23	22	21	24	22	24	23	22	24	24	25	24	24	24	25	23	28	26	27	28	28	27	27	30	29	34	34	35	34	35	36	35	35	37	37	40	43	48	0	1	1	2	4	7	4	7	8	8	2	3	12	15	0	5	4	13	9	14	6	8	8	16	1	13	32	2	22	9	24	8	24	1	32	3	9	27	22	22	28	14	31	47	0	26	23	31	29	14	3	33	7	29	16	23	44	21	55	17	42	5	1	8	51	3	10	42	37	25	48	61	75	61	31	59	22	60	30	28	73	54	42	31	73	60	59	83	34	69	73	61	69	8	57	73	69	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	3	4	1	2	1	2	2	3	1	6	2	1	6	1	2	1	3	1	10	1	5	3	1	1	2	1	2	1	1	1	1	2	2	2	5	7	2	7	3	5	4	1	4	2	5	4	7	10	6	3	10	8	6	5	9	4	1	1	1	5	3	8	2	7	6	1	4	10	9	5	5	7	2	11	5	6	5	7	11	10	9	13
1500	-609.627207681466530	-616.482695632425930	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.328608845500245	-2	0	3	2	5	6	4	6	8	7	7	7	10	7	8	10	9	9	12	11	11	11	12	10	12	13	13	14	12	11	13	13	13	12	13	12	13	15	15	13	13	14	15	16	15	15	16	17	16	14	20	19	18	18	21	19	22	21	23	22	21	22	23	21	22	24	24	23	22	24	24	24	25	21	24	27	25	27	28	27	27	29	28	30	35	35	34	34	34	35	36	35	37	38	39	44	47	0	1	2	1	3	3	4	7	8	5	6	1	6	4	0	4	12	10	16	14	11	17	16	5	15	25	7	25	24	9	12	21	29	3	30	13	1	28	18	18	22	27	37	21	0	50	19	43	24	1	26	31	43	27	19	1	53	44	35	53	26	18	10	39	28	34	60	55	52	3	20	23	63	54	38	43	58	63	66	62	49	60	59	51	36	51	43	78	30	78	92	49	71	83	93	42	65	1	1	2	2	1	1	1	1	1	1	1	5	2	2	1	3	1	1	1	2	2	1	1	2	2	1	5	1	1	1	3	1	1	4	1	1	7	1	2	2	1	1	1	2	1	1	3	1	2	8	3	3	1	2	6	9	2	3	5	2	4	8	7	2	4	6	1	1	2	8	6	6	1	2	4	5	2	1	2	3	8	4	3	4	12	6	7	4	12	3	1	10	8	7	1	13	14
2000	-575.160025318606586	-582.015513269565986	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.317923574824873	-1	0	3	2	4	5	4	5	7	6	8	6	10	6	7	10	9	10	12	11	11	10	12	11	11	13	12	12	14	13	13	12	14	13	12	12	12	15	12	13	16	12	13	17	11	16	15	18	15	17	19	17	20	19	22	18	22	20	22	23	21	22	24	21	23	23	23	23	23	24	24	25	24	24	24	26	26	27	28	29	26	27	28	29	35	35	34	34	35	34	35	35	38	38	41	44	48	0	1	1	2	2	5	1	2	1	4	5	1	11	7	0	14	5	12	16	11	13	15	45	7	10	21	9	22	11	42	21	45	39	7	7	9	22	18	10	7	33	20	19	29	0	40	8	31	25	23	43	27	41	37	25	1	40	36	25	16	54	24	9	13	59	34	26	61	46	55	3	60	55	17	52	60	33	30	67	40	18	64	77	75	88	79	71	12	79	65	78	40	79	82	89	80	88	1	1	2	1	1	1	3	2	4	2	2	4	1	2	1	1	3	2	1	2	1	1	1	4	2	1	1	1	4	1	1	1	1	4	3	2	1	2	3	5	1	1	1	2	1	2	3	3	2	3	3	2	2	4	5	8	3	2	4	5	1	5	9	6	1	5	5	1	3	1	6	1	1	8	4	1	6	7	3	5	7	3	1	1	1	4	6	13	3	6	3	10	6	5	3	6	8
2500	-607.292728282541361	-614.148216233500762	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.378621454003986	-1	1	2	2	4	5	4	5	8	8	7	8	10	9	7	11	10	11	12	12	10	11	12	13	12	11	13	13	13	12	14	14	14	13	14	12	13	14	13	14	15	13	14	16	14	15	17	15	17	17	19	19	20	19	21	20	21	21	22	21	22	23	24	23	24	24	24	23	23	25	24	23	25	23	25	28	26	27	28	29	27	29	30	29	32	33	35	32	36	36	36	35	37	39	39	45	49	0	1	1	1	4	1	1	5	5	2	2	3	11	7	0	4	10	15	21	21	3	10	22	26	16	5	11	26	14	16	30	9	22	18	30	6	16	30	25	22	24	4	11	43	0	30	35	13	39	36	27	27	35	21	54	32	37	54	14	51	54	56	74	20	37	38	55	58	56	62	23	55	64	57	68	73	58	50	46	59	31	70	74	64	81	47	88	69	53	92	33	69	57	61	91	94	87	1	2	2	1	1	3	2	1	2	4	3	3	1	3	1	3	1	2	1	1	2	1	1	1	1	3	3	1	2	1	1	4	2	1	1	2	1	1	1	2	1	5	4	1	1	1	3	2	2	3	3	3	3	5	2	3	5	1	6	1	2	2	1	6	4	5	2	1	1	1	6	1	1	1	2	1	2	5	5	3	6	2	3	4	2	8	2	5	8	1	10	8	7	10	1	3	6
3000	-684.215509632611656	-691.070997583571057	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.413590148884952	0	1	2	1	4	5	4	5	7	8	7	6	10	8	8	10	8	10	11	11	12	11	13	12	11	11	12	14	13	12	14	10	14	13	14	12	11	15	14	12	15	14	14	16	14	15	17	17	16	17	20	19	20	18	21	18	22	21	22	22	20	22	25	21	22	23	22	25	23	25	24	23	25	25	24	27	26	27	24	29	28	30	29	29	33	34	34	33	36	36	35	34	38	38	40	44	48	0	1	2	1	1	2	2	3	8	3	8	1	10	12	0	3	7	7	17	17	16	32	24	15	16	11	10	20	7	25	37	3	16	8	40	8	1	15	26	10	10	21	36	33	0	13	3	29	43	45	47	39	20	45	42	29	43	30	43	42	48	55	6	13	29	55	25	79	58	65	16	61	58	66	47	73	55	75	42	50	8	76	65	70	76	77	83	70	76	87	84	65	76	26	86	95	89	1	1	1	1	2	2	1	2	1	3	1	2	1	1	1	5	1	2	1	1	1	1	1	3	1	2	2	2	4	1	2	4	3	3	1	4	5	2	1	1	4	1	1	1	1	2	8	1	1	1	2	2	5	2	3	4	6	5	4	4	2	1	11	6	5	1	3	1	1	1	5	2	2	1	4	1	3	1	4	7	13	1	4	3	4	4	4	3	5	1	3	5	5	11	3	2	6
3500	-601.179015449208805	-608.034503400168205	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.412540088936418	0	1	3	2	4	6	4	5	6	8	8	7	10	8	9	10	9	10	8	12	11	11	13	13	11	13	14	14	13	12	14	12	12	12	11	12	12	15	14	13	15	14	14	15	15	14	16	18	16	16	19	18	19	16	21	19	20	19	21	22	21	23	25	23	21	23	24	25	24	24	22	23	24	23	24	27	27	26	27	30	28	29	29	30	33	34	33	33	33	36	36	34	36	38	40	42	45	0	1	2	1	4	8	4	4	3	5	5	1	14	9	0	17	4	17	12	16	16	14	16	10	15	25	13	22	20	21	8	10	18	1	15	22	19	34	35	11	35	22	8	15	0	3	39	22	21	25	30	38	45	37	49	14	49	39	52	51	53	41	31	28	51	13	65	57	21	36	51	59	72	65	55	63	52	63	68	83	55	76	65	78	78	80	76	82	1	79	74	67	31	93	90	95	78	1	1	1	1	2	1	1	1	2	2	2	3	1	1	1	1	3	1	1	1	1	2	1	3	1	1	3	2	1	1	5	3	2	6	2	1	3	1	2	2	2	1	4	4	1	5	1	3	2	2	4	2	2	2	3	4	1	3	1	2	1	4	6	5	1	5	1	2	5	5	1	1	1	1	2	1	4	1	2	1	4	2	4	2	3	2	2	2	11	5	7	6	8	1	2	1	8
4000	-505.428610544498952	-512.284098495458352	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.463434592804040	0	2	2	2	4	5	5	6	7	8	6	8	8	8	8	11	9	9	12	10	11	11	11	12	12	11	14	13	13	12	14	13	13	14	13	13	14	16	13	12	16	14	13	15	14	16	16	18	15	17	18	17	19	19	22	20	21	19	22	22	20	21	24	21	24	24	21	25	24	24	23	24	24	24	25	27	27	27	27	29	25	29	29	29	33	34	34	34	34	36	36	34	38	36	40	44	48	0	1	1	1	3	2	5	1	6	9	5	1	11	11	0	7	15	3	6	14	7	8	14	20	3	14	43	16	18	18	32	16	40	19	24	8	6	21	18	6	4	18	24	40	0	13	11	46	40	43	52	20	38	26	47	52	61	34	47	48	52	46	59	9	57	57	47	70	55	59	64	53	61	30	72	75	70	74	66	51	35	70	74	71	84	77	69	70	61	81	88	55	94	89	94	93	92	1	1	1	1	1	1	1	3	1	1	1	4	1	1	1	3	1	4	2	1	3	3	2	1	6	1	1	1	2	1	1	1	1	1	1	4	4	3	3	3	9	2	1	2	1	3	5	1	1	2	1	3	1	3	2	2	1	2	2	2	1	3	1	4	2	2	2	1	1	1	1	3	2	8	1	1	1	2	1	5	4	3	3	3	3	4	5	4	3	7	1	4	1	1	2	4	4
4500	-535.998933638147832	-542.854421589107233	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.382111060412492	-1	2	3	2	3	4	5	4	8	6	7	7	9	8	9	10	9	10	12	9	11	11	12	12	11	11	14	14	12	12	14	13	14	14	14	12	13	15	14	14	15	14	14	16	13	16	16	17	17	18	19	18	20	19	22	19	21	20	22	22	22	22	23	23	23	23	22	24	23	24	22	24	24	25	24	26	24	26	27	27	26	29	29	29	33	34	34	35	34	34	36	35	37	37	37	45	48	0	1	1	1	1	1	5	4	3	8	3	3	7	8	0	11	2	9	10	10	1	14	10	20	17	9	13	26	18	9	15	22	6	26	25	6	11	43	25	19	26	25	19	21	0	28	30	38	15	26	44	39	44	40	36	1	53	56	51	34	43	57	51	54	61	24	49	64	28	48	50	48	31	54	54	65	42	41	65	13	49	62	63	81	81	65	51	85	68	85	88	77	92	85	89	94	96	1	2	3	3	2	2	1	1	2	1	1	2	4	2	1	2	3	1	2	2	6	3	4	2	1	2	3	1	1	1	4	1	4	2	2	5	4	1	2	1	2	1	1	2	1	1	2	1	5	3	1	2	2	2	4	7	1	1	1	3	3	1	2	2	1	6	3	1	4	3	3	3	5	3	2	3	4	5	2	8	3	3	3	1	3	5	5	1	4	1	1	5	1	2	2	4	2
