step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14
1	-122.918617288697206	-121.456535204178323	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.449208364296730	1	1	4	3	2	3	3	7	6	6	6	7	8	12	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	3	3	3	3	3	4	6
500	-103.086825779205356	-101.113004117260587	-1.973821661944764	0.000009998957555	0.000022737831662	2.274020220252912	0.491643987796011	1	0	4	3	2	4	4	8	6	7	5	8	9	12	2	0	2	1	1	4	1	11	7	9	5	9	9	9	1	1	2	1	1	1	2	1	1	1	2	1	2	4
1000	-95.166954613094305	-93.187923789548265	-1.979030823546035	0.000010054272844	0.000022998186100	2.287404216786982	0.657030483812345	1	0	4	2	1	4	4	6	5	7	7	7	8	12	2	0	4	2	2	4	4	5	1	9	8	9	9	9	1	1	1	1	1	1	1	2	2	1	1	1	2	5
1500	-101.464277032483210	-99.037418918155026	-2.426858114328180	0.000010135406555	0.000035827953096	3.534930039736238	0.766313926810692	1	0	4	3	3	2	4	6	3	5	5	7	8	12	2	0	4	1	1	1	1	5	1	9	5	9	9	13	1	1	1	1	2	1	1	1	1	1	1	2	2	2
2000	-89.181427891176284	-87.126044825468128	-2.055383065708150	0.000010195310494	0.000025347496847	2.486191750913980	0.765574706454373	2	1	4	3	3	3	4	5	6	7	7	8	9	13	2	0	2	1	2	2	4	5	1	9	8	9	9	13	1	1	1	1	1	1	1	1	2	1	1	1	2	2
2500	-88.178478556656657	-86.391612511131314	-1.786866045525339	0.000010105401771	0.000018254546558	1.806414724696293	0.724682112764389	2	1	4	3	3	3	4	4	5	6	6	7	8	12	2	0	1	2	2	2	1	5	2	9	8	9	9	13	1	1	1	1	1	1	1	1	2	1	1	1	1	2
3000	-91.801641021769925	-90.065895935521738	-1.735745086248187	0.000009984781570	0.000016793103011	1.681869842975799	0.855082617739798	2	1	4	4	3	4	3	4	5	7	7	7	9	12	2	0	1	2	1	1	1	5	2	9	8	9	9	13	1	1	1	1	1	1	1	1	2	1	2	1	2	1
3500	-98.142329887696164	-96.363639313791055	-1.778690573905108	0.000010365386467	0.000018517042007	1.786430449536443	0.698161569166910	2	0	4	3	3	3	4	6	5	7	6	7	8	12	2	0	4	2	2	1	4	5	4	9	5	9	9	9	1	1	1	2	1	1	1	2	1	1	2	1	2	4
4000	-95.308077360843029	-93.453900390839493	-1.854176970003535	0.000010738006276	0.000021177571551	1.972207037956822	0.558088710460412	2	1	5	3	3	3	4	8	6	7	6	7	8	11	2	0	5	2	2	2	1	11	1	9	5	9	9	9	1	1	1	1	1	1	1	2	2	1	2	1	1	3
4500	-100.800806987339229	-99.211188863975508	-1.589618123363727	0.000010977679207	0.000014569276702	1.327172749995543	0.619683309343298	2	1	4	3	2	4	4	7	5	7	5	8	7	12	2	0	4	2	2	2	2	11	7	9	5	13	9	9	1	1	1	1	1	1	1	1	1	2	2	1	1	3
5000	-88.533096985558799	-87.146689098372448	-1.386407887186348	0.000012475315382	0.000009430611405	0.755941722988859	0.848007573409853	2	1	4	3	3	4	4	7	5	6	6	8	8	11	2	0	1	1	2	2	1	11	4	9	5	9	9	13	1	1	1	1	1	1	1	1	1	1	2	2	2	1
5500	-94.444487534011543	-91.851340010068839	-2.593147523942704	0.000011722314555	0.000047531236962	4.054765527586231	0.781046113877151	1	0	2	3	3	3	3	8	5	6	6	7	8	12	2	0	2	1	2	1	1	11	4	9	5	9	9	9	1	1	1	1	1	1	1	1	1	1	2	1	1	3
6000	-94.745280912390641	-93.201807620983544	-1.543473291407091	0.000016538095362	0.000020058419795	1.212861539133278	0.585118570870371	2	0	4	3	3	3	3	8	6	7	4	7	8	11	2	0	2	2	2	2	1	5	1	9	5	4	9	9	1	1	3	2	2	2	1	3	2	1	1	2	1	2
6500	-81.238273909651184	-79.776689038598434	-1.461584871052744	0.000030924385147	0.000010053570895	0.325101723029494	0.944606588166065	1	0	5	3	3	2	4	6	5	7	7	8	9	11	2	0	4	1	2	1	4	5	1	9	8	9	9	13	1	1	1	1	1	1	1	1	1	1	1	2	1	1
7000	-76.121258111601577	-74.758347754407097	-1.362910357194484	0.000080012902659	0.000042060068995	0.525666081306700	0.626748427276587	1	0	3	3	2	4	3	6	6	7	7	8	8	12	2	0	1	1	2	4	2	5	4	9	8	9	8	12	1	1	1	1	1	1	2	2	1	1	1	2	1	3
7500	-70.937729747625568	-69.306562910062553	-1.631166837563020	0.000121283066095	0.000027563689233	0.227267417624978	0.837407747340392	2	1	5	4	3	4	3	6	6	7	7	7	9	12	2	0	5	2	2	1	2	5	1	9	8	3	9	9	1	1	1	1	1	1	1	1	1	1	1	1	1	2
8000	-70.305678421145529	-68.940121010654209	-1.365557410491321	0.000076645335194	0.000049313941224	0.643404338945527	0.916354869160300	1	0	4	3	3	2	4	7	5	6	5	7	8	12	2	0	1	1	1	2	4	11	4	9	5	9	9	13	1	1	1	1	1	1	1	1	1	1	2	1	2	2
8500	-73.316535572279605	-71.279710060678411	-2.036825511601195	0.000136875212878	0.000018231165807	0.133195524770896	0.682204280761829	2	1	4	3	3	2	3	7	6	6	6	8	8	10	2	0	5	2	2	2	1	5	2	4	5	11	10	9	1	1	1	1	1	1	1	2	2	2	2	1	1	3
9000	-61.657822697570680	-59.959882322517288	-1.697940375053391	0.000099453478395	0.000020303764774	0.204153390120706	0.966690667059429	2	1	3	4	3	4	3	8	6	7	6	8	8	10	2	0	2	1	2	1	2	11	4	9	1	9	9	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1
9500	-76.860315990154263	-74.620393246081875	-2.239922744072389	0.000100501810137	0.000010915899175	0.108613955909853	0.718688929742422	1	0	2	3	2	3	4	5	5	7	7	8	7	9	2	0	1	1	2	2	2	4	1	9	8	9	4	9	1	1	1	1	1	2	2	1	2	1	1	1	2	2
10000	-76.913882090433120	-75.051411430329438	-1.862470660103682	0.000183638631719	0.000029916893604	0.162911764937440	0.832946430639807	2	0	4	4	3	4	2	8	5	6	7	8	9	12	2	0	2	1	1	2	2	11	6	9	6	9	10	13	1	1	2	1	1	2	1	1	1	1	2	1	1	2
10500	-71.196465977737972	-69.828038087800579	-1.368427889937400	0.000144822127454	0.000070734856143	0.488425749481621	0.778691829899498	2	1	4	3	3	2	4	6	5	6	6	8	8	11	2	0	1	2	2	2	6	5	4	9	5	9	8	13	1	1	1	1	1	1	1	2	1	1	1	1	1	2
11000	-73.690699410597020	-71.504143563412327	-2.186555847184687	0.000170395898022	0.000019477623872	0.114308056109304	0.619989812426449	2	0	4	3	2	2	2	7	6	7	6	8	9	11	2	0	1	1	2	2	2	5	3	9	5	9	5	8	1	1	1	1	1	1	1	2	1	1	2	1	3	3
11500	-70.638420156619276	-69.259608334178239	-1.378811822441042	0.000126400852731	0.000056821849679	0.449536917289332	0.794184598213868	2	1	5	3	3	3	4	5	5	7	7	6	8	12	2	0	4	2	2	2	4	7	4	9	8	9	4	13	1	1	1	1	1	1	1	1	1	1	1	1	2	3
12000	-74.276433912108459	-71.661940706206153	-2.614493205902311	0.000167858521549	0.000013214380904	0.078723324752167	0.794747940499239	2	0	4	3	2	3	2	7	6	7	6	7	9	10	2	0	2	1	2	2	2	5	1	9	5	4	10	9	1	1	2	1	1	1	1	1	2	1	2	2	1	2
12500	-76.702623785536858	-75.071447917190156	-1.631175868346702	0.000093442035953	0.000021236004190	0.227263928634926	0.774662453516950	2	1	4	4	2	2	4	6	7	7	5	8	8	12	2	0	1	1	2	2	2	5	1	1	5	8	8	13	1	1	1	1	1	1	2	2	2	2	2	1	1	2
13000	-80.769330989844178	-79.168983477675383	-1.600347512168799	0.000152501060698	0.000036580703124	0.239871794702475	0.465844464147283	2	1	3	4	2	4	3	7	5	7	6	7	8	13	2	0	1	1	2	1	2	5	2	4	5	4	2	13	1	1	1	2	1	1	1	2	2	2	1	2	2	2
13500	-79.797759591220938	-77.810695853422288	-1.987063737798645	0.000090231460476	0.000012691840588	0.140658707295199	0.499635385608758	2	0	4	3	3	3	3	7	6	7	7	8	8	12	2	0	4	2	1	2	2	5	1	9	5	2	9	13	1	1	1	1	1	2	2	2	1	1	2	4	2	3
14000	-69.872617220120731	-68.327585424807893	-1.545031795312838	0.000114926771952	0.000030664211035	0.266815212107739	0.841172839694510	1	-1	3	3	1	3	3	6	4	6	4	7	8	12	2	0	1	2	2	1	1	11	4	9	5	9	9	13	1	1	1	1	1	1	1	1	1	1	1	1	2	2
14500	-78.453254684956804	-76.516182493617649	-1.937072191339156	0.000119617743655	0.000017812149819	0.148908926677473	0.685891548762006	2	0	5	1	3	4	3	8	6	5	6	8	9	13	2	0	2	2	4	1	4	5	1	2	5	9	11	9	1	1	2	1	1	1	1	2	2	2	2	1	2	3
15000	-76.460932590367278	-74.801296948632597	-1.659635641734682	0.000152406970221	0.000033040735924	0.216792813845521	0.497889975224448	2	1	3	4	3	3	4	7	5	6	6	8	8	12	2	0	2	1	2	2	1	5	4	4	5	8	1	9	1	1	1	2	1	1	1	2	1	1	1	1	2	4
15500	-72.735003688842241	-71.337069086567681	-1.397934602274562	0.000084774702053	0.000034363317997	0.405348732161500	0.792178110817686	2	1	3	3	3	3	3	7	4	6	6	8	6	13	2	0	2	1	2	1	2	11	1	9	5	13	9	10	1	1	1	1	1	1	1	1	1	1	1	1	1	3
16000	-71.141627569106120	-68.998304683788390	-2.143322885317725	0.000208733137890	0.000024898716983	0.119284926366168	0.805087080035653	1	0	3	3	3	3	3	7	4	6	5	7	9	12	2	0	2	1	1	2	1	5	1	9	5	9	9	13	1	1	1	1	1	1	1	1	1	1	1	1	2	1
16500	-64.873107624305803	-62.869381253220574	-2.003726371085235	0.000147922634164	0.000020425450048	0.138081978888826	0.845282550902963	2	1	4	3	2	3	3	6	5	7	7	8	8	12	2	0	1	1	2	2	1	9	1	9	8	10	10	13	1	1	1	1	1	1	1	1	1	1	1	1	1	2
17000	-72.720762888785558	-70.586524215187779	-2.134238673597784	0.000149235613626	0.000017964355650	0.120375795120401	0.733281665197661	1	0	4	4	2	4	3	7	6	7	6	8	8	12	2	0	2	2	2	1	1	5	4	9	2	9	9	9	1	1	2	2	1	2	1	2	1	1	2	1	1	2
17500	-70.484940443832059	-68.836972854416985	-1.647967589415073	0.000108058043120	0.000023876868175	0.220963359006930	0.867658684450807	2	1	5	3	3	4	4	7	5	7	5	7	6	11	2	0	1	2	1	4	1	5	4	13	5	9	9	13	1	1	1	1	1	1	1	2	1	1	1	1	1	1
18000	-67.909449049209769	-66.085099132776051	-1.824349916433713	0.000122336688441	0.000020920788801	0.171009932241666	0.807243362797596	2	0	4	2	3	2	4	7	5	7	5	7	8	10	2	0	4	2	2	2	1	11	2	9	5	9	8	9	1	1	1	1	1	1	1	1	2	1	1	1	1	2
18500	-70.375222727350462	-68.296353827954732	-2.078868899395729	0.000164052997166	0.000020899723087	0.127396167386405	0.938158018242905	1	0	4	3	3	2	3	5	7	5	6	8	7	11	2	0	1	1	1	2	1	5	8	5	8	9	3	9	1	1	2	1	1	1	1	1	1	1	1	1	1	1
19000	-75.242357283744639	-72.509160909122556	-2.733196374622088	0.000238463084722	0.000017129664342	0.071833610482758	0.737129899230143	2	0	5	3	2	3	4	7	5	6	6	6	7	12	2	0	4	2	2	1	4	3	1	9	5	1	4	13	1	1	1	1	1	1	1	1	1	1	2	1	2	3
19500	-75.459155632450774	-73.458221824456999	-2.000933807993768	0.000178260999874	0.000024690605329	0.138508172547722	0.815706079565912	2	0	5	2	3	3	4	6	4	6	7	7	8	12	2	0	9	2	2	2	5	7	4	9	10	9	10	13	1	1	1	1	2	1	1	1	1	1	1	2	1	2
20000	-66.600139545326982	-64.898045697385584	-1.702093847941395	0.000095032899397	0.000019279374867	0.202870532095880	0.871630090085428	1	0	5	3	3	2	3	6	6	7	7	7	8	11	2	0	4	1	1	2	2	5	5	9	8	9	4	13	1	1	1	1	1	1	1	1	1	1	1	1	3	1
20500	-65.264986485910654	-63.799080953412869	-1.465905532497785	0.000104282437452	0.000033501180944	0.321254295185932	0.851802842909588	2	1	4	3	3	3	3	7	6	7	5	7	9	12	2	0	4	2	2	1	2	5	5	9	5	9	9	13	1	1	1	1	1	1	1	1	1	1	1	1	2	2
21000	-63.376527649364512	-61.666939257267956	-1.709588392096553	0.000107042447929	0.000021472224298	0.200595415308584	0.918228967794795	2	1	4	3	2	4	3	8	5	7	5	8	7	12	2	0	1	2	2	1	2	11	4	9	5	9	9	13	1	1	1	1	1	1	1	1	1	1	1	1	1	2
21500	-65.109829631483379	-63.608667059992989	-1.501162571490386	0.000131714342992	0.000038703012512	0.293840531207199	0.916720056912835	2	1	4	3	2	4	4	5	5	7	6	7	9	11	2	0	1	2	2	2	4	5	5	9	8	9	9	13	1	1	1	1	1	1	1	1	1	1	1	1	2	1
22000	-65.530755711065225	-64.154799032373887	-1.375956678691334	0.000103417696702	0.000073235462780	0.708152135612468	0.918206087828950	2	1	4	3	3	4	3	8	5	7	6	7	8	11	2	0	4	2	2	1	1	11	4	9	5	9	9	13	1	1	1	1	1	1	1	1	1	1	1	1	1	2
22500	-73.110809244567804	-71.336753647644954	-1.774055596922856	0.000152598506403	0.000027908915323	0.182891143437064	0.645316006219806	1	0	4	3	3	4	3	7	5	6	6	7	8	11	2	0	4	1	2	4	2	5	5	9	5	9	9	12	1	1	1	1	1	1	1	1	1	1	2	1	2	2
23000	-68.867549688548038	-67.351233564295725	-1.516316124252320	0.000097206115182	0.000027585140038	0.283779883463886	0.560294377666646	2	1	4	3	3	2	3	8	5	6	5	7	9	12	2	0	4	2	2	2	2	5	4	9	5	9	1	13	1	1	1	1	1	1	1	2	1	1	1	1	4	2
23500	-65.719416003376338	-64.351628523109056	-1.367787480267278	0.000090108084220	0.000044304216914	0.491678602397448	0.853805321017249	2	1	4	4	2	2	4	7	6	7	5	8	8	11	2	0	1	1	2	2	1	11	4	9	2	9	9	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1
24000	-66.366804350563370	-64.966939771873214	-1.399864578690149	0.000121779501520	0.000048933421992	0.401819857865335	0.996261625874404	1	0	4	4	3	3	4	8	6	7	7	8	8	11	2	0	1	2	1	1	1	11	4	9	5	9	9	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1
24500	-79.468464494837463	-77.649151734145420	-1.819312760692047	0.000137674288448	0.000023698563378	0.172134998080532	0.629406670338032	1	-1	3	2	3	3	4	7	4	6	5	7	8	12	2	0	4	1	4	1	1	11	4	7	5	9	4	12	1	1	1	1	1	1	2	1	1	1	1	2	4	4
25000	-69.871863628577998	-68.386009631274618	-1.485853997303374	0.000159963960643	0.000048783579195	0.304966062346590	0.905105633247982	2	1	5	4	3	3	4	5	6	6	7	7	8	12	2	0	2	1	1	1	6	5	5	7	8	3	10	9	1	1	2	1	1	1	1	1	1	1	1	1	1	2
25500	-71.751415199606456	-69.513110308263776	-2.238304891342680	0.000124041513923	0.000013493212693	0.108779813035303	0.640571990818463	1	-1	4	3	2	4	4	5	5	6	7	7	7	12	2	0	5	1	1	4	5	5	4	9	8	9	9	4	1	1	1	1	1	1	1	1	1	1	1	1	1	4
26000	-71.797681008382142	-69.990035343598208	-1.807645664783939	0.000104329741531	0.000018236193768	0.174793817180631	0.867144596037484	1	0	5	3	2	3	3	5	4	6	4	6	9	12	2	0	4	1	1	1	1	2	2	9	5	9	9	13	1	1	1	1	1	1	1	2	2	1	1	1	2	1
26500	-71.300569202360862	-69.659112450436339	-1.641456751924527	0.000088720199808	0.000019816806605	0.223362961854414	0.907710475126306	1	0	4	3	2	3	4	6	4	5	7	7	9	12	2	0	4	1	2	1	5	5	2	9	8	9	9	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1
27000	-78.419766275013700	-76.836108862030741	-1.583657412982954	0.000122370781497	0.000030268035964	0.247346920509257	0.886062007388659	2	0	4	2	3	4	3	5	6	7	7	8	7	10	2	0	5	2	2	4	2	5	1	9	8	9	9	11	1	1	1	1	1	1	1	1	2	1	1	1	1	1
27500	-67.686030886904618	-66.180801881266632	-1.505229005637985	0.000173688994270	0.000050552986816	0.291054634915159	0.910512435362959	2	1	5	3	2	3	3	4	5	7	6	7	9	11	2	0	4	1	2	1	2	5	2	9	8	9	9	13	1	1	1	1	1	1	1	1	1	1	1	1	2	1
