step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37
1	-1527.633376483387792	-1526.171294398868895	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.974276105487297	0	3	3	5	5	6	4	6	7	7	8	8	7	8	7	7	9	8	9	9	9	9	9	10	11	12	10	12	13	11	12	14	14	14	13	15	17	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	3	3	2	3	4	4	4	4	4	4	4	4	5	4	5	5	5	5	5	5	6	6	5	6	7	6	6	7	7	7	7	8	9
500	-196.422187687155400	-194.704736251565862	-1.717451435589541	0.000009981109234	0.000016344026655	1.637496020906057	0.733797765985900	1	2	3	4	4	7	4	5	6	8	8	8	7	8	7	7	9	7	9	9	9	9	9	10	10	12	10	12	12	11	12	14	15	14	12	14	17	0	1	2	2	2	8	0	3	4	18	15	16	2	6	8	8	9	7	18	13	16	16	15	16	22	23	20	21	16	15	27	28	32	29	27	29	36	1	1	1	1	1	1	1	1	2	1	1	1	3	1	1	1	2	1	1	2	1	1	1	2	1	2	1	1	3	2	1	2	1	1	2	1	2
1000	-210.644003566581887	-208.545281587610759	-2.098721978971136	0.000009972786871	0.000025942460692	2.601325088639313	0.708199682163175	0	2	4	3	5	6	3	5	5	7	9	8	7	7	8	6	8	9	9	9	10	9	10	11	11	12	9	12	13	12	12	15	14	12	14	15	17	0	1	2	2	4	8	0	3	4	7	15	16	4	8	6	8	9	10	10	13	16	16	15	22	22	23	13	21	22	15	27	28	21	22	27	28	32	1	1	1	1	1	1	1	1	1	3	1	1	2	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	2	2	2	2	1	2	1	1
1500	-194.167999065348482	-192.259832950817383	-1.908166114531106	0.000009997442959	0.000021065974974	2.107136300675504	0.739655465332308	1	2	3	6	5	6	4	5	7	6	8	9	7	8	6	7	9	8	9	10	9	9	9	11	10	13	10	12	13	12	11	13	15	14	13	16	18	0	1	2	2	2	8	0	3	2	7	15	16	4	6	8	8	9	10	18	4	16	16	15	22	16	11	13	21	22	23	27	21	32	28	27	32	36	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	2	2	2	2	2	2	1	2	1	1	1	1	1
2000	-195.801638453449101	-194.363750639367481	-1.437887814081618	0.000009881232835	0.000009196750265	0.930729031345802	0.709326464697709	0	3	4	5	6	6	4	5	8	8	9	7	8	8	7	8	9	7	9	10	9	9	10	10	11	12	9	12	13	11	12	14	14	13	12	14	17	0	1	2	2	2	8	0	3	3	18	15	8	5	8	6	12	9	7	18	5	16	16	15	16	22	11	5	21	22	23	27	28	28	22	27	28	36	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	2	2	2	1	2	1	1	2	1	2	2
2500	-201.063416043344830	-199.525323042055533	-1.538093001289306	0.000009932631204	0.000011912605429	1.199340354417349	0.696687672492232	0	2	3	4	5	6	4	5	5	7	6	7	7	8	8	8	9	8	10	10	10	10	10	11	11	12	9	13	13	10	12	14	14	15	14	15	17	0	1	2	2	4	8	0	3	2	7	8	6	5	8	11	12	9	10	18	5	16	16	15	16	16	23	5	21	22	15	27	21	22	29	27	29	36	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	2	1	2	1	2	2	1	2	2	2	1	2	2	2	1	3	1	1
3000	-184.843000934072279	-183.361955966993548	-1.481044967078742	0.000009916342622	0.000010429095475	1.051707859745102	0.677045616401070	0	2	3	5	5	6	5	5	6	7	8	7	7	7	6	8	8	8	9	9	9	9	9	10	12	12	10	12	12	11	12	14	14	15	13	15	17	0	1	2	2	2	8	0	3	2	7	15	6	5	8	8	12	9	10	10	5	16	16	15	16	22	11	13	21	22	23	27	21	28	32	31	32	36	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	2	2	2	1	1	1	3	1	1	1	1	2
3500	-190.876850136873770	-188.809429843243180	-2.067420293630591	0.000010197936611	0.000025678372968	2.517996919000324	0.753861408877576	0	1	3	3	6	5	4	6	7	6	7	7	7	8	8	8	9	8	10	8	9	9	10	10	11	12	9	12	13	11	11	14	14	14	12	15	17	0	1	2	2	2	3	0	6	4	7	6	6	5	6	11	12	9	10	18	13	16	16	15	16	16	23	20	21	16	15	27	28	21	16	27	29	36	1	1	2	1	2	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	2	2	1	1	1
4000	-195.434752745578379	-193.244442232026501	-2.190310513551865	0.000010261040521	0.000029249441786	2.850533698396735	0.710166263749659	1	3	4	5	5	5	5	7	7	7	7	7	7	7	8	8	9	9	10	9	10	10	9	11	9	10	9	13	13	10	13	14	15	14	14	15	17	0	1	2	2	2	3	0	6	4	7	6	6	5	6	11	12	9	10	10	5	16	16	15	16	16	11	13	21	16	23	27	21	29	28	27	21	36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	2	2	3	1	2	2	1	1	2	2	1
4500	-197.668183795314263	-196.092309738478406	-1.575874056835857	0.000010768550954	0.000013927840603	1.293381130184523	0.764182706459933	0	3	4	5	5	5	3	6	7	6	9	6	7	8	7	7	9	8	9	8	8	10	10	10	12	13	9	13	13	11	12	13	14	15	13	15	18	0	1	2	2	2	3	0	6	4	7	15	6	5	6	6	12	9	10	18	5	16	16	15	16	22	11	5	21	21	11	27	21	29	29	31	32	36	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	2	2	2	2	2	2	1	1	1	1	1
