step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18
7500	-181.102620395996411	-179.139959527146743	-1.962660868849674	0.000385303670481	0.000055708913818	0.144584435825246	0.401958152219669	0	5	10	13	15	16	20	19	19	18	22	21	22	24	24	24	38	42	0	1	2	3	3	4	10	10	4	5	5	9	9	12	12	9	6	9	1	4	2	1	3	2	2	1	3	1	4	1	2	2	1	2	8	11
8000	-161.567488821144991	-159.983979891672305	-1.583508929472689	0.000198935946469	0.000049219878696	0.247415711287713	0.389481969872638	1	4	9	13	16	17	18	20	17	20	21	20	23	24	25	26	36	39	0	1	1	1	4	2	5	5	3	7	2	9	12	12	14	9	11	16	1	2	4	6	2	7	2	3	4	1	7	2	2	3	1	5	7	7
8500	-161.665690642233784	-160.018639263695803	-1.647051378537991	0.000310812180245	0.000068782057231	0.221297817791939	0.355051998501398	0	5	9	15	15	17	19	19	17	20	20	21	22	23	25	25	37	42	0	1	2	3	3	4	9	4	3	7	3	6	12	4	13	14	14	14	1	2	3	3	4	1	1	2	4	1	7	2	1	6	1	2	7	8
9000	-173.774777301512245	-172.296872870936880	-1.477904430575377	0.000252872993364	0.000078691182645	0.311188559911422	0.225567104925284	1	6	10	15	15	17	20	20	18	18	21	20	23	24	25	26	39	41	0	1	2	1	3	2	10	10	2	5	3	3	11	13	13	14	4	6	1	2	3	8	3	6	1	1	5	1	6	5	2	1	1	2	10	10
9500	-164.430385116176978	-162.825487554417606	-1.604897561759385	0.000146267532618	0.000034799664471	0.237917901865181	0.180234967644402	1	5	8	15	15	18	19	19	19	18	21	21	22	22	24	25	37	40	0	1	1	2	3	4	5	10	3	5	2	6	6	6	12	9	4	11	1	2	4	6	6	1	2	1	6	1	10	2	2	2	1	2	11	9
10000	-155.361514956975981	-153.673547410685217	-1.687967546290775	0.000165713357536	0.000034352398563	0.207300117946062	0.311103416615906	-1	6	9	14	15	18	18	17	19	18	22	20	23	22	23	25	38	41	0	1	2	2	2	4	8	5	6	8	1	6	14	12	12	4	11	11	1	4	1	4	4	3	1	1	1	1	13	1	1	1	2	4	7	8
10500	-155.579078954746024	-153.968087083187015	-1.610991871559020	0.000235587147018	0.000055446300756	0.235353674671269	0.315694240580712	0	6	9	14	15	18	18	20	19	19	22	22	22	23	24	26	39	42	0	1	2	1	2	4	4	7	6	7	3	6	6	9	12	14	4	11	1	3	2	6	4	2	2	1	1	1	6	2	2	2	1	2	13	11
11000	-163.953014506939070	-162.392304416360702	-1.560710090578379	0.000211909915864	0.000054780428863	0.258508095950221	0.249704947459814	-1	6	9	15	15	17	19	19	18	18	22	21	23	24	25	24	38	42	0	1	2	1	2	2	4	10	2	4	6	6	12	13	4	6	9	9	1	3	2	7	5	5	2	1	7	1	2	2	1	1	5	4	10	10
11500	-172.388547788499523	-170.907175354214644	-1.481372434284868	0.000280225791391	0.000086430969814	0.308433315094088	0.233204057418064	0	5	10	14	15	16	18	19	16	20	21	21	21	24	25	26	39	42	0	1	2	3	2	4	9	7	1	7	6	4	4	11	14	4	13	13	1	2	3	2	5	1	2	1	10	1	2	4	7	2	1	6	10	12
12000	-170.588474850884040	-169.166330950134665	-1.422143900749371	0.000215920444913	0.000079415162435	0.367798253040722	0.268862836557651	0	6	9	15	15	17	19	19	18	17	21	21	21	22	25	26	38	41	0	1	2	3	2	2	10	10	4	5	1	4	9	4	4	6	14	15	1	4	2	4	4	5	1	2	2	1	9	3	1	5	5	4	8	6
12500	-171.694799757581734	-170.159810907322736	-1.534988850258993	0.000261069746814	0.000071133716506	0.272470163143809	0.313494347566693	0	5	9	15	13	18	20	19	18	19	21	22	22	23	24	27	38	40	0	1	2	5	2	4	5	9	3	5	2	6	4	4	6	15	14	11	1	3	2	2	4	2	4	1	4	3	7	2	3	4	3	1	5	9
13000	-170.196207887154173	-168.513648365523807	-1.682559521630371	0.000254212249235	0.000053142344429	0.209047143041821	0.264269250946066	0	5	9	16	16	15	20	18	18	20	22	20	21	23	23	26	37	39	0	1	2	1	2	2	4	4	2	8	2	6	12	13	13	6	9	9	1	3	2	6	6	4	3	1	7	1	9	2	1	1	1	3	8	11
13500	-178.511900778298440	-176.821182179384749	-1.690718598913699	0.000258721860660	0.000053406016915	0.206422514042474	0.134907029987412	0	4	9	14	15	18	20	18	19	19	22	22	23	24	24	25	38	41	0	1	2	2	3	2	8	4	3	6	2	9	9	12	12	13	9	11	1	1	3	6	3	8	1	3	6	1	8	1	2	1	1	1	8	12
14000	-171.969144329936086	-170.485722514626275	-1.483421815309804	0.000231802806938	0.000071125224128	0.306835042538906	0.314522943281032	0	5	9	15	16	18	20	18	19	19	22	22	21	23	24	27	38	41	0	1	2	3	4	3	8	5	2	8	3	4	3	12	11	4	9	13	1	3	2	3	1	5	1	2	7	1	6	4	7	1	1	6	9	9
14500	-173.780288554437760	-172.109589405536838	-1.670699148900934	0.000326858195869	0.000069615448154	0.212983639492354	0.405739700094456	0	6	10	14	15	17	19	18	18	19	22	22	22	24	25	25	38	40	0	1	2	3	4	4	5	5	4	5	6	9	2	11	9	14	11	13	1	2	1	2	1	2	2	2	4	4	3	3	8	2	4	1	6	9
15000	-155.568224715411162	-154.077285440661086	-1.490939274750070	0.000271283481309	0.000081697563092	0.301152000475062	0.308324641313989	0	5	10	14	15	16	19	17	18	19	20	20	22	23	25	26	37	41	0	1	2	3	2	4	8	5	6	5	1	6	2	12	14	3	13	13	1	3	3	2	3	1	1	1	1	2	11	2	9	2	1	6	8	10
15500	-162.053683223523564	-160.604177067378544	-1.449506156145021	0.000240953858754	0.000081101091611	0.336583493745643	0.280786590757536	1	6	9	15	14	17	18	19	18	19	20	21	20	23	25	26	37	39	0	1	1	3	3	2	5	7	4	5	1	9	9	4	14	6	11	16	1	2	3	3	2	4	2	1	2	2	9	2	1	3	1	6	8	7
16000	-175.018399307690515	-173.313702063955219	-1.704697243735304	0.000537076060954	0.000108529376066	0.202074499231075	0.263915362466679	-1	5	10	13	15	17	19	20	19	17	21	21	23	23	23	26	38	41	0	1	1	1	2	5	3	2	5	3	1	9	9	10	6	12	16	3	1	3	5	6	4	1	3	6	2	3	12	1	2	2	3	3	7	15
16500	-186.560907988060734	-184.795683070157565	-1.765224917903168	0.000426606719606	0.000078980908659	0.185137516660806	0.230260918091436	-1	5	9	16	16	17	19	19	18	19	21	21	23	23	24	25	37	41	0	1	2	1	2	1	2	2	5	3	1	9	9	9	12	9	16	2	1	3	1	8	6	9	7	7	2	5	10	1	3	3	2	3	6	18
17000	-204.047248967904551	-201.996782347212815	-2.050466620691742	0.000475123570306	0.000062367626428	0.131266117543942	0.163543675472826	-1	6	10	15	15	16	20	19	18	20	21	22	22	23	24	26	38	41	0	1	1	1	3	2	3	3	5	3	3	7	9	12	3	10	16	3	1	3	6	8	3	5	8	6	2	7	7	1	1	1	5	3	7	15
17500	-184.542339866011929	-182.901525140829790	-1.640814725182142	0.000306141539791	0.000068454014170	0.223602501694174	0.220215659720633	1	5	8	15	16	18	20	20	15	18	21	20	22	23	23	25	36	41	0	1	2	1	2	2	9	9	2	4	2	2	5	5	5	14	12	4	1	2	1	6	7	7	2	2	5	2	9	8	5	3	3	1	8	17
18000	-176.485650296057344	-174.922445067614717	-1.563205228442628	0.000307205691614	0.000079025580793	0.257239963158543	0.309905533463581	1	5	9	13	15	16	18	20	17	19	21	22	22	24	23	26	37	41	0	1	1	3	2	3	3	10	5	5	1	2	2	9	2	14	15	13	1	3	5	2	4	4	4	1	1	2	10	8	7	4	9	1	8	9
18500	-182.471115898609071	-180.910330391445825	-1.560785507163233	0.000298126846237	0.000077056714398	0.258469558747452	0.303215352938017	0	5	9	15	15	17	19	17	18	20	22	21	23	22	24	25	38	42	0	1	2	1	2	2	8	4	3	8	2	3	2	3	9	6	12	14	1	2	4	6	3	7	2	1	4	2	9	6	8	7	3	3	7	11
19000	-168.815810333782082	-167.041845618873822	-1.773964714908250	0.000190363472821	0.000034820144400	0.182914000695653	0.276315091998730	1	6	9	16	14	17	19	19	18	20	21	21	22	23	25	25	38	41	0	1	2	2	2	2	5	5	4	8	2	4	12	13	13	11	4	11	1	2	2	4	4	5	3	2	1	1	6	3	1	1	1	2	12	10
19500	-175.071741936416174	-173.599148326967594	-1.472593609448584	0.000274007882774	0.000086459757177	0.315537481261915	0.428094528529411	-1	4	7	16	15	17	19	20	18	18	21	22	22	24	24	25	36	40	0	1	2	2	2	2	10	4	5	4	9	11	9	12	13	9	4	6	1	2	2	8	4	7	1	1	1	1	2	1	2	1	1	5	8	13
20000	-173.690322791087681	-172.267460732601222	-1.422862058486445	0.000287876742237	0.000105610267965	0.366859327170654	0.240870149301741	0	3	10	13	15	18	20	20	18	17	22	21	23	22	24	25	37	41	0	1	2	3	4	2	10	10	4	5	3	9	4	4	12	13	6	11	1	1	2	2	1	6	2	1	3	1	6	2	3	3	2	1	7	11
20500	-164.980287994214791	-163.248082475159379	-1.732205519055404	0.000299615955140	0.000058132039353	0.194021841481227	0.232878688623624	0	6	8	15	15	18	19	18	19	20	22	21	22	24	23	27	39	40	0	1	2	1	2	2	8	4	5	7	2	9	9	9	9	14	4	6	1	2	1	7	4	5	1	1	2	1	7	2	1	2	2	2	9	13
21000	-159.233237544915966	-157.719807131933720	-1.513430412982258	0.000235668727266	0.000067314087399	0.285630122331265	0.321619023960921	1	4	10	14	16	16	19	18	19	19	21	21	22	23	22	26	38	42	0	1	1	2	4	2	8	5	3	8	9	9	4	9	9	11	3	3	1	1	6	5	1	7	1	1	3	1	1	1	3	1	1	2	10	15
21500	-161.076461573825810	-159.495569067096227	-1.580892506729582	0.000264361648206	0.000065729510369	0.248634818307745	0.238004365606328	1	4	9	15	16	17	18	19	17	20	22	22	20	24	25	24	39	41	0	1	2	3	3	3	5	7	2	8	13	13	4	4	13	6	9	9	1	1	3	3	2	5	1	1	7	1	1	1	2	6	2	3	9	12
22000	-175.257738421796319	-173.741320032957049	-1.516418388839275	0.000243520512514	0.000069090385646	0.283714849860138	0.285410654432708	1	6	9	13	16	18	17	18	18	19	21	21	22	23	25	25	38	40	0	1	2	3	2	2	5	7	2	8	6	6	4	2	13	13	2	14	1	3	2	2	5	4	1	1	6	1	1	2	5	8	1	1	14	9
22500	-169.125060456754454	-167.696831648862343	-1.428228807892106	0.000306232012290	0.000110268156624	0.360080436396707	0.231611716639208	1	5	10	15	14	18	18	20	18	19	22	21	23	23	24	26	39	42	0	1	1	1	2	2	3	10	5	6	12	9	2	11	9	12	4	6	1	3	6	6	4	6	3	1	3	1	1	3	8	1	2	3	11	11
