step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92
1	-746.150448141431184	-755.201291521882581	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.873958912078300	0	1	5	4	2	7	11	3	5	5	7	5	6	7	5	13	10	6	9	9	9	10	7	7	7	7	11	9	7	9	11	9	9	8	15	9	10	9	12	9	17	11	9	10	10	9	11	11	10	14	10	11	10	10	11	11	10	11	11	11	12	12	11	12	17	13	13	12	13	12	13	12	13	14	16	15	14	14	16	17	16	15	16	15	18	17	16	16	21	20	18	25	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-281.921424204606012	-290.972267585057352	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.983726636456050	0	2	6	5	3	5	12	4	6	4	8	4	7	8	6	13	10	7	9	10	9	10	7	6	5	5	9	8	7	8	12	9	10	8	15	9	8	8	12	9	16	11	9	11	10	6	11	12	9	11	9	12	8	10	12	10	9	10	11	12	12	13	12	13	17	13	13	13	14	13	13	12	14	12	16	15	13	12	17	14	11	16	15	15	18	15	15	15	21	20	19	15	0	1	6	10	2	5	17	1	26	2	46	5	24	18	5	40	15	2	9	34	29	27	26	26	10	12	53	29	4	10	33	14	32	8	60	37	18	13	37	23	56	43	12	32	34	2	58	56	13	11	38	58	23	38	51	29	30	51	43	28	27	81	27	52	92	7	56	63	60	59	14	42	31	57	14	62	38	45	88	63	36	87	55	70	61	70	73	66	16	76	79	52	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-262.016375456005051	-271.067218836456391	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998132133920197	-1	1	5	2	3	8	10	4	6	4	5	6	5	7	5	13	9	6	7	9	9	10	8	6	8	7	10	8	7	10	12	7	7	8	15	9	8	10	13	9	17	12	10	11	9	9	11	12	10	13	10	12	9	11	11	12	9	10	12	12	11	13	8	13	17	13	13	12	12	7	11	12	14	15	15	15	14	12	15	17	16	14	15	16	18	15	14	14	20	19	18	24	0	1	4	2	4	12	20	1	1	1	5	10	8	9	10	7	14	15	15	34	26	34	70	15	33	15	28	19	11	29	43	8	24	26	77	29	15	63	55	14	79	7	46	34	6	70	45	49	53	44	23	47	70	49	9	22	26	26	40	22	30	44	8	56	76	49	55	17	71	18	36	25	78	87	55	56	31	37	16	67	88	64	88	68	82	66	44	51	91	65	81	89	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-276.466813509899794	-285.517656890351134	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.982993777696899	-1	1	5	4	2	7	11	3	5	5	6	6	6	7	6	13	9	5	10	8	10	11	8	7	7	8	11	10	8	7	11	9	5	9	10	9	7	8	12	8	18	11	9	11	10	9	10	9	9	14	10	11	10	11	11	9	10	12	12	8	11	12	12	13	10	14	9	13	12	12	12	11	14	12	15	14	8	14	17	17	12	10	11	16	19	16	14	17	22	20	19	26	0	1	8	5	2	12	28	2	8	8	33	8	3	33	9	61	38	4	23	18	40	29	13	4	9	18	36	77	12	10	6	77	2	14	48	11	15	15	27	3	64	32	25	57	23	20	12	60	29	62	24	9	12	36	46	37	12	21	67	9	21	65	47	74	26	83	23	42	44	57	42	40	27	21	44	69	25	65	22	84	47	38	34	16	86	66	81	64	90	91	80	89	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-282.502815898480037	-291.553659278931377	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.992430695142872	1	2	5	4	3	8	12	3	6	4	7	6	6	8	4	13	10	6	9	8	9	10	7	6	7	7	12	9	7	9	9	8	10	8	15	9	11	7	12	9	15	9	10	11	5	8	11	10	11	8	10	12	9	10	11	11	11	12	11	10	11	11	9	12	17	14	7	11	14	12	13	12	13	12	16	15	14	14	15	15	13	14	16	16	18	17	17	15	22	19	19	23	0	1	10	8	2	18	55	2	15	1	3	45	4	25	1	43	67	3	5	13	46	14	18	4	45	2	33	45	2	29	29	9	19	26	27	23	5	4	42	38	7	34	53	29	8	13	22	11	11	18	28	51	20	30	31	50	3	21	29	14	19	33	25	55	80	61	5	12	7	17	53	47	52	21	81	44	32	33	52	64	22	64	27	35	78	74	35	22	91	65	84	65	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-277.732205460810405	-286.783048841261746	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.961081650545748	1	2	5	4	3	4	11	3	5	5	7	6	7	8	6	14	10	6	8	6	9	10	7	7	7	7	6	8	7	9	11	9	6	8	13	8	9	10	12	10	18	12	9	11	10	7	12	11	10	13	8	12	9	10	11	11	11	10	12	11	13	13	10	13	15	11	12	12	14	11	12	11	11	14	16	16	14	13	15	10	15	9	17	7	18	15	17	13	21	20	18	21	0	1	2	8	1	2	63	1	8	6	4	4	27	46	8	64	30	6	26	1	13	14	6	9	18	27	3	24	9	25	36	34	8	10	52	27	11	19	63	24	83	11	28	29	28	9	32	58	29	73	84	53	23	28	80	49	37	28	45	58	49	66	33	45	7	33	48	22	70	82	37	58	30	54	16	70	39	44	64	43	56	84	78	18	87	56	69	68	85	85	76	90	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-291.234741646644920	-300.285585027096261	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.995468040955452	-2	2	5	3	2	8	7	4	3	4	5	5	7	0	6	8	10	5	9	9	10	11	8	7	6	5	7	7	6	9	12	10	9	6	15	8	10	9	12	10	18	12	10	9	7	9	11	10	11	14	10	12	8	11	11	10	11	11	10	12	13	12	9	10	17	13	13	11	13	12	14	12	14	13	16	16	12	10	16	17	17	15	16	16	18	17	13	15	21	14	19	20	0	14	9	1	14	24	3	2	2	9	10	9	10	1	26	4	7	5	12	29	19	63	15	12	11	5	29	15	12	3	59	53	11	26	42	11	38	12	78	14	87	53	11	28	25	34	21	19	59	37	23	54	34	43	48	19	40	40	29	22	72	32	45	16	76	37	72	37	64	30	40	55	61	56	39	90	56	30	67	90	82	66	58	87	35	84	17	73	81	70	35	86	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-283.736829189881973	-292.787672570333314	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994275748611804	0	2	5	4	3	6	10	3	6	4	4	6	6	7	5	13	11	4	8	9	5	10	7	7	8	8	12	10	6	9	10	7	10	9	13	10	10	8	12	9	18	12	9	7	10	10	7	11	7	15	11	10	10	7	11	11	9	10	8	11	11	12	12	13	10	13	12	12	13	11	13	9	13	13	16	13	15	14	16	11	11	15	17	16	18	17	11	17	22	19	13	20	0	1	8	8	1	5	34	2	2	8	2	3	21	2	8	33	19	5	49	32	10	43	11	13	12	54	34	57	4	14	38	29	24	44	55	54	32	6	80	24	50	46	29	13	44	24	9	37	9	73	53	59	30	18	37	33	3	54	12	58	40	33	45	26	12	61	37	19	48	72	51	4	60	68	50	68	34	91	82	30	45	80	79	50	75	91	34	69	92	50	67	85	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-268.552420022350020	-277.603263402801360	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.968526665594699	0	1	6	4	2	8	11	4	5	4	7	5	5	7	5	11	10	7	10	9	8	11	7	8	7	6	9	10	7	7	12	10	8	8	16	9	10	9	13	8	15	12	9	11	10	9	11	9	9	14	11	12	8	9	11	11	9	10	10	6	12	13	12	13	18	11	14	13	13	12	14	12	14	13	17	16	15	15	16	18	16	16	10	15	18	17	16	15	19	19	10	24	0	1	12	5	1	13	14	5	10	2	26	8	4	3	10	43	24	12	33	33	25	58	15	30	13	8	60	20	12	10	91	6	30	13	78	3	33	26	22	18	22	44	15	46	57	33	19	23	14	66	49	37	29	24	32	59	14	10	21	4	16	21	7	38	87	24	36	52	51	46	51	66	64	43	71	58	64	71	62	87	68	67	48	74	76	84	70	48	76	75	34	89	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-285.048502842222888	-294.099346222674228	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.980422469836260	-2	1	5	5	3	7	9	3	5	6	7	6	5	8	4	11	11	0	9	9	10	11	8	6	6	7	5	8	7	10	9	9	7	8	10	10	11	10	11	8	18	12	9	11	7	10	10	12	10	14	8	11	11	9	11	7	10	11	12	11	13	12	11	11	12	9	12	13	14	13	13	9	13	13	15	14	14	13	16	16	16	14	17	14	18	18	14	15	21	21	18	25	0	18	15	15	2	24	45	2	15	2	3	8	15	25	5	30	38	1	11	14	31	21	6	13	15	9	8	27	25	66	11	11	25	4	24	51	43	23	30	33	16	37	12	21	3	72	32	55	19	55	12	43	38	33	35	9	33	40	22	46	58	33	54	32	55	23	60	24	22	40	37	26	63	54	46	55	74	22	38	84	58	59	80	48	77	55	61	73	81	85	80	89	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
