step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41
15000	-190.291534552887697	-197.147022503847069	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.736384965051724	0	2	3	2	3	5	4	6	6	8	7	8	10	9	10	10	10	11	13	12	14	13	13	14	12	15	16	15	16	14	17	17	18	17	19	18	18	17	22	20	21	0	1	1	1	1	3	5	7	0	8	7	9	12	12	12	8	0	14	18	16	25	14	18	20	11	24	21	24	24	25	30	23	38	27	34	29	30	30	40	23	36	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	2	1	1	2	1	1	2	1	1	1	1	1	2	2	1	1	1	1	2	2	1	4	2
15500	-209.022591022885962	-215.878078973845334	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.674988527214898	0	2	3	2	3	7	4	7	6	8	6	8	9	9	9	11	11	12	12	12	14	14	14	14	13	15	16	16	16	16	15	18	17	17	19	18	18	18	21	20	21	0	1	1	1	2	3	5	11	0	11	7	9	9	9	12	8	0	14	14	8	25	19	19	8	8	16	20	20	26	25	25	23	27	21	21	29	31	30	32	14	36	1	1	2	1	1	2	1	1	1	1	1	1	2	1	1	2	1	2	1	2	1	1	1	2	3	2	2	2	1	2	1	2	1	2	2	1	2	1	2	5	2
16000	-228.861900788532893	-235.717388739492264	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.652999970743256	0	3	2	2	4	4	5	8	6	6	7	8	9	9	9	12	10	12	13	12	15	13	12	14	13	15	16	15	16	14	15	18	16	17	20	18	18	18	21	20	21	0	1	1	1	3	2	5	10	0	7	10	9	9	9	12	11	0	14	18	7	16	15	14	16	8	20	25	16	16	16	25	18	25	30	30	24	25	33	40	32	36	1	2	1	1	1	1	1	1	1	1	1	1	2	2	1	3	1	2	1	2	2	2	1	1	3	2	1	1	2	1	1	2	1	2	3	3	3	2	1	1	2
16500	-204.848628368650566	-211.704116319609938	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.765638664098251	1	4	3	3	2	6	4	7	6	8	6	8	10	9	9	11	9	11	13	13	13	13	14	13	12	16	16	15	18	14	16	16	16	18	18	18	18	19	21	21	22	0	5	1	1	1	3	5	11	0	11	7	9	9	9	12	10	0	14	18	10	10	18	18	16	16	20	30	21	24	25	30	23	21	27	21	20	33	33	32	32	29	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	3	3	1	1	1	1	2	1	1	2	1	1	1	2	1	2	2	1	2	2	2	2
17000	-202.690305924652506	-209.545793875611878	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.609061830975367	1	3	3	2	3	5	4	7	6	8	7	9	9	10	10	11	11	12	12	12	14	13	13	15	13	16	16	16	17	15	16	17	17	17	19	18	18	20	21	19	21	0	1	1	1	1	2	5	7	0	7	7	9	9	12	9	7	0	14	14	11	10	12	18	20	16	20	30	20	24	25	21	23	25	27	27	29	31	21	40	32	29	1	1	1	1	1	1	1	2	1	2	2	2	2	1	2	3	1	2	1	3	3	1	1	1	1	2	1	2	1	1	1	2	4	1	2	1	1	2	1	2	2
17500	-214.115561344601616	-220.971049295560988	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.716827481871777	-1	1	2	2	3	6	5	8	6	8	6	7	9	9	9	12	9	10	12	11	12	13	14	15	12	15	15	15	18	13	16	18	17	16	20	19	19	19	22	20	21	0	1	2	1	2	3	5	11	0	11	7	9	9	9	9	11	0	14	18	10	8	18	19	20	8	20	30	16	26	21	21	23	21	27	38	24	31	33	40	32	29	1	1	1	1	1	2	1	2	1	1	1	1	2	2	1	2	1	1	1	1	2	2	1	2	1	2	1	2	1	1	2	2	2	1	1	2	1	1	1	1	2
18000	-224.905168769660861	-231.760656720620233	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.518979136954451	0	2	4	3	2	7	3	8	6	8	7	9	8	9	8	12	10	12	12	12	14	14	14	14	13	16	16	14	17	15	15	18	17	17	19	18	18	20	20	18	21	0	1	2	1	1	1	5	7	0	11	7	15	9	9	9	7	0	14	14	10	20	19	14	20	8	20	10	16	24	25	25	19	30	16	30	20	31	33	23	23	29	1	1	1	1	1	3	1	2	1	1	2	1	1	2	1	5	1	2	2	2	1	1	2	1	3	2	4	1	1	1	1	3	1	3	1	3	2	2	2	1	2
18500	-230.620131914730422	-237.475619865689794	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.717690406902072	-1	1	3	3	3	6	4	6	5	7	7	9	7	8	10	11	11	9	13	12	14	14	13	14	13	15	17	16	17	14	16	17	17	17	19	19	18	19	21	19	21	0	1	2	2	2	4	5	7	0	8	8	9	9	9	9	11	0	9	14	16	16	19	18	20	16	20	21	24	24	25	25	22	30	21	34	29	27	30	40	14	24	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	1	2	2	1	2	1	3	1	1	1	2	1	1	1	3	2	2	2	1	2	1	1	1	3	3
19000	-216.013221551643539	-222.868709502602911	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.656673559014152	0	3	2	2	3	4	4	7	6	8	6	7	8	8	10	12	10	10	12	12	15	13	13	15	13	15	16	13	16	15	15	16	16	17	20	18	18	20	21	19	20	0	3	1	1	3	3	5	11	0	11	7	9	12	9	9	11	0	14	14	10	16	18	18	16	8	16	21	16	16	25	25	23	30	27	37	29	31	30	32	32	29	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	2	1	2	2	2	2	2	1	1	2	1	1	1	1	1	1	1	2	3	3	1	2
19500	-228.742977501570437	-235.598465452529808	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.745906605062516	0	4	2	2	2	5	3	8	6	5	7	7	9	10	9	12	8	10	11	12	14	13	13	14	13	16	16	16	17	15	15	17	17	18	20	18	18	20	21	21	21	0	3	1	1	1	2	5	2	0	7	10	9	12	9	12	8	0	13	14	8	20	19	14	20	8	20	30	24	20	25	25	23	31	27	34	20	31	21	32	32	36	1	2	1	1	1	1	1	2	1	1	1	1	2	2	1	2	1	1	1	3	2	1	2	1	2	2	1	1	2	1	2	2	1	2	1	2	1	3	2	2	1
20000	-198.443257645871427	-205.298745596830798	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.749875661262674	0	3	2	3	3	5	5	8	6	8	7	8	9	9	10	10	11	12	13	12	14	13	14	14	14	14	16	14	17	16	15	18	16	17	18	18	18	18	21	19	20	0	3	1	3	3	2	5	7	0	11	7	9	12	9	14	10	0	14	14	10	8	14	19	20	20	20	25	20	24	25	21	18	21	27	21	29	31	33	32	23	36	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	2	2	2	3	2	1	1	1	1	1	1	1	1	1	2	1	1	3	1	1	1	1	3	1
20500	-220.619394169322533	-227.474882120281904	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.590195039182052	-1	2	1	3	3	6	4	8	6	8	6	8	9	8	10	11	10	11	12	12	14	13	13	14	13	16	17	16	17	15	16	16	17	18	19	15	18	20	21	20	21	0	1	1	2	3	3	5	5	0	7	7	9	9	9	12	11	0	14	14	11	25	19	14	10	16	25	21	24	24	25	25	18	30	21	27	20	25	33	40	32	29	1	1	1	1	1	3	1	3	1	2	1	1	2	1	1	2	1	2	3	3	1	1	3	3	2	1	2	1	2	1	1	3	1	2	1	1	3	2	1	1	2
21000	-221.158745630775655	-228.014233581735027	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.610107051959853	-1	3	1	3	3	5	5	8	5	6	8	7	8	8	10	12	10	11	12	12	13	13	12	14	14	16	17	14	18	15	15	17	16	16	20	18	19	20	22	20	19	0	1	1	1	3	2	5	10	0	7	10	9	9	9	12	10	0	14	18	11	20	14	18	20	11	20	21	20	24	21	16	23	25	21	34	20	30	21	40	32	29	1	1	1	2	1	1	1	1	1	1	1	1	2	2	2	3	1	1	1	2	1	3	1	1	2	2	2	1	2	1	1	2	1	2	2	3	2	3	1	1	1
21500	-189.411075063380395	-196.266563014339766	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.757963098286343	1	3	4	3	3	6	5	7	6	8	8	8	9	9	10	11	11	11	12	13	15	14	14	15	13	14	16	16	17	14	16	17	16	17	20	18	18	18	21	18	21	0	1	2	1	1	3	5	7	0	8	8	9	9	9	12	11	0	14	14	16	30	14	18	20	11	20	30	24	24	25	30	19	25	33	21	29	31	27	32	32	29	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	2	1	2	1	1	1	1	1	1	3	2	1	2	1	1	1	2	1	2
22000	-192.175799791098257	-199.031287742057629	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.767987447706055	0	2	3	1	3	6	4	8	5	7	6	7	8	9	9	11	10	11	13	12	14	13	14	14	13	15	16	14	17	15	15	17	17	16	19	18	18	18	22	19	22	0	1	1	1	1	3	5	10	0	11	7	9	12	9	12	8	0	14	14	8	25	18	18	20	16	24	21	20	20	25	25	23	25	30	33	29	31	33	40	23	36	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	2	2	1	1	2	1	1	1	1	1	2	1	1	1	2	1	1	1	2	1	1	2	1
22500	-211.448316570135148	-218.303804521094520	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.730526178872844	1	3	2	3	3	6	5	7	6	8	7	8	9	9	9	10	8	11	13	11	14	13	12	14	13	15	16	15	17	15	16	17	17	17	19	17	19	19	18	20	20	0	1	1	1	1	1	5	7	0	11	7	9	9	9	9	11	0	14	18	16	25	14	18	20	11	20	21	16	24	21	30	23	21	21	34	24	21	33	19	39	36	1	1	1	1	1	2	1	2	1	1	1	2	1	2	1	2	1	1	1	1	1	2	1	2	2	2	1	3	1	1	1	2	2	2	1	2	1	1	2	1	2
23000	-215.922217968829386	-222.777705919788758	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.638214657914836	0	3	4	2	2	6	4	7	7	7	8	8	10	9	9	11	9	11	12	13	14	13	13	14	13	15	16	16	17	15	16	18	15	18	19	19	18	18	18	20	21	0	1	5	1	1	2	5	7	0	3	8	9	14	12	12	8	0	9	14	10	16	18	18	16	16	20	21	20	24	25	21	23	21	27	30	29	31	33	23	23	36	1	2	1	1	1	2	1	2	1	1	1	1	1	1	1	2	1	2	2	3	2	1	1	2	1	1	1	1	1	2	1	3	1	1	2	2	1	2	2	4	1
23500	-218.848601934582774	-225.704089885542146	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.647968987936566	1	3	2	3	3	6	4	8	6	6	7	8	9	9	10	12	11	11	13	12	14	14	13	14	12	15	16	14	17	15	17	18	17	17	19	19	18	19	20	20	21	0	1	1	3	1	3	5	10	0	7	7	9	9	9	12	11	0	14	18	8	25	14	14	20	10	24	21	25	24	25	21	19	21	8	27	29	31	34	32	32	36	1	1	1	1	1	2	1	2	1	2	1	1	2	2	1	3	1	1	2	2	2	2	2	1	3	1	1	2	2	2	1	2	2	5	1	1	1	1	1	1	2
24000	-245.060175476990281	-251.915663427949653	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.523255240821088	0	2	3	2	4	6	4	7	6	8	5	9	9	9	8	11	10	11	13	12	14	13	11	14	13	16	17	15	16	14	16	17	15	17	19	19	19	19	21	20	21	0	1	1	1	1	2	2	11	0	8	7	9	9	15	9	11	0	14	14	11	11	14	14	10	16	16	16	11	28	25	24	23	21	30	27	20	31	33	32	18	24	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	3	1	2	2	3	5	2	1	2	1	2	3	5	1	1	1	3	1	2	1	3	2	1	2	3	3
24500	-208.626920876238842	-215.482408827198213	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.664077898254141	0	2	3	3	3	5	4	7	7	8	8	8	9	9	10	10	10	11	12	12	14	14	13	13	13	15	16	15	16	15	16	17	17	18	19	18	19	19	19	19	22	0	1	2	2	2	3	5	7	0	7	7	9	9	9	12	11	0	14	18	8	25	19	19	20	10	8	21	16	20	21	25	23	31	21	27	29	31	33	32	23	36	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	2	1	1	1	1	2	3	1	2	3	1	2	2	1	1	1	1	2	2	2	3	2
25000	-204.473940652219056	-211.329428603178428	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.746270606244362	0	3	4	2	2	6	5	7	6	8	7	7	8	10	9	11	10	12	12	13	15	13	13	14	13	15	17	15	17	15	16	17	17	18	19	19	18	20	21	20	22	0	1	5	1	1	2	5	7	0	8	7	9	9	15	12	10	0	14	14	11	25	14	14	20	16	20	11	20	24	25	25	23	30	21	21	29	31	33	40	14	36	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	2	1	1	1	1	1	4	1	1	2	2	2	1	1	2	1	2	1	1	4	2
25500	-229.754840415533153	-236.610328366492524	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.642382555345668	0	4	4	1	3	6	5	6	5	8	8	7	10	9	9	10	10	11	12	11	14	13	14	14	12	16	17	15	18	14	16	18	18	17	18	19	19	18	22	20	22	0	1	1	1	4	2	5	7	0	8	8	9	12	12	9	8	0	14	14	10	25	14	14	20	10	20	21	24	24	10	25	23	21	21	34	26	34	21	40	23	36	1	2	2	1	1	1	2	1	1	2	2	2	1	1	1	2	1	2	2	2	1	2	3	2	2	2	2	1	2	2	2	2	2	2	1	1	1	2	2	2	2
26000	-213.042746942475077	-219.898234893434449	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.689688662498043	0	4	3	2	2	6	4	6	6	7	7	9	9	9	8	10	11	12	13	12	14	13	13	13	12	15	17	14	17	15	16	17	16	17	18	18	19	19	18	20	21	0	1	4	1	1	2	5	7	0	8	8	15	9	9	9	10	0	14	14	16	20	14	14	20	11	20	21	24	20	25	25	19	21	21	27	29	31	33	19	39	36	1	3	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	2	1	1	2	2	2	1	2	2	2	2	1	2	1	1	1	1	3	1	1
26500	-218.599999760359765	-225.455487711319137	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.587360321268751	0	2	3	2	3	5	5	6	6	8	7	8	9	8	10	11	9	11	13	13	14	13	13	15	11	15	16	16	17	16	15	18	18	17	18	19	18	18	21	20	19	0	1	2	1	1	3	5	5	0	11	7	9	9	9	9	7	0	14	14	16	16	14	15	20	11	10	25	26	24	21	16	23	27	25	27	29	21	30	40	32	26	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	3	1	1	2	1	2	3	2	1	1	3	3	1	1	1	2	2	2	3	1	1	2	1	1	1	1
27000	-207.922639270602815	-214.778127221562187	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.736363013204501	0	2	3	2	3	6	4	7	3	7	5	7	8	9	8	11	9	11	12	12	13	14	13	14	13	15	16	14	18	15	17	18	17	16	19	17	18	19	21	21	21	0	1	2	1	2	2	5	11	0	11	7	9	9	13	12	8	0	14	14	8	16	18	14	16	11	24	21	20	24	25	27	23	30	21	25	26	31	33	32	32	36	1	1	1	1	1	2	1	1	1	1	1	2	3	1	1	2	1	1	2	3	1	1	1	1	3	1	2	1	2	1	1	2	1	2	3	1	1	1	1	2	2
27500	-197.727340012085676	-204.582827963045048	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.731851708738449	0	3	3	1	1	7	3	8	5	8	6	8	9	9	10	11	9	11	12	13	14	13	13	14	13	15	15	15	16	15	15	17	17	17	19	18	18	19	21	20	22	0	1	1	1	1	2	5	11	0	11	7	9	9	9	12	10	0	14	18	16	25	19	18	20	10	20	21	24	24	25	25	18	30	27	37	29	31	33	40	32	36	1	1	1	1	1	2	1	1	1	1	2	1	2	2	1	2	1	1	1	2	1	1	1	1	2	1	1	1	2	1	1	3	1	2	1	1	2	1	1	2	2
28000	-187.454975409311544	-194.310463360270916	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.752652954866314	0	4	2	3	2	6	5	7	6	7	8	9	9	9	8	11	10	12	10	13	15	13	14	15	13	15	17	15	17	15	16	17	18	17	19	18	18	20	21	20	21	0	3	1	3	1	3	5	7	0	7	10	15	9	9	9	11	0	19	14	16	25	19	18	20	16	20	21	20	24	25	21	23	30	21	27	24	31	27	32	23	29	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	2	1	1	2	1	2	2	3	2
28500	-199.348795469374352	-206.204283420333724	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.664643102627993	-1	3	3	1	3	5	4	8	6	6	7	8	9	9	9	10	9	11	13	11	14	14	13	14	12	15	16	15	17	15	16	17	17	17	18	18	19	19	21	19	21	0	4	4	1	1	5	5	11	0	7	7	9	9	9	12	8	0	14	18	11	25	14	18	20	8	24	21	24	24	25	21	23	25	27	30	24	31	21	40	32	36	1	1	1	1	2	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	1	2	1	2	2	1	1	1	1	2	1	2	2	1	1	2	1	3	2	1	2
29000	-202.719003412220388	-209.574491363179760	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.605832008681512	0	4	3	2	2	6	4	8	4	7	8	8	9	8	9	11	10	12	12	12	14	14	14	14	12	16	15	15	17	15	16	16	18	17	18	19	18	20	20	21	21	0	3	5	1	1	2	5	7	0	7	7	9	12	9	9	11	0	14	14	8	25	18	18	20	16	24	21	20	24	25	30	23	34	27	34	29	31	33	32	32	36	1	1	1	1	1	1	1	2	1	2	1	2	1	2	3	2	1	2	2	2	1	2	1	1	1	1	1	2	2	2	1	1	1	2	1	2	2	1	2	2	1
29500	-206.529434250937641	-213.384922201897012	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.704608933099728	0	2	3	2	2	4	4	8	5	7	8	9	9	7	9	12	9	11	12	11	15	13	13	13	13	15	14	16	16	15	16	17	17	17	20	18	18	19	20	21	21	0	1	1	1	1	3	5	10	0	7	10	9	9	9	9	10	0	14	14	8	16	19	18	10	11	16	16	24	24	25	25	23	21	27	30	29	31	33	32	32	36	1	1	1	1	1	1	1	1	1	2	1	2	2	1	2	2	1	1	2	1	2	1	1	3	2	1	1	1	1	1	2	2	1	2	2	1	1	1	1	2	2
30000	-197.256197774899960	-204.111685725859331	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.827366089600224	-1	3	2	3	3	7	4	6	6	8	8	9	10	8	8	10	10	10	12	12	14	14	13	14	14	14	16	16	17	15	17	17	17	18	19	18	16	19	20	20	21	0	1	1	3	3	2	5	7	0	8	8	9	12	9	9	11	0	14	18	16	16	19	19	20	16	20	21	24	20	25	37	23	21	27	31	29	30	33	32	32	24	1	1	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	3	1	1	2	1	2	1	1	1	1	2	2	3
30500	-203.809121862521465	-210.664609813480837	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.806506396099634	0	2	2	3	3	6	5	8	7	7	8	8	10	9	10	11	8	12	12	12	14	14	13	14	13	15	17	16	16	15	16	17	17	17	19	18	18	19	21	19	20	0	1	1	1	3	2	5	10	0	7	10	9	9	9	12	11	0	14	14	11	25	18	14	16	11	20	21	20	24	21	25	23	30	21	34	29	31	33	40	32	36	1	1	1	2	1	2	1	1	1	1	1	1	2	1	2	3	1	2	2	1	1	1	3	2	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1
31000	-217.133378330339525	-223.988866281298897	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.683984006377625	0	3	3	3	1	7	4	7	5	6	7	8	9	9	10	10	11	10	11	11	14	14	14	15	13	16	16	15	17	15	17	16	15	18	18	18	19	20	20	19	19	0	1	1	1	1	3	5	10	0	7	10	9	9	9	12	11	0	12	14	11	25	19	14	20	16	20	21	16	24	25	25	23	25	21	27	20	31	33	32	32	24	1	1	1	2	1	2	2	1	1	1	1	2	2	2	1	2	1	1	1	2	1	1	2	2	1	2	1	3	1	1	2	1	1	2	1	3	1	2	2	1	3
31500	-223.873565568816502	-230.729053519775874	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.675184180128899	0	2	3	2	3	7	5	8	6	7	8	7	8	10	9	11	10	12	12	12	12	12	14	14	13	16	17	16	16	15	16	18	15	16	20	16	17	19	20	20	21	0	1	2	1	2	3	5	10	0	7	10	9	9	9	12	8	0	9	15	8	10	14	19	8	21	24	34	20	24	25	25	23	20	25	37	24	31	34	32	14	29	1	1	1	2	1	2	1	1	1	1	1	1	1	2	2	2	1	3	1	2	2	1	1	2	1	1	1	2	1	1	1	2	1	1	1	1	1	2	1	3	2
32000	-219.266452561638260	-226.121940512597632	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.564614321904071	1	4	4	2	3	6	5	8	5	6	5	8	10	9	9	11	10	11	12	11	14	13	12	14	13	13	17	16	16	15	15	17	17	18	19	18	19	20	20	21	21	0	4	1	1	1	3	5	10	0	11	5	9	9	12	12	11	0	14	14	8	16	14	14	20	11	20	30	24	21	16	25	23	31	21	27	29	31	33	32	39	24	1	1	2	1	1	1	1	1	1	1	1	2	3	1	1	2	1	1	1	1	2	3	1	2	3	1	1	1	2	1	1	2	1	2	1	1	2	2	2	1	3
32500	-196.113707222620889	-202.969195173580260	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.815677156771307	1	3	3	2	2	6	3	5	6	8	7	9	8	10	9	10	10	12	13	12	12	13	13	14	14	14	15	16	18	16	16	17	17	17	19	16	18	19	19	20	22	0	1	1	1	1	3	5	7	0	8	8	9	9	12	9	11	0	14	14	16	10	18	18	20	21	20	16	16	24	25	25	23	25	27	27	24	31	33	32	32	29	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	2	1	1	1	1	1	2
33000	-233.168419631485904	-240.023907582445275	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.636987518888658	0	2	3	1	2	6	4	8	4	8	7	9	8	8	7	11	10	10	13	10	15	14	14	14	13	16	17	14	16	16	15	17	17	18	19	17	17	18	21	20	21	0	1	1	1	1	2	5	7	0	11	7	15	15	9	9	7	0	14	14	11	10	18	14	20	16	24	25	16	24	25	25	19	21	30	27	20	31	16	32	32	36	1	1	1	1	1	2	1	2	1	1	2	1	1	2	1	5	1	1	2	2	3	2	4	2	2	1	2	2	1	2	1	3	1	1	1	3	1	3	2	2	2
33500	-205.526024717532692	-212.381512668492064	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.723958798404032	0	4	2	2	3	7	4	7	6	6	8	9	8	9	8	11	10	11	12	12	13	13	13	14	14	15	15	15	17	15	16	17	16	17	18	17	18	19	21	19	22	0	3	1	1	3	2	5	10	0	7	10	15	9	9	9	11	0	14	12	16	10	14	19	20	21	20	21	21	20	25	25	23	30	21	30	26	31	33	40	32	36	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	1	3	1	2	2	1	1	1	2	1	2	2	1	1	2	1	2	2	1	1	2	1	1	2
34000	-217.028610948058542	-223.884098899017914	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.667843306940506	-1	3	4	2	1	7	5	7	6	6	8	8	10	10	7	11	10	12	13	13	15	13	13	14	12	15	16	16	16	16	17	17	17	17	18	18	19	20	21	20	21	0	5	4	1	1	3	5	10	0	3	8	15	9	9	9	10	0	14	14	16	25	18	18	20	8	20	16	24	24	21	25	23	21	30	21	29	31	33	32	23	36	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	2	1	2	2	1	3	1	1	1	2	1	2	1	1	1	2	2	1	1	2	1	1	2	2	3	2
34500	-210.716904810113334	-217.572392761072706	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.657647198080800	0	2	4	1	2	7	4	7	7	6	7	8	10	9	9	11	11	11	13	11	14	12	13	14	11	15	13	15	17	15	16	17	18	17	20	17	17	20	21	20	21	0	1	5	1	1	1	5	10	0	7	7	9	9	9	9	8	0	14	18	8	27	18	18	20	11	24	25	16	20	27	30	23	21	27	21	24	31	30	32	32	36	1	1	1	1	1	4	2	1	1	1	2	1	2	1	1	2	1	1	1	2	1	1	1	2	2	1	1	2	2	1	1	2	2	1	3	2	1	2	2	2	2
35000	-194.228875537754135	-201.084363488713507	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.751349138171141	1	3	3	3	3	6	4	6	6	8	8	9	10	10	8	10	11	11	13	12	14	13	13	14	13	16	17	16	18	15	16	17	17	17	19	19	17	19	21	19	22	0	1	1	1	1	1	5	7	0	8	8	15	9	9	9	11	0	14	14	11	25	18	14	20	11	24	21	24	24	21	25	23	30	25	34	29	25	33	32	32	36	1	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	2	2	1	1	2	1	3	1	2	1	1	1	2	2	1	3	1	1	2	1	2	1	2
35500	-219.288125319212838	-226.143613270172210	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.620282277306884	0	4	3	3	2	5	5	7	6	7	8	8	10	9	10	12	9	11	13	12	14	12	13	14	14	15	15	14	18	16	16	16	18	17	20	18	18	17	21	19	21	0	3	1	1	1	1	5	7	0	7	10	9	9	9	12	10	0	14	14	8	11	18	18	20	16	24	25	16	24	25	21	18	30	27	30	24	25	30	32	32	36	1	1	2	1	1	2	1	1	1	1	1	1	2	2	1	2	1	1	3	2	4	1	1	1	1	1	1	1	2	2	2	3	1	1	2	2	2	1	3	1	2
