step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41
5000	-236.488843268130694	-243.344331219090066	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.546466413271812	0	4	1	2	1	4	4	8	6	8	7	7	8	7	9	11	10	10	12	13	15	13	13	13	13	14	17	16	16	16	16	17	17	15	18	19	18	20	21	19	21	0	3	1	3	1	4	5	7	0	7	7	9	9	9	12	10	0	14	18	10	16	18	18	16	8	10	25	26	26	25	16	23	21	25	30	29	30	33	32	18	26	1	2	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	3	1	2	1	2	4	2	1	1	2	2	2	1	1	1	2	1	2	2	4	2
5500	-196.350072616470214	-203.205560567429586	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.801135360322070	1	4	3	2	3	6	4	7	6	8	8	9	10	9	8	10	10	12	11	11	13	12	13	14	14	14	16	15	16	14	16	17	17	17	20	19	19	19	20	19	22	0	3	1	1	1	3	5	7	0	8	8	15	9	9	9	11	0	19	14	11	16	19	19	20	21	20	30	24	24	16	25	23	30	21	27	29	31	21	32	32	36	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	2	1	2	1	1	1	2	1	2	1	2	2	2	1	3	1	1	2
6000	-193.704548128880219	-200.560036079839591	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.787436196336434	0	2	4	2	2	6	5	7	6	8	6	8	8	10	9	10	11	11	12	12	14	14	14	14	13	16	16	13	16	16	17	17	17	17	18	18	18	18	19	21	22	0	1	2	1	1	3	5	11	0	8	7	9	9	9	9	8	0	9	14	16	25	14	19	20	16	20	21	20	24	25	25	23	30	21	27	29	30	33	32	32	36	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	1	1	1	2	1	1	2	1	1	1	1	1	2	2	1	2	1	1	1	1	1	2	2
6500	-209.883477306952216	-216.738965257911588	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.648603805250082	0	4	2	2	3	7	5	6	7	8	7	8	9	10	9	10	9	11	12	13	13	13	14	13	14	16	17	16	16	16	17	18	17	17	19	18	16	18	22	21	22	0	3	1	1	1	2	5	7	0	8	5	9	9	9	12	8	0	14	18	10	10	14	18	16	21	20	21	20	24	25	37	23	30	30	27	29	25	33	32	32	36	1	2	1	1	1	2	1	1	1	2	3	1	1	2	1	2	1	1	1	3	2	1	2	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	2	2
7000	-242.659842410012288	-249.515330360971660	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.602587812181597	-1	2	4	2	4	4	4	8	6	8	8	7	8	8	9	10	11	12	12	12	14	11	13	14	13	16	15	14	17	14	15	17	16	15	20	18	18	19	20	20	22	0	1	1	1	2	2	2	7	0	7	5	9	9	9	12	11	0	14	14	11	25	14	14	20	10	20	21	11	20	10	25	23	25	11	21	20	31	33	32	32	24	1	1	2	1	1	2	1	2	1	2	2	1	1	1	2	1	1	2	2	2	1	2	2	1	2	2	1	3	2	3	2	2	1	3	2	4	2	2	2	2	4
7500	-193.848249380582644	-200.703737331542015	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.762401649020183	1	3	3	3	3	6	4	7	5	8	6	7	9	9	9	11	10	12	11	12	14	13	14	14	13	16	15	14	17	15	16	17	17	17	18	18	19	19	21	20	21	0	1	1	1	1	1	5	11	0	8	7	9	9	9	12	11	0	19	14	8	25	19	19	20	16	24	21	20	26	25	25	23	27	27	30	20	31	33	32	32	29	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	2	1	1	1	3	1	1	2	1	1	2	1	2	1	1	1	2	1	1	2	2	2	2	2	2	2
8000	-208.276842972230526	-215.132330923189897	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.614965504054806	0	3	2	2	3	6	4	7	6	6	8	8	9	10	10	11	9	11	12	13	15	13	13	13	13	16	16	16	18	15	17	16	17	17	19	19	19	20	20	18	20	0	1	1	1	3	2	5	7	0	7	10	9	9	12	12	10	0	14	18	16	16	18	14	10	10	24	21	24	24	25	30	23	30	21	30	24	31	33	40	32	29	1	1	1	1	1	2	1	2	1	1	2	1	2	1	1	2	1	1	1	1	1	1	2	3	2	2	1	2	2	1	1	1	1	1	1	4	1	2	1	2	1
8500	-223.918272297447203	-230.773760248406575	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.602923859493035	0	3	2	2	4	7	5	8	6	7	8	7	9	8	9	11	9	11	12	13	13	13	13	14	12	15	14	16	17	14	17	17	16	18	17	19	18	19	22	19	22	0	1	1	1	1	2	5	10	0	7	10	9	9	9	12	8	0	14	14	8	11	18	19	20	8	8	16	20	24	25	21	23	27	35	27	20	30	21	32	32	36	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	2	1	2	2	2	3	1	1	1	2	3	2	2	2	1	2	2	1	1	2	2	3	3	3	2	1
9000	-215.722552399289953	-222.578040350249324	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.605251502525917	-1	4	2	2	3	6	4	7	6	7	8	8	8	9	9	12	9	12	12	11	15	13	13	15	12	15	16	15	17	14	15	16	16	18	20	18	18	20	20	20	21	0	3	1	1	1	2	5	5	0	7	5	9	9	9	12	7	0	14	14	8	25	19	18	20	8	11	30	20	24	16	25	23	30	27	30	26	31	33	23	32	29	1	1	2	1	2	1	1	2	1	2	2	1	1	2	1	3	1	2	2	2	3	1	1	2	2	3	1	2	1	1	1	1	1	1	2	1	2	2	3	2	2
9500	-219.291800445571567	-226.147288396530939	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.623782233981671	1	2	4	3	3	6	4	8	6	8	7	8	9	9	10	12	10	12	12	12	15	14	13	14	13	15	16	15	16	15	16	18	16	17	19	19	18	20	19	21	21	0	1	1	2	2	2	5	11	0	11	7	9	9	9	12	8	0	14	14	10	25	23	14	20	16	24	16	20	24	25	30	19	16	25	27	29	33	33	19	39	36	1	1	1	1	1	3	1	1	1	1	1	1	1	2	1	1	1	2	2	2	2	1	1	1	1	1	2	2	1	2	1	3	2	2	1	2	1	2	3	1	1
