step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86
1	-4351.574928885274858	-4358.430416836234144	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.660509589252790	0	2	3	5	7	7	8	10	12	12	15	15	16	15	15	16	16	16	17	15	17	16	18	20	18	18	20	19	19	19	19	20	20	19	21	21	21	22	22	22	22	23	24	23	25	28	25	24	24	26	25	27	26	27	27	27	28	28	29	27	28	29	30	30	30	30	31	31	31	31	32	34	34	33	34	34	34	35	36	39	39	39	40	41	40	42	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	4	4	5	6	6	8	8	8	8	8	8	8	8	9	8	9	8	9	10	9	9	10	10	10	10	10	10	10	10	11	11	11	11	11	11	11	12	12	12	13	14	13	12	12	13	13	14	13	14	14	14	14	14	15	14	14	15	15	15	15	15	16	16	16	16	16	17	17	17	17	17	17	18	18	20	20	20	20	21	20	21
500	-1206.177945987857356	-1213.033433938816643	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.248299579932343	0	3	4	5	7	8	6	9	10	12	13	15	15	12	15	17	15	15	15	13	17	14	16	20	18	18	20	20	19	19	16	20	21	17	20	20	19	21	21	22	21	24	23	20	25	27	26	25	25	27	24	26	26	28	27	28	28	28	29	28	29	30	29	31	29	31	30	32	32	31	31	34	35	34	34	35	34	36	36	39	38	40	41	42	40	43	0	1	2	2	3	4	2	6	2	5	4	0	10	5	10	10	8	9	8	0	15	9	19	18	14	0	16	22	34	31	6	11	29	14	9	5	0	19	26	30	30	35	18	14	38	44	11	11	31	36	11	34	34	9	5	37	38	31	45	36	34	52	38	34	36	60	38	38	34	0	34	44	34	36	31	0	14	36	38	19	31	73	14	36	38	36	1	2	1	1	2	2	2	1	3	2	5	1	2	3	3	4	2	2	4	1	2	2	1	2	3	1	2	3	1	2	6	6	1	4	6	9	1	2	1	2	1	2	4	2	2	4	8	7	8	4	5	6	6	10	10	7	3	5	2	4	5	3	5	13	5	2	3	5	9	1	6	9	14	11	11	1	18	11	8	18	14	2	19	12	10	15
1000	-784.008365003682229	-790.863852954641629	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.323875553511645	-1	1	4	6	8	8	8	9	12	12	16	15	16	15	16	16	16	15	17	14	18	16	19	19	18	18	20	20	18	19	19	21	20	17	21	21	18	21	20	23	22	22	24	23	23	29	26	24	24	26	25	27	27	28	26	27	28	28	29	28	29	30	30	31	30	30	31	31	31	31	32	34	35	33	35	33	34	35	36	37	39	40	41	41	40	42	0	1	2	3	3	3	3	3	7	5	8	0	10	5	10	10	8	5	17	0	13	6	14	17	18	0	21	3	19	34	25	26	29	18	17	18	0	34	26	34	30	22	38	24	38	43	42	37	37	40	44	45	41	37	30	37	51	51	38	44	53	55	24	41	41	60	50	46	53	0	66	53	55	17	38	0	30	30	63	6	38	75	18	46	59	59	1	1	1	1	3	2	2	2	2	1	2	1	3	3	2	1	3	3	1	1	1	3	2	2	1	1	1	6	1	1	1	2	1	1	3	3	1	2	1	4	2	4	2	3	1	2	2	4	3	2	1	2	4	7	4	5	2	1	4	2	1	3	5	4	5	1	2	1	2	1	1	4	6	9	6	1	10	7	3	14	13	3	17	6	4	9
1500	-719.655905913135598	-726.511393864094998	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.417324223182932	1	2	3	5	7	7	8	10	12	13	16	15	14	15	15	17	16	17	17	15	16	15	18	21	19	16	19	18	19	20	20	19	21	19	21	22	18	23	21	22	22	23	21	24	25	28	24	24	25	24	25	26	26	28	25	27	29	28	29	27	28	29	31	30	30	30	31	31	30	31	32	34	34	33	34	34	34	35	35	39	40	39	41	41	40	42	0	1	2	3	3	4	6	4	8	8	5	0	10	8	10	12	8	8	17	0	10	5	14	29	18	0	21	17	18	11	18	26	22	14	28	29	0	43	26	34	34	35	18	41	24	24	35	37	37	43	38	43	44	37	34	37	51	45	45	55	53	53	57	60	60	60	58	58	55	0	60	69	60	11	68	0	30	66	68	68	45	79	58	79	79	57	1	1	1	1	2	1	1	1	2	2	4	1	1	3	1	1	2	4	1	1	2	3	2	1	1	1	2	1	1	2	2	1	3	3	2	2	1	1	3	1	1	1	2	2	3	3	2	4	5	2	1	3	1	7	4	5	3	2	2	1	2	2	1	2	2	1	2	2	2	1	2	2	4	5	2	1	6	2	2	4	10	1	9	4	2	7
2000	-650.588836954897488	-657.444324905856888	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.538213491387994	0	2	3	4	7	7	8	11	12	13	14	15	16	15	15	17	16	14	17	15	17	17	19	20	18	18	20	19	17	19	20	20	21	18	20	20	21	22	21	22	21	24	24	23	24	27	26	25	25	26	25	27	27	27	27	27	28	28	28	28	29	29	30	31	31	30	30	31	30	31	32	35	35	33	34	35	33	36	37	40	39	40	40	41	41	42	0	1	2	3	3	2	4	6	5	7	9	0	12	18	10	12	11	9	14	0	15	11	19	18	14	0	21	11	4	34	29	26	24	29	28	29	0	34	32	34	29	35	38	30	38	38	35	37	37	38	38	38	44	37	44	49	51	51	38	55	53	60	52	60	60	60	46	58	61	0	60	69	60	8	52	0	64	77	75	75	24	68	52	83	80	80	1	2	1	1	1	2	3	3	2	2	1	1	1	1	1	1	1	2	1	1	2	2	1	4	2	1	1	2	7	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	2	4	2	2	3	1	2	2	5	2	1	2	2	2	1	1	1	1	2	2	1	2	2	1	1	2	3	2	11	4	1	1	1	1	3	8	5	6	1	1	1
2500	-659.037761125114116	-665.893249076073516	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.546348599890630	1	3	4	5	8	7	8	10	13	13	13	13	16	15	15	17	15	16	18	16	17	16	18	19	18	18	21	18	19	20	20	21	21	18	21	20	21	22	22	22	23	22	24	22	25	28	25	24	22	26	24	28	26	28	27	28	28	28	28	27	28	29	30	31	29	30	31	31	31	30	33	35	34	33	33	35	34	35	36	39	39	40	38	41	40	42	0	1	2	3	3	4	6	6	8	1	8	0	10	8	12	12	11	14	14	0	15	17	14	18	14	0	21	22	14	34	25	26	18	14	28	18	0	18	32	34	30	35	38	34	24	38	42	37	37	43	38	43	44	49	53	49	51	51	43	41	53	53	50	65	60	65	51	59	53	0	66	69	55	19	59	0	65	64	75	75	68	79	52	83	79	80	1	1	1	1	2	1	1	1	2	6	2	1	2	2	2	2	1	1	2	1	1	1	1	1	1	1	2	1	2	1	1	1	2	1	1	2	1	2	1	2	1	1	1	2	4	3	2	2	1	1	1	2	3	4	1	2	2	3	2	2	1	1	2	1	1	1	4	1	3	1	3	2	3	8	2	1	3	2	1	3	5	2	4	2	2	2
3000	-673.491392914379958	-680.346880865339358	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.519948186619985	-1	1	4	6	7	6	8	11	12	12	15	14	16	14	16	17	16	16	18	15	17	17	18	20	18	18	21	18	19	16	20	19	20	19	20	20	21	23	22	21	22	22	25	24	25	29	25	24	23	26	26	27	26	28	26	26	28	28	30	28	29	30	31	31	28	30	30	32	30	32	32	34	33	31	34	35	35	36	36	38	39	38	39	41	40	42	0	1	2	3	3	3	6	6	7	4	14	0	12	9	10	15	11	14	18	0	15	11	18	34	14	0	21	8	19	9	25	26	29	30	28	19	0	24	32	34	34	28	38	34	38	50	35	37	37	43	38	44	40	56	44	49	38	43	43	41	44	65	46	65	55	65	51	57	60	0	65	69	65	47	57	0	65	71	75	75	79	79	79	75	82	84	1	1	1	1	2	1	2	3	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	2	3	1	2	1	1	1	2	1	1	1	1	2	2	2	2	1	2	1	2	2	1	1	1	2	2	2	2	1	2	3	2	2	3	2	1	1	2	1	2	2	1	1	1	2	2	2	4	2	1	3	2	1	2	2	1	1	3	1	1
3500	-604.225108312911630	-611.080596263871030	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.686501293215834	0	2	3	5	7	8	6	11	12	13	16	15	15	14	15	17	16	17	18	15	18	16	18	20	18	18	20	20	19	20	19	20	20	18	21	21	21	23	23	22	21	23	25	23	25	29	25	23	24	26	25	27	26	28	26	27	29	29	29	28	28	29	30	31	30	30	32	31	31	31	33	34	34	31	34	33	33	35	36	38	39	40	39	38	41	43	0	1	2	3	3	7	4	5	5	8	5	0	10	9	10	15	9	11	18	0	15	8	11	8	14	0	21	11	18	34	25	26	18	22	28	14	0	24	32	24	30	28	38	41	24	43	28	37	37	38	38	38	44	49	40	49	51	51	52	55	55	55	50	55	60	60	58	52	55	0	60	69	60	11	50	0	65	71	58	79	84	80	80	79	80	82	1	1	1	1	1	1	1	2	2	1	3	1	1	2	1	1	1	1	1	1	2	3	1	4	2	1	1	2	1	1	1	1	1	1	1	3	1	1	2	1	1	2	1	2	2	2	3	1	1	2	1	2	1	2	3	2	2	2	2	1	1	1	2	2	2	1	2	2	3	1	2	1	2	5	3	1	2	1	3	1	1	1	1	1	1	1
4000	-612.335568662242849	-619.191056613202250	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.626013392010398	0	2	3	5	8	8	9	10	12	12	14	16	15	15	15	16	17	16	17	15	17	17	18	20	18	19	21	19	20	20	19	20	20	18	20	22	21	23	22	22	21	23	24	23	25	27	25	25	23	26	25	26	24	26	27	27	28	28	29	28	28	29	30	30	29	30	32	30	31	32	31	33	34	32	33	35	35	33	37	37	39	39	39	40	40	42	0	1	2	3	4	4	6	6	8	5	9	0	10	9	10	10	4	11	5	0	15	14	17	34	6	0	21	8	14	34	25	26	18	14	19	19	0	36	32	30	34	35	38	34	24	38	42	37	37	30	43	38	30	49	53	49	51	52	43	55	53	55	50	60	53	60	59	52	61	0	60	69	60	17	68	0	78	71	75	75	79	79	80	79	80	82	1	1	1	1	2	2	1	1	1	2	1	1	2	2	2	1	5	1	4	1	1	1	1	2	4	1	2	4	2	2	1	1	2	2	2	3	1	1	2	1	1	1	1	3	2	2	2	2	1	3	1	2	2	2	2	2	2	2	3	1	2	1	2	2	2	1	2	2	2	1	2	1	3	5	2	1	1	1	2	1	2	1	1	1	1	1
4500	-581.995845458155372	-588.851333409114773	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.634502180918201	0	2	4	5	7	7	9	9	13	13	16	12	15	16	15	16	15	16	18	16	17	15	18	19	19	17	19	18	19	20	20	21	20	18	20	22	20	21	23	23	22	23	24	24	25	28	26	23	24	27	25	27	26	27	26	27	29	29	30	27	28	29	30	30	30	30	31	30	30	30	32	34	35	34	34	34	33	36	37	39	40	38	40	41	39	41	0	1	2	3	3	4	6	4	7	12	5	0	10	9	12	12	8	17	18	0	15	9	11	14	11	0	21	17	14	34	25	26	14	11	28	19	0	24	32	30	30	28	38	41	38	38	42	37	37	44	43	43	44	49	44	49	38	51	43	44	55	60	50	60	55	60	52	57	61	0	66	69	71	28	59	0	71	77	75	82	75	79	80	79	79	85	1	1	1	1	2	1	1	1	2	1	5	1	1	2	1	2	2	1	2	1	1	1	1	2	2	1	1	2	2	2	1	3	2	1	1	1	1	1	1	2	1	2	2	2	2	2	1	1	2	1	1	2	1	2	1	2	3	2	2	2	1	1	2	2	2	2	2	1	1	1	1	3	2	8	2	1	1	2	2	1	2	1	1	2	2	1
