step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92
1	-1290.830827156630448	-1297.686315107589735	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.464379593932262	-1	2	1	1	3	4	4	4	3	5	6	5	4	6	6	6	7	7	7	6	7	8	7	10	9	9	9	9	8	8	10	11	9	9	9	11	10	10	9	10	11	10	11	11	11	11	12	11	11	11	12	11	12	12	12	11	13	14	12	13	14	14	14	14	13	14	15	16	15	15	16	17	17	16	16	17	21	19	21	20	21	20	21	22	22	22	23	23	23	25	27	26	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	3	3	3	2	3	4	3	3	4	4	4	4	4	4	4	4	5	4	6	5	5	5	5	5	5	6	6	5	5	5	6	6	6	5	6	6	6	6	6	6	6	7	6	6	6	7	6	7	7	7	6	7	8	7	7	8	8	8	8	7	8	8	9	8	8	9	9	9	9	9	9	11	10	11	11	11	11	11	12	12	12	12	12	12	13	14	14
500	-631.121358880903585	-637.976846831862986	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.322333259408302	0	3	2	2	2	4	4	4	3	5	4	4	4	6	6	6	7	8	7	5	7	8	7	10	9	9	10	10	7	8	11	12	9	10	9	11	10	10	10	9	10	9	12	10	11	12	11	10	12	12	12	11	12	13	12	11	12	14	12	13	14	14	12	14	14	15	16	16	16	16	17	16	18	17	15	17	21	19	21	20	20	20	21	23	23	23	23	24	23	25	26	25	0	1	1	1	1	4	3	2	4	4	5	5	4	3	3	4	6	11	6	4	13	4	2	15	21	30	13	18	20	21	42	14	8	20	16	30	14	19	15	10	22	17	28	29	42	29	34	40	17	42	34	35	34	22	37	15	29	48	20	45	57	40	52	44	21	60	58	61	47	59	48	64	29	48	33	16	74	34	57	62	40	17	67	20	76	3	75	40	74	29	73	77	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	2	2	4	2	2	1	1	3	1	1	1	1	3	3	2	1	1	2	1	2	2	1	2	1	2	1	2	1	1	3	2	1	1	1	3	1	3	3	2	4	1	1	2	1	2	6	2	2	2	2	2	5	1	5	4	3	8	2	3	4	4	5	7	2	11	3	10	5	8	3	8	4	2
1000	-578.467054532203861	-585.322542483163261	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.465844353423698	0	2	1	1	2	4	4	4	3	5	5	5	3	5	6	5	7	6	7	6	6	9	7	8	7	9	9	9	8	9	8	11	10	10	9	11	9	10	9	11	11	11	11	11	12	10	11	11	11	11	12	11	13	11	13	12	13	14	12	13	14	13	15	13	13	14	15	17	15	15	16	17	16	15	17	16	19	20	22	20	21	20	22	22	23	22	23	24	23	24	26	25	0	3	1	1	3	5	13	2	5	4	5	5	3	3	4	2	21	11	15	16	13	13	8	3	8	17	17	18	20	21	10	14	7	20	20	26	23	24	24	25	26	31	28	29	24	20	34	25	27	31	29	20	59	26	23	38	35	40	20	24	52	40	61	46	35	60	62	61	59	31	40	64	20	48	67	25	67	69	65	75	74	77	48	29	77	74	77	76	76	57	65	86	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	2	1	1	1	1	1	3	2	4	1	2	1	1	1	1	2	2	4	2	2	1	1	1	1	2	1	2	1	2	2	2	1	3	1	2	2	2	1	1	3	2	3	2	3	2	2	2	1	2	4	1	1	1	2	4	2	2	5	2	1	4	2	3	5	1	4	1	5	8	4	3	2	4	4	5	7	1
1500	-519.050860529264583	-525.906348480223983	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.626494803237348	-1	3	2	1	3	4	4	4	2	5	5	4	5	6	6	7	7	7	7	6	7	8	8	8	9	10	10	9	8	9	11	12	8	10	9	12	10	9	10	11	12	11	12	11	9	11	12	11	12	10	13	11	11	13	12	11	12	14	12	12	14	14	15	14	13	13	15	16	15	15	16	17	15	15	17	18	20	18	22	20	21	21	22	22	23	22	24	21	24	26	27	26	0	4	1	1	4	2	4	3	4	9	5	5	7	2	6	2	13	11	15	13	4	13	14	21	6	30	22	11	20	17	50	23	7	20	21	30	23	24	15	25	30	50	28	20	13	35	35	33	27	45	29	34	35	13	37	38	44	40	35	50	46	48	52	34	57	60	40	61	57	66	62	64	57	40	74	75	58	73	54	58	77	80	80	69	88	81	80	76	80	79	84	87	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	3	2	1	1	2	1	1	2	2	1	1	2	2	2	1	2	1	1	2	1	2	1	1	2	2	2	2	2	1	1	2	1	1	4	2	1	1	2	1	1	1	1	2	3	1	1	2	1	2	2	1	2	2	2	1	1	3	2	5	3	1	1	2	4	1	1	2	2	3	3	2	1
2000	-468.821022306767588	-475.676510257726989	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.719734706591219	-1	2	2	1	3	4	4	4	4	4	7	5	5	6	7	7	7	8	6	6	8	8	7	10	9	8	9	9	8	7	10	10	10	9	9	11	10	9	7	10	12	10	11	11	12	11	12	12	12	11	13	11	12	12	12	12	14	13	11	12	15	13	15	14	14	14	16	16	13	16	15	17	17	16	15	17	20	19	21	20	21	21	22	23	23	22	23	22	23	25	27	26	0	1	1	1	3	3	4	3	5	3	5	5	7	8	19	2	13	11	8	2	13	17	6	39	16	30	13	11	20	13	27	23	8	20	29	30	23	39	8	25	17	21	28	29	50	35	35	40	22	31	44	29	35	30	32	38	29	40	20	31	69	40	52	47	34	60	75	61	44	66	62	59	69	75	58	67	76	65	72	74	80	76	81	73	88	81	77	82	82	79	90	86	1	2	2	1	1	1	2	1	1	1	2	1	1	1	1	2	1	1	1	2	2	1	1	2	1	1	2	1	1	1	1	2	3	2	1	2	3	1	2	1	3	1	1	1	1	1	2	1	2	1	1	2	2	2	1	1	2	2	2	1	1	1	2	1	2	1	1	1	2	1	1	3	2	1	1	1	2	2	2	2	1	2	1	2	1	1	1	1	1	1	1	2
2500	-484.425069014928397	-491.280556965887797	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.623247805713694	-1	2	2	1	2	4	4	4	4	6	6	5	5	5	6	6	8	7	7	7	7	8	7	10	7	10	9	9	9	8	10	11	10	10	10	11	10	11	8	10	11	11	12	11	12	12	13	12	10	12	13	11	12	13	13	11	14	13	12	14	13	14	14	14	14	14	14	17	15	16	16	16	17	17	15	17	21	19	20	20	20	19	21	21	21	22	24	24	23	25	24	27	0	1	1	1	1	2	2	2	5	8	5	5	7	6	8	6	8	11	15	13	13	13	15	39	10	30	17	18	20	21	22	23	25	29	20	3	23	39	15	3	21	31	28	20	31	34	29	40	13	31	44	35	44	26	32	39	59	40	20	42	52	48	52	46	17	31	40	61	44	66	62	64	51	75	58	75	80	69	47	76	82	75	81	78	82	81	82	85	85	84	84	86	1	1	2	1	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	4	2	1	2	3	2	1	2	2	1	1	2	2	3	1	2	1	1	2	1	1	1	2	3	3	1	1	2	1	4	2	2	2	2	2	1	1	3	1	1	1	1	2	4	1	1	2	1	1	1	1	2	2	2	2	2	2
3000	-487.500341511329964	-494.355829462289364	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.669003464084351	-1	0	2	2	2	4	3	5	1	5	6	5	5	7	6	6	6	8	8	7	5	8	8	11	8	8	9	10	8	8	10	11	10	9	8	10	10	9	10	11	11	9	11	11	11	11	13	12	11	11	13	12	11	12	11	12	13	15	12	13	14	14	14	14	13	13	16	16	15	15	15	18	18	15	17	18	21	19	21	20	22	20	21	23	21	22	24	23	22	26	26	26	0	1	2	2	9	2	4	3	2	6	5	5	7	7	3	6	13	11	15	21	6	13	8	39	15	21	13	11	20	17	14	37	25	20	20	30	23	15	19	25	26	22	28	34	27	35	35	40	27	31	34	46	35	17	37	38	44	62	44	42	53	48	46	46	53	50	40	61	57	66	62	63	53	40	74	74	76	72	73	74	82	67	76	73	80	80	82	85	85	84	84	81	1	1	1	1	1	2	1	2	1	1	2	2	1	3	2	1	1	1	1	1	1	2	2	1	1	2	3	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	2	1	2	3	1	2	1	1	1	2	1	2	2	2	1	1	2	1	1	1	1	2	3	2	1	2	1	1	2	3	1	2	1	2	1	2	1	1	1	2	1	2
3500	-495.779053717397744	-502.634541668357144	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.660678162715315	-1	2	0	1	2	3	4	3	4	6	6	6	5	4	6	6	7	8	7	6	7	8	8	10	10	10	8	8	9	9	10	10	10	8	10	10	11	9	9	10	12	8	12	10	11	11	12	11	11	10	12	10	13	12	12	12	14	13	13	13	14	14	13	14	13	14	16	17	16	16	16	17	18	15	17	18	21	20	21	21	21	18	22	22	22	22	23	23	23	24	27	25	0	3	1	1	4	1	3	4	5	6	9	5	7	6	8	6	13	11	15	13	13	13	4	19	16	21	13	11	20	21	42	23	7	20	20	42	23	19	19	7	26	13	28	34	42	20	35	40	27	22	34	34	47	26	32	38	35	48	20	50	52	40	52	53	34	42	33	61	46	66	40	65	69	48	71	67	82	69	57	76	67	75	81	73	77	81	77	85	85	84	90	81	1	2	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	3	1	2	1	1	1	1	1	1	1	2	1	2	1	2	1	1	2	1	2	3	1	1	3	1	1	2	1	2	1	1	1	2	2	2	1	4	1	3	2	2	1	2	2	3	1	2	1	3	2	1	2	1	1	2	2	3	1	2	1	1	2	1	1	1	1	1	1	2	2
4000	-504.821486817724463	-511.676974768683863	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.666083941915036	-1	3	1	1	4	3	4	4	2	5	6	6	3	6	6	5	6	7	7	6	8	8	7	11	8	10	9	9	7	9	9	12	10	9	8	10	9	9	8	10	11	10	12	11	11	11	12	12	9	11	12	11	10	13	13	12	13	13	12	12	14	14	13	13	12	14	12	16	15	15	17	18	17	15	16	17	21	18	21	20	20	18	21	22	22	22	23	23	23	25	25	25	0	3	1	1	9	1	3	2	4	6	5	5	4	8	8	2	13	11	15	13	17	17	6	16	17	21	17	18	6	21	17	23	16	29	20	21	23	39	8	25	30	31	28	29	31	35	35	40	17	39	34	53	34	30	23	38	34	40	17	31	52	58	46	46	44	60	40	61	65	60	62	64	47	67	67	74	82	69	69	74	74	74	81	73	80	77	82	85	85	84	84	77	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	3	1	2	2	1	2	1	1	2	2	2	1	2	2	1	2	1	1	1	1	2	1	2	2	1	1	1	2	1	1	1	3	2	2	1	2	1	1	1	1	1	1	2	1	1	1	2	2	3	2	2	2	1	2	1	3	2	3	1	1	2	2	1	2	1	1	2	1	2
4500	-539.779615214138857	-546.635103165098258	6.855487950959373	0.000080000000000	0.000020000000000	0.250000000000000	0.582714632708035	0	3	1	2	2	4	3	5	4	5	5	5	4	5	6	4	6	7	7	5	6	9	7	9	10	9	10	8	8	8	8	11	9	8	7	10	10	10	10	9	12	11	12	12	11	10	11	11	11	11	12	9	10	12	12	12	12	14	12	12	14	14	14	14	11	14	14	16	15	15	16	17	17	16	17	17	19	18	22	21	21	20	22	23	23	23	23	23	23	25	25	26	0	3	1	3	1	2	3	1	5	2	5	5	7	4	8	2	2	5	16	7	7	13	10	17	33	21	8	11	20	21	17	23	8	20	20	21	14	10	24	17	36	31	28	29	31	17	35	40	27	31	29	35	35	21	23	39	35	48	29	46	52	48	52	20	29	60	48	61	65	66	48	64	64	67	74	67	75	73	73	75	74	74	76	73	82	82	82	76	81	84	79	86	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1	2	2	3	1	1	2	1	2	1	1	2	2	2	1	1	2	2	2	1	2	3	2	1	1	1	2	2	2	1	2	2	1	1	2	2	1	2	4	2	1	2	2	1	1	2	2	2	4	2	1	2	1	2	1	2	2	2	1	1	2	1	1	3	2	3	2	3	3	2	2	1	3	1	1	2	2
