step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71
1	-1655.696845887310474	-1654.234763802791576	-1.462082084518882	0.000010000000000	0.000010000000000	1.000000000000000	0.449299131245876	1	1	3	4	4	5	5	6	6	6	5	6	9	6	9	6	6	8	8	8	7	9	8	9	10	9	10	11	9	13	10	9	11	10	10	12	10	11	12	11	12	12	11	12	12	12	12	13	14	13	12	14	14	14	14	13	15	14	15	16	17	16	17	17	18	19	18	21	20	21	23	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	3	3	2	3	4	3	4	3	3	4	4	4	3	4	4	4	5	4	5	5	4	6	5	4	5	5	5	6	5	5	6	5	6	6	5	6	6	6	6	6	7	6	6	7	7	7	7	6	7	7	7	8	8	8	8	8	9	9	9	10	10	10	11
500	-617.782270356246045	-615.536124411724018	-2.246145944522025	0.000010047460780	0.000030208750807	3.006605496475656	0.391109191649909	2	1	3	4	4	5	6	6	4	6	6	6	6	7	8	5	7	9	9	8	7	7	8	9	10	9	10	11	9	13	8	8	12	10	10	13	10	10	12	11	13	12	9	12	12	12	12	14	15	14	13	15	14	14	13	14	16	13	15	17	18	17	17	18	19	19	19	21	20	20	23	2	0	2	1	1	3	3	3	1	4	6	3	5	11	16	3	10	7	9	10	6	6	16	12	5	21	3	15	8	45	21	22	43	20	17	25	26	19	26	27	44	32	23	38	4	32	25	25	26	46	32	43	39	41	38	25	46	5	39	32	47	13	32	26	43	36	22	47	51	46	57	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	2	2	2	3	2	4	2	1	1	1	1	2	2	2	2	1	1	2	1	1	2	1	2	4	3	2	2	3	1	4	5	2	1	1	3	2	4	2	5	4	6	7	7	5	2	7	4	4	5	4
1000	-516.534757578245944	-513.981551872226532	-2.553205706019377	0.000010089422791	0.000039619284579	3.926813792962787	0.498461401835047	1	-1	3	3	2	4	5	6	6	5	6	5	8	6	9	6	6	8	7	8	7	8	9	8	8	9	10	11	8	14	10	10	12	9	8	12	11	10	11	11	12	13	10	11	12	12	12	12	15	14	12	13	14	15	14	13	16	14	16	17	17	16	16	17	17	20	18	21	20	21	24	2	0	5	1	1	3	3	3	4	4	6	3	5	6	16	3	10	7	9	10	8	14	16	12	5	21	12	15	8	38	21	22	43	20	17	25	26	19	26	27	44	32	16	38	38	32	25	25	39	51	22	43	26	41	38	48	46	47	53	42	47	25	51	59	43	62	60	61	63	67	69	1	1	1	1	1	1	1	2	2	1	1	2	2	1	2	2	1	2	1	1	1	1	2	1	3	1	3	1	1	2	2	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	3	3	3	1	3	2	3	2	3	1	2	2	2	2	2	5	2	1	4	2	1	2	3	2	4
1500	-480.796914059975052	-478.492875654920397	-2.304038405054634	0.000010162093040	0.000032233253998	3.171910931266376	0.670172066909748	1	0	3	4	5	4	6	6	6	6	5	7	9	7	9	6	7	8	8	8	7	9	8	8	9	9	10	12	9	13	9	10	12	10	11	12	10	9	12	12	13	12	11	13	11	13	12	12	14	14	13	14	14	15	15	14	15	14	16	16	16	17	17	18	18	20	19	20	19	22	23	2	0	1	1	1	3	3	3	4	4	6	3	5	6	23	3	10	7	4	10	3	14	16	12	5	21	18	15	8	38	21	22	43	20	17	25	26	4	26	27	38	32	16	38	38	32	25	25	39	42	32	43	39	30	44	48	32	47	53	42	47	36	51	59	33	62	63	61	63	67	69	1	1	1	1	2	1	2	2	1	1	1	1	2	2	1	2	1	2	2	1	2	1	2	1	2	1	1	2	2	3	1	1	1	2	2	1	1	2	1	1	3	1	2	2	1	2	2	2	1	1	1	1	1	1	1	2	2	1	1	2	2	3	2	2	2	2	2	1	2	2	1
2000	-475.280669488289334	-473.030171312058656	-2.250498176230687	0.000010096960440	0.000030481793383	3.018907874774715	0.714019810580462	1	0	3	4	3	4	6	7	6	5	5	6	10	6	10	6	7	9	8	9	7	7	9	9	10	9	10	12	9	14	10	9	12	10	9	12	10	9	11	12	11	10	11	12	12	13	12	11	14	12	13	14	14	15	14	14	15	14	16	17	18	17	16	17	18	20	18	21	21	22	23	2	0	1	2	1	3	3	3	4	4	6	3	5	11	16	3	10	7	9	10	6	14	16	12	5	21	12	15	8	45	21	22	43	20	17	25	26	19	26	27	38	32	18	38	41	32	25	25	39	42	32	33	39	41	44	48	51	47	53	57	47	36	57	59	33	62	63	61	63	67	69	1	1	1	2	1	1	1	1	1	1	1	1	3	1	2	1	1	2	1	2	1	1	2	2	2	1	2	2	1	1	2	2	1	1	1	2	1	1	1	2	1	1	1	2	1	2	1	1	2	2	2	1	2	2	1	2	1	1	1	1	3	2	1	1	2	1	1	1	2	2	2
2500	-474.092284709188618	-471.862071025628211	-2.230213683560424	0.000010085238750	0.000029869860884	2.961740581837982	0.635734552606949	2	1	2	3	4	5	5	5	5	5	6	6	9	6	9	7	6	8	7	9	7	7	9	10	10	8	9	12	8	14	9	9	12	11	10	12	10	10	11	12	13	12	10	12	12	12	13	12	15	14	12	14	14	14	14	14	15	15	16	16	17	16	15	18	18	17	19	22	21	22	24	2	0	2	1	2	3	3	3	4	4	6	7	5	6	16	7	10	7	4	10	7	14	16	12	5	21	12	15	8	45	21	22	43	20	17	25	26	19	26	27	44	32	23	38	38	32	25	25	39	42	32	33	39	41	44	48	51	47	53	42	47	36	46	59	33	62	63	61	63	67	69	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	2	1	1	1	2	3	1	1	2	2	2	1	1	2	1	2	1	2	2	2	2	1	2	1	2	1	2	2	1	2	1	2	1	1	1	2	1	2	1	1	2	2	2	2	1	3	1	2	2	3	2	2
3000	-480.364877307037773	-478.314840253485613	-2.050037053552188	0.000010135600228	0.000025056300278	2.472108184526292	0.627380477370437	2	1	2	4	5	5	5	7	7	4	6	6	9	7	9	6	6	8	8	9	7	9	8	9	10	8	10	11	10	14	10	10	11	10	11	12	11	10	13	12	12	12	9	13	12	12	13	12	15	14	12	14	15	15	13	14	14	15	16	16	18	16	18	17	18	20	19	22	20	22	24	2	0	2	1	1	3	3	7	4	2	6	3	5	6	16	7	10	7	9	10	11	14	16	12	5	21	12	15	8	45	21	22	43	20	17	25	26	19	26	27	38	32	16	38	38	32	36	25	39	51	32	33	39	41	38	48	46	47	53	42	47	36	46	53	33	62	63	61	63	67	69	1	1	1	1	2	2	2	1	2	1	1	2	2	1	2	1	2	2	1	2	1	1	1	2	1	1	2	1	2	1	1	1	1	1	2	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	2	1	1	2	2	2	1	2	1	2	2	2	4	1	4	1	1	2	2	3	2
3500	-480.417011906077278	-478.525589651335906	-1.891422254741351	0.000010331230132	0.000021334840864	2.065082336999339	0.529518231024815	1	0	3	4	4	6	4	7	6	5	5	6	9	6	8	5	6	8	8	7	7	8	9	8	9	9	10	10	9	13	10	9	12	10	11	12	11	11	12	12	12	11	10	12	12	12	13	11	14	14	12	14	14	14	14	13	15	14	15	15	16	16	16	17	18	19	18	20	20	21	24	2	0	2	2	1	11	3	11	4	4	3	3	5	11	16	3	10	7	9	10	11	14	16	12	5	21	12	15	8	45	21	22	43	20	17	25	26	9	26	27	38	32	23	38	38	32	25	25	39	42	32	33	39	41	38	48	46	47	53	42	47	36	46	59	43	62	63	61	63	63	69	1	1	2	1	2	1	1	1	2	1	1	1	2	1	2	1	1	2	2	2	1	1	2	1	3	1	3	1	2	1	2	1	2	1	3	1	2	2	1	2	1	1	1	1	1	2	2	1	1	2	2	2	1	2	1	2	2	1	1	3	2	2	3	1	3	1	1	2	2	2	2
4000	-463.663913086581033	-461.636828025604473	-2.027085060976534	0.000010393065687	0.000025067359801	2.411931239263633	0.683322076661468	2	1	3	3	4	5	5	6	6	6	4	6	9	6	10	6	7	8	8	8	8	8	8	10	9	10	10	12	9	13	10	9	12	11	11	13	11	9	12	12	11	11	10	12	11	12	12	12	15	13	13	14	14	13	14	13	15	14	16	17	17	16	17	17	18	19	16	22	20	21	23	2	0	2	2	1	11	3	3	4	4	3	3	5	11	16	3	10	7	9	10	6	8	16	12	5	21	12	15	8	45	21	22	43	20	17	25	21	4	26	27	38	32	16	38	38	32	25	25	39	42	32	33	39	41	38	48	32	47	53	51	47	36	57	59	33	62	51	61	63	67	69	1	1	1	1	1	1	1	2	1	2	1	1	2	1	2	2	1	1	1	1	2	1	1	1	2	1	2	1	1	1	1	1	2	2	2	1	2	3	2	2	1	1	2	2	1	2	1	1	2	1	2	1	1	1	3	1	2	1	1	2	3	1	1	1	3	1	1	2	2	2	2
4500	-461.974370038000927	-459.674737363075565	-2.299632674925339	0.000010812688704	0.000034159481026	3.159203225220312	0.668615842036770	2	1	3	4	4	4	5	6	7	6	5	5	9	7	9	6	7	8	6	8	6	9	6	9	10	9	10	11	9	13	10	10	12	9	11	12	11	10	11	12	12	13	10	12	12	12	12	13	13	13	13	14	13	15	15	14	15	15	15	17	18	16	16	17	16	19	17	21	20	21	24	2	0	1	1	2	3	3	3	4	4	6	3	5	6	23	3	10	7	4	10	6	14	3	12	5	21	12	15	8	45	21	22	43	20	17	25	26	19	26	27	38	32	16	38	38	32	25	25	39	46	32	43	39	41	44	48	51	47	53	42	47	36	46	59	33	62	51	61	63	67	69	1	1	1	1	2	1	1	1	2	2	1	1	2	1	1	2	1	2	1	1	1	1	1	2	3	2	3	1	2	1	2	1	1	1	2	1	1	3	1	1	1	2	2	1	1	1	1	2	1	1	2	2	1	2	1	1	1	2	1	2	2	2	2	1	2	1	2	2	3	2	2
