step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85
1	-606.522311458168815	-615.573154838620212	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.576508516915730	5	4	9	2	8	2	5	9	3	7	12	8	6	12	11	6	12	12	6	6	6	12	10	20	15	7	8	12	18	12	16	7	10	8	11	13	18	17	13	11	12	19	21	11	23	19	11	14	20	20	17	15	13	14	16	16	18	14	24	20	16	19	18	18	26	23	24	22	28	27	25	27	29	26	30	31	31	27	30	34	34	36	35	44	40	4	4	4	0	4	0	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
500	-440.868713951735572	-449.919557332186912	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.980292701276458	-2	2	2	-6	4	-1	1	4	1	4	13	6	4	13	10	6	11	12	10	6	9	14	13	13	19	8	8	12	19	10	14	5	10	9	10	13	21	21	17	11	9	18	18	9	21	18	12	15	12	22	17	17	12	16	15	19	21	7	17	19	11	18	18	20	25	26	21	19	28	22	24	27	16	19	29	25	31	21	32	25	28	39	22	41	37	4	4	6	0	1	4	1	6	6	1	26	2	4	8	3	9	7	13	7	3	5	58	58	41	12	5	13	44	22	13	27	4	32	2	5	35	73	22	19	2	10	8	49	12	22	18	12	18	30	56	2	14	3	26	17	44	10	6	18	28	20	17	8	48	68	40	73	53	65	11	46	53	40	47	31	45	38	52	48	54	76	57	33	69	72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1000	-431.744333854439105	-440.795177234890446	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.984596259135573	7	5	11	-6	10	0	7	4	-3	3	11	6	5	10	13	4	5	11	7	2	1	12	11	15	16	8	5	10	15	8	15	9	12	8	6	12	16	12	14	7	11	16	18	11	19	13	9	4	20	20	18	16	12	11	12	17	13	12	19	22	18	17	14	19	19	22	17	14	28	21	27	29	20	23	28	24	31	22	28	19	22	37	25	34	38	6	9	17	0	7	4	10	4	4	9	19	21	10	8	27	9	6	32	21	9	9	1	7	2	20	4	21	2	7	8	41	27	27	21	4	35	11	30	10	16	1	27	32	13	55	35	27	9	37	25	36	53	8	19	40	18	8	2	44	43	30	41	35	63	68	63	53	10	42	36	32	74	24	45	50	73	69	11	73	34	65	83	24	66	71	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1500	-441.489059550899924	-450.539902931351264	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.987333475376710	2	-1	7	-9	10	5	5	12	-4	9	11	8	8	11	14	-4	6	13	8	3	4	3	12	17	17	3	5	11	21	12	11	8	6	9	12	16	15	18	6	9	13	18	16	11	25	22	9	16	19	19	16	16	10	13	11	16	20	10	17	16	19	17	12	18	23	14	23	24	28	22	24	20	24	18	33	33	21	19	24	32	32	34	31	44	36	16	9	21	0	1	22	2	12	4	20	3	7	7	21	7	4	22	31	26	16	4	16	39	32	19	16	9	1	42	9	20	27	9	6	26	39	27	40	16	7	20	13	22	17	57	62	20	12	35	5	44	26	9	20	7	17	14	27	14	53	35	34	19	23	56	14	63	42	67	38	47	53	25	18	15	49	30	5	48	60	69	15	64	82	80	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2000	-445.369314262725652	-454.420157643176992	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.972200413706421	7	5	10	-7	11	5	2	4	0	10	12	9	4	15	8	2	16	15	4	1	9	13	9	19	14	8	7	13	18	4	14	8	11	10	13	16	20	20	11	8	9	14	23	6	21	23	12	12	17	17	9	10	10	12	15	17	15	13	9	15	8	16	15	19	23	23	18	19	21	27	19	24	27	18	33	20	29	18	22	34	33	30	31	42	43	7	20	1	0	61	4	20	9	4	7	59	27	7	15	2	9	53	34	9	4	2	8	20	60	12	6	7	9	35	9	1	6	32	30	6	55	55	56	1	20	8	51	29	20	36	6	32	59	23	59	19	8	7	21	53	22	5	26	1	6	7	51	41	52	54	17	42	25	64	56	14	38	43	25	66	6	69	53	62	77	46	17	76	80	81	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2500	-434.631744071373305	-443.682587451824645	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.998284822328304	4	3	11	-5	-1	0	0	4	2	2	11	6	4	13	10	3	14	15	6	8	8	13	7	19	14	5	5	10	21	10	19	1	12	7	13	12	18	17	8	11	5	15	17	12	6	11	9	18	19	12	16	14	13	16	15	16	17	14	26	16	4	21	21	12	28	24	21	21	29	28	25	28	28	20	26	32	28	15	22	38	27	37	28	46	41	9	6	32	0	4	4	4	6	4	5	10	6	5	41	34	7	15	26	7	2	61	6	9	11	9	7	6	61	19	45	36	5	47	13	41	12	14	36	9	26	61	16	36	20	6	8	9	47	46	41	15	45	32	34	2	12	14	27	17	39	32	42	44	12	75	24	60	54	63	55	48	54	67	42	49	83	37	11	3	71	78	72	79	80	80	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3000	-443.460654940134589	-452.511498320585929	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.980857684319638	2	6	12	-7	9	3	7	0	7	11	14	3	5	12	13	2	8	9	-1	6	6	5	8	13	16	2	10	8	14	12	16	-3	9	6	11	-2	18	16	3	13	12	21	16	7	26	15	8	18	18	24	15	16	13	14	19	15	17	14	10	21	17	16	19	9	23	22	21	25	22	19	28	24	29	24	24	22	32	9	29	36	31	30	36	41	41	36	39	4	0	26	32	12	4	39	20	33	19	36	17	12	32	21	12	4	36	32	4	6	18	34	36	19	1	44	36	47	4	26	26	21	4	40	33	4	23	64	52	13	26	55	21	8	28	64	10	78	7	19	5	53	22	6	17	9	30	54	5	11	36	62	46	52	53	70	40	31	42	57	55	40	62	50	39	37	82	74	65	65	80	80	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3500	-454.287890086254151	-463.338733466705492	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.994611633037422	0	4	-2	-5	7	5	7	4	0	6	9	5	2	11	5	4	16	12	7	2	8	15	12	12	15	2	9	8	16	6	14	4	5	7	12	15	14	15	12	10	15	13	14	-2	20	9	13	16	21	19	18	11	6	12	10	2	10	12	21	22	14	17	10	13	20	16	12	20	21	30	24	28	28	19	30	33	28	28	30	28	30	28	17	38	37	4	44	4	0	2	44	13	3	4	20	16	1	3	21	1	4	39	12	8	3	26	15	53	30	18	3	2	20	40	26	15	1	3	56	12	67	27	21	6	13	40	63	8	4	31	32	52	33	66	33	63	26	1	15	4	1	20	46	17	64	55	5	8	1	41	23	40	28	38	40	64	61	71	52	82	77	62	69	59	22	38	65	14	79	61	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4000	-439.677850078115682	-448.728693458567022	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.997504221280147	3	-2	10	-7	9	5	3	8	5	10	6	7	6	6	4	0	9	8	1	4	6	11	11	13	17	2	3	11	19	0	9	-3	14	9	12	7	17	9	15	12	11	15	22	6	24	18	7	12	21	21	16	12	9	16	15	15	15	18	25	20	17	19	13	16	25	25	26	25	31	22	12	30	26	20	28	32	22	26	31	30	36	21	27	43	28	32	4	36	0	16	19	2	27	2	6	27	30	30	4	2	4	27	6	32	2	2	1	13	36	21	2	32	36	56	2	16	4	13	30	10	26	13	27	5	5	12	26	55	19	23	20	19	38	23	52	40	47	30	8	8	44	12	35	58	40	34	48	36	35	74	25	34	46	50	5	11	23	58	37	70	75	51	60	73	60	46	42	58	76	50	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4500	-446.506579872870475	-455.557423253321815	9.050843380451346	0.000010000000000	0.000010000000000	1.000000000000000	0.969974487809847	7	5	8	-5	11	1	7	5	-1	9	11	2	5	14	11	1	3	3	-1	0	5	10	10	18	15	4	9	6	17	15	13	7	9	10	13	11	15	14	12	10	8	22	20	12	17	17	13	14	18	19	6	9	14	15	20	14	5	4	24	22	17	17	17	15	22	18	22	18	15	29	23	26	29	24	33	13	28	14	24	24	34	33	34	38	29	12	12	20	0	7	4	9	18	4	13	12	4	6	8	1	19	20	4	4	4	4	2	6	53	36	6	26	6	52	33	51	9	57	28	27	9	36	7	41	13	6	46	39	21	48	36	12	17	23	39	26	58	32	3	35	7	18	4	41	31	64	47	76	7	66	58	63	76	34	29	63	53	40	22	72	3	60	23	62	67	42	80	71	82	65	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
