step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73
5000	-217.432181756906431	-215.146007446220750	-2.286174310685673	0.000007443089220	0.000000774364709	0.104038079625801	0.870280064802518	0	3	2	2	4	6	4	5	6	7	5	6	6	6	6	9	9	8	8	7	8	9	10	8	9	10	9	10	9	10	10	10	11	12	10	11	12	11	13	11	9	12	15	13	13	13	11	13	14	13	15	14	13	13	14	14	13	15	16	15	16	14	15	14	15	15	17	18	19	19	20	22	24	0	4	1	1	2	8	2	4	3	2	2	2	5	7	11	20	10	13	15	8	7	20	19	14	18	27	21	13	13	19	19	19	27	28	24	30	31	28	25	21	20	30	39	31	17	34	41	37	37	38	49	32	47	23	44	39	34	31	58	34	58	37	50	34	53	52	51	64	67	68	66	65	72	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	3	1	1	2	2	1
5500	-202.587065799189844	-201.095379549423797	-1.491686249766039	0.000005840738983	0.000001755738158	0.300602057896497	0.973048727495270	-1	3	1	3	3	6	4	5	5	7	6	6	5	6	6	8	7	9	7	8	10	9	11	9	9	8	9	10	10	8	11	11	11	11	11	11	11	11	13	10	11	12	12	14	13	14	13	13	14	13	14	14	15	14	12	14	12	13	16	16	16	15	15	17	15	18	16	17	19	19	20	20	20	0	3	1	3	3	7	3	7	4	11	8	13	7	7	13	6	12	6	14	11	17	6	20	11	10	9	30	25	19	11	20	40	29	40	22	26	21	22	57	30	26	28	27	34	36	38	18	33	43	34	37	42	44	23	32	42	35	37	47	46	49	39	47	49	56	60	52	53	61	65	68	66	68	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
6000	-178.246667669317901	-175.707375934790207	-2.539291734527697	0.000006571274508	0.000000549456939	0.083614972785351	0.954326771124826	0	2	1	3	5	6	3	5	4	6	7	7	6	7	8	8	9	7	5	7	9	9	10	9	8	10	9	9	11	9	11	7	10	12	10	10	9	11	12	12	11	12	15	13	13	13	13	13	12	12	16	14	15	12	13	12	14	13	16	14	16	15	15	16	14	17	16	17	18	18	20	21	23	0	1	1	3	4	5	3	4	2	4	8	5	8	9	13	19	12	5	7	5	15	25	21	14	10	16	12	20	36	14	35	8	16	23	11	28	11	28	36	28	36	15	52	41	31	56	42	29	26	35	60	50	48	33	41	29	38	36	57	56	65	50	54	48	58	53	62	48	64	67	70	70	72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
6500	-194.725626169831514	-193.313370853536100	-1.412255316295427	0.000007132694862	0.000002721867085	0.381604307789396	0.848752147082782	-1	1	1	3	4	6	3	5	5	7	6	6	5	5	8	7	9	7	8	7	8	10	9	8	10	8	9	10	9	9	10	9	11	12	10	9	11	11	12	13	11	13	15	13	13	11	12	13	14	12	15	16	13	15	14	13	14	14	15	16	15	15	16	15	16	17	16	17	19	19	19	21	23	0	1	1	2	7	9	3	5	7	14	13	4	4	4	18	11	15	13	12	13	9	26	18	13	24	18	19	26	16	21	23	20	10	33	30	15	32	21	19	38	23	41	48	35	46	15	33	33	47	38	44	55	46	44	34	33	44	25	49	53	45	48	58	22	50	54	49	62	64	67	65	71	72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1
7000	-185.245612996747724	-183.108880168396581	-2.136732828351145	0.000006734688317	0.000000808665416	0.120074660876871	0.986710649660701	0	2	1	3	5	6	3	4	5	6	6	7	7	5	7	8	9	8	7	9	10	10	11	5	9	8	8	9	10	10	10	9	11	12	10	10	11	10	13	13	11	13	14	13	13	13	13	14	14	12	15	15	12	14	14	13	15	14	16	16	16	16	15	16	15	17	17	18	18	19	20	21	23	0	1	1	3	2	14	2	4	4	5	8	6	9	7	14	24	15	14	9	18	25	16	18	7	12	11	8	18	25	26	18	10	35	17	15	27	27	17	23	50	16	33	34	29	37	20	37	23	37	30	48	58	31	34	33	53	46	50	43	57	49	34	46	54	40	44	51	51	60	68	69	67	72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
7500	-168.280110795199448	-166.909988581930918	-1.370122213268534	0.000002750559896	0.000001321698586	0.480519834382282	0.990927797864599	-1	3	1	2	3	7	4	5	5	6	6	6	6	6	7	8	7	8	7	8	10	8	10	9	9	9	9	11	10	9	10	10	10	12	10	11	11	9	12	11	12	12	16	14	13	13	13	13	15	12	15	13	15	14	11	13	14	14	15	17	17	16	15	17	17	18	16	18	18	19	20	21	23	0	4	1	1	3	13	4	2	4	2	8	9	7	7	9	14	12	6	8	12	24	19	17	6	12	11	15	38	16	16	24	25	38	32	16	32	30	19	31	24	31	28	55	28	40	28	35	39	45	21	39	42	52	28	25	40	45	27	47	63	45	52	45	51	58	43	54	63	43	65	66	71	72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8000	-203.221241883081063	-201.031938724120948	-2.189303158960124	0.000003112365006	0.000000354819730	0.114003251207461	0.983841555633292	0	1	1	3	4	6	3	5	5	6	6	5	5	6	8	8	8	8	8	8	9	9	9	8	9	10	9	9	11	6	11	9	10	12	9	11	9	11	11	13	11	13	13	14	12	12	13	11	14	12	16	13	14	15	14	13	15	15	15	17	14	14	16	16	17	16	16	18	17	17	19	21	23	0	1	1	3	7	13	3	7	7	12	13	7	7	12	30	10	8	14	14	14	17	16	10	30	24	23	16	18	37	8	19	6	28	48	24	28	13	20	28	25	27	22	38	34	35	27	45	32	46	23	42	29	47	42	18	29	47	42	42	67	50	47	56	52	51	43	56	59	47	63	70	71	72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
8500	-210.380215323377257	-208.805659048036688	-1.574556275340557	0.000002017096428	0.000000507588021	0.251642912947611	0.910560733432569	0	2	1	3	4	7	4	5	6	6	7	7	7	7	8	8	9	8	6	9	10	10	10	8	9	10	9	9	11	9	11	9	11	12	10	11	9	11	11	11	10	12	14	13	13	13	13	13	15	11	14	16	13	15	13	14	15	14	15	14	17	16	16	15	16	17	16	15	18	20	18	21	22	0	1	1	1	3	9	3	2	4	5	9	19	19	7	12	11	5	13	5	12	37	18	16	10	24	28	15	9	32	15	32	12	35	35	28	32	18	30	16	17	14	29	28	35	29	31	31	34	43	14	40	58	35	45	40	31	47	55	44	48	34	54	42	53	64	62	64	30	68	69	51	57	72	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	3	1	1	2	2	1
9000	-197.333956595400764	-195.964627109292451	-1.369329486108316	0.000000500658200	0.000000242370727	0.484104180189915	0.871651171272205	-1	2	0	1	4	7	3	5	6	6	6	6	7	6	7	8	8	8	8	8	10	8	10	8	8	9	9	10	11	9	11	10	7	12	10	11	11	12	12	13	12	12	15	13	12	13	14	13	15	10	14	16	14	13	13	13	14	14	16	15	17	15	15	16	17	17	15	18	18	19	18	21	23	0	3	1	1	7	14	4	7	7	8	5	8	14	8	8	12	11	14	8	7	16	13	13	11	6	6	22	11	30	22	21	22	7	35	24	35	16	35	25	26	37	21	42	42	35	37	41	31	53	8	54	53	46	38	23	38	39	31	62	40	64	40	46	47	47	52	53	65	64	65	59	70	69	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2
9500	-178.223218036750922	-176.802561282584321	-1.420656754166605	0.000000348992022	0.000000306411396	0.877989688352451	0.974909805240907	0	2	1	2	5	6	4	5	5	6	5	6	6	6	8	8	6	9	8	8	9	10	10	8	10	10	9	11	9	9	10	11	10	11	10	10	12	11	12	12	11	11	15	14	13	14	12	14	13	12	14	15	14	14	12	13	14	13	16	17	15	15	15	16	17	17	15	17	15	19	19	21	23	0	1	1	3	7	9	3	7	7	9	2	5	7	11	17	11	5	15	10	9	14	15	20	6	20	15	24	15	15	24	24	21	27	35	20	15	23	18	35	35	29	12	57	42	38	49	36	45	50	22	55	49	45	36	35	42	36	38	48	52	47	39	32	53	63	69	46	48	46	61	59	70	72	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
