step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35
5000	-279.478508963835168	-277.723372591493273	-1.755136372341882	0.000012921037228	0.000022340523467	1.729003877407314	0.563190868269873	5	11	13	13	14	17	16	17	16	14	17	18	17	18	19	21	19	19	22	20	22	24	21	21	23	24	22	25	25	24	25	28	28	27	30	0	1	0	2	2	2	4	9	2	3	5	6	2	8	9	12	9	11	15	2	13	15	15	18	27	18	20	22	25	6	20	34	30	28	26	1	3	1	1	2	2	1	1	2	1	2	1	3	1	2	2	2	1	2	3	2	2	1	1	1	2	1	1	2	3	1	1	2	1	2
5500	-258.168969627179763	-256.800018241946418	-1.368951385233371	0.000017050724193	0.000008284648414	0.485882495119945	0.693033105495058	5	12	13	13	14	16	18	17	16	15	18	19	17	17	18	21	19	20	22	20	22	24	22	21	22	23	24	26	24	25	25	28	27	27	29	0	1	0	2	2	2	2	9	2	3	5	6	2	9	9	12	15	11	17	7	13	15	17	18	20	18	25	22	20	16	29	34	30	28	26	1	3	1	1	1	1	2	1	2	2	2	1	1	1	1	1	1	1	2	1	2	2	2	1	1	2	2	1	2	2	1	1	2	1	3
6000	-232.154976041395599	-230.779692815517734	-1.375283225877872	0.000040676813286	0.000028664706408	0.704694003612676	0.697874106127028	5	12	14	13	14	17	16	17	16	16	19	18	17	17	18	21	19	21	22	20	23	23	23	22	24	22	22	25	26	26	26	28	28	27	28	0	1	0	2	2	2	2	9	2	3	5	6	2	9	9	12	9	11	15	13	13	19	17	18	27	18	20	22	20	16	25	34	30	28	26	1	3	1	1	1	3	2	1	1	1	3	1	2	1	1	2	2	1	2	3	3	1	2	1	1	1	1	1	4	2	1	1	1	1	3
6500	-220.355350603584213	-218.369418202094948	-1.985932401489273	0.000080008126041	0.000011268075674	0.140836640368847	0.591363877957565	5	12	14	13	13	17	17	15	17	16	18	19	18	19	18	21	20	20	22	21	20	25	22	21	23	23	23	24	26	25	25	28	27	27	28	0	1	0	2	2	2	2	2	2	3	5	6	2	9	9	12	15	2	17	2	13	17	15	18	7	18	20	15	27	6	20	34	16	28	26	1	3	1	1	1	2	3	2	2	1	2	1	2	1	1	1	1	4	1	3	1	2	1	1	4	2	1	3	2	4	2	1	3	3	2
7000	-249.393749492444016	-247.457693357497391	-1.936056134946613	0.000199961802364	0.000029811361034	0.149085278693449	0.575821093650740	5	11	14	13	15	15	18	15	17	15	19	19	18	18	18	19	20	20	23	22	22	24	21	21	22	24	23	26	26	25	26	26	28	28	28	0	1	0	2	4	2	9	4	8	3	8	6	2	8	9	2	15	2	15	18	11	15	8	7	7	11	13	11	19	12	11	22	30	32	26	1	4	1	1	1	2	1	1	1	1	2	2	3	2	1	3	1	3	2	1	1	3	3	1	2	2	3	5	2	2	3	1	1	1	3
7500	-194.791576142780968	-192.496584343232854	-2.294991799548109	0.000112659858433	0.000011626560217	0.103200557665586	0.599883849136685	6	12	13	13	14	18	16	16	18	15	19	17	17	18	17	20	20	20	22	21	21	24	21	21	23	24	23	26	24	25	25	28	28	28	29	0	1	0	2	2	12	2	2	15	3	5	2	2	15	8	12	15	2	17	11	13	17	17	18	20	18	20	22	20	16	25	28	30	28	26	1	3	1	1	1	1	1	2	1	1	2	2	3	1	1	2	2	2	1	1	2	2	1	1	2	2	1	1	2	2	1	1	2	1	3
8000	-241.451964952548593	-238.999244434803103	-2.452720517745493	0.000230742155280	0.000020730373115	0.089842157751645	0.470259166928448	6	13	13	11	14	16	15	16	17	14	18	18	17	18	18	20	20	19	23	20	22	25	21	21	22	22	21	25	25	26	25	27	28	29	30	0	4	0	1	4	2	4	4	5	3	8	2	5	9	7	5	9	11	23	8	9	19	17	18	5	18	13	23	16	31	5	31	30	22	26	1	2	1	3	2	1	2	2	2	1	1	2	2	1	3	3	1	1	1	2	3	1	1	1	3	1	2	2	4	1	5	1	1	2	4
8500	-242.213910078336056	-240.157638409590106	-2.056271668745939	0.000221244558296	0.000028863402224	0.130459263930293	0.423117480502295	6	12	13	11	14	17	17	15	17	15	18	18	18	18	19	20	19	21	23	21	23	22	22	20	22	22	24	26	24	25	25	25	29	28	30	0	4	0	1	4	2	5	2	2	3	4	5	5	8	8	5	11	6	17	16	16	14	17	13	11	18	9	19	12	15	13	19	12	32	26	1	1	1	2	2	3	1	1	3	1	3	2	3	1	3	4	1	2	2	1	1	3	1	1	2	1	4	2	3	3	3	1	5	2	5
9000	-241.943233984905135	-239.843562578175522	-2.099671406729608	0.000188913820396	0.000023553945859	0.124680903758322	0.339875275094743	5	12	13	11	14	17	16	16	17	15	17	19	17	18	18	21	19	20	22	21	23	23	22	20	23	23	25	25	25	25	25	28	28	29	30	0	4	0	1	2	2	2	5	4	3	5	15	2	8	4	2	8	4	8	9	17	8	7	11	2	24	20	17	9	6	20	22	16	28	26	1	1	1	2	1	3	2	1	3	1	2	1	3	1	4	4	2	4	3	2	2	3	2	2	5	2	3	3	4	4	2	3	5	2	3
9500	-262.099571869226224	-259.947826418009811	-2.151745451216392	0.000290320002340	0.000034341347776	0.118287915056296	0.427142783698903	5	10	13	12	14	17	17	16	16	15	18	18	17	18	18	19	20	20	22	20	23	22	21	21	21	22	24	25	25	25	24	27	27	28	30	0	1	0	2	4	2	4	4	5	3	9	2	4	13	5	4	15	16	17	14	25	23	17	14	14	6	8	23	6	27	11	23	30	28	18	1	2	1	1	2	4	2	1	2	2	1	5	3	1	2	4	1	1	1	2	1	1	1	2	2	3	4	2	3	1	3	2	1	2	6
